match_date,season,home_team,away_team,home_score,away_score,goles_favor,xg_favor,xg_contra,tiros_totales,tiros_a_puerta,posesion_pct,pases_intentados,pases_completados,presiones,recuperaciones,intercepciones,faltas_cometidas,match_id,kick_off,competition,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
2005-12-20,2005/2006,Barcelona,Celta Vigo,2,0,2,1.23,0.36,14,7,55.23,554,435,140,52,11,24,68323,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,17,Regular Season,Spotify Camp Nou,Miguel Pérez,Frank Rijkaard,Fernando Vázquez Pena,1.1.0,2,2.0
2006-02-18,2005/2006,Barcelona,Real Betis,5,1,3,2.72,1.01,17,7,57.21,480,376,127,57,4,21,69172,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,24,Regular Season,Spotify Camp Nou,Eduardo Iturralde Gonzalez,,,1.1.0,2,2.0
2005-11-06,2005/2006,Getafe,Barcelona,1,3,3,1.58,0.37,10,7,58.26,617,506,118,44,14,10,68339,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,10,Regular Season,Coliseum Alfonso Pérez,Arturo Daudén Ibáñez,Bernd Schuster,Frank Rijkaard,1.1.0,2,2.0
2006-01-07,2005/2006,Espanyol,Barcelona,1,2,2,1.91,0.75,18,6,63.53,493,375,111,54,10,20,68348,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,18,Regular Season,Estadi Olímpic Lluís Companys,Bernardino Gonzalez,Miguel Ángel Lotina Oruecheberría,Frank Rijkaard,1.1.0,2,2.0
2005-11-27,2005/2006,Barcelona,Racing Santander,4,1,4,3.21,0.79,25,7,72.27,662,580,177,83,5,19,68354,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,13,Regular Season,Spotify Camp Nou,Rafael Ramírez Domínguez,Frank Rijkaard,Manuel Preciado Rebolledo,1.1.0,2,2.0
2006-02-25,2005/2006,Real Zaragoza,Barcelona,0,2,2,1.2,0.19,9,2,58.97,575,469,110,71,5,16,68351,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,25,Regular Season,Estadio de la Romareda,Victor José Esquinas Torres,Víctor Muñoz Manrique,Frank Rijkaard,1.1.0,2,2.0
2005-10-01,2005/2006,Barcelona,Real Zaragoza,2,2,2,3.27,1.22,21,7,57.39,505,393,124,61,7,18,68317,20:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,6,Regular Season,Spotify Camp Nou,Carlos Megía Dávila,Frank Rijkaard,Víctor Muñoz Manrique,1.1.0,2,2.0
2006-02-05,2005/2006,Barcelona,Atlético Madrid,1,3,1,1.43,1.81,15,6,61.41,522,390,134,66,5,19,68350,19:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,22,Regular Season,Spotify Camp Nou,Vicente José Lizondo Cortés,,,1.1.0,2,2.0
2006-01-29,2005/2006,Mallorca,Barcelona,0,3,3,2.01,0.22,12,5,58.12,551,440,89,61,5,13,68325,19:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,21,Regular Season,Estadi Mallorca Son Moix,Carlos Megía Dávila,Héctor Raúl Cúper,Frank Rijkaard,1.1.0,2,2.0
2005-12-11,2005/2006,Barcelona,Sevilla,2,1,2,2.3,1.36,17,3,61.38,615,509,263,70,6,27,68321,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,15,Regular Season,Spotify Camp Nou,Julian Rodriguez Santiago,Frank Rijkaard,Juan de la Cruz Ramos Cano,1.1.0,2,2.0
2005-11-19,2005/2006,Real Madrid,Barcelona,0,3,3,1.98,0.39,21,7,49.79,464,355,184,73,11,21,68319,20:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,12,Regular Season,Estadio Santiago Bernabéu,Eduardo Iturralde Gonzalez,Vanderlei Luxemburgo da Silva,Frank Rijkaard,1.1.0,2,2.0
2006-01-15,2005/2006,Barcelona,Athletic Club,2,1,2,2.01,0.96,17,8,71.07,602,486,97,59,4,18,68342,19:00:00.000,Spain - La Liga,available,scheduled,2021-11-28T23:00:27.747396,2021-06-13T16:17:31.694,19,Regular Season,Spotify Camp Nou,Fernando Teixeira,Frank Rijkaard,Javier Clemente Lazaro,1.1.0,2,2.0
2005-12-17,2005/2006,Cádiz,Barcelona,1,3,3,3.08,1.34,21,9,53.49,460,322,86,77,7,25,68322,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,16,Regular Season,Estadio Nuevo Mirandilla,Miguel Ayza,Víctor Rodolfo Espárrago Videla,Frank Rijkaard,1.1.0,2,2.0
2005-10-22,2005/2006,Barcelona,Osasuna,3,0,3,2.78,0.62,25,10,67.3,640,551,115,50,9,17,68318,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,8,Regular Season,Spotify Camp Nou,César Muñiz,Frank Rijkaard,Javier Aguirre Onaindía,1.1.0,2,2.0
2007-05-20,2006/2007,Atlético Madrid,Barcelona,0,6,6,3.14,0.55,19,9,61.53,587,506,111,58,6,11,69176,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,35,Regular Season,Estadio Vicente Calderón,César Muñiz,Javier Aguirre Onaindía,Frank Rijkaard,1.1.0,2,2.0
2007-04-07,2006/2007,Real Zaragoza,Barcelona,1,0,0,0.94,1.03,8,4,56.33,587,470,243,58,11,25,69179,20:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,29,Regular Season,Estadio de la Romareda,Luis Medina Cantalejo,Victor Fernández Braulio,Frank Rijkaard,1.1.0,2,2.0
2007-03-03,2006/2007,Sevilla,Barcelona,2,1,1,1.08,1.83,9,5,60.47,586,509,120,42,8,20,68334,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,25,Regular Season,Estadio Ramón Sánchez Pizjuán,Bernardino Gonzalez,Juan de la Cruz Ramos Cano,Frank Rijkaard,1.1.0,2,2.0
2007-02-25,2006/2007,Barcelona,Athletic Club,3,0,2,1.42,0.3,15,7,70.45,739,637,120,55,13,14,68333,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,24,Regular Season,Spotify Camp Nou,Vicente José Lizondo Cortés,,,1.1.0,2,2.0
2007-06-17,2006/2007,Gimnàstic Tarragona,Barcelona,1,5,5,3.5,0.84,23,11,68.78,674,598,78,43,2,8,68336,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,38,Regular Season,Nou Estadi Costa Daurada,Alberto Undiano Mallenco,Francisco Flores Lajusticia,Frank Rijkaard,1.1.0,2,2.0
2006-08-28,2006/2007,Celta Vigo,Barcelona,2,3,3,0.9,1.07,11,6,64.88,667,571,107,60,3,16,68326,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,Regular Season,Abanca-Balaídos,Miguel Pérez,Fernando Vázquez Pena,Frank Rijkaard,1.1.0,2,2.0
2007-05-13,2006/2007,Barcelona,Real Betis,1,1,1,2.34,0.48,18,3,61.86,553,465,107,63,9,21,69162,19:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,34,Regular Season,Spotify Camp Nou,Eduardo Iturralde Gonzalez,,,1.1.0,2,2.0
2007-03-10,2006/2007,Barcelona,Real Madrid,3,3,3,2.51,1.86,19,9,59.15,585,492,138,56,15,22,68335,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,26,Regular Season,Spotify Camp Nou,Alberto Undiano Mallenco,Frank Rijkaard,Fabio Capello,1.1.0,2,2.0
2007-02-18,2006/2007,Valencia,Barcelona,2,1,1,0.81,1.38,13,3,69.77,741,647,133,59,6,11,68332,19:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,23,Regular Season,Estadio de Mestalla,Eduardo Iturralde Gonzalez,Enrique Sánchez Flores,Frank Rijkaard,1.1.0,2,2.0
2006-10-22,2006/2007,Real Madrid,Barcelona,2,0,0,1.18,1.32,14,3,64.82,562,475,102,55,7,11,68330,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,7,Regular Season,Estadio Santiago Bernabéu,Alfonso Perez Burrull,Fabio Capello,Frank Rijkaard,1.1.0,2,2.0
2006-10-15,2006/2007,Barcelona,Sevilla,3,1,3,1.45,0.56,11,5,55.63,578,488,197,50,14,18,68329,19:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,6,Regular Season,Spotify Camp Nou,César Muñiz,Frank Rijkaard,Juan de la Cruz Ramos Cano,1.1.0,2,2.0
2007-03-17,2006/2007,Recreativo Huelva,Barcelona,0,4,4,0.98,0.79,11,6,70.78,877,789,97,54,3,10,68341,20:00:00.000,Spain - La Liga,available,scheduled,2022-11-24T21:22:50.350065,2021-06-13T16:17:31.694,27,Regular Season,Estadio Nuevo Colombino,Turienzo,Marcelino García Toral,Frank Rijkaard,1.1.0,2,2.0
2007-06-09,2006/2007,Barcelona,Espanyol,2,2,2,2.5,1.13,26,6,71.0,634,539,113,66,7,24,69165,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,37,Regular Season,Spotify Camp Nou,Julian Rodriguez Santiago,Frank Rijkaard,Ernesto Valverde Tejedor,1.1.0,2,2.0
2007-04-22,2006/2007,Villarreal,Barcelona,2,0,0,1.41,0.6,16,6,58.83,573,480,159,64,16,15,69155,21:00:00.000,Spain - La Liga,available,scheduled,2022-11-15T17:14:12.987983,2021-06-13T16:17:31.694,31,Regular Season,Estadio de la Cerámica,Alfonso Perez Burrull,Manuel Luis Pellegrini Ripamonti,Frank Rijkaard,1.1.0,2,2.0
2007-02-11,2006/2007,Barcelona,Racing Santander,2,0,2,2.46,0.91,16,7,67.0,607,527,94,51,3,17,69154,19:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,22,Regular Season,Spotify Camp Nou,Manuel Enrique Mejuto Gonzalez,Frank Rijkaard,Miguel Ángel Portugal Vicario,1.1.0,2,2.0
2007-04-29,2006/2007,Barcelona,Levante UD,1,0,1,2.34,0.66,15,7,68.69,610,497,73,54,7,18,69156,19:00:00.000,Spain - La Liga,available,scheduled,2022-11-15T17:15:04.774759,2021-06-13T16:17:31.694,32,Regular Season,Spotify Camp Nou,Carlos Clos Gómez,Frank Rijkaard,Abel Resino Gómez,1.1.0,2,2.0
2007-04-15,2006/2007,Barcelona,Mallorca,1,0,0,1.91,0.86,24,4,67.81,672,570,99,72,7,18,69159,19:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,30,Regular Season,Spotify Camp Nou,Rafael Ramírez Domínguez,Frank Rijkaard,Gregorio Manzano Ballesteros,1.1.0,2,2.0
2007-03-31,2006/2007,Barcelona,RC Deportivo La Coruña,2,1,2,1.86,0.68,19,6,66.01,602,508,191,62,6,21,69175,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,28,Regular Season,Spotify Camp Nou,Miguel Ayza,Frank Rijkaard,Joaquín de Jesús Caparrós Camino,1.1.0,2,2.0
2007-05-05,2006/2007,Real Sociedad,Barcelona,0,2,2,2.03,0.35,13,6,58.04,527,418,137,53,3,14,69160,20:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,33,Regular Season,Reale Arena,Fernando Teixeira,Miguel Ángel Lotina Oruecheberría,Frank Rijkaard,1.1.0,2,2.0
2006-11-12,2006/2007,Barcelona,Real Zaragoza,3,1,3,1.31,1.02,13,5,64.47,577,493,133,58,9,27,68331,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,10,Regular Season,Spotify Camp Nou,Eduardo Iturralde Gonzalez,Frank Rijkaard,Victor Fernández Braulio,1.1.0,2,2.0
2006-09-24,2006/2007,Barcelona,Valencia,1,1,1,1.24,0.34,23,6,67.72,726,623,82,55,2,12,68328,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,4,Regular Season,Spotify Camp Nou,Arturo Daudén Ibáñez,Frank Rijkaard,Enrique Sánchez Flores,1.1.0,2,2.0
2006-09-17,2006/2007,Racing Santander,Barcelona,0,3,3,2.2,0.46,17,8,71.24,659,587,84,40,8,17,68340,20:00:00.000,Spain - La Liga,available,scheduled,2023-03-26T23:19:39.125951,2021-06-13T16:17:31.694,3,Regular Season,Campos de Sport de El Sardinero,Carlos Velasco Carballo,Miguel Ángel Portugal Vicario,Frank Rijkaard,1.1.0,2,2.0
2006-11-04,2006/2007,RC Deportivo La Coruña,Barcelona,1,1,1,1.24,2.01,11,1,59.28,527,433,140,63,4,31,69174,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,9,Regular Season,Estadio Abanca-Riazor,Luis Medina Cantalejo,Joaquín de Jesús Caparrós Camino,Frank Rijkaard,1.1.0,2,2.0
2006-09-30,2006/2007,Athletic Club,Barcelona,1,3,3,2.16,0.39,18,5,70.6,682,600,115,39,4,9,68347,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,5,Regular Season,Estadio San Mamés,David Fernández Borbalan,Félix Ángel Sarriugarte Montoya,Frank Rijkaard,1.1.0,2,2.0
2006-09-09,2006/2007,Barcelona,Osasuna,3,0,3,2.6,0.41,16,6,63.13,685,589,131,55,10,10,68327,20:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,2,Regular Season,Spotify Camp Nou,Julian Rodriguez Santiago,Frank Rijkaard,José Ángel Ziganda Lacunza,1.1.0,2,2.0
2007-05-26,2006/2007,Barcelona,Getafe,1,0,1,1.73,0.72,12,4,47.83,374,293,231,55,8,15,69157,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,36,Regular Season,Spotify Camp Nou,Alfonso Perez Burrull,Frank Rijkaard,Bernd Schuster,1.1.0,2,2.0
2007-09-29,2007/2008,Levante UD,Barcelona,1,4,4,2.11,1.06,12,8,61.85,595,517,152,48,20,13,69151,22:00:00.000,Spain - La Liga,available,scheduled,2021-10-26T13:06:13.517786,2021-06-13T16:17:31.694,6,Regular Season,Estadio Ciudad de Valencia,Carlos Clos Gómez,Abel Resino Gómez,Frank Rijkaard,1.1.0,2,2.0
2007-10-07,2007/2008,Barcelona,Atlético Madrid,3,0,3,2.48,0.2,16,10,58.43,603,513,129,55,8,13,69144,17:00:00.000,Spain - La Liga,available,scheduled,2021-10-26T13:13:56.180589,2021-06-13T16:17:31.694,7,Regular Season,Spotify Camp Nou,Eduardo Iturralde Gonzalez,Frank Rijkaard,Javier Aguirre Onaindía,1.1.0,2,2.0
2007-09-02,2007/2008,Barcelona,Athletic Club,3,1,3,1.8,0.58,16,6,68.13,714,647,130,44,7,21,69169,19:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,2,Regular Season,Spotify Camp Nou,Carlos Megía Dávila,Frank Rijkaard,Joaquín de Jesús Caparrós Camino,1.1.0,2,2.0
2008-02-24,2007/2008,Barcelona,Levante UD,5,1,5,2.67,1.16,18,8,74.45,813,722,102,50,7,11,68360,19:00:00.000,Spain - La Liga,available,scheduled,2023-04-19T10:39:13.739317,2021-06-13T16:17:31.694,25,Regular Season,Spotify Camp Nou,Carlos Velasco Carballo,Frank Rijkaard,Giovanni De Biasi,1.1.0,2,2.0
2008-05-17,2007/2008,Real Murcia CF,Barcelona,3,5,5,3.49,2.08,16,9,62.46,624,543,115,56,4,12,69186,22:00:00.000,Spain - La Liga,available,scheduled,2023-04-19T10:42:35.284291,2021-06-13T16:17:31.694,38,Regular Season,	Estadio Enrique Roca de Murcia,Rafael Ramírez Domínguez,Javier Clemente Lazaro,Frank Rijkaard,1.1.0,2,2.0
2007-08-26,2007/2008,Racing Santander,Barcelona,0,0,0,0.74,0.85,14,2,73.45,758,657,90,48,5,14,69180,19:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,Regular Season,Campos de Sport de El Sardinero,César Muñiz,Marcelino García Toral,Frank Rijkaard,1.1.0,2,2.0
2007-09-26,2007/2008,Barcelona,Real Zaragoza,4,1,4,3.61,0.38,24,12,67.23,712,614,137,64,15,7,69143,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,5,Regular Season,Spotify Camp Nou,Carlos Velasco Carballo,Frank Rijkaard,Victor Fernández Braulio,1.1.0,2,2.0
2008-01-27,2007/2008,Athletic Club,Barcelona,1,1,1,0.46,1.08,8,2,57.45,586,485,126,67,4,14,69181,19:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,21,Regular Season,Estadio San Mamés,Alberto Undiano Mallenco,Joaquín de Jesús Caparrós Camino,Frank Rijkaard,1.1.0,2,2.0
2008-03-01,2007/2008,Atlético Madrid,Barcelona,4,2,2,1.01,1.4,17,4,65.01,600,496,117,59,13,18,68365,20:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,26,Regular Season,Estadio Vicente Calderón,David Fernández Borbalan,Javier Aguirre Onaindía,Frank Rijkaard,1.1.0,2,2.0
2007-11-10,2007/2008,Getafe,Barcelona,2,0,0,0.59,1.13,10,2,62.3,547,454,129,52,10,13,69178,20:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,12,Regular Season,Coliseum Alfonso Pérez,Arturo Daudén Ibáñez,Michael Laudrup,Frank Rijkaard,1.1.0,2,2.0
2007-10-20,2007/2008,Villarreal,Barcelona,3,1,1,1.47,2.01,13,6,54.81,547,458,269,58,18,29,68364,20:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,8,Regular Season,Estadio de la Cerámica,Manuel Enrique Mejuto Gonzalez,Manuel Luis Pellegrini Ripamonti,Frank Rijkaard,1.1.0,2,2.0
2007-12-09,2007/2008,Barcelona,RC Deportivo La Coruña,2,1,2,2.76,0.7,19,10,66.16,700,602,111,66,9,21,69170,21:00:00.000,Spain - La Liga,available,scheduled,2023-04-19T10:40:50.146810,2021-06-13T16:17:31.694,15,Regular Season,Spotify Camp Nou,David Fernández Borbalan,Frank Rijkaard,Miguel Ángel Lotina Oruecheberría,1.1.0,2,2.0
2008-04-19,2007/2008,Barcelona,Espanyol,0,0,0,1.18,0.25,19,6,68.48,641,552,76,66,9,16,68359,20:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,33,Regular Season,Spotify Camp Nou,Miguel Pérez,Frank Rijkaard,Ernesto Valverde Tejedor,1.1.0,2,2.0
2007-12-01,2007/2008,Espanyol,Barcelona,1,1,1,1.76,0.59,16,7,57.03,491,382,117,62,13,18,68356,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,14,Regular Season,Estadi Olímpic Lluís Companys,Alfonso Perez Burrull,Ernesto Valverde Tejedor,Frank Rijkaard,1.1.0,2,2.0
2007-10-28,2007/2008,Barcelona,Almería,2,0,2,2.57,0.37,18,8,60.62,568,468,115,67,6,17,69158,19:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,9,Regular Season,Spotify Camp Nou,Miguel Ayza,Frank Rijkaard,Unai Emery Etxegoien,1.1.0,2,2.0
2008-02-03,2007/2008,Barcelona,Osasuna,1,0,1,1.2,0.5,17,6,66.79,563,462,121,66,8,21,69187,19:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,22,Regular Season,Spotify Camp Nou,Turienzo,Frank Rijkaard,José Ángel Ziganda Lacunza,1.1.0,2,2.0
2007-11-01,2007/2008,Real Valladolid,Barcelona,1,1,1,0.74,1.69,12,2,59.22,591,482,166,51,7,12,68363,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,10,Regular Season,Estadio Municipal José Zorrilla,Carlos Velasco Carballo,José Luis Mendilibar Etxebarria,Frank Rijkaard,1.1.0,2,2.0
2007-11-04,2007/2008,Barcelona,Real Betis,3,0,3,1.64,0.14,20,7,65.11,640,550,99,51,7,7,69166,19:00:00.000,Spain - La Liga,available,scheduled,2023-04-19T10:39:58.900299,2021-06-13T16:17:31.694,11,Regular Season,Spotify Camp Nou,Fernando Teixeira,Frank Rijkaard,Héctor Raúl Cúper,1.1.0,2,2.0
2008-05-11,2007/2008,Barcelona,Mallorca,2,3,2,1.29,0.81,12,4,54.55,528,441,162,39,7,19,68366,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,37,Regular Season,Spotify Camp Nou,Antonio Rubinos Perez,Frank Rijkaard,Gregorio Manzano Ballesteros,1.1.0,2,2.0
2007-09-22,2007/2008,Barcelona,Sevilla,2,1,2,1.42,0.73,13,5,59.85,547,449,123,56,8,24,69148,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,4,Regular Season,Spotify Camp Nou,Alberto Undiano Mallenco,Frank Rijkaard,Juan de la Cruz Ramos Cano,1.1.0,2,2.0
2007-11-24,2007/2008,Barcelona,Recreativo Huelva,3,0,3,2.68,0.28,19,7,71.93,679,592,127,67,15,16,69184,20:00:00.000,Spain - La Liga,available,scheduled,2023-04-19T10:41:44.229549,2021-06-13T16:17:31.694,13,Regular Season,Spotify Camp Nou,Antonio Rubinos Perez,Frank Rijkaard,Víctor Muñoz Manrique,1.1.0,2,2.0
2008-01-20,2007/2008,Barcelona,Racing Santander,1,0,1,1.42,0.35,12,2,63.48,631,526,131,65,8,10,69173,21:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,20,Regular Season,Spotify Camp Nou,Luis Medina Cantalejo,Frank Rijkaard,Marcelino García Toral,1.1.0,2,2.0
2008-02-09,2007/2008,Sevilla,Barcelona,1,1,1,0.78,1.5,15,6,58.49,534,450,153,57,8,14,69146,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,23,Regular Season,Estadio Ramón Sánchez Pizjuán,Fernando Teixeira,Manuel Enrique Jiménez Jiménez,Frank Rijkaard,1.1.0,2,2.0
2008-02-16,2007/2008,Real Zaragoza,Barcelona,1,2,2,1.7,1.78,11,5,59.26,547,456,138,54,10,22,69182,22:00:00.000,Spain - La Liga,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,24,Regular Season,Estadio de la Romareda,Bernardino Gonzalez,Javier Iruretagoyena Amiano,Frank Rijkaard,1.1.0,2,2.0
