season,player,nation,pos,age,mp,starts,min,goals,assists
2007-2008,Éric Abidal,fr FRA,DF,27.0,30,28,2523,0,0
2007-2008,Gianluca Zambrotta,it ITA,DF,30.0,29,25,2108,0,0
2007-2008,Lilian Thuram,fr FRA,DF,35.0,18,17,1423,0,0
2007-2008,Sylvinho,br BRA,DF,33.0,14,10,969,0,0
2007-2008,Oleguer Presas,es ESP,DF,27.0,12,7,738,0,0
2007-2008,Edmílson,br BRA,"DF,MF",31.0,11,5,449,0,0
2007-2008,José Manuel Pinto,es ESP,GK,31.0,3,3,270,0,0
2007-2008,Santiago Ezquerro,es ESP,FW,30.0,3,1,111,0,0
2007-2008,Fali,es ESP,"DF,MF",21.0,1,0,21,0,0
2007-2008,Pedro,es ESP,"FW,MF",20.0,2,0,19,0,0
2007-2008,José Manuel Rueda,es ESP,MF,19.0,1,0,17,0,0
2007-2008,Víctor Vázquez,es ESP,"FW,MF",20.0,1,0,14,0,0
2007-2008,Víctor Sánchez,es ESP,"DF,MF",19.0,1,0,2,0,0
2008-2009,Samuel Eto'o,cm CMR,FW,27.0,36,34,2929,30,4
2008-2009,Lionel Messi,ar ARG,"FW,MF",21.0,31,27,2516,23,11
2008-2009,Thierry Henry,fr FRA,FW,30.0,29,24,2112,19,7
2008-2009,Xavi,es ESP,MF,28.0,35,34,2973,6,19
2008-2009,Dani Alves,br BRA,"DF,MF",25.0,34,32,2925,5,9
2008-2009,Andrés Iniesta,es ESP,MF,24.0,26,22,1901,4,5
2008-2009,Seydou Keita,ml MLI,MF,28.0,29,17,1529,4,0
2008-2009,Eiður Guðjohnsen,is ISL,"FW,MF",29.0,24,11,1036,3,2
2008-2009,Yaya Touré,ci CIV,MF,25.0,25,23,1924,2,0
2008-2009,Bojan Krkić,es ESP,"FW,MF",17.0,23,6,736,2,4
2008-2009,Carles Puyol,es ESP,DF,30.0,28,26,2384,1,2
2008-2009,Gerard Piqué,es ESP,DF,21.0,25,25,2205,1,0
2008-2009,Rafael Márquez,mx MEX,"DF,MF",29.0,23,23,1987,1,0
2008-2009,Sergio Busquets,es ESP,MF,20.0,24,16,1535,1,0
2008-2009,Víctor Valdés,es ESP,GK,26.0,35,35,3150,0,0
2008-2009,Éric Abidal,fr FRA,DF,28.0,25,25,2116,0,0
2008-2009,Sylvinho,br BRA,DF,34.0,15,10,878,0,0
2008-2009,Martín Cáceres,uy URU,DF,21.0,13,8,783,0,0
