50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.817332,,,,,,,,,,,,95236ebe-6592-4816-9b1b-1b5917228406,52,,"[72.9, 53.4]",267660,1,,,,,-1.8574947,,Right Foot,,,,"[65.5, 28.3]",,Ground Pass,,26.16811,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,4,Barcelona,217,['6649f49a-7608-468a-a11b-74cd2e9f8032'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.489,Pass,,2016/2017
,,,,,,,,,,,,,,,2.2648,,,,,,,,,,,,23d5096c-f56f-493c-8a69-10be6b5e08d9,55,,"[65.1, 28.0]",267660,1,,,,,-0.89183205,,Left Foot,,,,"[86.0, 2.1]",,Ground Pass,,33.280926,,,Arda Turan,11094.0,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Center Back,4,Barcelona,217,['a3054939-c87b-441a-919d-5b4e8befd943'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.027,Pass,,2016/2017
,,,,,,,,,,,,,,,2.0239,,,,,,,,,,,,c7b4229f-b84f-42df-b596-beea64d6b1a0,59,,"[86.0, 2.1]",267660,1,,,,,2.1175852,,Right Foot,,,,"[76.2, 18.2]",,Ground Pass,,18.848078,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Throw In,Arda Turan,11094.0,Left Wing,4,Barcelona,217,"['228abd21-d5e0-473c-b1fc-fba75abbca52', '2d2e5bf4-eb01-4b38-8a80-bcb2efab417b']",20,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.003,Pass,True,2016/2017
,,,,,,,,,,,,,,,0.9617,,,,,,,,,,,,d7fd8fb0-744a-4457-8219-c8ac13d2f0bb,62,,"[77.0, 20.4]",267660,1,,,,,0.53668815,,Left Foot,,,,"[84.9, 25.1]",,Ground Pass,,9.192389,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Center Back,4,Barcelona,217,['daf8538e-90d6-4c12-844c-f092bc6d9877'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.656,Pass,,2016/2017
,,,,,,,,,,,,,,,1.8132,,,,,,,,,,,,5ee1f839-71f9-4f17-9ace-649b4e49a61c,64,,"[84.9, 25.1]",267660,1,,,,,-0.32840234,,Right Foot,,,,"[98.4, 20.5]",,Ground Pass,,14.262188,Incomplete,,André Filipe Tavares Gomes,10802.0,,,,,,,1,From Throw In,Luis Alberto Suárez Díaz,5246.0,Center Forward,4,Barcelona,217,"['85dc717f-e2cd-4a48-b0a2-9ba63c44edf0', 'af89ec24-1192-43a7-a7d5-8014c93f57ae']",23,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.618,Pass,,2016/2017
,,,,,,,,,,,,,,,2.1536,,,,,,,,,,,,821cba81-719a-4ba3-acd0-24b9804fb524,70,,"[97.7, 0.1]",267660,1,,,,,2.683759,,,,,,"[83.9, 6.9]",,Low Pass,,15.384408,,,Jordi Alba Ramos,5211.0,,,,,,Throw-in,1,From Throw In,Arda Turan,11094.0,Left Wing,5,Barcelona,217,['25890c80-a0cb-44c3-95e3-b618273291a1'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.075,Pass,,2016/2017
,,,,,,,,,,,,,,,2.8293,,,,,,,,,,,,d499ced8-0009-4bb2-93bb-cd752a6c18b7,73,,"[83.9, 6.9]",267660,1,,,,,2.092309,,Left Foot,,,,"[60.4, 47.8]",,High Pass,,47.17054,,,Javier Alejandro Mascherano,5506.0,,,True,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Center Back,5,Barcelona,217,['d5b9989a-362a-410d-a0f1-4ba33a429b1a'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.147,Pass,,2016/2017
,,,,,,,,,,,,,,,1.545868,,,,,,,,,,,,9128e584-52f3-4f4e-ad9b-565d2ceec5d5,76,,"[71.3, 51.5]",267660,1,,,,,0.97759086,,Right Foot,,,,"[86.2, 73.6]",,Ground Pass,,26.653706,,,Denis Suárez Fernández,6609.0,,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Right Center Back,5,Barcelona,217,['997c6653-ccf0-45fa-bbdf-823901ff57ae'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:41.952,Pass,,2016/2017
,,,,,,,,,,,,,,,0.7139,,,,,,,,,,,,f162793d-1638-425e-8cd3-c6ce0f2b7787,79,,"[86.2, 73.6]",267660,1,,,,,-2.2784295,,Right Foot,,,,"[79.1, 65.3]",,Ground Pass,,10.922454,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Throw In,Denis Suárez Fernández,6609.0,Right Center Midfield,5,Barcelona,217,['217da112-d639-4955-a693-b16ea2a7cd18'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:45.263,Pass,,2016/2017
,,,,,,,,,,,,,,,0.1772,,,,,,,,,,,,7493383c-d60e-4bdb-8085-460b17a3b5ba,83,,"[83.9, 75.5]",267660,1,,,,,-0.3109983,,Right Foot,,,,"[86.7, 74.6]",,Low Pass,,2.9410882,Incomplete,,Denis Suárez Fernández,6609.0,,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Right Center Back,5,Barcelona,217,"['23f00b5c-0dce-4f9a-a640-ade9d68ad246', '33feaf73-875f-4648-8c9d-f8e02a70ebd0', '674a5c56-559c-4187-92fc-319ce646b774']",49,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:49.644,Pass,True,2016/2017
