50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.984701,,,,,,,,,,,,,69e8950f-8b2f-4247-97a4-9fd92a99578b,47,,"[43.0, 52.4]",70293,0,,,,,0.42927718,,Right Foot,,,"[57.2, 58.9]",,Ground Pass,,15.616978,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,3,Barcelona,217,['45348d12-6159-4cbd-b228-93c92989c31c'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.550,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,1.02392,,,,,,,,,,,,,fe138999-8802-496b-b018-7849c3670d1f,50,,"[57.2, 58.9]",70293,0,,,,,1.2269166,,Left Foot,,,"[62.5, 73.7]",,Ground Pass,,15.720369,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,['220558c3-2e0a-470a-8d28-cb8a8928d68f'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.734,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,0.698341,,,,,,,,,,,,,923ffe0e-0c8d-4a6a-8cd4-d690ef796d51,53,,"[62.5, 73.7]",70293,0,,,,,-1.4732052,,Right Foot,,,"[63.9, 59.4]",,Ground Pass,,14.368368,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['5c947003-5c8e-4024-80d2-b8ce17c0bc9e'],56,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.096,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,0.8806,,,,,,,,,,,,,ddc4e934-135c-4d2b-9b92-c14636d8fe69,56,,"[64.4, 56.4]",70293,0,,,,,-0.486418,,Left Foot,,,"[83.5, 46.3]",,High Pass,,21.606018,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,['02e3aa52-f59a-4293-bb1e-bd4226180498'],58,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.253,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,1.98705,,,,,,,,,,,,,6d9c4d68-57bd-4c6d-a163-69c051139793,58,,"[83.3, 46.7]",70293,0,,,,,-1.4779466,,Head,,,"[85.6, 22.0]",,High Pass,,24.806854,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Center Forward,3,Barcelona,217,['9923e025-7729-4bd8-9074-aee34ff8279b'],59,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.209,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,1.60093,,,,,,,,,,,,,29b4f62f-9883-4f01-b86b-9f00b06f0876,70,,"[27.9, 14.7]",70293,1,,True,,,2.1366506,,Left Foot,,,"[23.2, 22.1]",,Ground Pass,,8.766413,,,,Diego López Rodríguez,6768.0,,,,,,Free Kick,1,From Free Kick,Kléper Laveran Lima Ferreira,20016.0,Left Center Back,5,Real Madrid,220,['c52fd9e6-08c4-451e-b2f3-58a911b6f5ed'],36,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:36.821,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,3.3888,,,,,,,,,,,,,b978d802-36f5-44b2-bcba-e2bee2e6e7ba,72,,"[28.7, 20.9]",70293,1,,,,,0.007824566,,Right Foot,,,"[92.6, 21.4]",,High Pass,,63.901955,,Incomplete,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,,1,From Free Kick,Diego López Rodríguez,6768.0,Goalkeeper,5,Real Madrid,220,"['518137bb-5753-4237-b0e5-e8b02453c9e3', '9e93c2e9-4e65-4fc5-aaee-ab748bac7e04']",43,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:43.441,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,0.900162,,,,,,,,,,,,,da5d8f21-4c11-4113-aac6-8e15d3ce2c30,79,,"[21.3, 76.9]",70293,1,,,,,-0.4299816,,Right Foot,,,"[37.0, 69.7]",,High Pass,,17.272232,,Incomplete,,,,,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,5,Real Madrid,220,['2acb7bea-4aa5-4bca-bb0d-6bd07c5983a6'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:50.856,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,2.247,,,,,,,,,,,,,b2213100-0828-4cb2-9939-cbe2009c8057,82,,"[92.6, 5.3]",70293,1,,,,,1.3195363,,Right Foot,,,"[97.4, 24.0]",,High Pass,,19.306217,,Incomplete,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,,1,From Free Kick,Luka Modrić,5463.0,Left Center Midfield,5,Real Madrid,220,"['9911c4ec-db87-4657-8a1a-e79507ab6c63', 'eb3dc4d9-e140-4fca-a60e-d52bf99d82b7']",54,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:54.155,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,0.84715,,,,,,,,,,,,,a054e43c-85a6-44f5-9041-f28af1b6685f,86,,"[20.4, 55.2]",70293,1,,,,,-1.967674,,Right Foot,,,"[14.7, 41.6]",,Ground Pass,,14.746186,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,6,Barcelona,217,['a41aedc0-97c2-4556-a557-d21957976b04'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:57.484,Pass,,2013/2014
