ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,1.137509,,,,,,,,,,,bf4f9f13-3ea7-454e-b3d6-137f8389eb58,49,,"[66.0, 33.7]",69272,0,,,,1.7180481,,Right Foot,,,"[62.9, 54.6]",,Ground Pass,21.128654,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,"['752cf052-78f7-4933-aed5-b3046805af90', 'b0df92a1-f340-4f92-9bf8-15729d170611']",39,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.848,Pass,True,2010/2011
,,,,,,,,,,,,,0.667827,,,,,,,,,,,36a418a0-265e-44b1-9ca2-8cd986c57141,52,,"[62.9, 54.6]",69272,0,,,,-0.9179497,,Right Foot,,,"[69.4, 46.1]",,Ground Pass,10.700467,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['1f63ac31-e92e-4073-9ba6-0f1be3e79cb7'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.926,Pass,,2010/2011
,,,,,,,,,,,,,1.372325,,,,,,,,,,,3f0c62c1-c951-4605-81f6-d8fce78b2074,56,,"[69.8, 47.9]",69272,0,,,,1.4971592,,Right Foot,,,"[70.7, 60.1]",,Ground Pass,12.233151,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,"['32dff43b-d900-43fa-b26b-d88888b3fee1', '73aabfca-2f04-4dbd-80e4-21d8b3f18213']",43,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.945,Pass,True,2010/2011
,,,,,,,,,,,,,1.026237,,,,,,,,,,,5c6de846-08e9-41a6-a219-125ee104667a,59,,"[74.1, 64.5]",69272,0,,,,-2.008306,,Right Foot,,,"[71.2, 58.3]",,Ground Pass,6.844706,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['7f0ac270-524d-4edc-ba81-2f811fcfd422'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.689,Pass,,2010/2011
,,,,,,,,,,,,,0.825069,,,,,,,,,,,e3d0e097-4bd7-413a-bf0f-8a5abe40be99,62,,"[69.7, 59.3]",69272,0,,,,-1.6009759,,Right Foot,,,"[68.9, 32.8]",,Ground Pass,26.512074,,,Seydou Kéita,20169.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['270a9b1a-695e-4c32-8b3b-a8ee80fa8b40'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.290,Pass,,2010/2011
,,,,,,,,,,,,,1.845949,,,,,,,,,,,ce340c95-ae29-4907-87e1-9d8b1deeb017,65,,"[65.9, 29.0]",69272,0,,,,2.5636907,,Right Foot,,,"[54.4, 36.5]",,Ground Pass,13.72953,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Left Center Midfield,2,Barcelona,217,['e11b0837-04fe-4a79-9415-2d3a6bb87186'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.845,Pass,,2010/2011
,,,,,,,,,,,,,1.167087,,,,,,,,,,,470d04c0-fd23-441c-93f3-5af1457acce8,69,,"[55.1, 34.2]",69272,0,,,,-1.5342273,,Right Foot,,,"[55.7, 17.8]",,Ground Pass,16.410973,,,Seydou Kéita,20169.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Left Center Back,2,Barcelona,217,['ac33996c-7fa0-458a-a5c2-01cd98dc0964'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.750,Pass,,2010/2011
,,,,,,,,,,,,,1.061613,,,,,,,,,,,f156fe56-4609-4ad6-b160-ec2c98cac1db,73,,"[57.5, 14.5]",69272,0,,,,2.6030853,,Left Foot,,,"[42.1, 23.7]",,Ground Pass,17.938786,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Left Center Midfield,2,Barcelona,217,"['139b027b-c9bd-4765-a8f0-11581c69cb2a', '3976267c-422d-4cc4-b434-b708a49ad654']",59,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.384,Pass,True,2010/2011
,,,,,,,,,,,,,1.24965,,,,,,,,,,,13485e2a-bcad-43c9-a024-099d685f0ee9,76,,"[55.8, 37.6]",69272,1,,,,1.1102068,,Right Foot,,,"[68.8, 63.8]",,Ground Pass,29.247906,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Left Center Back,2,Barcelona,217,['7fe6eadc-71a9-4c29-94d9-35ab65ccaeb8'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.934,Pass,,2010/2011
,,,,,,,,,,,,,1.067164,,,,,,,,,,,8d28bdcd-ab87-4b4a-8552-84dc8caa4f1c,80,,"[75.4, 63.4]",69272,1,,,,-2.223643,,Left Foot,,,"[68.9, 54.9]",,Ground Pass,10.700467,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,"['aba5072b-af82-478b-a040-054cb3e4605e', 'ee15c044-4dea-40f4-ba68-faa26b691b2a']",7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.178,Pass,True,2010/2011
