50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.245897,,,,,,,,,,,,,,,,3eae7dce-47be-40d5-bc23-96ac3524beb4,64,,"[56.5, 13.0]",68335,0,,,,,2.232644,,Right Foot,,,,"[49.8, 21.6]",,Ground Pass,,10.9018345,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Right Center Midfield,2,Barcelona,217,['fa20af06-2b5f-485e-96bf-7b364366a64a'],57,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.430,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.4514,,,,,,,,,,,,,,,,3cd86ccd-0845-4eb6-b225-959b24fdfc50,67,,"[48.5, 18.4]",68335,1,,,,,-0.3281199,,Right Foot,,,,"[76.7, 8.8]",,Ground Pass,,29.789259,,,Samuel Eto''o Fils,19298.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['b5b20838-9887-4f81-9971-610e9eec02d2'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.566,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.014208,,,,,,,,,,,,,,,,6a8e7bcd-2f88-4402-87dd-c6d15898e565,70,,"[76.7, 8.8]",68335,1,,,,,-2.471071,,Right Foot,,,,"[70.9, 4.2]",,Ground Pass,,7.4027023,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['1698ea7a-636b-41c2-af94-d4e6a2417791'],2,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.075,Pass,,2006/2007
,,,,,,,,,,,,,,,,,2.266815,,,,,,,,,,,,,,,,89f9ee20-7f8f-4ff1-8fd6-c5ada3ec0fcd,74,,"[77.3, 9.7]",68335,1,,,,,0.52526915,,Right Foot,,,,"[110.6, 29.0]",,High Pass,,38.4887,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Ronaldo de Assis Moreira,25879.0,Left Wing,2,Barcelona,217,"['8f1cae01-6a2a-459d-ae45-7a4c6f9c29f7', 'fe436e43-d325-44c8-8857-f7033e23363f']",5,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.254,Pass,,2006/2007
,,,,,,,,,,,,,,,,,2.659687,,,,,,,,,,,,,,,,0fd70064-b106-4c76-9a41-54c8de037fa4,77,,"[14.0, 46.1]",68335,1,,True,,,-0.73459446,,Keeper Arm,,,,"[29.5, 32.1]",,Ground Pass,,20.886599,,,Sergio Ramos García,5201.0,,,,,,1,From Keeper,Iker Casillas Fernández,11179.0,Goalkeeper,3,Real Madrid,220,['d3b5cd02-873c-43c2-927e-79fe1d74ebf7'],12,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:12.236,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.459101,,,,,,,,,,,,,,,,0a561cae-f6b1-40e6-9fd6-363d625a8fe2,79,,"[31.4, 36.4]",68335,1,,,,,-0.02746562,,Right Foot,,,,"[49.6, 35.9]",,Ground Pass,,18.206867,,,Fernando Rubén Gago,26036.0,,,,,,1,From Keeper,Sergio Ramos García,5201.0,Left Center Back,3,Real Madrid,220,['afc1729c-9c70-4530-8847-29c961061104'],16,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:16.381,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.271736,,,,,,,,,,,,,,,,0036a7db-b496-473c-9f3c-529644f07702,82,,"[51.6, 32.1]",68335,1,,,,,-0.85767025,,Right Foot,,,,"[72.1, 8.4]",,Ground Pass,,31.335922,,,José Maria Gutiérrez Hernández,25924.0,,,,,,1,From Keeper,Fernando Rubén Gago,26036.0,Left Defensive Midfield,3,Real Madrid,220,['ebb8aba6-d0cf-40a9-96ba-3754e7ca40e9'],19,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:19.136,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.194349,,,,,,,,,,,,,,,,5e67764d-a35c-4bce-a06b-6b58889153e5,85,,"[74.7, 8.0]",68335,1,,,,,1.076855,,Left Foot,,,,"[83.1, 23.6]",,Ground Pass,,17.717787,,,Gonzalo Gerardo Higuaín,5497.0,,,,,,1,From Keeper,José Maria Gutiérrez Hernández,25924.0,Center Attacking Midfield,3,Real Madrid,220,['a4c4a0a5-5026-4030-bfe5-cbc13b314507'],21,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:21.930,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.608665,,,,,,,,,,,,,,,,e42c76cf-207b-44e3-bdd6-1c48ed65a904,88,,"[83.1, 23.6]",68335,1,,,,,3.1415927,,Right Foot,,,,"[65.5, 23.6]",,Low Pass,,17.6,,,Fernando Rubén Gago,26036.0,,,,,,1,From Keeper,Gonzalo Gerardo Higuaín,5497.0,Left Wing,3,Real Madrid,220,['a721c708-fe4e-434f-897b-9d6fb10f0702'],23,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:23.164,Pass,,2006/2007
,,,,,,,,,,,,,,,,,6.218781,,,,,,,,,,,,,,,,82fb19c7-dcfb-4803-9ae8-4d6c0df5068b,92,,"[63.4, 28.3]",68335,1,,,,,0.8378752,,Right Foot,,,,"[110.3, 80.4]",,High Pass,,70.100075,Out,,Ruud van Nistelrooy,19729.0,,True,,,,1,From Keeper,Fernando Rubén Gago,26036.0,Left Defensive Midfield,3,Real Madrid,220,"['19cd4836-48b4-477b-9e7e-550c866309c6', '2c1073e2-1e4e-471c-8527-128afa65d335']",26,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:26.256,Pass,True,2006/2007
