ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.47332,,,,,,,,,,,,,9b712c64-6d85-42ac-9aaa-38b12b010f95,51,,"[49.3, 37.1]",69297,0,,,,-2.0499067,,Right Foot,,,,"[45.3, 29.4]",,Ground Pass,,8.676981,,,,,Sergio Busquets i Burgos,5203.0,,,,,Recovery,1,From Kick Off,Xavier Hernández Creus,20131.0,Center Defensive Midfield,2,Barcelona,217,['4fe43cb1-4d5c-4d19-b2ea-7cf9efadb27c'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.980,Pass,,2011/2012
,,,,,,,,,,,,,,1.1282,,,,,,,,,,,,,dde74885-c0ac-44ab-8169-8b8a38e3760d,54,,"[45.3, 29.4]",69297,0,,,,0.6221579,,Right Foot,,,,"[55.2, 36.5]",,Ground Pass,,12.182775,,,Unknown,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Center Back,2,Barcelona,217,['173babdb-7e50-40bf-96a8-3990e3344aff'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.080,Pass,,2011/2012
,,,,,,,,,,,,,,1.069558,,,,,,,,,,,,,f43388b5-667e-47f1-b4e5-0067bda1021c,58,,"[55.2, 36.5]",69297,0,,,,1.3868529,,Right Foot,,,,"[56.8, 45.1]",,Ground Pass,,8.747571,,,,,Xavier Hernández Creus,20131.0,,,,,Free Kick,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Left Center Back,3,Barcelona,217,['467ee7f7-f8b1-431b-b989-50d229188775'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.669,Pass,,2011/2012
,,,,,,,,,,,,,,1.410263,,,,,,,,,,,,,be15422d-b7a3-4a37-9e00-423baca49de7,61,,"[54.7, 51.2]",69297,0,,,,1.4929398,,Right Foot,,,,"[55.8, 65.3]",,Ground Pass,,14.142842,,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Center Defensive Midfield,3,Barcelona,217,['751e4132-a3bf-4715-9732-521a012fd852'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.317,Pass,,2011/2012
,,,,,,,,,,,,,,0.827043,,,,,,,,,,,,,77850e09-9046-45c1-aa0a-6954ca2fe496,64,,"[55.8, 65.3]",69297,0,,,,-1.5053163,,Right Foot,,,,"[56.6, 53.1]",,Ground Pass,,12.226201,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['9d4ad1dd-bbae-4f1b-aafe-355d62e9eef9'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.661,Pass,,2011/2012
,,,,,,,,,,,,,,1.094397,,,,,,,,,,,,,b41138a7-045b-4a1b-8bfc-98615e023a1d,68,,"[54.7, 51.0]",69297,0,,,,-2.5961607,,Right Foot,,,,"[43.0, 43.9]",,Ground Pass,,13.685759,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Center Defensive Midfield,3,Barcelona,217,['26b118bc-957e-4906-857e-36fde0f5dee9'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.661,Pass,,2011/2012
,,,,,,,,,,,,,,0.805189,,,,,,,,,,,,,b5fc2779-620a-4eeb-be70-2b60d276995e,71,,"[43.0, 43.9]",69297,0,,,,0.5543075,,Right Foot,,,,"[64.0, 56.9]",,Ground Pass,,24.698177,,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,3,Barcelona,217,['6fc42233-41d0-4663-bd70-fb44f5a30960'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.674,Pass,,2011/2012
,,,,,,,,,,,,,,1.660968,,,,,,,,,,,,,99cd957a-ea7d-4516-a7e0-4bd9f07b3fb2,74,,"[57.5, 55.4]",69297,0,,,,-2.7000003,,Right Foot,,,,"[46.5, 50.2]",,Ground Pass,,12.167169,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Free Kick,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,3,Barcelona,217,['822b81a4-1efa-4ae6-90de-bca37d79a030'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.535,Pass,,2011/2012
,,,,,,,,,,,,,,0.940915,,,,,,,,,,,,,865d773f-b83b-444d-bdce-415677f0159f,77,,"[46.5, 50.2]",69297,1,,,,-1.1423101,,Right Foot,,,,"[53.9, 34.0]",,Ground Pass,,17.81011,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,3,Barcelona,217,['eb4c3e96-f441-4a0c-a39e-a0c008e7f4f9'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.952,Pass,,2011/2012
,,,,,,,,,,,,,,1.107551,,,,,,,,,,,,,790260c3-cf45-4af3-b5f3-54adb3b016b4,84,,"[52.4, 36.7]",69297,1,,,,2.332943,,Left Foot,,,,"[48.2, 41.1]",,Ground Pass,,6.0827627,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Left Center Back,3,Barcelona,217,['25fbf06d-2875-4b9a-aee4-094c481726b2'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.809,Pass,,2011/2012
,,,,,,,,,,,,,,0.848411,,,,,,,,,,,,,c64ae116-c0b9-459f-bcfd-171a104a1c21,87,,"[48.2, 41.1]",69297,1,,,,0.44310257,,Right Foot,,,,"[54.1, 43.9]",,Ground Pass,,6.530697,,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,3,Barcelona,217,['a293155e-920e-4f54-94df-2163aaf9387a'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.387,Pass,,2011/2012
,,,,,,,,,,,,,,1.204802,,,,,,,,,,,,,d8bb9cc0-e1f3-4a7b-9c45-eef16368d014,90,,"[54.5, 50.6]",69297,1,,,,0.011428074,,Right Foot,,,,"[72.0, 50.8]",,Ground Pass,,17.501143,,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,From Free Kick,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,3,Barcelona,217,['98d2ca3f-3872-4d81-8914-8b939e32ee23'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.684,Pass,,2011/2012
,,,,,,,,,,,,,,0.70884,,,,,,,,,,,,,657b0434-dcb9-4ba3-ba7f-f81acbf6d497,94,,"[68.6, 50.0]",69297,1,,,,1.2853335,,Right Foot,,,,"[71.3, 59.2]",,Ground Pass,,9.588014,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Free Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,3,Barcelona,217,"['bb0b9e50-cb1f-4f62-9324-99fcacb6e28c', 'beddaf9e-424a-4be4-8d12-ed14a50c7725']",11,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.173,Pass,True,2011/2012
,,,,,,,,,,,,,,1.670002,,,,,,,,,,,,,08843d9e-8b72-4c84-ae6d-d4dbab82fc78,99,,"[70.3, 48.9]",69297,1,True,,,-2.1098404,,Right Foot,,,,"[57.5, 27.5]",,Ground Pass,,24.935919,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,Free Kick,1,From Free Kick,Xavier Hernández Creus,20131.0,Center Defensive Midfield,4,Barcelona,217,['1ccb7a24-f349-4a9e-828a-31c69d093e8c'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.432,Pass,,2011/2012
,,,,,,,,,,,,,,1.94273,,,,,,,,,,,,,9abb75b6-69e1-4e59-9a4e-04322565320c,101,,"[63.2, 23.7]",69297,1,,,,-1.2193515,,Left Foot,,,,"[70.9, 2.7]",,Ground Pass,,22.367163,,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,['114f4cd8-5753-4f4b-8f8f-9bdef701a5c1'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:01:27.239,Pass,,2011/2012
,,,,,,,,,,,,,,1.429438,,,,,,,,,,,,,612aa3b6-5fa7-44bd-999d-1707e35e8ae1,104,,"[70.9, 2.7]",69297,1,,,,1.6533668,,Right Foot,,,,"[69.7, 17.2]",,Ground Pass,,14.54957,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,4,Barcelona,217,['2cc97a02-f2d0-4fc0-b571-dcb932c6eaf5'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:01:30.948,Pass,,2011/2012
,,,,,,,,,,,,,,1.063706,,,,,,,,,,,,,05e41631-e738-4f38-8bf6-93476f0fa65f,107,,"[69.7, 17.6]",69297,1,,,,-2.617817,,Right Foot,,,,"[58.1, 10.9]",,Ground Pass,,13.395895,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Left Center Back,4,Barcelona,217,['c73ff7bc-277d-4dd3-a541-00cd678a6dfd'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.418,Pass,,2011/2012
,,,,,,,,,,,,,,1.439485,,,,,,,,,,,,,3df04ffc-4702-4151-b402-0788540a72f7,110,,"[58.1, 10.9]",69297,1,,,,2.0160973,,Left Foot,,,,"[45.5, 37.3]",,Ground Pass,,29.252691,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,['5313ed4a-344c-4a18-8ada-d75fc4e68be7'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.640,Pass,,2011/2012
,,,,,,,,,,,,,,1.078985,,,,,,,,,,,,,ef8a7c0f-e859-4fdf-8c7e-aa8b572e784a,114,,"[52.9, 47.0]",69297,1,,,,0.20707268,,Right Foot,,,,"[64.8, 49.5]",,Ground Pass,,12.15977,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,4,Barcelona,217,['47ccbc98-2c32-4702-b5af-4f9661312434'],39,,,,,,,,,,,,,,,,,Barcelona,217,00:01:39.098,Pass,,2011/2012
