50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1518b93e-809e-4e43-a541-4a956ef8d71a,1508,,,"[78.1, 27.3]",267400,39,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,81,Barcelona,217,['dff46bb9-3845-4acb-a37a-b7888e5d68d5'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:39:30.936,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40d01a01-2b1b-4dd5-a1e3-65014bb762c8,1511,,,"[95.7, 22.8]",267400,39,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,81,Barcelona,217,['f4e6440e-ca37-4b18-9c9a-3e1fb3fa99e0'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:39:34.251,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a6935d3-3b59-4643-a0f1-d04f6259b2d8,1514,,,"[101.4, 8.9]",267400,39,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Adriano Correia Claro,22102.0,Left Back,81,Barcelona,217,['2a06fc9b-62f2-482d-90d6-237577751fc2'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:39:35.447,Ball Receipt*,,2014/2015
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,7d1c626b-9880-40cd-9c00-cbc42b6ce688,1517,,,"[111.7, 45.2]",267400,39,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Luis Alberto Suárez Díaz,5246.0,Center Forward,81,Barcelona,217,['afe10c8b-a306-4ca4-ad5b-0bc5b856d584'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:39:37.973,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207746df-6e7e-4dd0-b4c5-7f890234428e,1522,,,"[91.2, 31.7]",267400,39,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Left Center Midfield,81,Barcelona,217,['766a33d0-a2e3-4bd2-a0d1-d22cbb3cb5b4'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:39:42.314,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edab9eb0-bcdf-4a20-a93a-346f8b5a8ae6,1526,,,"[107.5, 56.2]",267400,39,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Luis Alberto Suárez Díaz,5246.0,Center Forward,81,Barcelona,217,['ec47ac65-93a6-45e8-9320-f36f5203611e'],45,,,,,,,,,,,,,,,,,Barcelona,217,00:39:45.354,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa96beb4-3f4e-48ed-a3f0-2e0fd53c164f,1532,,,"[46.6, 6.0]",267400,39,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Edgar Antonio Méndez Ortega,26387.0,Left Wing,82,Almería,403,['c66db898-5036-4008-acd3-239b74a26265'],52,,,,,,,,,,,,,,,,,Almería,403,00:39:52.039,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6f99505e-ab17-43de-bfe1-632e32f07ccc,1539,,,"[73.3, 5.6]",267400,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Edgar Antonio Méndez Ortega,26387.0,Left Wing,83,Almería,403,"['197e985f-4b07-471f-a996-aae77662259b', '5bad9ec2-f5f8-4866-85cd-392d9df91d3c']",10,,,,,,,,,,,,,,,,,Almería,403,00:40:10.155,Ball Receipt*,True,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a064118-0868-4f0a-8f05-371026186f68,1545,,,"[72.3, 11.5]",267400,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Javier Espinosa González,21445.0,Center Attacking Midfield,84,Almería,403,"['8d05a18b-01c9-436e-b4ba-3887446e6aaa', 'f7cf406a-bc4f-4b8c-b156-24fccf31734c']",20,,,,,,,,,,,,,,,,,Almería,403,00:40:20.057,Ball Receipt*,True,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b7f9bf31-9f5a-4d4b-8df2-ac8bac01e405,1548,,,"[64.1, 2.8]",267400,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José Manuel Casado Bizcocho,26612.0,Left Back,84,Almería,403,['cb79c646-9cba-42fc-b443-87f7d043a459'],22,,,,,,,,,,,,,,,,,Almería,403,00:40:22.547,Ball Receipt*,,2014/2015
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,77fe3335-7615-46ee-bd3c-d53707a9787e,1554,,,"[77.9, 5.4]",267400,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Edgar Antonio Méndez Ortega,26387.0,Left Wing,85,Almería,403,['feabece2-f0c8-44df-b30e-8a149043abde'],40,,,,,,,,,,,,,,,,,Almería,403,00:40:40.168,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fd00a831-c5c5-4d59-b579-7f2b1a6d1aea,1558,,,"[55.6, 66.4]",267400,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,86,Barcelona,217,['e29cd977-b393-46d4-bf5b-b2ed27ea4a09'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:40:43.679,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad081826-1929-4877-93d6-2b81a652698d,1562,,,"[86.8, 49.6]",267400,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,86,Barcelona,217,['8677c677-753b-422b-93d3-869f4ee859c1'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:40:46.876,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494e2b0e-9d31-45f5-b17f-fe8218172cd7,1570,,,"[41.3, 66.9]",267400,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Wellington Alves da Silva,25723.0,Right Wing,86,Barcelona,217,['52fae533-ddc6-4057-8fe5-032ae43b3193'],52,,,,,,,,,,,,,,,,,Almería,403,00:40:52.601,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82bc735b-9b69-4566-be19-607e99fa0b44,1579,,,"[27.9, 59.5]",267400,41,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Miguel Ángel García Pérez Roldán,26432.0,Left Defensive Midfield,87,Almería,403,['8488a689-b7ac-4231-83e6-195479c1fdc2'],17,,,,,,,,,,,,,,,,,Almería,403,00:41:17.733,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6b14b27c-94d5-47cc-ac6b-165c76e75ba0,1581,,,"[21.6, 68.1]",267400,41,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Joaquín Navarro Jiménez,6923.0,Left Center Back,87,Almería,403,['8a3406e6-c47e-49ea-8a30-3a8541127df7'],19,,,,,,,,,,,,,,,,,Almería,403,00:41:19.819,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f8b6542f-9268-4d0d-ad57-f648fd149727,1585,,,"[63.4, 63.7]",267400,41,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Thievy Guivane Bifouma Koulossa,26775.0,Center Forward,87,Almería,403,['7e7585bb-bcc8-4732-86ae-70dc8d7e5935'],23,,,,,,,,,,,,,,,,,Almería,403,00:41:23.871,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267d8681-e6bd-4d8a-8829-1732dd1de4ba,1587,,,"[55.4, 70.1]",267400,41,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Wellington Alves da Silva,25723.0,Right Wing,87,Almería,403,['62f7ef6d-46a7-4793-8249-137f973fa738'],24,,,,,,,,,,,,,,,,,Almería,403,00:41:24.775,Ball Receipt*,,2014/2015
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,a7e9cf15-359f-4996-970c-1340972a5a2d,1590,,,"[63.5, 68.3]",267400,41,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Thievy Guivane Bifouma Koulossa,26775.0,Center Forward,87,Almería,403,['7b8feda7-77a1-4627-9037-4602b83f0620'],26,,,,,,,,,,,,,,,,,Almería,403,00:41:26.690,Ball Receipt*,,2014/2015
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,02f91ab6-2d8f-4224-af0f-480e78eb3fa8,1592,,,"[62.9, 15.8]",267400,41,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,87,Almería,403,['c9154550-87a3-42c6-932c-58bbc40ab940'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:41:28.402,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74fc942e-b35d-4faa-884c-355bffaec9d3,1596,,,"[76.6, 11.3]",267400,41,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Edgar Antonio Méndez Ortega,26387.0,Left Wing,87,Almería,403,['ff18e3d7-3804-486e-b60b-b5f3833f820c'],32,,,,,,,,,,,,,,,,,Almería,403,00:41:32.466,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f1ead458-7366-419c-9739-823111a7c121,1601,,,"[35.9, 11.4]",267400,41,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Adriano Correia Claro,22102.0,Left Back,88,Barcelona,217,['f4048206-ae01-4ebe-88e3-93b36dfe8cd6'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:41:56.813,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6aaea6af-884d-452f-8b5a-99cc669af626,1603,,,"[36.4, 22.8]",267400,41,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Ivan Rakitić,5470.0,Right Center Midfield,88,Barcelona,217,['195f8fe3-ee6f-49cb-88e1-dc1cb3ffc172'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:41:59.432,Ball Receipt*,,2014/2015
