50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.222701,,,,,,,,,,,,,,6325fa72-146f-4053-84bb-fa23bd5c5c77,61,,"[50.3, 75.6]",69224,0,,,,,1.8370484,,Head,,,"[49.1, 80.0]",,High Pass,,4.560702,,Out,,Luís Miguel Brito Garcia Monteiro,20070.0,,,,,,,1,From Throw In,David Josué Jiménez Silva,3064.0,Center Attacking Midfield,4,Barcelona,217,['2a53ea70-d951-40e0-ba4e-579b4c5d5810'],52,,,,,,,,,,,,,,,,,,Valencia,207,00:00:52.208,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,0.913718,,,,,,,,,,,,,,aeaf7ebd-c249-472d-a39c-c765ca66e71b,63,,"[75.3, 1.0]",69224,1,,,,,0.51669514,,,,,"[84.1, 6.0]",,High Pass,,10.121264,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Throw-in,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,5,Barcelona,217,['4a4e7987-6371-4627-a95a-0d49756af4a9'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.805,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.961864,,,,,,,,,,,,,,15c1238a-5a0d-4308-adc3-cca490bf8ee5,76,,"[99.1, 31.0]",69224,1,,,,,1.6333925,,Left Foot,,,"[96.9, 66.1]",,Ground Pass,,35.168877,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,5,Barcelona,217,"['11bebfa8-e336-4b69-a85a-7e42389340a7', 'a3f2a28a-a6d1-412e-9449-916687ebb5e2']",9,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.993,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,0.845531,,,,,,,,,,,,,,4519f1c1-9a16-4bae-b4e4-a42be6dd118a,79,,"[109.4, 59.4]",69224,1,,,,,-2.9969783,,Right Foot,,,"[99.1, 57.9]",,Ground Pass,,10.40865,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Throw In,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,5,Barcelona,217,['92eb7648-2be0-47b4-8245-1ce18f696755'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.359,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,0.887798,,,,,,,,,,,,,,6673b4a9-f660-499c-b20e-90e5ed03a982,82,,"[97.4, 56.3]",69224,1,,,,,-1.7011997,,Right Foot,,,"[96.6, 50.2]",,Ground Pass,,6.1522355,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,5,Barcelona,217,['8f560fb2-22d1-40dc-ab5c-bc2a1258fe3a'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.205,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.453491,,,,,,,,,,,,,,76255e4f-9afd-4d8d-987b-886028083a25,84,,"[98.1, 50.8]",69224,1,,,,,-0.40742984,,Right Foot,,,"[107.6, 46.7]",,Ground Pass,,10.34698,,Incomplete,,,,,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Left Center Midfield,5,Barcelona,217,['8a6a646b-f6e0-4234-9365-63991f25fd81'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.093,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.369453,,,,,,,,,,,,,,6176a6a0-44ad-4f95-a304-18789c958d18,89,,"[104.2, 75.4]",69224,1,,,,,-1.4778177,,Right Foot,True,,"[107.1, 44.3]",,High Pass,,31.234917,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Throw In,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,5,Barcelona,217,"['2e6c17b1-f32e-40bb-b05e-ba156730d7df', '61132106-c703-469b-b996-10ca5e458423', 'eda77aa4-b5ab-46ab-8620-2ff4a5e56517']",24,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.640,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,0.979027,,,,,,,,,,,,,,a43f171b-0d73-4950-8119-43de05ac2bdf,97,,"[70.8, 37.4]",69224,1,,,,True,-0.13452101,,,,,"[84.1, 35.6]",,High Pass,,13.421252,,Incomplete,,,,,,,,,Recovery,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,"['5db71cc1-2ee7-4218-a3bb-e07f170488ca', 'ba7844c6-bc08-4d18-b4ba-f73b1410aa4f']",31,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.005,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,0.602338,,,,,,,,,,,,,,5db71cc1-2ee7-4218-a3bb-e07f170488ca,99,,"[36.9, 45.4]",69224,1,,,,,-0.5810823,,Head,,,"[43.6, 41.0]",,Low Pass,,8.01561,,Incomplete,,David Josué Jiménez Silva,3064.0,,,,,,Recovery,1,From Throw In,Pablo Hernández Domínguez,4711.0,Right Wing,5,Barcelona,217,"['a43f171b-0d73-4950-8119-43de05ac2bdf', 'f167308e-05da-4475-ab61-d4fa997a6dc9', 'f3608ccc-3c44-4b3a-9715-928ac1576354']",31,,,,,,,,,,,,,,,,,,Valencia,207,00:01:31.984,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.005335,,,,,,,,,,,,,,f3608ccc-3c44-4b3a-9715-928ac1576354,101,,"[77.4, 40.0]",69224,1,,,,,2.001935,,Right Foot,,,"[75.1, 45.0]",,High Pass,,5.503635,,,,Sergio Busquets i Burgos,5203.0,,,,,,Recovery,1,From Throw In,Andrés Iniesta Luján,5216.0,Right Center Midfield,5,Barcelona,217,"['5db71cc1-2ee7-4218-a3bb-e07f170488ca', 'f2af7809-05e0-4bbf-bdf3-3adb62f4c705']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.587,Pass,,2009/2010
