ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.812922,,,,,,,,,,,,af191e88-f7b0-4bea-900e-97e7e6f529c0,1327,,"[41.4, 52.0]",3773457,28,,,,,1.5813223,,Right Foot,,,,"[41.2, 71.0]",,Ground Pass,,19.001053,,,Néstor Alejandro Araújo Razo,11388.0,,,,,,1,From Kick Off,Francisco José Beltrán Peinado,11389.0,Right Center Midfield,55,Celta Vigo,209,['6247251e-4791-4d32-9bef-bdd37b446a47'],21,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:28:21.624,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.698546,,,,,,,,,,,,7ea5f693-b766-4365-88e4-c7f40ba5effe,1330,,"[55.8, 66.4]",3773457,28,,,,,-0.24910235,,Right Foot,,,,"[90.0, 57.7]",,High Pass,,35.289234,,,Santiago Mina Lorenzo,6594.0,,,,,,1,From Kick Off,Néstor Alejandro Araújo Razo,11388.0,Right Center Back,55,Celta Vigo,209,['f50b3cdf-bb2f-4467-8bdc-a5656ca6afe5'],26,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:28:26.074,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,4b4cb0e9-283f-4d3a-9fc0-e123a9392b03,1333,,"[90.0, 57.7]",3773457,28,,,,True,-1.8925469,,,,,,"[85.4, 43.9]",,Low Pass,,14.546477,,,Iago Aspas Juncal,5217.0,,,,,,1,From Kick Off,Santiago Mina Lorenzo,6594.0,Left Center Forward,55,Celta Vigo,209,"['5f0fe5f0-4e3d-460d-b1a9-05fdce44b0e9', 'a1bd9386-64d1-4e77-afa0-a3743ad8b546']",27,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:28:27.772,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,1.541118,,,,,,,,,,,,cd049a63-311a-4f55-9485-e0c8051bfbf6,1342,,"[33.1, 37.6]",3773457,28,,True,,,1.4503629,,Right Foot,,,,"[35.0, 53.3]",,Ground Pass,,15.81455,,,Moriba Kourouma Kourouma,39073.0,,,,,Free Kick,1,From Free Kick,Ronald Federico Araújo da Silva,32480.0,Right Center Back,57,Barcelona,217,['8a4043b9-4d77-42aa-9c1e-b11bb30cc3c0'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:28:42.054,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.735232,,,,,,,,,,,,d287cc93-414e-4933-93bf-6bc89b6622f5,1344,,"[35.0, 53.3]",3773457,28,,,,,-1.3765553,,Right Foot,,,,"[37.4, 41.1]",,Ground Pass,,12.433825,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Moriba Kourouma Kourouma,39073.0,Right Center Midfield,57,Barcelona,217,['662816d1-8f03-4db8-af43-d7d17ebfcc4d'],44,,,,,,,,,,,,,,,,,,Barcelona,217,00:28:44.717,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.410693,,,,,,,,,,,,9c0e45c7-aa54-4d32-8cef-c48fe56b822a,1346,,"[37.4, 41.1]",3773457,28,,,,,0.6796489,,Right Foot,,,,"[57.2, 57.1]",,Ground Pass,,25.45663,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,57,Barcelona,217,['2bb0265d-107e-41f4-8ef2-7f19a163f0b6'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:28:45.452,Pass,,2020/2021
,,,,,,,,,,,,,,,,,5.366033,,,,,,,,,,,,3a1d7631-7535-47b1-ae11-088861b185c0,1349,,"[63.7, 67.7]",3773457,28,,,,,0.049342632,,Left Foot,,,,"[112.3, 70.1]",,Ground Pass,,48.65922,,,Ousmane Dembélé,5477.0,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Left Center Forward,57,Barcelona,217,['fb3928ca-9147-4a5a-8344-e1da770558e1'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:28:48.908,Pass,,2020/2021
,,,,,,,,,,,,,,,,,3.88555,,,,,,,,,,,,11bb5c81-b7d1-4f24-b53d-2d9931369526,1352,,"[115.3, 66.9]",3773457,28,,,,,-2.249206,,Right Foot,,,,"[77.9, 20.5]",,High Pass,,59.59631,,,Clément Lenglet,6826.0,,True,,,,1,From Free Kick,Ousmane Dembélé,5477.0,Right Wing Back,57,Barcelona,217,['cc20fb09-ff5d-4cae-87e0-ddea4b5bf347'],56,,,,,,,,,,,,,,,,,,Barcelona,217,00:28:56.944,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.759202,,,,,,,,,,,,f9362f5b-0db5-4bcb-ad9d-0b6bcfba0e59,1354,,"[77.9, 20.5]",3773457,29,,,,,-0.20723777,,Left Foot,,,,"[97.4, 16.4]",,Ground Pass,,19.926365,,,Jordi Alba Ramos,5211.0,,,,,,1,From Free Kick,Clément Lenglet,6826.0,Left Center Back,57,Barcelona,217,['6eda1c02-c2d0-4877-b50f-149a49864777'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:29:00.829,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.741221,,,,,,,,,,,,4b14b27a-6297-4154-9dce-66fd874e4cfa,1356,,"[97.4, 16.4]",3773457,29,,,,,2.095592,,Left Foot,,,,"[94.1, 22.1]",,Ground Pass,,6.5863495,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Wing Back,57,Barcelona,217,['3cfd15fa-2041-4531-afa4-ca4032a96869'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:29:02.588,Pass,,2020/2021
