bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.693,,,,,,,,,,,,,,7ecdc1c2-1e5d-474f-b6e4-264274c044d3,47,,"[30.0, 16.0]",9736,0,,,,2.7610862,,Right Foot,,,"[10.0, 24.0]",,Ground Pass,,21.540659,,,,Keylor Navas Gamboa,5597.0,,,,,,Recovery,1,Regular Play,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,3,Real Madrid,220,"['036b0016-e614-40d2-9614-ccdd9f75aab7', 'b0508f90-23c6-4ab2-a51f-1b3e102dd8f9']",43,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:43.547,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.213,,,,,,,,,,,,,,00b2fafc-9324-4ce2-9a6e-1a3c3f36d615,51,,"[8.0, 25.0]",9736,0,,,,-1.0714496,,Right Foot,,,"[20.0, 3.0]",,Ground Pass,,25.059929,,,,Sergio Ramos García,5201.0,,,,,,,1,Regular Play,Keylor Navas Gamboa,5597.0,Goalkeeper,3,Real Madrid,220,"['18971608-d3bb-4ea1-ad41-c9291cc80e44', '66bf09be-83a8-41c2-8c56-5b2855e8df36']",47,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:47.147,Pass,True,2017/2018
,,,,,,,,,,,,,,,,0.613,,,,,,,,,,,,,,180ec3be-667e-473b-a7a6-22db507ccb6d,55,,"[20.0, 3.0]",9736,0,,,,0.4636476,,Right Foot,,,"[22.0, 4.0]",,Low Pass,,2.236068,,Incomplete,,,,,,,,,,1,Regular Play,Sergio Ramos García,5201.0,Left Center Back,3,Real Madrid,220,['99e2a9b5-21d8-43ae-bec1-a7bcb108b216'],49,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:49.427,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.933,,,,,,,,,,,,,,0e2b8a29-5b2f-4af7-960e-a1dd24c10dc2,60,,"[99.0, 20.0]",9736,1,,,,2.2655346,,Right Foot,,,"[89.0, 32.0]",,Ground Pass,,15.6205,,,,Toni Kroos,5574.0,,,,,,,1,Regular Play,Cristiano Ronaldo dos Santos Aveiro,5207.0,Right Center Forward,4,Real Madrid,220,['2fa63bdd-99fe-4e56-898a-f7b4e1ce883c'],4,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:04.947,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.293,,,,,,,,,,,,,,5eb51f94-93ce-4a17-98b7-4b038de5e2ca,63,,"[88.0, 35.0]",9736,1,,,,1.1978086,,Right Foot,,,"[97.0, 58.0]",,Ground Pass,,24.698177,,,,Daniel Carvajal Ramos,5721.0,,,,,,,1,Regular Play,Toni Kroos,5574.0,Left Center Midfield,4,Real Madrid,220,['3e1c7b80-4ab4-4eb1-bfeb-79117c4a2eed'],6,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:06.947,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.573,,,,,,,,,,,,,,f8b3fbb8-ad24-4309-8cbb-7d0557807c6a,66,,"[99.0, 61.0]",9736,1,,,,-0.98279375,,Right Foot,,,"[101.0, 58.0]",,High Pass,,3.6055512,,Incomplete,,,,,,,,,,1,Regular Play,Daniel Carvajal Ramos,5721.0,Right Back,4,Real Madrid,220,['14416b67-b4bb-43ae-a427-8c5d62629fc9'],9,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:09.387,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,c2582bbe-b61f-4c7a-9918-66ddbf3083c4,69,,"[119.0, 80.0]",9736,1,,,,-1.7628443,d92a3d4d-6a25-4d03-95d4-b24ad253cf97,Right Foot,,,"[112.0, 44.0]",,High Pass,,36.67424,,,True,Raphaël Varane,5485.0,True,,,Outswinging,,Corner,1,From Corner,Toni Kroos,5574.0,Left Center Midfield,5,Real Madrid,220,['322541e8-188b-4291-b6c7-ac5b096e315d'],46,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:46.227,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,b1c77587-a2fa-4eba-8301-0b27f3f467bc,74,,"[8.0, 47.0]",9736,1,True,,,1.5707964,,Right Foot,,,"[8.0, 64.0]",,Ground Pass,,17.0,,,,Gerard Piqué Bernabéu,5213.0,,,,,,Free Kick,1,From Free Kick,Marc-André ter Stegen,20055.0,Goalkeeper,6,Barcelona,217,['5f900629-c6a1-47aa-bf3d-7090d5d129b4'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:01:58.467,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,878d8f29-ada0-492e-928c-c86642c32d94,76,,"[8.0, 65.0]",9736,2,,,,0.82537687,,Right Foot,,,"[20.0, 78.0]",,Ground Pass,,17.691807,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['a139c365-81c9-47bd-adf5-568816959e3d'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:02:01.400,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,e765378e-4310-483c-b882-13c85ebb378a,80,,"[19.0, 77.0]",9736,2,,,,-1.2679114,,Left Foot,,,"[24.0, 61.0]",,Ground Pass,,16.763054,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,6,Barcelona,217,['e08950e1-170f-4f5e-b4b0-723e0513739c'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:02:03.360,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,e34e6c84-5af3-4748-b836-26155f7bbec9,84,,"[24.0, 63.0]",9736,2,,,,0.8519663,,Right Foot,,,"[31.0, 71.0]",,Ground Pass,,10.630146,,,,Ivan Rakitić,5470.0,,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Right Center Midfield,6,Barcelona,217,"['63ff6665-d230-48c7-a7cd-df5206931822', 'd657ac89-6c95-4793-bbcd-f5e0664fc606']",5,,,,,,,,,,,,,,,,,Barcelona,217,00:02:05.400,Pass,True,2017/2018
,,,,,,,,,,,,,,,,2.28,,,,,,,,,,,,,,bee3661a-fd4f-4ef7-99a0-69cce4536b69,87,,"[26.0, 66.0]",9736,2,,,,-1.1547319,,Left Foot,,,"[45.0, 23.0]",,High Pass,,47.010635,,Incomplete,,,,,,True,,,,1,From Free Kick,Ivan Rakitić,5470.0,Left Center Midfield,6,Barcelona,217,['f58b2a61-8b01-44c2-8eb4-02de7fe62f36'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:02:07.800,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.853,,,,,,,,,,,,,,17f6ed5c-61e8-4fd2-acbe-5aa1adf750f5,92,,"[68.0, 80.0]",9736,2,,,,-0.7853982,,,,,"[75.0, 73.0]",,Low Pass,,9.899495,,,,Mateo Kovačić,5456.0,,,,,,Throw-in,1,From Throw In,Daniel Carvajal Ramos,5721.0,Right Back,8,Real Madrid,220,['6a80f1eb-571d-426c-bf8d-9d746d6c771e'],36,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:36.707,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,4f65933f-42b2-4353-bc6b-dd8e6b47752c,98,,"[62.0, 79.0]",9736,2,,,,-2.1885521,,Right Foot,,,"[35.0, 41.0]",,High Pass,,46.615448,,,,Sergio Ramos García,5201.0,,,,,,,1,Regular Play,Daniel Carvajal Ramos,5721.0,Right Back,9,Real Madrid,220,"['528c1638-65b5-4159-8443-2b1c4c37a887', '8f3d916e-186c-495c-9d93-c85d9fbd4335']",39,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:39.147,Pass,True,2017/2018
,,,,,,,,,,,,,,,,1.333,,,,,,,,,,,,,,c1ff1447-5eff-42c2-8db5-fa1ab60783f7,101,,"[40.0, 31.0]",9736,2,,,,-0.9151007,,Left Foot,,,"[50.0, 18.0]",,Ground Pass,,16.40122,,,,Toni Kroos,5574.0,,,,,,,1,Regular Play,Sergio Ramos García,5201.0,Left Center Back,9,Real Madrid,220,['b82a8548-d040-4333-9259-7dff3d943985'],43,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:43.387,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,a0140ce8-265a-47b5-8a23-fdf6bc9e6914,105,,"[47.0, 18.0]",9736,2,,,,2.2318394,,Right Foot,,,"[40.0, 27.0]",,Ground Pass,,11.401754,,,,Sergio Ramos García,5201.0,,,,,,,1,Regular Play,Toni Kroos,5574.0,Left Center Midfield,9,Real Madrid,220,['267cb7d2-c3ef-48bb-9811-5d280aeac8f1'],46,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:46.040,Pass,,2017/2018
