bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,2.2315,,,,,,,,,,,,,ba869fb7-170f-47bd-a4f0-ba5b1613c029,52,,"[88.5, 38.7]",69289,0,,,,,-1.5800554,,Head,,,,"[88.3, 17.1]",,High Pass,,21.600925,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,Recovery,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['11142b60-2d9f-4e62-b3ed-257b76c6ce9c'],47,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.596,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,0.8587,,,,,,,,,,,,,2f2bae9a-48a5-4b46-bce2-d254d02a03ad,55,,"[89.1, 17.6]",69289,0,,,,,1.1834124,,Left Foot,,,,"[94.2, 30.1]",,Ground Pass,,13.50037,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['28e7d1ac-61a7-4d50-b99f-7934668907e6'],51,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.157,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,0.80798,,,,,,,,,,,,,ede119cd-9ae1-467c-b48c-ee55e0438757,58,,"[94.0, 29.9]",69289,0,,,,,0.91223043,,Right Foot,,,,"[100.5, 38.3]",,Ground Pass,,10.621205,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['f9df677f-916e-4118-ab7d-68649153d6d0'],52,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.096,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,4.0118,,,,,,,,,,,,,19767307-b125-49da-8ec2-9c3ea1c54967,66,,"[7.0, 44.1]",69289,1,,,,,0.19684368,,Left Foot,,,,"[76.7, 58.0]",,High Pass,,71.072495,,Incomplete,,Frédéric Oumar Kanouté,25960.0,,,,,Goal Kick,1,From Goal Kick,Javier Varas Herrera,26753.0,Goalkeeper,3,Sevilla,213,"['2fbd5f69-a23a-4352-a170-0b8f707139d3', '5b83d5be-59f1-48bd-adb9-8ae85c8c4fe9']",21,,,,,,,,,,,,,,,,Sevilla,213,00:01:21.095,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,1.68148,,,,,,,,,,,,,5b83d5be-59f1-48bd-adb9-8ae85c8c4fe9,69,,"[43.4, 22.1]",69289,1,,,,True,-1.1226513,,,,,,"[48.4, 11.7]",,High Pass,,11.539497,,,,Andrés Iniesta Luján,5216.0,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,"['19767307-b125-49da-8ec2-9c3ea1c54967', '6f3760f9-3ac9-4099-a879-23120545037c', 'd369c21f-8bf2-4bc8-b8f1-92b724d35ed2']",25,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.107,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,,,,1.370057,,,,,,,,,,,,,421c3948-0d8c-4f99-88d9-cd925314ce08,73,,"[45.1, 9.1]",69289,1,,,,,-2.5202692,,Right Foot,,,,"[36.3, 2.8]",,Ground Pass,,10.822661,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,4,Barcelona,217,"['0b055d66-633f-4648-bd90-ab0978791821', '4a6df43e-7b63-4953-ac52-69c47e0b31ff']",28,,,,,,,,,,,,,,,,Barcelona,217,00:01:28.352,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,,,,2.02,,,,,,,,,,,,,4c5af9bc-293c-48bd-993a-909ae0c525ab,76,,"[36.6, 2.9]",69289,1,,,,,0.26971424,,Left Foot,,,,"[65.9, 11.0]",,Low Pass,,30.399014,,Incomplete,,,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,['54a27b9f-8a26-40d1-b908-dcdf752fb391'],29,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.836,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,0.7677,,,,,,,,,,,,,bae24a5d-848a-4579-887a-3f20a8d9ba03,79,,"[54.9, 69.1]",69289,1,,,,,-1.0750897,,Right Foot,,,,"[62.2, 55.6]",,Low Pass,,15.347313,,,,Christian Koffi Romaric N''Dri,26480.0,,,,,,1,Regular Play,José Martín Cáceres Silva,5248.0,Right Center Back,4,Barcelona,217,['19c1b8ff-b451-47fb-a15b-305eea386dba'],32,,,,,,,,,,,,,,,,Sevilla,213,00:01:32.736,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,1.166117,,,,,,,,,,,,,e6844ea9-2b24-4ffb-819a-31e8713c0e7b,81,,"[61.9, 56.8]",69289,1,,,,,0.9812967,,Right Foot,,,,"[72.2, 72.2]",,Ground Pass,,18.527008,,Incomplete,,,,,,,,,1,Regular Play,Christian Koffi Romaric N''Dri,26480.0,Left Center Midfield,4,Barcelona,217,['310828e9-710c-4acd-94a3-352614d66ed3'],33,,,,,,,,,,,,,,,,Sevilla,213,00:01:33.504,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,0.818556,,,,,,,,,,,,,305cc8d7-c9f1-4299-b7aa-cd1ef9cd59a6,86,,"[50.4, 6.6]",69289,1,,,,,0.0,,Left Foot,,,,"[67.2, 6.6]",,Low Pass,,16.8,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,['877e5fd2-54e5-47c9-b4f9-1d1dc9f0192c'],35,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.294,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,0.927077,,,,,,,,,,,,,20dcc039-6fcd-492d-85d6-736f26b44d04,92,,"[89.9, 0.1]",69289,1,,,,,2.3809829,,,,,,"[83.7, 6.0]",,Low Pass,,8.558621,,,,Andrés Iniesta Luján,5216.0,,,,,Throw-in,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,['2b8f93aa-3969-4346-b2aa-b3d4cd4a6bcd'],53,,,,,,,,,,,,,,,,Barcelona,217,00:01:53.772,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,0.0591,,,,,,,,,,,,,fa9f7c81-1b90-4791-b9a9-f9ac642ab523,96,,"[86.6, 1.4]",69289,1,,,,,1.6421038,,Right Foot,,,,"[86.5, 2.8]",,Low Pass,,1.4035668,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,5,Barcelona,217,"['ad9444a6-102c-4483-9aae-483a44f6a7da', 'c1e484ed-91fa-418c-ad26-7ce049a05f39']",55,,,,,,,,,,,,,,,,Barcelona,217,00:01:55.945,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,0.65339,,,,,,,,,,,,,6f4e16fd-29fe-490b-8d96-ac945619fb06,107,,"[86.5, 17.4]",69289,2,,,,,-1.5208379,,Right Foot,,,,"[86.9, 9.4]",,Ground Pass,,8.009994,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['163e221d-3fd5-4931-b125-0070da1c46a4'],1,,,,,,,,,,,,,,,,Barcelona,217,00:02:01.759,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,0.4393,,,,,,,,,,,,,3d83840c-662d-4356-81ee-64fb28dc0c96,110,,"[90.9, 11.1]",69289,2,,,,,0.8768852,,Left Foot,,,,"[100.8, 23.0]",,Ground Pass,,15.479664,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,5,Barcelona,217,['edc6112a-14bc-44fa-b500-8730e0d2c375'],3,,,,,,,,,,,,,,,,Barcelona,217,00:02:03.475,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,0.7392,,,,,,,,,,,,,03e7da1f-1354-4a5d-9c4c-87e4604c5398,113,,"[101.3, 23.0]",69289,2,,,,,-2.8014956,,Left Foot,,,,"[94.8, 20.7]",,Ground Pass,,6.8949256,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,5,Barcelona,217,"['5c969eed-ef20-4f06-933d-13c29feaafb6', '94d1e7b6-dec1-4b9a-b241-03f64eb7988e']",4,,,,,,,,,,,,,,,,Barcelona,217,00:02:04.072,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,0.6206,,,,,,,,,,,,,94d1e7b6-dec1-4b9a-b241-03f64eb7988e,115,,"[25.3, 59.4]",69289,2,,,,,-1.5467046,,Left Foot,,,,"[25.5, 51.1]",,Ground Pass,,8.302409,,,,Christian Koffi Romaric N''Dri,26480.0,,,,,Recovery,1,Regular Play,Renato Dirnei Florencio,26015.0,Right Center Midfield,6,Sevilla,213,"['03e7da1f-1354-4a5d-9c4c-87e4604c5398', '68b08c11-1581-48b4-8d9d-016bc07bd64a']",4,,,,,,,,,,,,,,,,Sevilla,213,00:02:04.811,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,1.9767,,,,,,,,,,,,,41d4c725-fb23-43a2-8d8c-4b96dba5fff0,119,,"[28.5, 50.0]",69289,2,,,,,-1.5263811,,Left Foot,,,,"[29.9, 18.5]",,Ground Pass,,31.531096,,,,Antonio Manuel Luna Rodríguez,6675.0,,,,,,1,Regular Play,Christian Koffi Romaric N''Dri,26480.0,Left Center Midfield,6,Sevilla,213,"['0861ae18-4f83-466c-a72a-5cd85ea34963', 'fc88d8d7-f3e0-422f-90cd-4cb9673bacde']",8,,,,,,,,,,,,,,,,Sevilla,213,00:02:08.057,Pass,True,2010/2011
