ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.561582,,,,,,,,,,,fd768d44-19ce-4628-ad75-cab950104833,3331,,"[14.5, 57.3]",3773571,79,,,,-0.35793385,,Right Foot,,,"[27.6, 52.4]",,Ground Pass,,13.986422,,,,Óscar Mingueza García,43728.0,,,,,,,2,Regular Play,Clément Lenglet,6826.0,Left Center Back,184,Barcelona,217,['27323e1c-f247-4cc8-9e01-1de54abd0233'],33,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:33.884,Pass,,2020/2021
,,,,,,,,,,,,,,,1.023182,,,,,,,,,,,cda9d1f6-439e-4825-b339-1b0c581b19fe,3335,,"[29.6, 52.5]",3773571,79,,,,-0.2415657,,Right Foot,,,"[36.5, 50.8]",,Ground Pass,,7.106335,,,,Miralem Pjanić,6947.0,,,,,,,2,Regular Play,Óscar Mingueza García,43728.0,Right Center Back,184,Barcelona,217,"['1d9277f2-44d2-4393-8514-5c3842e879c3', '9228466c-8c5b-436b-96e3-a1068c2c7a74']",36,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:36.877,Pass,True,2020/2021
,,,,,,,,,,,,,,,0.78327,,,,,,,,,,,2f915333-4e54-40ef-bdd9-5bc455fdfa17,3338,,"[38.2, 50.8]",3773571,79,,,,-2.158799,,Left Foot,,,"[29.0, 37.0]",,Ground Pass,,16.585535,,,,Sergio Busquets i Burgos,5203.0,,,,,,,2,Regular Play,Miralem Pjanić,6947.0,Right Defensive Midfield,184,Barcelona,217,['7f353f96-fdfc-4bdb-84de-653f73968322'],37,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:37.940,Pass,,2020/2021
,,,,,,,,,,,,,,,1.385627,,,,,,,,,,,d30f4013-bd0a-479b-9bb1-fb429718cb7a,3341,,"[29.0, 37.0]",3773571,79,,,,-1.3482978,,Right Foot,,,"[34.0, 14.9]",,Ground Pass,,22.658552,,,,Héctor Junior Firpo Adames,17304.0,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,184,Barcelona,217,['87912730-e8df-4a3e-8767-6c8285a1d509'],39,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:39.324,Pass,,2020/2021
,,,,,,,,,,,,,,,1.270505,,,,,,,,,,,bc546997-85ab-4282-905b-ae01cdc07eca,3344,,"[50.0, 8.8]",3773571,79,,,,1.5631042,,Left Foot,,,"[50.1, 21.8]",,Ground Pass,,13.000384,,,,Sergio Busquets i Burgos,5203.0,,,,,,,2,Regular Play,Héctor Junior Firpo Adames,17304.0,Left Wing Back,184,Barcelona,217,['dcc468c0-1dcd-4ef1-af85-20f7a13ba48b'],44,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:44.421,Pass,,2020/2021
,,,,,,,,,,,,,,,0.772104,,,,,,,,,,,e58f2966-15ef-43ef-a31d-e8f2c8e6259e,3347,,"[51.9, 27.5]",3773571,79,,,,2.1311562,,Left Foot,,,"[48.7, 32.6]",,Ground Pass,,6.0207973,,,,Miralem Pjanić,6947.0,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,184,Barcelona,217,['3209ed20-6928-4f1c-be9a-37a96efe0878'],47,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:47.589,Pass,,2020/2021
,,,,,,,,,,,,,,,0.654176,,,,,,,,,,,bb57aff6-6e24-44ee-9d48-956e82c4dac5,3349,,"[48.4, 32.6]",3773571,79,,,,-0.9272952,,Right Foot,,,"[51.1, 29.0]",,Ground Pass,,4.5,,,,Sergio Busquets i Burgos,5203.0,,,,,,,2,Regular Play,Miralem Pjanić,6947.0,Right Defensive Midfield,184,Barcelona,217,['8419fd1a-1a4e-4f08-a7c4-ddf8ef8d1b22'],48,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:48.361,Pass,,2020/2021
,,,,,,,,,,,,,,,0.600088,,,,,,,,,,,708ea0b3-3bc1-4540-a925-b990a1e1c2ba,3351,,"[51.1, 29.0]",3773571,79,,,,2.3725865,,Left Foot,,,"[48.0, 32.0]",,Ground Pass,,4.313931,,,,Miralem Pjanić,6947.0,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,184,Barcelona,217,['26d32b16-7fe6-40cc-981a-e57064c01571'],49,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:49.015,Pass,,2020/2021
,,,,,,,,,,,,,,,0.982951,,,,,,,,,,,b8b20dd5-86cf-4da0-be80-c2e95a62ecdd,3353,,"[47.0, 32.0]",3773571,79,,,,-1.6721429,,Right Foot,,,"[46.4, 26.1]",,Ground Pass,,5.93043,,,,Clément Lenglet,6826.0,,,,,,,2,Regular Play,Miralem Pjanić,6947.0,Right Defensive Midfield,184,Barcelona,217,['dbf7ec39-7b1b-41e8-8a9f-7bcf905e8fa1'],49,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:49.615,Pass,,2020/2021
,,,,,,,,,,,,,,,2.274298,,,,,,,,,,,68083cbc-bcfa-4e48-bfec-36e9bb25b1f8,3356,,"[53.2, 22.3]",3773571,79,,,,2.4083858,,Left Foot,,,"[39.1, 35.0]",,Ground Pass,,18.976301,,,,Héctor Junior Firpo Adames,17304.0,,,,,,,2,Regular Play,Clément Lenglet,6826.0,Left Center Back,184,Barcelona,217,['9bc0e656-8039-4970-b71a-b8b2ce780fd1'],54,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:54.062,Pass,,2020/2021
