50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,2.160428,,,,,,,,,,,,,13b625a6-3251-4560-8ab3-d2e7d26d3368,17,,"[35.7, 21.7]",69238,0,,,,1.5707964,,Right Foot,,,,"[35.7, 61.0]",,Ground Pass,,39.3,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['91745746-f9e0-4f79-a8a1-2ce52d4717bf'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.110,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,1.074978,,,,,,,,,,,,,b28a5c97-a42c-4d0e-b199-38b420114cc8,20,,"[37.4, 64.6]",69238,0,,,,0.95215195,,Right Foot,,,,"[45.8, 76.4]",,Ground Pass,,14.484474,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['9070fc77-0a1f-49ca-9ea0-780d3aad6813'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.993,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,1.152519,,,,,,,,,,,,,5c59514f-e545-446e-999e-e76fed3b574a,23,,"[46.4, 76.8]",69238,0,,,,-2.3073444,,Right Foot,,,,"[35.7, 65.0]",,Ground Pass,,15.928905,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['5bc0f9b3-9fa9-487b-9db6-0e7fbcb9002e'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.108,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,0.795676,,,,,,,,,,,,,13863656-6ba0-47d0-b522-4098f852018e,26,,"[35.7, 65.0]",69238,0,,,,0.7086263,,Right Foot,,,,"[48.3, 75.8]",,Ground Pass,,16.59518,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['96be8081-36c2-4d71-bc5a-2f6e053f61ae'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.458,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,3.123989,,,,,,,,,,,,,05ccd4d2-e492-4492-abdf-f360d9354dbf,30,,"[49.0, 77.4]",69238,0,,,,-1.7437161,,Right Foot,,,,"[39.9, 25.3]",,High Pass,,52.888752,,,Carles Puyol i Saforcada,20125.0,,True,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['1aead32c-be0f-4122-8302-d1b57297982d'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.286,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,1.566154,,,,,,,,,,,,,11d2616a-2ca7-4c74-becd-0a3b308a1bb2,33,,"[55.9, 24.3]",69238,0,,,,-0.896701,,Right Foot,,,,"[71.0, 5.4]",,Ground Pass,,24.19132,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['8f7abd30-d48a-46a5-aba1-031a1c206972'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.000,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,0.943975,,,,,,,,,,,,,46b6c2d2-55a1-45fe-ad7b-0bcaa234e038,36,,"[76.5, 3.5]",69238,0,,,,1.6943468,,Left Foot,,,,"[74.6, 18.8]",,Ground Pass,,15.417522,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Barcelona,217,['b01b7339-91eb-4134-a5d6-bbae6e823fe8'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.646,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,0.885,,,,,,,,,,,,,1404ee3b-7f03-47ac-a78f-abe6736cbf84,39,,"[74.6, 18.8]",69238,0,,,,-0.17257796,,Right Foot,,,,"[85.5, 16.9]",,Low Pass,,11.064357,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Center Midfield,2,Barcelona,217,"['4d9e9db8-d30c-4b05-a81e-aea7e4da3e25', '9056bc7b-6dcb-4bdd-8ecc-637b6c352968']",29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.790,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,4.996314,,,,,,,,,,,,,2cd28edc-74f9-43f3-aff1-356c3b8a58ba,44,,"[37.1, 64.5]",69238,0,,,,-0.33839434,,Right Foot,,,,"[83.7, 48.1]",,High Pass,,49.40162,Incomplete,,,,,,,,,1,From Kick Off,Manuel Gaspar Haro,26233.0,Right Back,2,Barcelona,217,"['1d433732-55da-4e5f-89eb-e552050888c5', '6ce2b914-a3fa-456c-be2c-23644dfe06fa']",31,,,,,,,,,,,,,,,,,,Málaga,223,00:00:31.372,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,,1.310664,,,,,,,,,,,,,452eb9c1-4acd-4e4b-9d25-153413c387d0,47,,"[37.6, 42.1]",69238,0,,,,-1.6038969,,Right Foot,,,,"[36.6, 11.9]",,Ground Pass,,30.21655,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['822e0060-82b4-47d4-a5b1-9de1322e62be'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.694,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,1.696556,,,,,,,,,,,,,ef58b0fe-39d6-484d-a035-0203c7b12bb0,50,,"[36.6, 11.9]",69238,0,,,,1.5923241,,Right Foot,,,,"[35.7, 53.7]",,Ground Pass,,41.80969,,,Gerard Piqué Bernabéu,5213.0,,True,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['4be78a92-5b36-4959-bf3d-d203c43371bd'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.808,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,0.897158,,,,,,,,,,,,,e6beaa12-cfd1-419c-bf40-9ef34bdfd3ee,53,,"[41.0, 59.2]",69238,0,,,,-0.6713124,,Right Foot,,,,"[51.7, 50.7]",,Low Pass,,13.665284,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['4207d929-1677-4474-a2ed-7c4e160bc0dd'],47,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.408,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,1.091633,,,,,,,,,,,,,67a8df48-b96a-4968-bc70-0dcac2bdc144,57,,"[53.8, 49.7]",69238,0,,,,-0.106887214,,Right Foot,,,,"[77.1, 47.2]",,Ground Pass,,23.433737,,,Zlatan Ibrahimović,3672.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,"['2ae12e31-ea7b-4e1d-8d45-6397bd105082', '698fe59b-584f-4e32-ac68-a2a6a4e80793']",49,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.570,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,,1.238949,,,,,,,,,,,,,0e7d52e7-0a07-4028-935b-bbae7fbeb2f1,61,,"[77.3, 47.8]",69238,0,,,,1.6257867,,Right Foot,,,,"[76.7, 58.7]",,Low Pass,,10.916501,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Zlatan Ibrahimović,3672.0,Center Forward,2,Barcelona,217,"['1e4dbf0d-bdfa-411d-a94e-e3a74728ddee', '52b08857-844d-4380-9131-090ada4c8f2b', 'd21d7616-af1e-4751-9315-b745cf51d937']",50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.865,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,,0.6034,,,,,,,,,,,,,d7ad829e-a506-4aad-8cba-9ef4be5c8ea9,65,,"[46.3, 22.6]",69238,0,,,,-2.220667,,Left Foot,,,,"[44.4, 20.1]",,Ground Pass,,3.1400638,,,Sérgio Paulo Barbosa Valente,25859.0,,,,,,1,Regular Play,Daniel Toribio Gutiérrez,23792.0,Left Center Midfield,3,Málaga,223,['505d4fa8-2c1c-4a1d-b7e5-dd5bab31a8ce'],53,,,,,,,,,,,,,,,,,,Málaga,223,00:00:53.743,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,0.716898,,,,,,,,,,,,,31ce27fb-d746-41ff-87df-979ad7ac2236,69,,"[44.2, 21.4]",69238,0,,,,1.2679114,,Left Foot,,,,"[47.2, 31.0]",,Ground Pass,,10.057833,,,Juan Jesús Gutiérrez Robles,25883.0,,,,,,1,Regular Play,Sérgio Paulo Barbosa Valente,25859.0,Left Wing,3,Málaga,223,"['1c104b94-6980-48f4-8d42-4eb52acd4f74', 'd4c38ff4-253d-4511-9f0e-1c596b25e613']",55,,,,,,,,,,,,,,,,,,Málaga,223,00:00:55.086,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,,2.0505,,,,,,,,,,,,,8e45be0a-56cd-40fe-b92d-103dc7b99e3f,73,,"[47.2, 30.4]",69238,0,,,,0.122336835,,Right Foot,,,,"[59.4, 31.9]",,High Pass,,12.291867,,,Nabil Baha,26670.0,,,,,,1,Regular Play,Juan Jesús Gutiérrez Robles,25883.0,Right Center Midfield,3,Málaga,223,"['0fce1f52-463a-4ad9-b3df-9be74496edc3', 'f45be058-e292-4899-a9a7-df87ef9b5532']",55,,,,,,,,,,,,,,,,,,Málaga,223,00:00:55.843,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,,0.805968,,,,,,,,,,,,,add98316-595e-4912-9d72-7f6e8b867e63,82,,"[57.2, 56.6]",69238,1,,,,-3.0822566,,Right Foot,,,,"[47.1, 56.0]",,Ground Pass,,10.117806,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,4,Barcelona,217,"['50479324-e278-452f-812b-228b4d8b171b', '64a9edd7-cee2-4a53-b7be-84eb7af48e4b']",0,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.086,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,,1.91636,,,,,,,,,,,,,d75d769a-da00-4a4d-9259-20ea292edbef,85,,"[41.8, 54.9]",69238,1,,,,-1.3696951,,Right Foot,,,,"[49.2, 18.6]",,Ground Pass,,37.046593,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['ae3617c6-e2ff-402b-84ad-60b75d310b79'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.144,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,1.224518,,,,,,,,,,,,,6fc379df-e11a-4837-887e-84c065588b82,88,,"[49.2, 18.6]",69238,1,,,,2.6568003,,Left Foot,,,,"[36.1, 25.5]",,Ground Pass,,14.80608,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,4,Barcelona,217,['c252033b-404c-42a3-87a3-1cf9723fb8de'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.161,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,2.175247,,,,,,,,,,,,,47721d90-3da4-44e1-b7fa-427af3c1fc84,91,,"[33.6, 28.0]",69238,1,,,,1.5455208,,Right Foot,,,,"[34.5, 63.6]",,Ground Pass,,35.611374,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,4,Barcelona,217,['344196ba-aa31-4334-8d86-867ffa553d9c'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.740,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,0.762684,,,,,,,,,,,,,e4e668a0-a93c-4cd2-9181-72aa8df136fc,94,,"[39.3, 66.9]",69238,1,,,,0.8447344,,Right Foot,,,,"[48.8, 77.6]",,Ground Pass,,14.308739,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['770602f8-711a-4d88-af66-6ab0853d6c46'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.119,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,0.932014,,,,,,,,,,,,,d1f9636b-e01f-47dd-9738-c93f22f94caa,97,,"[48.8, 77.6]",69238,1,,,,-0.06885649,,Right Foot,,,,"[63.3, 76.6]",,Ground Pass,,14.534442,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['dcb68623-e370-4006-8e40-11d6c6d60403'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.547,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,1.608438,,,,,,,,,,,,,88387793-6d61-4d8b-8c95-18acabb3adf9,102,,"[48.8, 76.8]",69238,1,,,,-2.2818978,,Left Foot,,,,"[34.5, 60.2]",,Ground Pass,,21.910044,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,4,Barcelona,217,['6858d57a-4eac-4852-b170-eeac669cdff2'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.680,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,3.174288,,,,,,,,,,,,,28e71594-131f-4554-9d09-5793d55348a0,105,,"[48.8, 48.6]",69238,1,,,,-1.2117497,,Right Foot,,,,"[63.7, 8.9]",,High Pass,,42.40401,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['5138db0c-86f1-4ba8-9cb2-3088b2b70804'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.641,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,1.100761,,,,,,,,,,,,,2f3a0aba-0fea-4630-a038-fdb6b1abbd7d,109,,"[55.1, 9.3]",69238,1,,,,3.0873823,,Right Foot,,,,"[42.2, 10.0]",,Ground Pass,,12.918979,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,4,Barcelona,217,['3325ecc8-f1ea-42ec-a08e-2f2fa06d4e5d'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.550,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,1.199627,,,,,,,,,,,,,ff592a62-aca4-43ac-a847-06ff2b862edb,112,,"[35.3, 8.5]",69238,1,,,,0.9261283,,Right Foot,,,,"[45.6, 22.2]",,Ground Pass,,17.14001,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,4,Barcelona,217,['32798a98-1b31-429c-8f3e-f4b08c81fec3'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.046,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,2.06999,,,,,,,,,,,,,77fa2091-87c2-49c1-b9bc-108c662e668f,116,,"[43.9, 22.8]",69238,1,,,,1.7781187,,Right Foot,,,,"[37.8, 51.8]",,Ground Pass,,29.634607,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Left Center Midfield,4,Barcelona,217,"['26a31833-cc8a-4b3f-8545-dc0daf9f2616', 'd55013fd-18d3-4f3b-a437-2866d6a95bf2']",34,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.326,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,,1.465422,,,,,,,,,,,,,07860ea3-f02f-4b86-9e0f-182f49485241,119,,"[48.3, 58.5]",69238,1,,,,0.71721137,,Right Foot,,,,"[70.2, 77.6]",,Ground Pass,,29.058907,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['6e73b606-8845-4216-82bf-1e2745fa81f8'],39,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:39.644,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,0.856142,,,,,,,,,,,,,2390dd46-96e3-47ba-aa9f-0e9e86a6ff38,122,,"[70.0, 77.0]",69238,1,,,,-1.7984856,,Right Foot,,,,"[66.2, 60.6]",,Ground Pass,,16.834488,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['adc59e5c-4071-4aa1-9155-68816312cdcd'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:42.137,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,0.648075,,,,,,,,,,,,,35c3e99f-93da-4229-849a-de13fa893e42,126,,"[67.2, 61.9]",69238,1,,,,1.786438,,Right Foot,,,,"[64.9, 72.4]",,Ground Pass,,10.748954,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,4,Barcelona,217,"['8dc67bbd-c8b8-4213-9eb2-b0750a3bfe68', 'ed1033f9-7806-42d2-92c4-c3be6762325e']",43,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:43.723,Pass,True,2009/2010
