50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,"[87.5, 6.2]",,,,,,,,,,,,0.559085,,,,,,,,,,,,,,d5427795-5f57-4d3c-b213-bc4e2a2f9200,1976,,"[88.2, 5.5]",68356,55,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Ángel Martínez Cervera,26160.0,Right Center Midfield,119,Espanyol,214,"['13a3ac09-fee0-4448-897d-fa06f557d723', '581dceb0-2516-4a75-8278-e10025e82f37', '8fff9159-4f52-4285-a631-ca9ceb7540ce']",7,,,,,,,,,,,,,,,,,Espanyol,214,00:10:07.209,Carry,True,2007/2008
,,,"[89.7, 21.4]",,,,,,,,,,,,1.016927,,,,,,,,,,,,,,e2978e1a-eca7-457a-b24e-ab8143e503a3,1980,,"[89.0, 18.1]",68356,55,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Albert Riera Ortega,26159.0,Left Midfield,119,Espanyol,214,"['cb655683-b672-4f1b-9efa-786d1ef441b7', 'ee521a90-b449-46f9-9cd2-00a4b1c1f952']",8,,,,,,,,,,,,,,,,,Espanyol,214,00:10:08.665,Carry,,2007/2008
,,,"[80.5, 34.0]",,,,,,,,,,,,0.388291,,,,,,,,,,,,,,3dd9ddc2-2df4-4a13-bf35-de3721bfa0c4,1983,,"[82.0, 35.1]",68356,55,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Moisés Hurtado Pérez,26162.0,Left Center Midfield,119,Espanyol,214,"['29e93373-53ab-4bb5-abe9-61b47540a278', 'fa972214-0854-41a7-a9db-cb9eb416489b']",10,,,,,,,,,,,,,,,,,Espanyol,214,00:10:10.480,Carry,,2007/2008
,,,"[13.9, 48.2]",,,,,,,,,,,,8.508004,,,,,,,,,,,,,,ea6b0937-981b-42cd-845d-f36198e71941,1986,,"[3.1, 53.1]",68356,55,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,120,Barcelona,217,"['2332f8a8-53b9-4876-8a11-fb3e473c192e', '7258dfbe-ec8f-404b-a693-d9dd2f8aada3']",14,,,,,,,,,,,,,,,,,Barcelona,217,00:10:14.913,Carry,,2007/2008
,,,"[67.7, 17.4]",,,,,,,,,,,,2.692101,,,,,,,,,,,,,,83318a54-bdc9-440d-bcfb-b82b2e08cd1c,1994,,"[69.2, 19.1]",68356,55,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Left Wing,120,Barcelona,217,"['8dcabf73-bdb7-4aa9-a576-9f535fb14c73', 'a7c5fd09-fa56-413f-a80c-9293d053c93d', 'cd33a914-4669-4205-8107-ae549c700c42']",30,,,,,,,,,,,,,,,,,Barcelona,217,00:10:30.857,Carry,True,2007/2008
,,,"[66.2, 28.0]",,,,,,,,,,,,0.433781,,,,,,,,,,,,,,52f7aa42-38a9-4961-b89a-b3d98250a9b7,1999,,"[65.1, 28.4]",68356,55,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,120,Barcelona,217,"['0d105471-5f8a-4271-902c-5771e1be645c', 'ab5c3359-1eb1-4ca1-89d2-4d3f2c4d7baa', 'fbe68775-c1a0-4dfd-9605-309f1cb4e894']",34,,,,,,,,,,,,,,,,,Barcelona,217,00:10:34.906,Carry,True,2007/2008
,,,"[74.3, 12.5]",,,,,,,,,,,,1.023179,,,,,,,,,,,,,,e0796fc2-71c6-4564-bd59-a9388157334c,2002,,"[74.5, 16.1]",68356,55,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Left Wing,120,Barcelona,217,"['8a59d390-f242-40af-8334-1d5978ad8b3f', 'a56e6487-f903-4e07-a4f2-8f091e81e629']",36,,,,,,,,,,,,,,,,,Barcelona,217,00:10:36.285,Carry,,2007/2008
,,,"[85.6, 3.3]",,,,,,,,,,,,0.828614,,,,,,,,,,,,,,25f18bb2-2d98-49b2-87f8-dfe671ec2f19,2005,,"[85.6, 3.3]",68356,55,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Bojan Krkíc Pérez,4913.0,Center Forward,120,Barcelona,217,"['ec1d3c75-d00f-483f-9648-d5ac7b56d5ed', 'eebf365a-d75b-439e-9be7-ddc1383dad56']",38,,,,,,,,,,,,,,,,,Barcelona,217,00:10:38.736,Carry,,2007/2008
,,,"[67.5, 4.3]",,,,,,,,,,,,0.292951,,,,,,,,,,,,,,00072e0e-9938-4cb3-8569-36d4e4b54d16,2008,,"[68.2, 3.3]",68356,55,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,120,Barcelona,217,"['29252771-fe05-403e-a077-a640167bafdf', '77a337f2-e99c-4d54-9163-56f7ed7656dd']",41,,,,,,,,,,,,,,,,,Barcelona,217,00:10:41.331,Carry,,2007/2008
,,,"[38.1, 10.3]",,,,,,,,,,,,1.563519,,,,,,,,,,,,,,860e3a38-8acd-4bdc-84c0-dfd088b9c4cf,2011,,"[47.0, 17.4]",68356,55,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gabriel Alejandro Milito,25919.0,Left Center Back,120,Barcelona,217,"['96d94899-d9c5-4ead-8614-07607f70122f', 'b0e7b21f-57df-457a-af66-4c461c97b95d', 'df367c32-1d07-42b8-9acf-3cf62bac1ab4']",43,,,,,,,,,,,,,,,,,Barcelona,217,00:10:43.505,Carry,True,2007/2008
,,,"[11.8, 29.7]",,,,,,,,,,,,1.712289,,,,,,,,,,,,,,d8798c38-ccb3-4a62-9fa3-5d142aca302e,2015,,"[12.0, 24.4]",68356,55,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,120,Barcelona,217,"['0ad26b9d-b523-42af-950c-1960219b30c4', 'df0780a0-a3eb-4292-96c1-ff717532dfd2']",46,,,,,,,,,,,,,,,,,Barcelona,217,00:10:46.782,Carry,,2007/2008
,,,"[65.1, 27.4]",,,,,,,,,,,,0.502991,,,,,,,,,,,,,,85eff5b5-7deb-4e7d-92e3-7415cb770d48,2020,,"[58.9, 26.9]",68356,55,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Albert Riera Ortega,26159.0,Left Midfield,121,Espanyol,214,"['f4ededf4-7956-4bd8-a1d2-cd7a7f8339ee', 'fc8ef9ad-e0c6-4509-8436-81640e4a1369']",52,,,,,,,,,,,,,,,,,Espanyol,214,00:10:52.854,Carry,,2007/2008
,,,"[81.5, 32.8]",,,,,,,,,,,,1.423274,,,,,,,,,,,,,,e6c78d57-4931-448d-b9e4-a830e90177e5,2023,,"[74.0, 31.6]",68356,55,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Moisés Hurtado Pérez,26162.0,Left Center Midfield,121,Espanyol,214,"['4c8d84c1-72e8-416b-914c-349813a345dd', '9b5318b4-cb65-4706-9936-aefa23e265b8']",54,,,,,,,,,,,,,,,,,Espanyol,214,00:10:54.200,Carry,,2007/2008
