ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.372764,,,,,,,,,,,,,ae719d72-12bf-4a56-abd1-d0a17fcd9f86,55,,"[65.5, 51.1]",266015,0,,,,,2.1146288,,Right Foot,,,,"[57.7, 64.0]",,Ground Pass,,15.074814,,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,4,Barcelona,217,['ef29defb-9658-4128-a306-1ddda7d4db29'],59,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.627,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.453199,,,,,,,,,,,,,9573ec0e-dde0-40e7-9b54-a64d19fcf3d8,58,,"[57.7, 64.0]",266015,1,,,,,-1.7520642,,Left Foot,,,,"[52.0, 32.9]",,Low Pass,,31.618032,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['67536c1d-fea8-45c9-bb9a-522dafba028d'],1,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.443,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.425731,,,,,,,,,,,,,98d1e6e1-e7d3-417c-b3e4-b602aa5ce52b,61,,"[48.3, 33.8]",266015,1,,,,,-1.2106032,,Right Foot,,,,"[54.1, 18.4]",,Ground Pass,,16.456001,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['10884f0e-18a8-4a18-b663-8cff57e83c72'],6,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.470,Pass,,2012/2013
,,,,,,,,,,,,,,,,0.194313,,,,,,,,,,,,,dfe01505-7d17-4846-976e-44cd61a73cda,64,,"[70.8, 27.5]",266015,1,,,,,-0.8528632,,Right Foot,,,,"[77.7, 19.6]",,Low Pass,,10.489042,,,Incomplete,,Jordi Alba Ramos,5211.0,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,4,Barcelona,217,"['324aee22-da9e-45de-9366-8d1e028bfd5e', 'c683b524-a3a9-4694-bd22-4bda8094f45a']",11,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.962,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.329544,,,,,,,,,,,,,04b33a96-34ac-47af-a362-84a1e940a564,69,,"[55.1, 13.9]",266015,1,,,,,2.1311562,,Right Foot,,,,"[48.7, 24.1]",,Ground Pass,,12.0415945,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,4,Barcelona,217,['24352512-3189-4261-8903-aca3687a8eae'],15,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.554,Pass,,2012/2013
,,,,,,,,,,,,,,,,2.345466,,,,,,,,,,,,,6f880db7-3003-4972-8238-795ab23b09b2,72,,"[48.1, 33.6]",266015,1,,,,,0.9503376,,Right Foot,,,,"[80.4, 78.8]",,High Pass,,55.55475,,,,,Daniel Alves da Silva,4324.0,,True,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['3d7ae5e2-8897-4874-a3b4-625bdb702889'],18,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.733,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.752298,,,,,,,,,,,,,52db0ff9-37ab-4e2f-8706-fd782d8abeb7,75,,"[89.5, 78.1]",266015,1,,,,,-0.93463004,,Right Foot,True,,,"[113.8, 45.2]",,Low Pass,,40.9011,,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,"['740a7ca0-c79c-4a43-a173-62214a3360e3', 'e07f0ae2-ff2c-4434-ac5b-e07206089be0']",23,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.534,Pass,,2012/2013
,,,,,,,,,,,,,,,,2.046744,,,,,,,,,,,,,690f1517-4c00-4318-97e5-1b4a5bb83c8f,79,,"[13.7, 36.7]",266015,1,,,,,0.94668335,,Keeper Arm,,,,"[34.8, 66.0]",,Low Pass,,36.106785,,,,,Julián Omar Ramos Suárez,6607.0,,,,,,1,Regular Play,Daniel Hernández Santos,24264.0,Goalkeeper,5,Real Valladolid,901,['469a62f1-6e9b-4f8b-894e-c0d389f780d5'],26,,,,,,,,,,,,,,,,Real Valladolid,901,00:01:26.687,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.7859,,,,,,,,,,,,,f345eb2c-5f48-411d-a158-10610ce03a9c,83,,"[75.4, 77.4]",266015,1,,,,,-0.3770876,,Left Foot,,,,"[95.6, 69.4]",,Ground Pass,,21.726482,,,Incomplete,,Alberto Mateus Contreiras Gonçalves,26690.0,,,,,,1,Regular Play,Julián Omar Ramos Suárez,6607.0,Right Wing,5,Real Valladolid,901,"['0b731c9a-caa4-4c03-9932-437eaae69c8d', '8d4701d6-6c35-494d-bcca-ec78ab901317']",40,,,,,,,,,,,,,,,,Real Valladolid,901,00:01:40.468,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.457462,,,,,,,,,,,,,5a4e6fd7-a328-4e31-916a-66485a5b6783,87,,"[97.3, 80.0]",266015,1,,,,,-2.925373,,,,,,"[80.0, 76.2]",,Low Pass,,17.712425,,,,,Antonio Rukavina,5588.0,,,,,Throw-in,1,From Throw In,Julián Omar Ramos Suárez,6607.0,Right Wing,6,Real Valladolid,901,['03bae392-7983-4310-a688-45ce93004554'],47,,,,,,,,,,,,,,,,Real Valladolid,901,00:01:47.630,Pass,,2012/2013
