50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.338121,,,,,,,,,,,,665c65cd-b6c0-431b-a72d-c9e7947c7749,51,,"[48.0, 71.0]",16095,0,,,,,-2.905441,,Right Foot,,,,"[29.3, 66.5]",,Ground Pass,,19.233824,,,,Erick Cathriel Cabaco Almada,6809.0,,,,,,,1,Regular Play,David Remeseiro Salgueiro,6691.0,Right Wing Back,3,Levante UD,221,['8526a570-cf8d-4af5-967f-499488ed10d8'],35,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:35.372,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.575465,,,,,,,,,,,,981eccea-abc8-4401-b3a2-d7b356a6f7db,54,,"[29.8, 64.6]",16095,0,,,,,-1.0232341,,Left Foot,,,,"[34.8, 56.4]",,Ground Pass,,9.604166,,,,José Ángel Gómez Campaña,6688.0,,,,,,,1,Regular Play,Erick Cathriel Cabaco Almada,6809.0,Right Center Back,3,Levante UD,221,['6c29ceae-0602-4a5b-8ffb-f3320cc5535a'],37,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:37.105,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.195707,,,,,,,,,,,,ca5e48c6-ef7f-4eda-ad75-e549338a03ae,58,,"[40.4, 58.6]",16095,0,,,,,0.70806193,,Right Foot,,,,"[55.0, 71.1]",,Ground Pass,,19.220041,,,,Rubén Rochina Naixes,6680.0,,,,,,,1,Regular Play,José Ángel Gómez Campaña,6688.0,Right Defensive Midfield,3,Levante UD,221,['2dcb9d11-3775-472e-b7a1-cdc3204c4ae6'],41,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:41.103,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.344494,,,,,,,,,,,,c77ad705-32bc-42cc-aec6-ca8bc509f197,65,,"[48.0, 76.1]",16095,0,,,,,-1.0750897,,Right Foot,,,,"[55.3, 62.6]",,Ground Pass,,15.347313,,,,José Ángel Gómez Campaña,6688.0,,,,,,Free Kick,1,From Free Kick,Erick Cathriel Cabaco Almada,6809.0,Right Center Back,4,Levante UD,221,['95a8e87b-a2be-48ab-b74b-a10531d3ba0f'],57,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:57.328,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.315719,,,,,,,,,,,,6fbcf5bc-64e9-4993-80c1-09bcaa5ddacb,69,,"[58.4, 54.4]",16095,1,,,,,-1.5848799,,Right Foot,,,,"[58.1, 33.1]",,Ground Pass,,21.302113,,,,Enis Bardhi,6782.0,,,,,,,1,From Free Kick,José Ángel Gómez Campaña,6688.0,Right Defensive Midfield,4,Levante UD,221,"['5ec4c711-c508-4b42-ac33-9b05ec38761b', 'f043b995-caa0-45e1-a328-690404418423']",0,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:00.377,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,0.712505,,,,,,,,,,,,402f759e-e12c-4c20-bb29-f2a48fc5ab34,75,,"[56.4, 15.6]",16095,1,,,,,-0.32511756,,Right Foot,,,,"[65.3, 12.6]",,Ground Pass,,9.392018,,,,Enis Bardhi,6782.0,,,,,,,1,From Free Kick,Roberto Suárez Pier,6807.0,Left Center Back,4,Levante UD,221,['f5f0d216-1b82-40f7-8d78-4e3912ac5898'],5,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:05.014,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.118678,,,,,,,,,,,,8919c037-d732-4369-ab80-6904980db3d8,78,,"[76.7, 12.0]",16095,1,,,,,-0.6355857,,Right Foot,,,,"[88.9, 3.0]",,Ground Pass,,15.160475,,,,Antonio García Aranda,6784.0,,,,,,,1,From Free Kick,Enis Bardhi,6782.0,Left Defensive Midfield,4,Levante UD,221,['a4d3648e-fbaa-4a0e-a76f-a2ad7b6ba19c'],9,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:09.776,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.282998,,,,,,,,,,,,8b3b9637-105b-43de-9eb6-d82c8923e47c,84,,"[83.8, 0.1]",16095,1,,,,,0.19297081,,,,,,"[101.2, 3.5]",,High Pass,,17.729073,,,,José Luis Morales Nogales,6668.0,,,,,,Throw-in,1,From Throw In,Antonio García Aranda,6784.0,Left Wing Back,5,Levante UD,221,['ba0f8673-0889-449c-a195-3b85fc8c341b'],21,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:21.346,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.589495,,,,,,,,,,,,91196344-8619-451f-815d-f7f1db2ffede,90,,"[11.2, 60.7]",16095,1,,True,,,-1.7013004,,Right Foot,,,,"[7.0, 28.7]",,Ground Pass,,32.27445,,,,Clément Lenglet,6826.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['2f09aa4e-2a34-435f-b9d9-a895cfb21863'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:28.053,Pass,,2018/2019
,,,,,,,,,,,,,,,,,2.017574,,,,,,,,,,,,74d55b7f-a486-4231-9725-0fff2e646c18,92,,"[7.4, 28.7]",16095,1,,True,,,-1.3646181,,Left Foot,,,,"[10.6, 13.4]",,Ground Pass,,15.631059,,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Clément Lenglet,6826.0,Center Back,6,Barcelona,217,['9d5f504e-2eac-4dc9-bc7f-39ad7ddaffe6'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.696,Pass,,2018/2019
