ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.2265,,,,,,,,,,,539ddb87-b1ff-4578-9a17-674aa4654318,46,,"[53.9, 28.3]",69153,0,,,,,-1.8595258,,Right Foot,,"[50.9, 18.2]",,Ground Pass,,10.536128,,,,Giovanni van Bronckhorst,17797.0,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Center Defensive Midfield,3,Albacete,608,['9a68952b-b5de-4523-b8b9-1951282669c7'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.352,Pass,,2004/2005
,,,,,,,,,,,,,,,,0.979941,,,,,,,,,,,bce81f88-c339-42fc-809a-02c6c3b15b83,51,,"[74.1, 80.0]",69153,0,,,,,-0.5660549,,,,"[83.7, 73.9]",,High Pass,,11.374093,,,,Pablo Redondo Martínez,26412.0,,,,,Throw-in,1,From Throw In,Óscar Montiel Marín,26411.0,Right Back,4,Albacete,608,['b2ab61b6-582a-4fbf-b667-a8e79917d952'],58,,,,,,,,,,,,,,,,,,Albacete,608,00:00:58.813,Pass,,2004/2005
,,,,,,,,,,,,,,,,1.244603,,,,,,,,,,,5cdbe5dc-e7f5-4453-8d20-d962ca529468,54,,"[83.7, 73.9]",69153,1,,,,,-2.3469355,,Left Foot,,"[73.0, 63.0]",,Ground Pass,,15.274161,,,,Gaspar Gálvez Burgos,25899.0,,,,,,1,From Throw In,Pablo Redondo Martínez,26412.0,Right Wing,4,Albacete,608,['4986c392-f627-4bf6-81ba-74385e7bc3e6'],1,,,,,,,,,,,,,,,,,,Albacete,608,00:01:01.230,Pass,,2004/2005
,,,,,,,,,,,,,,,,0.812026,,,,,,,,,,,389762e9-a960-4584-a081-1e58274f80ca,57,,"[73.4, 61.9]",69153,1,,,,,-1.9086745,,Right Foot,,"[69.5, 50.8]",,Ground Pass,,11.7652025,,,,David Sánchez Rodríguez,26413.0,,,,,,1,From Throw In,Gaspar Gálvez Burgos,25899.0,Left Center Midfield,4,Albacete,608,['73db66e5-8cf1-4923-8cb4-ae061f771cdb'],2,,,,,,,,,,,,,,,,,,Albacete,608,00:01:02.857,Pass,,2004/2005
,,,,,,,,,,,,,,,,0.862,,,,,,,,,,,71f7a262-1cce-467a-b2ab-7d6c8a70410e,61,,"[68.4, 50.6]",69153,1,,,,,1.427713,,Left Foot,,"[70.1, 62.4]",,Ground Pass,,11.921828,,Incomplete,,Gaspar Gálvez Burgos,25899.0,,,,,,1,From Throw In,David Sánchez Rodríguez,26413.0,Right Center Midfield,4,Albacete,608,"['497e6f3b-a3dd-43a3-ac19-3216b7b3f586', '625adb6f-ec04-4646-aa47-b9523fcb9a76', 'b89be87a-c347-49ce-9616-3b07e6ebc601']",4,,,,,,,,,,,,,,,,,,Albacete,608,00:01:04.324,Pass,True,2004/2005
,,,,,,,,,,True,,,,,,0.7783,,,,,,,,,,,625adb6f-ec04-4646-aa47-b9523fcb9a76,63,,"[50.9, 18.6]",69153,1,,,,,1.0395229,,Right Foot,,"[56.6, 28.3]",,Ground Pass,,11.250778,,,,Samuel Eto''o Fils,19298.0,,,,,Interception,1,Regular Play,Anderson Luís de Souza,19757.0,Right Center Midfield,5,Barcelona,217,"['71f7a262-1cce-467a-b2ab-7d6c8a70410e', '9f986bfb-b0b5-4fd1-8e23-11cf9cbe7303']",5,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.186,Pass,,2004/2005
,,,,,,,,,,,,,,,,0.559,,,,,,,,,,,791bb7c4-82fb-4f4d-af9f-86333f183a0a,65,,"[56.8, 28.3]",69153,1,,,,,-0.4636476,,Right Foot,,"[60.6, 26.4]",,Ground Pass,,4.248529,,,,Anderson Luís de Souza,19757.0,,,,,,1,Regular Play,Samuel Eto''o Fils,19298.0,Center Forward,5,Barcelona,217,['e675e3bf-5839-4928-b2d2-7d3f33b7d8ac'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.964,Pass,,2004/2005
,,,,,,,,,,,,,,,,1.6301,,,,,,,,,,,d71228d7-4c8d-46aa-8728-0a4f6487229d,68,,"[76.1, 31.3]",69153,1,,,,,2.224879,,Right Foot,,"[69.2, 40.3]",,Ground Pass,,11.340635,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Right Center Midfield,5,Barcelona,217,['953b6d7a-4380-4f09-99bd-5eb23ef53357'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.157,Pass,,2004/2005
,,,,,,,,,,,,,,,,1.300434,,,,,,,,,,,4307c501-4be1-4001-b90d-c1faaee81d84,71,,"[78.4, 51.9]",69153,1,,,,,1.0700563,,Right Foot,,"[89.4, 72.0]",,Ground Pass,,22.913097,,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,5,Barcelona,217,['674c6ff2-89a8-469a-a75e-1948aa8a6b0a'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.092,Pass,,2004/2005
,,,,,,,,,,,,,,,,0.7933,,,,,,,,,,,dc687de1-27ef-4153-8a83-453e0ba8c9dc,75,,"[94.4, 67.4]",69153,1,,,,,-1.1182184,,Right Foot,,"[99.7, 56.5]",,Ground Pass,,12.120231,,,,Anderson Luís de Souza,19757.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Wing,5,Barcelona,217,"['05c849dc-9931-4662-aea9-4efa4652e75c', '6ecfac75-e627-45d6-ac2f-2814aba60377']",14,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.973,Pass,True,2004/2005
,,,,,,,,,,,,,,,,0.963515,,,,,,,,,,,46ba9bdb-6df9-40c0-9515-fab3d2f685de,77,,"[100.7, 56.9]",69153,1,,,,,0.73434764,,Right Foot,,"[107.9, 63.4]",,Ground Pass,,9.7,,Incomplete,,,,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Right Center Midfield,5,Barcelona,217,['ca9cfc0d-c740-46cd-bc0c-3c209da96bca'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.767,Pass,,2004/2005
,,,,,,,,,,,,,,,,0.360023,,,,,,,,,,,42ed3eb1-479a-4187-b9e4-cae5c8a1276f,86,,"[60.0, 40.0]",69153,2,,True,,,-3.0954716,,Right Foot,,"[47.0, 39.4]",,Ground Pass,,13.013839,,,,"Antonio Pacheco D""Agosti",25904.0,,,,,Kick Off,1,From Kick Off,Mikel Aguirregomezkorta Larrea,26415.0,Center Forward,6,Albacete,608,['3891f7d0-5673-4298-9e50-34ff23067456'],20,,,,,,,,,,,,,,,,,,Albacete,608,00:02:20.519,Pass,,2004/2005
,,,,,,,,,,,,,,,,1.457625,,,,,,,,,,,080022b5-6db1-4341-88ab-1b8713df6505,88,,"[42.6, 39.2]",69153,2,,True,,,-1.9518068,,Right Foot,,"[28.9, 5.0]",,Ground Pass,,36.84196,,,,Francisco Peña Romero,25900.0,,,,,,1,From Kick Off,"Antonio Pacheco D""Agosti",25904.0,Center Attacking Midfield,6,Albacete,608,['8f374879-6509-4eb5-964c-cadacde7a2e6'],21,,,,,,,,,,,,,,,,,,Albacete,608,00:02:21.136,Pass,,2004/2005
,,,,,,,,,,,,,,,,1.232,,,,,,,,,,,1da00b5d-6d57-4f15-ad2c-3dbd5d3028ab,90,,"[28.9, 5.0]",69153,2,,,,,0.20834167,,Right Foot,,"[58.7, 11.3]",,High Pass,,30.45866,,,,"Antonio Pacheco D""Agosti",25904.0,,,,,,1,From Kick Off,Francisco Peña Romero,25900.0,Left Back,6,Albacete,608,['bac857c9-003b-4949-8e8d-cec11e36fd64'],22,,,,,,,,,,,,,,,,,,Albacete,608,00:02:22.674,Pass,,2004/2005
,,,,,,,,,,,,,,,,1.5279,,,,,,,,,,,8dd73652-cf4b-47ff-a878-157f259c0074,92,,"[63.3, 69.7]",69153,2,,,,,0.10639285,,Right Foot,,"[73.6, 70.8]",,Low Pass,,10.358571,,Unknown,,,,,,,,Recovery,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Center Defensive Midfield,6,Albacete,608,,23,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:23.922,Pass,,2004/2005
,,,,,,,,,,,,,,,,0.968124,,,,,,,,,,,5df01c4a-5487-4609-8ed6-ee373cebb93a,93,,"[46.5, 12.8]",69153,2,,,,,-1.5707964,,Head,,"[46.5, 11.1]",,Low Pass,,1.7,,Unknown,,David Sánchez Rodríguez,26413.0,,,,,,1,From Kick Off,"Antonio Pacheco D""Agosti",25904.0,Center Attacking Midfield,6,Albacete,608,['dfa164dd-8972-43c7-b519-d0c91631c487'],24,,,,,,,,,,,,,,,,,,Albacete,608,00:02:24.242,Pass,,2004/2005
,,,,,,,,,,,,,,,,2.934751,,,,,,,,,,,84ae0b70-d91f-4b60-a4ea-ea2217fe5339,97,,"[52.4, 15.3]",69153,2,,,,,0.6151495,,Left Foot,,"[100.8, 49.5]",,High Pass,,59.263817,,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Francisco Peña Romero,25900.0,Left Back,7,Albacete,608,['e0a987b4-b10d-4bb1-a188-c2abd16f611e'],42,,,,,,,,,,,,,,,,,,Albacete,608,00:02:42.422,Pass,,2004/2005
,,,,,,,,,,,,,,,,1.705931,,,,,,,,,,,5eaa3c71-4815-4727-9c57-fdb86411c1e3,101,,"[79.1, 56.0]",69153,2,,,,,1.628983,,Right Foot,,"[78.5, 66.3]",,Ground Pass,,10.317461,,,,Óscar Montiel Marín,26411.0,,,,,,1,From Free Kick,Gaspar Gálvez Burgos,25899.0,Left Center Midfield,7,Albacete,608,['4e8d2081-b4da-4c1a-b6f8-0d3bac75e03e'],47,,,,,,,,,,,,,,,,,,Albacete,608,00:02:47.871,Pass,,2004/2005
,,,,,,,,,,,,,,,,0.777655,,,,,,,,,,,43a6ad75-baf2-4538-94e1-ce7b3fea04b8,104,,"[78.1, 72.2]",69153,2,,,,,-0.010151936,,Right Foot,,"[97.8, 72.0]",,Ground Pass,,19.701015,,,,Pablo Redondo Martínez,26412.0,,,,,,1,From Free Kick,Óscar Montiel Marín,26411.0,Right Back,7,Albacete,608,['0038385e-70f6-47eb-bf27-607a9d3466d5'],49,,,,,,,,,,,,,,,,,,Albacete,608,00:02:49.886,Pass,,2004/2005
,,,,,,,,,,,,,,,,1.23472,,,,,,,,,,,98a6505b-1228-49ec-9594-4c638addeb46,108,,"[97.0, 72.6]",69153,2,,,,,2.9985094,,Right Foot,,"[85.2, 74.3]",,Ground Pass,,11.921828,,,,Óscar Montiel Marín,26411.0,,,,,,1,From Free Kick,Pablo Redondo Martínez,26412.0,Right Wing,7,Albacete,608,['eb0ffe89-8bf7-4102-a270-5751b7c9f889'],51,,,,,,,,,,,,,,,,,,Albacete,608,00:02:51.804,Pass,,2004/2005
,,,,,,,,,,,,,,,,2.4398,,,,,,,,,,,ae304522-dea1-4d86-986d-e5f6326c82a2,111,,"[85.2, 74.3]",69153,2,,,,,-1.4733857,,Right Foot,,"[88.2, 43.6]",,High Pass,,30.846231,,,,David Sánchez Rodríguez,26413.0,,,,,,1,From Free Kick,Óscar Montiel Marín,26411.0,Right Back,7,Albacete,608,['77fe1f63-e814-4a7a-b1bb-346b67dd9f94'],53,,,,,,,,,,,,,,,,,,Albacete,608,00:02:53.744,Pass,,2004/2005
