bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.3914,,,,,,,,,,,,,810650ef-f337-435b-81b0-0646a056029f,968,,"[71.7, 7.7]",266357,21,,,,,0.47614697,,Left Foot,,,"[103.5, 24.1]",,Ground Pass,,35.779884,,Pass Offside,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,39,Barcelona,217,['035f3e6b-aeb9-46a9-bf5c-76291408ee92'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:21:57.915,Pass,,2016/2017
,,,,,,,,,,,,,,,,2.5982,,,,,,,,,,,,,11ee1da4-264a-464e-b3bb-fe785666e1f3,970,,"[16.6, 51.4]",266357,22,,,,,0.083367966,,Right Foot,,,"[89.6, 57.5]",,High Pass,,73.25442,,,,Oriol Riera Magem,27243.0,,,,,,Free Kick,1,From Free Kick,Cecilio Nauzet Pérez González,24872.0,Goalkeeper,40,Osasuna,422,['7d06ad2b-e70d-49ea-a9aa-0929b1bef27e'],24,,,,,,,,,,,,,,,,,Osasuna,422,00:22:24.853,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.629,,,,,,,,,,,,,03c1cf82-fc27-4d40-9e66-8c9e7aa5a59f,972,,"[90.3, 57.5]",266357,22,,,,True,-0.5389765,,,,,"[100.5, 51.4]",,High Pass,,11.884864,,Incomplete,,Sergio León Limones,6657.0,,,,,,,1,From Free Kick,Oriol Riera Magem,27243.0,Left Center Forward,40,Osasuna,422,"['a1e2dfcb-0028-4ad2-a00d-3439bc88f409', 'acd8d775-7097-41c4-a084-ca3dd703f12d', 'ae3b7acf-687b-4935-91e3-d804412f6ac9']",27,,,,,,,,,,,,,,,,,Osasuna,422,00:22:27.451,Pass,True,2016/2017
,,,,,,,,,,,,,,,,1.1918,,,,,,,,,,,,,acd8d775-7097-41c4-a084-ca3dd703f12d,975,,"[19.6, 28.7]",266357,22,,,,,-1.9234159,,Head,,,"[15.0, 16.2]",,High Pass,,13.319534,,,,Jordi Alba Ramos,5211.0,,,,,,Recovery,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,41,Barcelona,217,"['03c1cf82-fc27-4d40-9e66-8c9e7aa5a59f', '503d2187-d1f8-48b4-b748-8e009215dfac']",29,,,,,,,,,,,,,,,,,Barcelona,217,00:22:29.080,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.1538,,,,,,,,,,,,,434b1d08-1e3e-487d-88a3-3319316528c1,979,,"[10.0, 4.2]",266357,22,,,,,-0.2730087,,Left Foot,,,"[15.0, 2.8]",,High Pass,,5.192302,,Incomplete,,,,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,41,Barcelona,217,"['0aa5aa34-b483-4cfc-97b5-f7e5b6148f5b', 'dfe45f82-4c1a-41b7-b66e-89078a055140']",32,,,,,,,,,,,,,,,,,Barcelona,217,00:22:32.509,Pass,True,2016/2017
,,,,,,,,,,,,,,,,1.3828,,,,,,,,,,,,,e6498810-785a-475e-b054-9cb033c2cd9e,981,,"[40.1, 0.1]",266357,22,,,,,0.89213383,,,,,"[50.1, 12.5]",,High Pass,,15.929846,,,,Sergio Busquets i Burgos,5203.0,,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,42,Barcelona,217,['321a541c-cdce-4076-bfd8-e01fb625f317'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:22:49.801,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.2475,,,,,,,,,,,,,bc2dd909-c083-4db2-98a1-374ebc671ff4,986,,"[51.7, 13.6]",266357,22,,,,,0.32175055,,Right Foot,,,"[62.8, 17.3]",,Ground Pass,,11.700427,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,42,Barcelona,217,"['575f9bcb-717d-439e-9ec4-0fa510636405', 'ce7e6bbe-655b-4ca3-b607-fd11fd25fc94']",51,,,,,,,,,,,,,,,,,Barcelona,217,00:22:51.720,Pass,True,2016/2017
,,,,,,,,,,,,,,,,1.2085,,,,,,,,,,,,,410cac28-2843-4e31-ad7b-26b7a0d8e677,992,,"[65.0, 20.1]",266357,23,,,,,1.4963726,,Left Foot,,,"[66.7, 42.9]",,Ground Pass,,22.863289,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Free Kick,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,43,Barcelona,217,['3a05e8db-4ddf-4541-82f8-73a6615b6a4c'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:23:11.422,Pass,,2016/2017
,,,,,,,,,,,,,,,,3.5635,,,,,,,,,,,,,737460c3-abd3-4471-9cbe-fa551e55ef78,995,,"[71.9, 34.9]",266357,23,,,,,-0.264447,,Left Foot,,,"[118.8, 22.2]",,High Pass,,48.589092,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,43,Barcelona,217,['d4cd129a-8162-490b-b56d-fab620a0b060'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:23:14.811,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.9969,,,,,,,,,,,,,ba0d705f-206c-43ca-82b4-7e0b4b70edd4,997,,"[118.8, 22.2]",266357,23,,,,,2.0970402,,Left Foot,True,True,"[110.9, 35.8]",,Low Pass,,15.728001,,Incomplete,,Arda Turan,11094.0,,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,43,Barcelona,217,"['8f24561a-2228-4c41-984f-d8e45992078c', 'cd005578-c71e-4f2f-a934-2a68c4430922']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:23:18.374,Pass,,2016/2017
,,,,,,,,,,,,,,,,3.693863,,,,,,,,,,,,,67e5747f-5e6f-4293-b823-2cb5ca32b498,1000,,"[120.0, 0.1]",266357,23,,,,,1.8919382,5e0a0a11-4967-4b47-bd14-aed2bb3a3cc7,Left Foot,,,"[103.6, 49.4]",,High Pass,,51.95623,,,True,Luis Alberto Suárez Díaz,5246.0,True,,True,Outswinging,,Corner,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,44,Barcelona,217,['a8540e3e-ad17-420d-8255-bce86d2b7a04'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:23:41.692,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.490601,,,,,,,,,,,,,de25b093-b70b-4aab-a8cf-a9e2be368954,1005,,"[120.0, 80.0]",266357,24,,,,,-1.9203024,3bf8eda4-abcd-469e-aa52-489416fbb1b6,Left Foot,,,"[100.1, 25.4]",,Low Pass,,58.113422,,,,Andrés Iniesta Luján,5216.0,True,True,True,Straight,,Corner,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,45,Barcelona,217,['12c34fc9-4c5c-49cb-8392-e9bb5f21c30d'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:24:00.088,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.662023,,,,,,,,,,,,,7111ab3a-3071-4e20-ab86-db08ae5c40a7,1010,,"[6.0, 44.0]",266357,24,,,,,0.06583877,,Right Foot,,,"[24.2, 45.2]",,Ground Pass,,18.239517,,,,Miguel Flaño Bezunartea,24313.0,,,,,,Goal Kick,1,From Goal Kick,Cecilio Nauzet Pérez González,24872.0,Goalkeeper,46,Osasuna,422,['a9edfb27-2769-4285-a4f1-0bbb595287ca'],25,,,,,,,,,,,,,,,,,Osasuna,422,00:24:25.530,Pass,,2016/2017
,,,,,,,,,,,,,,,,2.943124,,,,,,,,,,,,,fae56ca4-0075-4b19-bbb7-e7ac2bd23c72,1014,,"[30.6, 39.9]",266357,24,,,,,-1.0206598,,Right Foot,,,"[50.9, 6.8]",,Ground Pass,,38.829113,,,,Carlos Clerc Martínez,23948.0,,,,,,,1,From Goal Kick,Miguel Flaño Bezunartea,24313.0,Right Center Back,46,Osasuna,422,"['2668ff5c-77da-4183-9365-4421195159cd', 'be4ff523-d964-41a3-af6b-839e86763423']",30,,,,,,,,,,,,,,,,,Osasuna,422,00:24:30.158,Pass,True,2016/2017
