50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.8974,,,,,,,,,,,,,,b5dd9303-0422-411c-957b-5a148001c57e,63,,"[59.7, 60.7]",68364,1,,,,-0.64436543,,Left Foot,,,,"[78.2, 46.8]",,Ground Pass,,23.140009,,,,Anderson Luís de Souza,19757.0,,,,,,,1,From Counter,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,5,Barcelona,217,['ae7c250a-ae94-435b-beb9-16d0d4eac1db'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.691,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.066,,,,,,,,,,,,,,4f5f202e-c987-47cd-aa01-fd130b36d94d,71,,"[30.6, 44.5]",68364,1,,,,0.6725788,,Right Foot,,,,"[41.9, 53.5]",,Ground Pass,,14.446107,,,,Rubén Gracia Calmache,25921.0,,,,,,,1,Regular Play,Fabricio Fabio Fuentes,26196.0,Right Center Back,6,Villarreal,222,['46e2ceaf-b69c-49dd-83c4-886c009ea6b1'],28,,,,,,,,,,,,,,,,,Villarreal,222,00:01:28.032,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.5203,,,,,,,,,,,,,,149aaf61-659f-4ae3-881f-b3d0caa64f01,74,,"[52.2, 46.2]",68364,1,,,,-1.3582295,,Right Foot,,,,"[55.2, 32.3]",,Ground Pass,,14.220057,,,,Santiago Cazorla González,11386.0,,,,,,,1,Regular Play,Rubén Gracia Calmache,25921.0,Right Midfield,6,Villarreal,222,['87f423c8-730c-4963-aff7-1f33016983e1'],30,,,,,,,,,,,,,,,,,Villarreal,222,00:01:30.643,Pass,,2007/2008
,,,,,,,,,,,,,,,,2.6928,,,,,,,,,,,,,,ac9a0b3f-745b-4879-b66c-048926f76b75,77,,"[63.2, 30.6]",68364,1,,,,-0.93263006,,Right Foot,,,,"[83.3, 3.5]",,Ground Pass,,33.74048,,,,Joan Capdevila Méndez,20134.0,,,,,,,1,Regular Play,Santiago Cazorla González,11386.0,Left Midfield,6,Villarreal,222,['df897193-af64-4abf-9d10-46039341fa52'],33,,,,,,,,,,,,,,,,,Villarreal,222,00:01:33.063,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.1859,,,,,,,,,,,,,,a83d82df-f8d3-4ac8-bb00-e07b4116a36c,80,,"[100.1, 4.3]",68364,1,,,,0.7328151,,Left Foot,,,,"[104.1, 7.9]",,High Pass,,5.3814497,,Incomplete,,,,,,,,,,1,Regular Play,Joan Capdevila Méndez,20134.0,Left Back,6,Villarreal,222,['6a8ab821-b02d-402f-8c64-0d9516521608'],39,,,,,,,,,,,,,,,,,Villarreal,222,00:01:39.780,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.2554,,,,,,,,,,,,,,395874da-2417-4986-9ad0-d942a5f92689,86,,"[19.8, 73.5]",68364,1,,,,2.4173427,,Right Foot,,,,"[14.6, 78.1]",,Ground Pass,,6.942622,,,,Oleguer Presas Renom,25873.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Center Defensive Midfield,6,Villarreal,222,"['268641cc-05ea-4c5b-82e0-b95f3882b98c', 'f504a979-c3d1-4f4d-81e1-8e50a456393c']",46,,,,,,,,,,,,,,,,,Barcelona,217,00:01:46.528,Pass,True,2007/2008
,,,,,,,,,,,,,,,,2.2828,,,,,,,,,,,,,,3616de03-35e5-4ab2-8ccb-1089534f3cca,88,,"[14.6, 78.3]",68364,1,,,,-0.7477727,,Right Foot,,,,"[46.3, 48.9]",,High Pass,,43.234825,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Oleguer Presas Renom,25873.0,Right Back,6,Villarreal,222,"['6638d3f6-9309-4345-8539-00ac20da1a44', 'f3e0309d-a232-4d77-bb62-033ce3394bb7']",47,,,,,,,,,,,,,,,,,Barcelona,217,00:01:47.783,Pass,,2007/2008
,,,,,,,,,,True,,,,,,2.4151,,,,,,,,,,,,,,6638d3f6-9309-4345-8539-00ac20da1a44,90,,"[74.7, 32.1]",68364,1,,,,-1.6809258,,Head,,,,"[72.4, 11.3]",,High Pass,,20.926777,,,,Bruno Soriano Llido,22819.0,,,,,,Interception,1,Regular Play,Marcos Antonio Senna da Silva,20135.0,Left Center Midfield,6,Villarreal,222,"['3616de03-35e5-4ab2-8ccb-1089534f3cca', 'f4647f6b-c7b5-46de-a2fa-725e5406e7d0']",50,,,,,,,,,,,,,,,,,Villarreal,222,00:01:50.066,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.6927,,,,,,,,,,,,,,615bd240-0b7c-4957-821b-35313b684a4d,94,,"[69.0, 7.5]",68364,1,,,,2.081547,,Left Foot,,,,"[62.5, 19.1]",,Low Pass,,13.296992,,,,Marcos Antonio Senna da Silva,20135.0,,,,,,,1,Regular Play,Bruno Soriano Llido,22819.0,Right Center Midfield,6,Villarreal,222,"['01a66c84-c8f1-435a-b29e-3c84e19d7326', '276faf41-cf5d-473f-9823-701f36a21484']",53,,,,,,,,,,,,,,,,,Villarreal,222,00:01:53.059,Pass,True,2007/2008
,,,,,,,,,,,,,,,,0.7645,,,,,,,,,,,,,,a13d9a36-2b38-407f-a3c4-54689b3633d5,97,,"[62.5, 19.1]",68364,1,,,,-0.55002433,,Left Foot,,,,"[76.2, 10.7]",,Low Pass,,16.070158,,,,Bruno Soriano Llido,22819.0,,,,,,,1,Regular Play,Marcos Antonio Senna da Silva,20135.0,Left Center Midfield,6,Villarreal,222,['9e127a3d-5a9c-40a2-a63d-adffe103c6a3'],53,,,,,,,,,,,,,,,,,Villarreal,222,00:01:53.792,Pass,,2007/2008
