bad_behaviour_card,ball_receipt_outcome,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.1408,,,,,,,,,,,,6a56f33c-f899-4ed7-b113-fbf9f10a50d4,83,,"[78.8, 56.7]",266989,2,,,,-2.8016622,,Left Foot,,,,"[62.4, 50.9]",,Ground Pass,,17.395401,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,8,Barcelona,217,['d04e6379-3920-408c-8745-455a337678f5'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:02:07.608,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.3473,,,,,,,,,,,,39fa45fc-a678-454c-aefc-a8711eae4fbe,86,,"[62.6, 50.9]",266989,2,,,,-1.5381283,,Right Foot,,,,"[63.6, 20.3]",,Ground Pass,,30.616335,,,,Lucas Digne,6849.0,,,,,,,1,From Corner,Sergi Roberto Carnicer,6379.0,Right Back,8,Barcelona,217,['206b03e0-3f0f-4f9d-900d-8668518a9f29'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:02:10.608,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.5514,,,,,,,,,,,,2424ce69-1e4e-4d90-8400-e328d1d94379,89,,"[79.1, 8.4]",266989,2,,,,-0.9487643,,Left Foot,,,,"[82.9, 3.1]",,Ground Pass,,6.521503,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Corner,Lucas Digne,6849.0,Left Back,8,Barcelona,217,['a7f2b64d-0f67-4789-bb80-fcb9e66d9d64'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:02:17.659,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.2102,,,,,,,,,,,,45ae5583-da40-47e5-8875-1827c39671e6,92,,"[82.2, 2.4]",266989,2,,,,0.34265342,,Right Foot,,,,"[99.3, 8.5]",,High Pass,,18.15544,,Incomplete,,Lucas Digne,6849.0,,,,,,,1,From Corner,Luis Alberto Suárez Díaz,5246.0,Center Forward,8,Barcelona,217,"['3dcc9a20-2537-4099-ba71-54a9f9405867', '774d345d-d9bb-4820-8563-a31dc0e61d42']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:02:19.211,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.362851,,,,,,,,,,,,3dcc9a20-2537-4099-ba71-54a9f9405867,94,,"[20.8, 71.6]",266989,2,,,,-2.398542,,Left Foot,,,,"[8.5, 60.3]",,Ground Pass,,16.702694,,,,Adil Rami,3253.0,,,,,,Recovery,1,Regular Play,Mariano Ferreira Filho,21210.0,Right Back,9,Sevilla,213,"['45ae5583-da40-47e5-8875-1827c39671e6', '6120458b-0ddd-4ebc-ad43-8193704764c1']",21,,,,,,,,,,,,,,,,,Sevilla,213,00:02:21.421,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.348174,,,,,,,,,,,,75b2f125-9757-4a1e-8125-bfda158559ef,98,,"[8.2, 59.8]",266989,2,,,,1.375776,,Right Foot,,,,"[11.4, 76.0]",,Low Pass,,16.513025,,,,Mariano Ferreira Filho,21210.0,,,,,,,1,Regular Play,Adil Rami,3253.0,Right Center Back,9,Sevilla,213,"['3d066174-d0b5-4782-9b28-e4af85bc7117', 'e6c5fa74-e3af-4449-b15d-e7b41a888d51']",23,,,,,,,,,,,,,,,,,Sevilla,213,00:02:23.412,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,2.4998,,,,,,,,,,,,65154ecd-3204-48d4-a974-d1fa33728bb8,102,,"[17.4, 75.0]",266989,2,,,,-0.34204298,,Right Foot,,,,"[49.7, 63.5]",,High Pass,,34.286148,,,,Franco Damián Vázquez,6719.0,,,,,,,1,Regular Play,Mariano Ferreira Filho,21210.0,Right Back,9,Sevilla,213,['fb488a81-ef99-425f-872a-6be89dfa6224'],26,,,,,,,,,,,,,,,,,Sevilla,213,00:02:26.431,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.954356,,,,,,,,,,,,556166f0-9de7-4684-8413-c5f2917f44c7,105,,"[49.7, 63.5]",266989,2,,,True,1.4649981,,,,,,"[50.9, 74.8]",,High Pass,,11.363538,,,,Luciano Vietto,6744.0,,,,,,,1,Regular Play,Franco Damián Vázquez,6719.0,Right Center Midfield,9,Sevilla,213,"['47d22427-9cd9-4d73-887c-2d680ba7fe85', '92b3f693-f3ac-4437-a3ac-38096ddb4e48']",28,,,,,,,,,,,,,,,,,Sevilla,213,00:02:28.971,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,1.7133,,,,,,,,,,,,51237e74-9011-4d36-8d42-1c49aa193aa0,109,,"[51.9, 74.8]",266989,2,,,,-0.023469867,,Right Foot,,,,"[73.2, 74.3]",,Low Pass,,21.305868,,Incomplete,,Pablo Sarabia García,6720.0,,,,,,,1,Regular Play,Luciano Vietto,6744.0,Center Forward,9,Sevilla,213,"['4f9f2711-5313-4f56-b13d-02d1c6a3568f', 'db431930-ba1a-45b6-aee3-31ee8e119e24']",31,,,,,,,,,,,,,,,,,Sevilla,213,00:02:31.351,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.5151,,,,,,,,,,,,5e32ae89-39f4-4a6f-9281-53a6fab769b8,112,,"[78.0, 80.0]",266989,2,,,,-0.29988524,,,,,,"[93.2, 75.3]",,Low Pass,,15.91006,,,,Franco Damián Vázquez,6719.0,,,,,,Throw-in,1,From Throw In,Mariano Ferreira Filho,21210.0,Right Back,10,Sevilla,213,['a62f6c64-0354-4b5d-8c61-d5b39d8177c1'],54,,,,,,,,,,,,,,,,,Sevilla,213,00:02:54.173,Pass,,2016/2017
