50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.062975,,,,,,,,,,,,,7c691de8-89ca-4263-8767-aca57e83c154,56,,,"[35.8, 55.8]",69296,0,,,,-0.038671188,,Right Foot,,,"[69.4, 54.5]",,Ground Pass,,33.62514,,,Incomplete,,Jorge López Marco,26744.0,,,,,,,1,Regular Play,Abel Enrique Aguilar Tapia,6192.0,Left Defensive Midfield,5,Barcelona,217,"['3ce29052-614a-4370-9dd4-097afccb5951', '4293f27a-a6c3-48f9-9df0-5a8c138ff059']",41,,,,,,,,,,,,,,,,,Hércules,1218,00:00:41.740,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.6556,,,,,,,,,,,,,2f5cb80d-f48a-40e5-ba90-048834a19214,63,,,"[52.7, 15.7]",69296,0,,,,0.9018896,,Left Foot,,,"[61.0, 26.2]",,Ground Pass,,13.384319,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,5,Barcelona,217,['71e2564d-f6a0-421b-9451-21675bd1e373'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.844,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.837636,,,,,,,,,,,,,eb17cf0e-cf94-47e9-8ae6-0d11e216758f,66,,,"[60.4, 26.2]",69296,0,,,,-2.3679585,,Right Foot,,,"[51.8, 17.8]",,Ground Pass,,12.021647,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['db031740-8d15-4542-919b-bb26e553aad9'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.539,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.3968,,,,,,,,,,,,,2f88e552-db0e-4f8e-bdb5-984ab3de298f,70,,,"[52.2, 18.7]",69296,0,,,,-0.12832323,,Left Foot,,,"[64.6, 17.1]",,Ground Pass,,12.5028,,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,5,Barcelona,217,['cd93c1c3-c755-401b-b1a3-077f646a91c6'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.815,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.7494,,,,,,,,,,,,,c0890759-707a-49b7-bf06-f0a6aa906eea,73,,,"[67.6, 20.4]",69296,0,,,,1.1401038,,Right Foot,,,"[71.0, 27.8]",,Ground Pass,,8.143709,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,5,Barcelona,217,['45ac5308-5173-4710-bc19-a821e5ef8640'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.689,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.829798,,,,,,,,,,,,,0f8ed5dc-84c8-4b6e-b453-2c93a64e443c,76,,,"[70.1, 29.8]",69296,0,,,,1.485291,,Left Foot,,,"[71.3, 43.8]",,Ground Pass,,14.051334,,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,5,Barcelona,217,['0b404837-2401-4c6b-9ebf-1ca41f6e1e0b'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.182,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.001102,,,,,,,,,,,,,9778ac88-b498-43e7-9d83-c32adca2bbd1,79,,,"[71.7, 45.5]",69296,0,,,,-2.3107712,,Right Foot,,,"[63.3, 36.3]",,Ground Pass,,12.45793,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,5,Barcelona,217,['2790b9a1-d591-451e-9250-5113fa947e26'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.012,Pass,,2010/2011
,,,,,,,,,,,,,,,,2.06331,,,,,,,,,,,,,4148aaa9-ec91-4228-8318-7e6803368358,82,,,"[63.3, 36.3]",69296,0,,,,1.2049149,,Right Foot,,,"[79.2, 77.8]",,Low Pass,,44.441647,,,,,Daniel Alves da Silva,4324.0,,,True,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['a89fae08-ee1a-4a4e-bc99-fef5e876ea44'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.332,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.351809,,,,,,,,,,,,,c943333d-747e-4626-8a3a-c42532963481,85,,,"[88.9, 70.3]",69296,1,,,,-2.3251486,,Right Foot,,,"[81.1, 62.0]",,Ground Pass,,11.389908,,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,5,Barcelona,217,['409f56ab-81cf-4a70-896a-b63ff359a890'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.331,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.2859,,,,,,,,,,,,,46d8b6ef-10a5-4ae0-a8f3-c6877966fc98,88,,,"[83.4, 59.6]",69296,1,,,,-1.4778011,,Right Foot,,,"[85.2, 40.3]",,Ground Pass,,19.383757,,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,5,Barcelona,217,['c4768e1e-e294-45f3-8c0c-476b5676f9b4'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.541,Pass,,2010/2011
