bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,2.6472,,,,,,,,,,,,,,,ad5adbfe-bc42-4ec6-96a6-613add4ee9d9,57,,"[56.8, 10.2]",266240,2,,True,,,1.8316902,,Right Foot,,,,"[45.4, 52.9]",High Pass,,44.195587,,,,,Javier Alejandro Mascherano,5506.0,,,True,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,['4005bf5c-2e24-404b-a21b-661cf32b2ea8'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:02:14.889,Pass,,2014/2015
,,,,,,,,,,,,,,1.9207,,,,,,,,,,,,,,,674f9ffa-a073-4404-81ac-e9e703020704,59,,"[65.2, 55.3]",266240,2,,,,,0.82838243,,Right Foot,,,,"[83.0, 74.7]",Ground Pass,,26.328691,,,,,Martín Montoya Torralbo,6593.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,6,Barcelona,217,['0e5ba710-a0fa-4dda-9aa1-8c5d6fedc794'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:02:22.068,Pass,,2014/2015
,,,,,,,,,,,,,,1.2478,,,,,,,,,,,,,,,dfb37b96-be31-425e-8934-e99420167093,63,,"[79.9, 69.8]",266240,2,,,,,-2.5592396,,Right Foot,,,,"[67.6, 61.7]",Ground Pass,,14.727526,,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Martín Montoya Torralbo,6593.0,Right Back,6,Barcelona,217,"['fa670132-b5ba-4025-a9cd-b2ad575701b0', 'fd9bfb84-9162-45e4-bf44-8fae6041e92a']",26,,,,,,,,,,,,,,,,,Barcelona,217,00:02:26.224,Pass,True,2014/2015
,,,,,,,,,,,,,,2.775464,,,,,,,,,,,,,,,9c914a11-52aa-4362-b478-65537330fe4c,66,,"[68.0, 60.8]",266240,2,,,,,-0.96166664,,Right Foot,,,,"[100.3, 14.5]",High Pass,,56.453342,,,Incomplete,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,True,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,6,Barcelona,217,"['9711bb10-f6a9-4dff-8aab-4a7b8fb75a89', 'fad3da5c-c469-48a7-b776-14a3c68ee26e']",29,,,,,,,,,,,,,,,,,Barcelona,217,00:02:29.337,Pass,,2014/2015
,,,,,,,,,,,,,,0.8555,,,,,,,,,,,,,,,7eae4454-7fc7-48b4-b7ef-8d3740711b39,69,,"[100.1, 0.1]",266240,2,,,,,1.375515,,,,,,"[101.9, 9.2]",High Pass,,9.276314,,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,7,Barcelona,217,['aca6c4d8-7af9-4cfb-b2fd-9930b1f7c2aa'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:02:41.823,Pass,,2014/2015
,,,,,,,,,,,,,,2.0062,,,,,,,,,,,,,,,1aef97de-fd75-4dd5-9373-b49d6001d5c9,72,,"[102.5, 8.6]",266240,2,,,,,-0.2772834,,Right Foot,,,,"[115.5, 4.9]",Ground Pass,,13.516287,,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Throw In,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,7,Barcelona,217,['5cb82920-eebc-4c4c-ad03-e3a58b3fdb61'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:02:42.718,Pass,,2014/2015
,,,,,,,,,,,,,,1.5491,,,,,,,,,,,,,,,1e34e26e-5493-4368-84d4-9c8664540457,76,,"[114.6, 5.3]",266240,2,,,,,1.8885549,863a3fba-c35d-4f47-aec6-fa81561af7c5,Left Foot,True,,,"[104.7, 35.4]",High Pass,,31.686275,,,,,Munir El Haddadi Mohamed,6616.0,True,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,7,Barcelona,217,['075bf88c-a58d-4fda-b12b-0f9d656adcc3'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:02:44.805,Pass,,2014/2015
,,,,,,,,,,,,,,1.514,,,,,,,,,,,,,,,895caab1-4053-4ee9-85d1-2e59c8d833cf,81,,"[101.3, 28.0]",266240,2,,,,,2.0562851,26b5c262-a63b-471d-8004-2ad3797fa55b,Head,,,,"[92.7, 44.3]",Low Pass,,18.429596,,,,,Martín Montoya Torralbo,6593.0,True,,,,,Recovery,1,From Throw In,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,7,Barcelona,217,['e5447e5c-f1a7-474a-a3de-e8e43306daff'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:02:47.992,Pass,,2014/2015
,,,,,,,,,,,,,,1.9426,,,,,,,,,,,,,,,d6f45bd2-8280-459d-b498-3452fc2cdc9a,86,,"[12.1, 0.1]",266240,3,,,,,0.3113703,,,,,,"[38.2, 8.5]",High Pass,,27.418425,,,,,Sergio Canales Madrazo,6673.0,,,,,,Throw-in,1,From Throw In,Alberto De La Bella Madureño,6674.0,Left Back,8,Real Sociedad,210,['333452f1-fa23-4859-bc98-6e5d08dff2c8'],8,,,,,,,,,,,,,,,,,Real Sociedad,210,00:03:08.980,Pass,,2014/2015
,,,,,,,,,,,,,,1.9351,,,,,,,,,,,,,,,90b66596-0f10-442c-8d28-ce3eba8a2b92,90,,"[34.5, 16.8]",266240,3,,,,,-2.2719786,,Left Foot,,,,"[20.4, 0.1]",Ground Pass,,21.85635,,,Out,,Alberto De La Bella Madureño,6674.0,,,,,,,1,From Throw In,Sergio Canales Madrazo,6673.0,Center Attacking Midfield,8,Real Sociedad,210,['3235d09d-23fa-41ec-9f46-d10923d6a154'],11,,,,,,,,,,,,,,,,,Real Sociedad,210,00:03:11.996,Pass,,2014/2015
,,,,,,,,,,,,,,0.9211,,,,,,,,,,,,,,,ba24aa9d-d58d-4050-9298-db33e1ec901e,92,,"[92.7, 80.0]",266240,3,,,,,-0.64502317,,,,,,"[103.2, 72.1]",High Pass,,13.140016,,,,,Munir El Haddadi Mohamed,6616.0,,,,,,Throw-in,1,From Throw In,Martín Montoya Torralbo,6593.0,Right Back,9,Barcelona,217,['eafc02b3-bfa1-407d-bec1-9c70e482f28b'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:03:18.679,Pass,,2014/2015
,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,4efe8eee-923d-479a-bf4f-b4b84c0555f6,95,,"[103.4, 72.1]",266240,3,,,,,2.9012942,,Left Foot,,,,"[88.3, 75.8]",Ground Pass,,15.546704,,,Incomplete,,Martín Montoya Torralbo,6593.0,,,,,,,1,From Throw In,Munir El Haddadi Mohamed,6616.0,Right Wing,9,Barcelona,217,"['1d10f501-30df-40dc-b651-0c4aa3a409fa', '7dee3421-b39e-41ed-85db-a178c3b0c737']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:03:19.680,Pass,,2014/2015
