50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.5084,,,,,,,,,,,,,,65e787cd-2f78-4e3d-90dd-53803ec51ba2,1626,,"[120.0, 80.0]",266236,42,,,,,-1.8268167,,Right Foot,,,,"[111.1, 46.0]",,High Pass,,35.145554,,,Incomplete,True,,,,,Outswinging,,Corner,1,From Corner,Ivan Rakitić,5470.0,Right Center Midfield,67,Barcelona,217,['d4ba2975-f094-4a1b-bdac-ccfbb6bae74a'],1,,,,,,,,,,,,,,,,Barcelona,217,00:42:01.183,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.4387,,,,,,,,,,,,,,c03f7826-089e-4ed8-9ab7-c702749fdbfe,1629,,"[92.4, 47.2]",266236,42,,,,,3.1415927,,Right Foot,,,,"[79.5, 47.2]",,Ground Pass,,12.9,,,,,Sergi Roberto Carnicer,6379.0,,,,,Recovery,1,From Corner,Andrés Iniesta Luján,5216.0,Left Center Midfield,67,Barcelona,217,['e4cfe75c-5e4d-4fcd-ae93-910474045953'],5,,,,,,,,,,,,,,,,Barcelona,217,00:42:05.061,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,3.4452,,,,,,,,,,,,,,00d4ec78-8658-4e59-b487-419a55404d64,1632,,"[79.5, 47.2]",266236,42,,,,,-3.0340097,,Right Foot,,,,"[54.5, 44.5]",,Ground Pass,,25.145378,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Corner,Sergi Roberto Carnicer,6379.0,Right Back,67,Barcelona,217,['bf289156-284c-4695-801a-ef613fa962e0'],6,,,,,,,,,,,,,,,,Barcelona,217,00:42:06.618,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,2.5112,,,,,,,,,,,,,,75ada0ec-14b5-4adc-b8ed-a6e3e1c2d557,1636,,"[52.4, 42.0]",266236,42,,,,,2.9356503,,Left Foot,,,,"[23.2, 48.1]",,Ground Pass,,29.830353,,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,From Corner,Jordi Alba Ramos,5211.0,Left Back,67,Barcelona,217,"['a30a2db0-b26d-4be4-a527-30a9f0239e0e', 'e0555e38-d0dc-4b40-9c32-7acd4d696f1d']",10,,,,,,,,,,,,,,,,Barcelona,217,00:42:10.140,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,2.989,,,,,,,,,,,,,,0d89d635-f76b-4981-a23a-106d8df87200,1640,,"[23.0, 51.0]",266236,42,,,,,0.35139146,,Right Foot,,,,"[78.1, 71.2]",,High Pass,,58.686028,,,Incomplete,,Ivan Rakitić,5470.0,,,,,,1,From Corner,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,67,Barcelona,217,"['3621370d-a97e-40a6-beab-a1a77435519e', '3d270c24-a41a-4690-8f11-a9f29f653614', 'f71eaa6c-f24c-4856-b902-791fc35e982a']",17,,,,,,,,,,,,,,,,Barcelona,217,00:42:17.450,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,2.8786,,,,,,,,,,,,,,3fbb53bd-f2f2-46cd-b600-f7027926841c,1644,,"[82.9, 80.0]",266236,42,,,,,-1.2655731,,,,,,"[89.8, 58.1]",,Low Pass,,22.961271,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,Throw-in,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,68,Barcelona,217,['c0cabce6-4af3-40dc-8fea-15f56c46ca7f'],31,,,,,,,,,,,,,,,,Barcelona,217,00:42:31.690,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.507292,,,,,,,,,,,,,,e29e0f78-6212-4660-9fd2-49d3178095d1,1648,,"[91.9, 53.1]",266236,42,,,,,-0.52868986,,Left Foot,,,,"[112.1, 41.3]",,Low Pass,,23.394016,,,Incomplete,,Rafael Alcântara do Nascimento,6998.0,,,,,,1,From Throw In,Luis Alberto Suárez Díaz,5246.0,Center Forward,68,Barcelona,217,"['4556561d-5061-4333-8203-6c8ef79e6a89', 'a3f35cdb-d6c3-4579-8920-662913a76c70', 'e3318053-c174-40fa-a6e6-ce9ee8a35fa3']",34,,,,,,,,,,,,,,,,Barcelona,217,00:42:34.578,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,3.8439,,,,,,,,,,,,,,54fd1059-b2e3-4dfe-8ec4-910febd2c961,1652,,"[17.2, 54.9]",266236,42,,,,,0.004379534,,Drop Kick,,,,"[85.7, 55.2]",,High Pass,,68.500656,,,Incomplete,,Aritz Aduriz Zubeldia,6394.0,,,,,,1,From Keeper,Gorka Iraizoz Moreno,6576.0,Goalkeeper,69,Athletic Club,215,"['3dd3d015-8929-4736-aa67-0ae004768ce0', '45c5ff64-4e0b-4f50-ba2f-addda304e3e6']",48,,,,,,,,,,,,,,,,Athletic Club,215,00:42:48.723,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,2.434674,,,,,,,,,,,,,,8d02ed9b-82bb-4298-aab9-376536cfd1b5,1657,,"[83.6, 39.4]",266236,43,,,,,0.45200518,,Right Foot,,,,"[114.7, 54.5]",,High Pass,,34.571953,,,Pass Offside,,Mikel Rico Moreno,6656.0,,,,,Free Kick,1,From Free Kick,Beñat Etxebarria Urkiaga,6396.0,Left Center Midfield,70,Athletic Club,215,['9d2858f7-63d4-4bcf-9e4d-2577b4c69538'],44,,,,,,,,,,,,,,,,Athletic Club,215,00:43:44.617,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.4811,,,,,,,,,,,,,,0a3519f8-5a2d-454e-ba56-d71eb618cdff,1659,,"[9.8, 27.7]",266236,44,,,,,-1.0709529,,Right Foot,,,,"[17.5, 13.6]",,Ground Pass,,16.06549,,,,,Thomas Vermaelen,6332.0,,,,,Free Kick,1,From Free Kick,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,71,Barcelona,217,['c1b38bc0-abdc-44f2-9f25-56da93cbccc9'],8,,,,,,,,,,,,,,,,Barcelona,217,00:44:08.606,Pass,,2015/2016
