50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.474036,,,,,,,,,,,,407fe780-973c-4cf5-8250-4f93afdf2131,17,,"[55.6, 44.7]",267506,0,,,,2.890265,,Right Foot,,,,"[40.8, 48.5]",,Ground Pass,,15.280052,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['afdfb2f2-9a0e-40b2-88e2-0c353202c759'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.832,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.765475,,,,,,,,,,,,c25bd361-e523-474a-a18f-3b1bb058f972,20,,"[55.9, 52.3]",267506,0,,,,-1.5188553,,Right Foot,,,,"[57.6, 19.6]",,Ground Pass,,32.74416,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['304e499b-e775-4c63-b286-e91d05690035'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.706,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.319413,,,,,,,,,,,,97db5be1-5063-44af-b370-88fb15424c96,23,,"[62.9, 24.3]",267506,0,,,,1.6176933,,Right Foot,,,,"[61.6, 52.0]",,Ground Pass,,27.730488,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['c7fb9d8b-c056-4b38-a216-08cb2016b0cc'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.290,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.990424,,,,,,,,,,,,35ca538e-79a8-40d8-bb37-498058b7a278,26,,"[63.7, 55.7]",267506,0,,,,0.36537364,,Right Foot,,,,"[78.6, 61.4]",,Ground Pass,,15.953056,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['0d10f5f3-a78c-4d6e-b9b0-6aa8e804bf9e'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.161,Pass,,2015/2016
,,,,,,,,,,,,,,,,,2.176311,,,,,,,,,,,,8aac6573-ab7f-4431-b336-fb765842480b,29,,"[78.6, 61.4]",267506,0,,,,-2.126037,,Left Foot,,,,"[60.3, 31.9]",,Ground Pass,,34.715126,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['662bee2c-c827-483c-b276-730801225b49'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.352,Pass,,2015/2016
,,,,,,,,,,,,,,,,,2.500043,,,,,,,,,,,,9de00ce2-36f7-4eb8-a904-ebcb37f7cd22,33,,"[57.1, 35.5]",267506,0,,,,1.0025496,,Right Foot,,,,"[84.3, 78.1]",,High Pass,,50.543053,,,,Lionel Andrés Messi Cuccittini,5503.0,,True,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['a193a04c-1cce-432a-b030-101c8f4df576'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.994,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.8071,,,,,,,,,,,,33b960d4-1615-40c0-9a6d-11beafdab8bf,36,,"[34.8, 0.1]",267506,0,,,,0.15756157,,,,,,"[56.2, 3.5]",,High Pass,,21.66841,,,,Adalberto Peñaranda Maestre,6847.0,,,,,Throw-in,1,From Throw In,Hugo Miguel Almeida Costa Lopes,20064.0,Left Back,3,Granada,1049,['f8968e34-78c6-41cf-9d98-b99ec34eb328'],44,,,,,,,,,,,,,,,,,Granada,1049,00:00:44.593,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.9112,,,,,,,,,,,,bbe1d1fb-4caf-4956-ab59-3eed64cd967b,40,,"[56.6, 3.3]",267506,0,,,,-0.1286965,,Right Foot,,,,"[65.1, 2.2]",,Low Pass,,8.570881,,,,Youssef El-Arabi,27109.0,,,,,,1,From Throw In,Adalberto Peñaranda Maestre,6847.0,Left Wing,3,Granada,1049,"['17fb7a9d-feb4-4f71-aaac-9b730c4bafdd', 'cc069e89-5ee5-4433-82b5-8a859344f836']",46,,,,,,,,,,,,,,,,,Granada,1049,00:00:46.720,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,1.231054,,,,,,,,,,,,1056871d-941c-4634-a625-9140b3e714df,44,,"[64.9, 1.5]",267506,0,,,,0.45407853,,Right Foot,,,,"[73.3, 5.6]",,Low Pass,,9.347192,,,,Adalberto Peñaranda Maestre,6847.0,,,,,,1,From Throw In,Youssef El-Arabi,27109.0,Center Forward,3,Granada,1049,['37151f87-67a0-4a85-aa74-c8de7d7e2bc8'],48,,,,,,,,,,,,,,,,,Granada,1049,00:00:48.719,Pass,,2015/2016
,,,,,,,,,,,,,,,,,2.08767,,,,,,,,,,,,8b4f9110-910e-41fb-a646-3d002c8c898d,55,,"[48.7, 74.3]",267506,1,,,,-1.7486085,,Right Foot,,,,"[42.5, 39.8]",,Ground Pass,,35.052673,,,,Andrés Iniesta Luján,5216.0,,,,,Free Kick,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,5,Barcelona,217,['dfb9dc91-231c-4d76-99a1-672c485f55c3'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.947,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.909387,,,,,,,,,,,,381dd6d6-4bec-43f8-8960-5fb2d9a13399,58,,"[65.8, 31.9]",267506,1,,,,1.8285016,,Right Foot,,,,"[62.4, 44.8]",,Ground Pass,,13.34054,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Left Center Midfield,5,Barcelona,217,['7cae5820-73f6-47e9-a23a-62c9feee9b45'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.973,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.10226,,,,,,,,,,,,d63a02ae-54cd-49d2-a8a8-598386a9572a,61,,"[61.8, 45.1]",267506,1,,,,1.7874379,,Right Foot,,,,"[57.2, 66.0]",,Ground Pass,,21.400234,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['ee1036f2-9f58-457f-a01f-b3521d608e49'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.672,Pass,,2015/2016
