50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.689179,,,,,,,,,,,,0dd4d490-41c9-4731-96ba-177c75e220dd,54,,"[50.3, 28.6]",303596,1,,,,,-2.3561945,,Other,,,"[47.5, 25.8]",High Pass,,3.9597979,,Incomplete,,Frenkie de Jong,8118.0,,,,,,1,From Free Kick,Antoine Griezmann,5487.0,Left Wing,5,Barcelona,217,"['2a27be57-1f44-45f4-988d-b42d9e804140', '656c1988-2c24-4614-a670-6170cdabd86f', 'fcb50da1-7700-4ca7-884a-0f0d97e381ba']",18,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.489,Pass,True,2019/2020
,,,,,,,,,,,,,,,,2.594409,,,,,,,,,,,,fcb50da1-7700-4ca7-884a-0f0d97e381ba,56,,"[72.6, 54.3]",303596,1,,,,,1.375515,,Head,,,"[76.2, 72.5]",High Pass,,18.552628,,Incomplete,,,,,,,,Recovery,1,From Free Kick,Federico Santiago Valverde Dipetta,6773.0,Right Center Midfield,5,Barcelona,217,"['0dd4d490-41c9-4731-96ba-177c75e220dd', '231c0d34-ce28-44c6-8f9c-660596d729dd']",19,,,,,,,,,,,,,,,,Real Madrid,220,00:01:19.178,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.463994,,,,,,,,,,,,231c0d34-ce28-44c6-8f9c-660596d729dd,57,,"[43.9, 7.6]",303596,1,,,,,-0.03634762,,Head,,,"[60.4, 7.0]",High Pass,,16.510906,,,,Luis Alberto Suárez Díaz,5246.0,,,,,Recovery,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,"['0f3de1b9-9048-4458-85eb-e6ca029bdb50', 'fcb50da1-7700-4ca7-884a-0f0d97e381ba']",21,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.773,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.408866,,,,,,,,,,,,e7126a39-2757-457a-9b1f-a42d3824a8a7,61,,"[50.5, 75.0]",303596,1,,,,,0.48885235,,Right Foot,,,"[59.9, 80.0]",High Pass,,10.647065,,Out,,,,,,,,Recovery,1,From Free Kick,Raphaël Varane,5485.0,Right Center Back,5,Barcelona,217,,25,,,,,,,,,,,,,,,,Real Madrid,220,00:01:25.043,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.422388,,,,,,,,,,,,904f4f78-299d-4f0b-a417-08ed281d3493,62,,"[55.7, 0.1]",303596,1,,,,,1.2843252,,,,,"[59.5, 13.0]",Low Pass,,13.448049,,,,Antoine Griezmann,5487.0,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,['449471b3-8811-4ea2-9376-6857a76a1257'],34,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.785,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.315385,,,,,,,,,,,,a141ac4d-1152-4f28-a3c6-bc9f64854f6d,65,,"[60.2, 13.0]",303596,1,,,,,-1.985702,,Left Foot,,,"[56.5, 4.6]",Low Pass,,9.17878,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Antoine Griezmann,5487.0,Left Wing,6,Barcelona,217,['4c948c4a-85c8-4f35-a629-5a9aca235b7b'],36,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.323,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.395459,,,,,,,,,,,,1c2f6fe8-8528-42d1-869c-5ba522f924c3,68,,"[56.7, 4.9]",303596,1,,,,,1.5415839,,Left Foot,,,"[57.6, 35.7]",Low Pass,,30.813147,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,['1f160529-3e81-4bb5-85e4-e32571cbb69b'],37,,,,,,,,,,,,,,,,Barcelona,217,00:01:37.656,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.141944,,,,,,,,,,,,f8ce3e7f-729b-47eb-947d-c18ccbf66718,71,,"[63.6, 42.9]",303596,1,,,,,1.1633027,,Right Foot,,,"[69.6, 56.8]",Ground Pass,,15.139683,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Center Midfield,6,Barcelona,217,['181cb287-fe61-423f-bf8d-3ccdd0383669'],40,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.473,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.217291,,,,,,,,,,,,3023fe33-9e6a-42e2-9d38-52590e881c46,75,,"[83.9, 56.2]",303596,1,,,,,-0.35144478,,Left Foot,,,"[86.9, 55.1]",Low Pass,,3.1953092,,Incomplete,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,6,Barcelona,217,"['2ff2d54b-b929-47a2-99c4-e4a17e88903a', '3c2e762d-ab9b-4499-8bf3-eacaa29c6aec', 'b5ff1ac9-c68e-4a71-aedc-2d38a8a9e533']",44,,,,,,,,,,,,,,,,Barcelona,217,00:01:44.656,Pass,True,2019/2020
,,,,,,,,,,,,,,,,1.770116,,,,,,,,,,,,38e39361-bc58-4eb1-bb34-94be3ad9663e,82,,"[77.9, 73.7]",303596,1,,,,,-2.8172243,,Right Foot,,,"[55.0, 66.0]",Ground Pass,,24.159883,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Center Defensive Midfield,6,Barcelona,217,['ba8b8d55-b86e-4b6f-aa8d-4228eaa18172'],51,,,,,,,,,,,,,,,,Barcelona,217,00:01:51.055,Pass,,2019/2020
