bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.617346,,,,,,,,,,,8f84d870-d6d8-4cb7-82f1-272bb222e0b4,2408,,"[23.4, 48.1]",3773565,58,,,,1.1553979,,Right Foot,,,"[35.0, 74.4]",,Ground Pass,,28.744564,,,Sergino Dest,21881.0,,,,,,,2,From Throw In,Óscar Mingueza García,43728.0,Right Center Back,93,Barcelona,217,['526908c0-dab1-4d85-b18a-c8dec1152c98'],4,,,,,,,,,,,,,,,,Barcelona,217,00:13:04.405,Pass,,2020/2021
,,,,,,,,,,,,,,,1.028741,,,,,,,,,,,84942de5-d9e0-4ecc-b50c-82ef127ac1ca,2411,,"[35.0, 74.4]",3773565,58,,,,-2.23502,,Right Foot,,,"[23.1, 59.2]",,Ground Pass,,19.304144,,,Óscar Mingueza García,43728.0,,,,,,,2,From Throw In,Sergino Dest,21881.0,Right Back,93,Barcelona,217,['495d2409-e511-49df-bbcf-4d061b81c9e6'],7,,,,,,,,,,,,,,,,Barcelona,217,00:13:07.408,Pass,,2020/2021
,,,,,,,,,,,,,,,0.913598,,,,,,,,,,,d31f1fe7-5f80-4bf7-8691-d00722427b74,2414,,"[23.1, 59.2]",3773565,58,,,,-0.67882675,,Right Foot,,,"[35.0, 49.6]",,Ground Pass,,15.289539,,,Frenkie de Jong,8118.0,,,,,,,2,From Throw In,Óscar Mingueza García,43728.0,Right Center Back,93,Barcelona,217,['43b80fdb-26f3-46a8-ade5-a9b4dbc3b4c4'],12,,,,,,,,,,,,,,,,Barcelona,217,00:13:12.395,Pass,,2020/2021
,,,,,,,,,,,,,,,4.215494,,,,,,,,,,,ee207b3e-0b95-4936-889a-d4c365aa2654,2416,,"[35.0, 49.6]",3773565,58,,,,-2.416164,,Right Foot,,,"[9.4, 26.9]",,Ground Pass,,34.214764,,,Sergio Busquets i Burgos,5203.0,,,,,,,2,From Throw In,Frenkie de Jong,8118.0,Right Center Midfield,93,Barcelona,217,['32833016-bb24-4ba8-9b01-dae637de89f4'],13,,,,,,,,,,,,,,,,Barcelona,217,00:13:13.308,Pass,,2020/2021
,,,,,,,,,,,,,,,0.692169,,,,,,,,,,,023cc6de-751d-4533-ae1e-a7356f735200,2418,,"[9.4, 26.9]",3773565,58,,,,-1.0013101,,Left Foot,,,"[19.9, 10.5]",,High Pass,,19.473314,,Incomplete,Jordi Alba Ramos,5211.0,,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,93,Barcelona,217,"['7925fee1-e24f-4c71-b2c0-90bd5313f3a0', 'cce675fc-3d64-459a-9c96-00d244b60ac0']",17,,,,,,,,,,,,,,,,Barcelona,217,00:13:17.524,Pass,,2020/2021
,,,,,,,,,,,,,,,1.133098,,,,,,,,,,,27bce1b8-bda2-45f5-a8f2-6883ad8ccadb,2421,,"[33.5, 0.1]",3773565,58,,,,0.95054686,,,,,"[43.5, 14.1]",,Low Pass,,17.20465,,,Pedro González López,30486.0,,,,,,Throw-in,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,94,Barcelona,217,['c728866f-854d-49a5-844c-e72580cc9299'],26,,,,,,,,,,,,,,,,Barcelona,217,00:13:26.693,Pass,,2020/2021
,,,,,,,,,,,,,,,1.315378,,,,,,,,,,,7e319144-b77a-4134-8d5a-bb6f9c5ce4ca,2428,,"[43.9, 14.8]",3773565,58,,,,0.7943265,,Right Foot,,,"[55.0, 26.1]",,Ground Pass,,15.839823,,,Frenkie de Jong,8118.0,,,,,,,2,From Throw In,Pedro González López,30486.0,Left Center Midfield,94,Barcelona,217,['a051ef32-c290-4844-8e86-2364198f50da'],29,,,,,,,,,,,,,,,,Barcelona,217,00:13:29.097,Pass,,2020/2021
,,,,,,,,,,,,,,,1.740779,,,,,,,,,,,6acb49be-4a8a-4eee-8779-c431eee07abe,2431,,"[65.3, 33.6]",3773565,58,,,,1.5883384,,Right Foot,,,"[64.9, 56.4]",,Ground Pass,,22.803509,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,From Throw In,Frenkie de Jong,8118.0,Right Center Midfield,94,Barcelona,217,['7597da03-3739-403f-8726-8851c1576b10'],31,,,,,,,,,,,,,,,,Barcelona,217,00:13:31.769,Pass,,2020/2021
,,,,,,,,,,,,,,,0.642281,,,,,,,,,,,c226e637-47d3-4de5-95ef-99beba970b89,2434,,"[88.8, 49.7]",3773565,58,,,,-0.29544082,,Left Foot,,,"[100.3, 46.2]",,Ground Pass,,12.020815,,Incomplete,Frenkie de Jong,8118.0,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,94,Barcelona,217,"['001171b0-1bf9-40ab-a3b3-9327f73b9504', '69376265-ed58-45e1-8090-e6c4eefb1eff']",37,,,,,,,,,,,,,,,,Barcelona,217,00:13:37.075,Pass,,2020/2021
,,,,,,,,,,,,,,,1.251191,,,,,,,,,,,69ac4daf-87d2-40d5-8a46-a18814ff94eb,2438,,"[21.7, 30.1]",3773565,58,,,,0.48821732,,Right Foot,,,"[42.6, 41.2]",,High Pass,,23.664742,,Incomplete,Luis Milla Manzanares,24272.0,,,,,,,2,From Throw In,Germán Sánchez Barahona,24134.0,Left Center Back,94,Barcelona,217,"['3e64d92f-a425-4f33-bb84-b7e44d4e89a0', '46c03396-e171-467a-93c5-16aa8e5e5529']",40,,,,,,,,,,,,,,,,Granada,1049,00:13:40.173,Pass,,2020/2021
