ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,2.601432,,,,,,,,,,,,,,,8c25cda4-72ca-4f14-b8f8-5dcc820624e3,49,,"[62.1, 19.7]",69282,0,,,,1.8029002,,Right Foot,,,"[55.6, 47.2]",,Ground Pass,,28.257742,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['32be4269-4ce9-40e3-8b9d-e3b73b7a0f50'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.016,Pass,,2010/2011
,,,,,,,,,,,,,,,0.7818,,,,,,,,,,,,,,,6955bd50-2009-4d58-b27c-022c06316ddd,52,,"[58.1, 48.5]",69282,0,,,,-0.08715727,,Right Foot,,,"[68.4, 47.6]",,Ground Pass,,10.339246,,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['a5154fbf-89d5-4d3e-9228-b5576b9d72a3'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.211,Pass,,2010/2011
,,,,,,,,,,,,,,,0.667457,,,,,,,,,,,,,,,6f6ed1c0-2cc3-41a9-875c-1ef524928adb,55,,"[68.4, 46.8]",69282,0,,,,2.9792411,,Right Foot,,,"[56.8, 48.7]",,Ground Pass,,11.754574,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['ebd0c6b6-eaeb-4e57-a76f-d105b16acede'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.222,Pass,,2010/2011
,,,,,,,,,,,,,,,1.924169,,,,,,,,,,,,,,,c63391dd-50e3-4d13-a81c-f03b31061f41,59,,"[58.3, 50.2]",69282,0,,,,-1.2918557,,Right Foot,,,"[64.2, 29.6]",,Ground Pass,,21.428253,,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['0b0f4332-35ca-4dcd-99d6-51b5445dffd0', 'f56dd34f-4d4f-49d4-ae6a-1d93b3a6ef44']",43,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.930,Pass,True,2010/2011
,,,,,,,,,,,,,,,0.852974,,,,,,,,,,,,,,,41b41e5d-cb21-4c04-afb5-49ddbb5271aa,63,,"[61.9, 28.3]",69282,0,,,,2.7526357,,Right Foot,,,"[55.8, 30.8]",,Ground Pass,,6.59242,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,"['41539d7a-b37a-4c13-bac2-8b7e2c687504', '60f00cfb-7ec0-4ca5-8fca-8eb60ab81a1b']",46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.833,Pass,True,2010/2011
,,,,,,,,,,,,,,,1.919022,,,,,,,,,,,,,,,ee60ebd2-a5ab-4b8d-9454-0aff19fe2ef7,66,,"[55.0, 31.2]",69282,0,,,,1.6112367,,Right Foot,,,"[54.3, 48.5]",,Ground Pass,,17.314156,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Center Back,2,Barcelona,217,"['02576288-7b6e-43df-834c-2f1fdacd109e', '41539d7a-b37a-4c13-bac2-8b7e2c687504']",47,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.848,Pass,True,2010/2011
,,,,,,,,,,,,,,,1.1906,,,,,,,,,,,,,,,479792e1-e738-4ff0-8f96-d660e71ab888,69,,"[62.5, 55.2]",69282,0,,,,0.5835516,,Right Foot,,,"[78.1, 65.5]",,Ground Pass,,18.693583,,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['f25b7e59-44d3-4075-9fe2-bd4f6589917c'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.093,Pass,,2010/2011
,,,,,,,,,,,,,,,0.903667,,,,,,,,,,,,,,,2264f328-6f9d-437c-b6ea-c238cd1f2973,76,,"[52.9, 57.1]",69282,1,,,,0.5770826,,Right Foot,,,"[67.8, 66.8]",,Ground Pass,,17.779202,,,,,Xavier Hernández Creus,20131.0,,,,,,Free Kick,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['11769776-a72e-45b1-9a73-3ba81904093d'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.494,Pass,,2010/2011
,,,,,,,,,,,,,,,1.181886,,,,,,,,,,,,,,,b78d0a69-6606-4d8c-93e9-e5a76d492060,78,,"[67.8, 65.5]",69282,1,True,,,-1.0581474,,Right Foot,,,"[78.1, 47.2]",,Ground Pass,,20.999523,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,3,Barcelona,217,['1e0fa306-694d-408b-b099-6a905bb74878'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.724,Pass,,2010/2011
,,,,,,,,,,,,,,,1.066355,,,,,,,,,,,,,,,0dae536c-fb26-4b1b-8b1a-1a5f2d464133,80,,"[76.0, 51.2]",69282,1,True,,,-2.4733033,,Left Foot,,,"[62.7, 40.7]",,Ground Pass,,16.945206,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,['b56bc864-2409-485c-9fd4-a86a83672b99'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.649,Pass,,2010/2011
