ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.933385,,,,,,,,,,,,,,d586e61a-d6c4-4b61-a083-01c9428f2b82,60,,"[48.7, 4.2]",9726,1,,,,3.1415927,,Left Foot,,,,"[39.7, 4.2]",,Ground Pass,,9.0,,,,Thomas Vermaelen,6332.0,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,"['1317cf88-58d1-4da5-b78d-d29ac3618116', '1ecfab27-2a26-46e7-9904-4100907e3574']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.579,Pass,True,2017/2018
,,,,,,,,,,,,,,,,1.259186,,,,,,,,,,,,,,f305f339-3e15-476c-9de3-6302e6c72b71,64,,"[38.4, 4.7]",9726,1,,,,1.7157577,,Left Foot,,,,"[36.4, 18.4]",,Ground Pass,,13.845216,,,,Ivan Rakitić,5470.0,,,,,,1,From Free Kick,Thomas Vermaelen,6332.0,Left Center Back,3,Barcelona,217,"['0a212ef5-01d6-47a1-88b8-9412e1e82eaf', '44880ce7-2d5a-4dec-a168-9c9c095aeba5']",10,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.526,Pass,True,2017/2018
,,,,,,,,,,,,,,,,1.85503,,,,,,,,,,,,,,a2ea0cbc-05a5-4018-899c-3c94a6b9fa34,67,,"[38.4, 22.0]",9726,1,,,,1.6345985,,Left Foot,,,,"[36.1, 58.0]",,Ground Pass,,36.0734,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Right Defensive Midfield,3,Barcelona,217,['0795aa0d-f375-445f-a4b4-1992a78196ad'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.889,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.759946,,,,,,,,,,,,,,c650288b-d3b8-473b-8d29-075aecc58aae,70,,"[53.6, 65.4]",9726,1,,,,-1.3867418,,Right Foot,,,,"[64.9, 4.7]",,High Pass,,61.742855,,,,Jordi Alba Ramos,5211.0,,True,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['b7440e21-d671-49ac-848e-59967ba02b51'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.736,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.851395,,,,,,,,,,,,,,10b58feb-2307-4214-8dc5-98c95ff5dd20,73,,"[55.9, 3.5]",9726,1,,,,1.4464413,,Left Foot,,,,"[56.7, 9.9]",,Ground Pass,,6.449806,,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['fa5721ca-cce9-4b60-bfad-1f0842622758'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:01:28.000,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.46655,,,,,,,,,,,,,,5ae03f54-6a6a-4e7d-9487-1810132357d3,76,,"[52.6, 10.9]",9726,1,,,,2.0610032,,Right Foot,,,,"[41.5, 31.7]",,Ground Pass,,23.576471,,,,Ivan Rakitić,5470.0,,,,,,1,From Free Kick,José Paulo Bezzera Maciel Júnior,5542.0,Left Defensive Midfield,3,Barcelona,217,['9c7658a3-10f9-49ab-884c-41059062f93b'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.649,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.485451,,,,,,,,,,,,,,6d9e43db-1735-4771-a804-6bbb66465d6c,79,,"[42.0, 42.0]",9726,1,,,,1.1696821,,Right Foot,,,,"[51.5, 64.4]",,Ground Pass,,24.331255,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Right Defensive Midfield,3,Barcelona,217,['e4588f93-3b26-4bd1-8358-75b3ef9b7c14'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.800,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.256805,,,,,,,,,,,,,,835c6093-b3f6-4b85-9d1e-62073ad4381b,82,,"[53.6, 64.2]",9726,1,,,,0.78065884,,Right Foot,,,,"[64.2, 74.7]",,Ground Pass,,14.92012,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Right Midfield,3,Barcelona,217,['96b474e1-3b6e-482c-972e-37ce098b5026'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:01:41.165,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.643373,,,,,,,,,,,,,,cfb2a789-04aa-4ab3-adc7-add58f3857ee,85,,"[56.9, 59.2]",9726,1,,,,-1.4152015,,Left Foot,,,,"[58.5, 49.0]",,Ground Pass,,10.324728,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['a64dc33d-ffde-4e46-ada0-845bd18355f8'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:01:47.040,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.281002,,,,,,,,,,,,,,6f4dbd20-8b85-4737-9266-bf2c087a5ba8,91,,"[54.6, 42.0]",9726,2,,,,-1.7921108,,Left Foot,,,,"[52.8, 34.0]",,Ground Pass,,8.2,,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,Free Kick,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,4,Barcelona,217,['6b22cd85-46c7-40d9-a5bd-ab6dfffedd22'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:02:01.659,Pass,,2017/2018
