bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.953651,,,,,,,,,,,,,,,,dea17783-fdd4-4f17-b96c-6ac1a88ff70f,1007,,"[90.3, 29.6]",70221,24,,,,,2.861986,,Left Foot,,,,"[80.2, 32.5]",,Ground Pass,,10.508092,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,53,Barcelona,217,['7ab758b4-1481-462b-a292-4f27f8a91de2'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:24:14.439,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.378889,,,,,,,,,,,,,,,,984b5c79-55cd-4129-af8e-85ab6b1379c2,1010,,"[80.2, 32.5]",70221,24,,,,,1.1147604,,Right Foot,,,,"[100.9, 74.7]",,High Pass,,47.00351,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,True,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,53,Barcelona,217,['1d7a2da7-458c-43ed-bd7a-8f07866f7a6e'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:24:17.302,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.441761,,,,,,,,,,,,,,,,d75f78a6-1cf1-4c0f-b591-0e3cf50778dd,1013,,"[98.0, 73.9]",70221,24,,,,,-2.4892619,,Right Foot,,,,"[83.6, 62.9]",,Ground Pass,,18.120707,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing Back,53,Barcelona,217,['320f93f3-b879-4507-b9a6-9a52b866bb9b'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:24:21.347,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.46528,,,,,,,,,,,,,,,,b68f23c3-f098-49b5-9b61-e5f59f35ce96,1016,,"[81.4, 61.8]",70221,24,,,,,-1.4343259,,Right Foot,,,,"[85.3, 33.4]",,High Pass,,28.66653,,,,Adriano Correia Claro,22102.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,53,Barcelona,217,['0563873e-d4b1-4f11-a973-a14b060aceaf'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:24:24.396,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.8409,,,,,,,,,,,,,,,,39fe7443-bf1b-4ee8-9b13-b8027a549440,1019,,"[101.2, 25.3]",70221,24,,,,,1.142964,,Left Foot,,,,"[106.9, 37.8]",,Ground Pass,,13.738268,,,Incomplete,Francesc Fàbregas i Soler,3478.0,,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Center Back,53,Barcelona,217,"['27b73ef1-5a9d-4b23-9e1d-049ce3924303', '7462f7d6-290e-40c0-a3d6-dfa91361c6e9']",28,,,,,,,,,,,,,,,,,Barcelona,217,00:24:28.190,Pass,,2011/2012
,,,,,,,,,,,,,,,,4.5149,,,,,,,,,,,,,,,,71908eaa-8cc8-4942-83b9-2519872a2ff4,1023,,"[9.3, 51.4]",70221,24,,,,,0.17787527,,Right Foot,,,,"[71.6, 62.6]",,High Pass,,63.298737,,,Incomplete,,,,,,,,,1,From Kick Off,Vicente Iborra De La Fuente,3497.0,Right Defensive Midfield,53,Barcelona,217,['4d261809-9246-4aac-ba4b-760a84513931'],30,,,,,,,,,,,,,,,,,Levante UD,221,00:24:30.546,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.223159,,,,,,,,,,,,,,,,45420ba3-77ac-4ffd-9067-01c0af3739d0,1026,,"[51.1, 17.1]",70221,24,,,,,-0.2044212,,Right Foot,,,,"[67.5, 13.7]",,Ground Pass,,16.748732,,,,Adriano Correia Claro,22102.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,53,Barcelona,217,['5cef0be4-c2f2-4fc0-91c7-1e2f3cc76d0d'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:24:36.483,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.10956,,,,,,,,,,,,,,,,a323cb7e-a866-43f2-9f89-2a6ef1c26394,1029,,"[65.6, 13.7]",70221,24,,,,,1.0542387,,Left Foot,,,,"[72.7, 26.2]",,Ground Pass,,14.375674,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Center Back,53,Barcelona,217,['2cda8a19-0593-4bad-8842-601dfb588006'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:24:38.284,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.400241,,,,,,,,,,,,,,,,ba0cb181-139b-4bba-a9de-28cbe8dc9a3d,1032,,"[75.7, 31.1]",70221,24,,,,,1.6128427,,Right Foot,,,,"[74.4, 62.0]",,Ground Pass,,30.927334,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,53,Barcelona,217,['0e10ef0a-8032-4721-b32f-cba9c1c0ced1'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:24:42.439,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.580829,,,,,,,,,,,,,,,,cd6f6b2c-1aa7-4e25-bf8b-2bc6a340f695,1035,,"[78.9, 60.3]",70221,24,,,,,0.5294309,,Right Foot,,,,"[101.8, 73.7]",,Ground Pass,,26.532433,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,53,Barcelona,217,['25223ca2-9767-4cab-a839-da344a240d47'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:24:47.707,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.1508,,,,,,,,,,,,,,,,a6b860e6-f9f6-46f2-95af-581c77f830c2,1038,,"[109.6, 67.5]",70221,24,,,,,-1.5042281,,Right Foot,True,,,"[111.1, 45.0]",,High Pass,,22.549944,,,Incomplete,Francesc Fàbregas i Soler,3478.0,,,,,,,1,From Kick Off,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing Back,53,Barcelona,217,"['383848a1-36a5-460a-bb06-f5a3dbc22a42', '596a8ca0-9c7d-499b-b06e-7a3263ca1668']",51,,,,,,,,,,,,,,,,,Barcelona,217,00:24:51.145,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.9286,,,,,,,,,,,,,,,,86e8c7c7-cea6-40ad-9e52-caf245600a44,1042,,"[115.6, 27.3]",70221,24,,,,,3.0487232,,Right Foot,,,,"[95.2, 29.2]",,Ground Pass,,20.488289,,,,Adriano Correia Claro,22102.0,,,,,,Recovery,1,From Kick Off,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing Back,53,Barcelona,217,['8ed59f0b-0086-45d8-82f7-a6c8ec0077c7'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:24:54.693,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.2826,,,,,,,,,,,,,,,,15459322-42ff-413d-96ba-f9c8d70ce0d7,1045,,"[97.8, 30.4]",70221,24,,,,,2.2402124,,Right Foot,,,,"[88.7, 41.9]",,Ground Pass,,14.664924,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Center Back,53,Barcelona,217,['acfec29f-969c-4138-b6a3-044cca5bc7d5'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:24:57.414,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.889979,,,,,,,,,,,,,,,,6cf70d96-6f2d-46b0-8f4e-1f24e1f085a7,1049,,"[89.5, 47.8]",70221,24,,,,,1.2821462,,Right Foot,,,,"[96.3, 70.7]",,Low Pass,,23.88828,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,53,Barcelona,217,"['8767d8bc-283e-425d-a936-8b47ca31f8ce', 'c1fa6900-61e3-4a9a-8644-c886211ba3b6']",59,,,,,,,,,,,,,,,,,Barcelona,217,00:24:59.395,Pass,True,2011/2012
,,,,,,,,,,,,,,,,2.1852,,,,,,,,,,,,,,,,3879e12b-22a7-4406-afcb-9950fdf82918,1052,,"[96.3, 70.3]",70221,25,,,,,-1.1082217,,Right Foot,True,,,"[114.9, 33.0]",,High Pass,,41.680332,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,From Kick Off,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing Back,53,Barcelona,217,['a57ff5c2-2a55-4721-8a72-ef45dd8e3bc1'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:25:02.673,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.1945,,,,,,,,,,,,,,,,3e50ea59-219d-42af-a7f6-4926c1d01f27,1057,,"[6.3, 43.1]",70221,25,,,,,0.41255575,,Right Foot,,,,"[78.5, 74.7]",,High Pass,,78.81244,,,,Valmiro Lópes Rocha,25872.0,,,,,,Free Kick,1,From Free Kick,Gustavo Adolfo Munúa Vera,26221.0,Goalkeeper,54,Levante UD,221,['58bf8871-ffd9-45ca-a79c-16584acab812'],33,,,,,,,,,,,,,,,,,Levante UD,221,00:25:33.686,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.3811,,,,,,,,,,,,,,,,95559a9f-6fc4-4129-a2de-8671a6458292,1063,,"[64.3, 75.6]",70221,25,,,,,-1.3388655,,Right Foot,,,,"[69.0, 55.7]",,Ground Pass,,20.447495,,,Incomplete,Xavier Torres Buigues,24162.0,,,,,,Recovery,1,From Free Kick,Pedro López Muñoz,6787.0,Right Back,54,Levante UD,221,"['2a7ffafe-e2ad-4709-819a-0f96ae36a08a', '93240ba1-cb0b-4977-9eae-59d1478ed96c']",37,,,,,,,,,,,,,,,,,Levante UD,221,00:25:37.899,Pass,,2011/2012
