bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.80755,,,,,,,,,,,,,ab8a88f0-5bd0-4808-9e5e-34de3151e6b8,66,,"[34.2, 80.0]",70256,1,True,,,-2.4566307,,,,,,"[27.1, 74.2]",,Low Pass,,9.167879,,,,Thiago Alcântara do Nascimento,5208.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,5,Barcelona,217,['c9697dcb-af12-4fb6-b03c-1106043ef0b7'],12,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.449,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,5.299301,,,,,,,,,,,,,b39abfcd-c2ff-4e04-997b-7848b138cf69,68,,"[32.5, 73.7]",70256,1,True,,,-1.9751327,,Right Foot,,,,"[4.6, 8.5]",,High Pass,,70.91862,,,,Martín Montoya Torralbo,6593.0,,True,,,,1,From Throw In,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,5,Barcelona,217,['a58fb1f6-f72c-4952-81ef-4cc5c9749ae7'],14,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.628,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.549692,,,,,,,,,,,,,a5643d10-d6ac-4c08-910e-eba9b350315b,70,,"[4.6, 6.2]",70256,1,,,,1.2329181,,Right Foot,,,,"[5.9, 9.9]",,Ground Pass,,3.9217343,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Martín Montoya Torralbo,6593.0,Left Back,5,Barcelona,217,['36ffeeaa-5106-4277-b230-b0a5a7c9d9e0'],19,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.967,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,1.658905,,,,,,,,,,,,,1b911ef9-aa81-447d-9dde-4906b88570cd,73,,"[19.8, 19.8]",70256,1,,,,-0.7488291,,Right Foot,,,,"[36.8, 4.0]",,Ground Pass,,23.208618,,,,Cristian Tello Herrera,6658.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Left Center Back,5,Barcelona,217,['2832f3df-feef-4dc8-aba8-b9d53fb179c5'],27,,,,,,,,,,,,,,,,Barcelona,217,00:01:27.399,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,1.890617,,,,,,,,,,,,,e4962d7b-78e8-4fc4-ab93-4bb586fbc9df,77,,"[35.6, 2.2]",70256,1,,,,2.8867524,,Right Foot,,,,"[23.7, 5.3]",,Low Pass,,12.297154,,,,Martín Montoya Torralbo,6593.0,,,,,,1,From Throw In,Cristian Tello Herrera,6658.0,Left Wing,5,Barcelona,217,"['95340af7-e837-4b52-ab07-e027e41ece5b', 'd3047593-c18f-4581-8fd7-da9f9ab7c4f1']",29,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.147,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,,0.992511,,,,,,,,,,,,,c42beca4-e1b2-47a6-9c25-4ca1a98908a4,81,,"[22.8, 6.2]",70256,1,,,,2.3607607,,Right Foot,,,,"[11.8, 17.1]",,Ground Pass,,15.4858,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Martín Montoya Torralbo,6593.0,Left Back,5,Barcelona,217,['9dfb979f-6ee3-4561-a84c-a3165324277e'],32,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.580,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,1.112609,,,,,,,,,,,,,6e1a8e3e-e284-49e3-97ba-2c9bdbdbd2ef,85,,"[12.7, 16.8]",70256,1,,,,1.946874,,Right Foot,,,,"[5.0, 36.3]",,Ground Pass,,20.96521,,,,José Manuel Pinto Colorado,26005.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Left Center Back,5,Barcelona,217,"['8af93726-ec42-4c8f-9b75-aa44af7614fc', 'a17815fe-d2e7-4e73-8932-3b085f0aa5ca']",34,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.328,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,,1.576013,,,,,,,,,,,,,212ff099-bfea-4a08-9c47-42ecacb69c8b,89,,"[5.9, 36.7]",70256,1,,,,1.453894,,Right Foot,,,,"[9.2, 64.8]",,Ground Pass,,28.293108,,,,Marc Bartra Aregall,7068.0,,,,,,1,From Throw In,José Manuel Pinto Colorado,26005.0,Goalkeeper,5,Barcelona,217,"['6591fe74-02f0-4c11-bf10-f472534f42ac', 'cf2a97e1-61f4-4de3-b107-8c4395b847c1']",36,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.383,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,,2.041843,,,,,,,,,,,,,1fe9061d-498b-4d92-9fb1-eca9f5660dfe,92,,"[10.4, 65.1]",70256,1,,,,-0.7931101,,Right Foot,,,,"[29.7, 45.5]",,High Pass,,27.50727,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Marc Bartra Aregall,7068.0,Right Center Back,5,Barcelona,217,['cbe362ae-92f8-4136-a1c6-b6ae81294d0b'],41,,,,,,,,,,,,,,,,Barcelona,217,00:01:41.463,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.812,,,,,,,,,,,,,1e47b096-c32d-49a4-970d-41b8ab466ef1,97,,"[39.1, 48.8]",70256,1,,,,1.2867947,,Left Foot,,,,"[44.5, 67.3]",,Ground Pass,,19.272001,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,5,Barcelona,217,['e560d3ae-aafc-4eee-a1b9-b05db8ca39ad'],47,,,,,,,,,,,,,,,,Barcelona,217,00:01:47.094,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,cdf936e2-0dac-4917-989f-6196a10eec02,100,,"[44.5, 67.3]",70256,1,,,,3.0042515,,Right Foot,,,,"[32.2, 69.0]",,Ground Pass,,12.4169235,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,5,Barcelona,217,['693f950f-34ea-4089-98eb-1851a7a38344'],47,,,,,,,,,,,,,,,,Barcelona,217,00:01:47.946,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.79661,,,,,,,,,,,,,a7bcc096-10e6-44a8-bdd3-5a7645d461fc,103,,"[34.3, 69.0]",70256,1,,,,0.3921584,,Right Foot,,,,"[50.5, 75.7]",,Ground Pass,,17.53083,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,5,Barcelona,217,['a1eebe3d-4681-45b4-8dd0-aca0f798f37c'],48,,,,,,,,,,,,,,,,Barcelona,217,00:01:48.826,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.899884,,,,,,,,,,,,,77bbc640-65cb-4a67-b483-725111a2dfc8,106,,"[50.4, 75.1]",70256,1,,,,-2.4502556,,Left Foot,,,,"[41.7, 67.9]",,Ground Pass,,11.292918,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,5,Barcelona,217,['fb23e6ab-0bfc-42b1-8b64-a0220c85be7f'],49,,,,,,,,,,,,,,,,Barcelona,217,00:01:49.663,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.717212,,,,,,,,,,,,,a7c66e7d-9308-4b0e-838c-aba3fc5eab0a,109,,"[41.7, 67.9]",70256,1,,,,1.5056711,,Right Foot,,,,"[42.0, 72.5]",,Ground Pass,,4.609772,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,5,Barcelona,217,['99c470f6-1d5c-4392-afd8-6e36660f0628'],50,,,,,,,,,,,,,,,,Barcelona,217,00:01:50.780,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,1.8956,,,,,,,,,,,,,3debc860-7827-454c-b428-db5d7de9038d,112,,"[41.3, 71.0]",70256,1,,,,-1.3242177,,Right Foot,,,,"[52.4, 26.9]",,High Pass,,45.475487,,Incomplete,,Martín Montoya Torralbo,6593.0,,True,,,,1,From Throw In,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,5,Barcelona,217,"['3e1156d5-527f-4f6a-8df2-ed880f972742', 'f365fda4-23cd-4dae-9b10-6e20036188f1']",53,,,,,,,,,,,,,,,,Barcelona,217,00:01:53.969,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,1.48695,,,,,,,,,,,,,0513e93c-1c21-4491-bf73-e90965d31a2c,115,,"[50.5, 25.9]",70256,1,,,,-2.2926438,,Right Foot,,,,"[40.2, 14.2]",,Ground Pass,,15.587815,,,,Martín Montoya Torralbo,6593.0,,,,,Recovery,1,From Throw In,Alexandre Dimitri Song-Billong,27053.0,Center Defensive Midfield,5,Barcelona,217,['d191f4f8-524a-4910-bb08-f273a92b5b7c'],57,,,,,,,,,,,,,,,,Barcelona,217,00:01:57.327,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,1.225039,,,,,,,,,,,,,a405e2bd-0a56-4725-addd-91275eef0006,118,,"[38.6, 13.6]",70256,2,,,,-0.46152896,,Right Foot,,,,"[57.5, 4.2]",,Ground Pass,,21.108528,,,,Cristian Tello Herrera,6658.0,,,,,,1,From Throw In,Martín Montoya Torralbo,6593.0,Left Back,5,Barcelona,217,['a7a03ee7-b459-4982-8397-f6a72183cd37'],0,,,,,,,,,,,,,,,,Barcelona,217,00:02:00.176,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,1.426642,,,,,,,,,,,,,31f65189-0ec6-4c5c-a118-0c2eed01b28d,122,,"[53.0, 7.1]",70256,2,,,,3.024484,,Right Foot,,,,"[39.4, 8.7]",,Ground Pass,,13.693794,,,,Martín Montoya Torralbo,6593.0,,,,,,1,From Throw In,Cristian Tello Herrera,6658.0,Left Wing,5,Barcelona,217,['38d026c6-bde3-434f-9cdc-bc2a243b7b0c'],1,,,,,,,,,,,,,,,,Barcelona,217,00:02:01.441,Pass,,2012/2013
