ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.2167,,,,,,,,,,,,,81e64b93-1fe6-4481-8d94-67553bb7895e,72,,"[44.0, 53.3]",266074,0,,,,-1.8441975,,Right Foot,,,,"[38.7, 34.4]",,Ground Pass,,19.62906,,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Marc Bartra Aregall,7068.0,Right Center Back,2,Barcelona,217,['dcfa85a4-1fa4-4c71-9789-b49fab300908'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.760,Pass,,2013/2014
,,,,,,,,,,,,,,,,2.0028,,,,,,,,,,,,,f0e66f0d-9466-4414-ae48-c4e75506010f,75,,"[48.0, 30.6]",266074,0,,,,-0.85988694,,Right Foot,,,,"[63.5, 12.6]",,Ground Pass,,23.753946,,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['16eba195-03b7-4ffc-8fa3-cdac31b0ac59'],51,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.126,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.1413,,,,,,,,,,,,,39eb3e09-ca84-41ac-966d-a22ee9d7f142,78,,"[78.7, 14.9]",266074,0,,,,-0.47126168,,Right Foot,,,,"[94.4, 6.9]",,Ground Pass,,17.620726,,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['2344cf9f-d0a6-4e31-b4f0-e6f14c131684'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.448,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.9944,,,,,,,,,,,,,f1b70635-74f4-4608-8d1e-e2580ca873a3,81,,"[93.6, 11.5]",266074,0,,,,-0.07910289,,Right Foot,,,,"[110.0, 10.2]",,Ground Pass,,16.451445,,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,2,Barcelona,217,['46e5584a-a295-4a60-a53d-9d8330292495'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.677,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.7792,,,,,,,,,,,,,7bf3108c-a583-4409-a47b-423bec548e56,88,,"[6.6, 67.6]",266074,1,,,,-0.6530322,,Left Foot,,,,"[26.6, 52.3]",,High Pass,,25.181143,,,,,Álvaro Cejudo Carmona,26723.0,,,,,,,1,Regular Play,Francisco Andrés Silva Gajardo,27244.0,Left Center Midfield,3,Osasuna,422,['f7d81f96-847a-4998-8b15-e34416ea3444'],2,,,,,,,,,,,,,,,,,Osasuna,422,00:01:02.923,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.5365,,,,,,,,,,,,,c480e639-a9e4-480d-9be3-fdca13fe11d0,92,,"[40.9, 67.0]",266074,1,,,,-0.29195803,,Right Foot,,,,"[59.2, 61.5]",,High Pass,,19.108637,,,Incomplete,,Oriol Riera Magem,27243.0,,,,,,,1,Regular Play,Álvaro Cejudo Carmona,26723.0,Right Wing,3,Osasuna,422,"['1a7c68d4-aa92-4c14-9395-94d4bb92703f', '53de5032-d560-44b4-8e8c-9afa0ecf9ac8', '75d7d036-dc8e-44aa-8ad0-1e95ed7ea779']",6,,,,,,,,,,,,,,,,,Osasuna,422,00:01:06.642,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.713757,,,,,,,,,,,,,75d7d036-dc8e-44aa-8ad0-1e95ed7ea779,94,,"[61.8, 19.5]",266074,1,,,,-1.4898922,,Head,,,,"[63.3, 1.0]",,Low Pass,,18.56071,,,Out,,,,,,,,,Recovery,1,Regular Play,Marc Bartra Aregall,7068.0,Right Center Back,3,Osasuna,422,['c480e639-a9e4-480d-9be3-fdca13fe11d0'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.179,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.1054,,,,,,,,,,,,,037ab3fe-5628-4f42-8aee-8dcdbd9adf0a,95,,"[54.3, 80.0]",266074,1,,,,-1.6224744,,,,,,"[53.7, 68.4]",,High Pass,,11.615507,,,,,Francisco Andrés Silva Gajardo,27244.0,,,,,,Throw-in,1,From Throw In,Oier Sanjurjo Mate,23944.0,Right Back,4,Osasuna,422,['f52381a7-38d0-4b8d-b259-8b61ea177db2'],25,,,,,,,,,,,,,,,,,Osasuna,422,00:01:25.856,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.484,,,,,,,,,,,,,0be86d85-ae37-4f6c-bfbb-58cf115304e9,98,,"[54.1, 68.0]",266074,1,,,,1.9040406,,Right Foot,,,,"[51.4, 75.8]",,Low Pass,,8.25409,,,,,Oier Sanjurjo Mate,23944.0,,,,,,,1,From Throw In,Francisco Andrés Silva Gajardo,27244.0,Left Center Midfield,4,Osasuna,422,['c6d8c058-aad3-458c-8d8d-260ee773b92d'],27,,,,,,,,,,,,,,,,,Osasuna,422,00:01:27.049,Pass,,2013/2014
,,,,,,,,,,,,,,,,4.826,,,,,,,,,,,,,f9421dc9-47f5-42e5-bc8f-acb791aa41a6,101,,"[52.0, 75.8]",266074,1,,,,-0.4473742,,Left Foot,,,,"[96.6, 54.4]",,High Pass,,49.468372,,,Incomplete,,Oriol Riera Magem,27243.0,,,,,,,1,From Throw In,Oier Sanjurjo Mate,23944.0,Right Back,4,Osasuna,422,"['59bd4b76-8e89-42cf-8c89-e6e14393d358', 'd539d84a-6405-4b44-aeeb-c3f417e7c517']",27,,,,,,,,,,,,,,,,,Osasuna,422,00:01:27.653,Pass,,2013/2014
