bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_end_early_video_end,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.020816,,,,,,,,,,,,,,,feccd992-ba4e-430d-bc2d-681523c028a8,50,,"[39.4, 9.2]",69211,0,,,,,0.23374318,,Left Foot,,,"[73.0, 17.2]",Ground Pass,,34.539253,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,['5e969ae6-afb7-4a57-ba67-bddfdd508896'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.316,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.151529,,,,,,,,,,,,,,,05506320-84dc-40cb-ba7d-51f9702aab1a,53,,"[73.2, 16.8]",69211,0,,,,,-1.8228923,,Right Foot,,,"[71.5, 10.2]",Ground Pass,,6.8154235,,,Eiður Smári Guðjohnsen,11270.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Wing,5,Barcelona,217,['27061458-605f-4a30-b611-d6b9fb6085c3'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.666,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.444367,,,,,,,,,,,,,,,f824bcfe-9fab-4547-923f-6773c474586b,56,,"[90.4, 11.9]",69211,0,,,,,2.674282,,Right Foot,,,"[79.5, 17.4]",Ground Pass,,12.209013,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Eiður Smári Guðjohnsen,11270.0,Left Center Midfield,5,Barcelona,217,['17f15c82-79eb-4f99-8a7c-0b38fcf8ddd8'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.259,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.37013,,,,,,,,,,,,,,,7a394438-9fc5-4260-b731-96774d895936,59,,"[79.5, 17.4]",69211,0,,,,,-2.9937432,,Left Foot,,,"[65.4, 15.3]",Ground Pass,,14.255526,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Wing,5,Barcelona,217,['19aba50d-5f38-450a-8d79-ac7dd93a5358'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.483,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.868022,,,,,,,,,,,,,,,813823cc-06c2-4749-9f3f-ddafed4d2803,62,,"[65.4, 12.1]",69211,0,,,,,2.604682,,Left Foot,,,"[40.2, 27.1]",Ground Pass,,29.326439,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,['788404ed-563e-4a39-a9cf-7716fb6a31d2'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.713,Pass,,2008/2009
,,,,,,,,,,,,,,,,,6.280134,,,,,,,,,,,,,,,d66f0511-c44e-458a-8c3a-12feafebc68a,66,,"[37.5, 35.9]",69211,0,,,,,0.41117162,,Left Foot,,,"[118.0, 71.0]",High Pass,,87.81947,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Left Center Back,5,Barcelona,217,['5ed8453b-d680-40e9-b17a-1e353f206345'],47,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.491,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.098055,,,,,,,,,,,,,,,724883c8-27a7-4ca7-b3fd-e6d9dc3cce0e,70,,"[104.1, 76.2]",69211,0,,,,,-2.3015864,,Left Foot,,,"[89.4, 59.8]",Ground Pass,,22.023851,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,5,Barcelona,217,['0f73087c-0434-4c7d-9386-a65e471047f9'],56,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.960,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.769138,,,,,,,,,,,,,,,10c7ff4e-59c1-4fc5-90f0-94c17584a120,73,,"[89.4, 59.8]",69211,0,,,,,1.965069,,Right Foot,,,"[83.7, 73.5]",Ground Pass,,14.838464,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,5,Barcelona,217,['f0eb8c14-eb12-4a78-a06b-b8caa9d24dd2'],58,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.095,Pass,,2008/2009
,,,,,,,,,,,,,,,,,4.385031,,,,,,,,,,,,,,,e5f9933d-ed12-4f5e-83ef-1b7da7f27b92,80,,"[31.4, 8.6]",69211,1,,True,,,1.5446243,,Left Foot,,,"[32.9, 65.9]",Ground Pass,,57.31963,,,Sergio Sánchez Ortega,6904.0,,True,,,Free Kick,1,From Free Kick,Nicolás Martín Pareja,7909.0,Left Center Back,6,Espanyol,214,['d0c68de8-bd83-442a-8f43-6d5817d89c92'],12,,,,,,,,,,,,,,,,,,Espanyol,214,00:01:12.745,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.849145,,,,,,,,,,,,,,,3d04428b-0d13-45d1-8f49-6e9277a2c7b4,82,,"[40.9, 74.3]",69211,1,,,,,-0.34980443,,Right Foot,,,"[87.5, 57.3]",High Pass,,49.60403,Incomplete,,Raúl Tamudo Montero,26109.0,,,,,,1,From Free Kick,Sergio Sánchez Ortega,6904.0,Right Back,6,Espanyol,214,"['25ab9529-5463-45d1-b802-0ad36cc394a9', '6d27f25d-f4ce-4283-bc18-8e212e3983e0']",20,,,,,,,,,,,,,,,,,,Espanyol,214,00:01:20.962,Pass,,2008/2009
