ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,2.474699,,,,,,,,,,,,,55373c46-018b-400e-bce6-21877f087dcb,48,,"[73.4, 80.0]",266280,0,True,,,-2.378918,,,,,,"[64.4, 71.4]",,Low Pass,,12.448293,,,,Sergio Busquets i Burgos,5203.0,,,,,,Throw-in,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,4,Barcelona,217,['a9cac21a-03ff-4366-b451-eb81c5f347d5'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.712,Pass,,2016/2017
,,,,,,,,,,,,,,,2.161833,,,,,,,,,,,,,5974b4c4-d957-45b6-bd6a-49fc11a7445f,50,,"[56.8, 65.3]",266280,1,,,,-2.8084934,,Left Foot,,,,"[33.1, 57.1]",,Ground Pass,,25.078476,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['afb2d304-4d39-492b-8c64-a9809a9b68d8'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.204,Pass,,2016/2017
,,,,,,,,,,,,,,,1.0931,,,,,,,,,,,,,856e91c5-4e61-4e58-85ca-d9956fff589c,53,,"[57.3, 30.2]",266280,1,,,,-0.7946572,,Right Foot,,,,"[68.0, 19.3]",,Low Pass,,15.274161,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Center Back,4,Barcelona,217,['1636545e-acbf-430f-be1b-c42a50679631'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.135,Pass,,2016/2017
,,,,,,,,,,,,,,,1.726565,,,,,,,,,,,,,42a7a98c-57d4-4667-87bb-c9d51d4138c1,55,,"[68.0, 18.0]",266280,1,,,,-2.0220606,,Right Foot,,,,"[61.7, 5.0]",,Ground Pass,,14.446107,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,4,Barcelona,217,['cd600e78-8216-4b51-a747-c73e903adae3'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.229,Pass,,2016/2017
,,,,,,,,,,,,,,,1.0722,,,,,,,,,,,,,360926a7-31cf-4851-b190-e0bede1b9a55,58,,"[61.3, 4.1]",266280,1,,,,-0.11379201,,Left Foot,,,,"[75.3, 2.5]",,Ground Pass,,14.091132,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,4,Barcelona,217,['37e70481-48ce-4d79-b371-5f65480f4c8f'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.075,Pass,,2016/2017
,,,,,,,,,,,,,,,1.113626,,,,,,,,,,,,,a11afcef-978d-484f-a1c0-cc99b97ba65b,62,,"[70.3, 7.5]",266280,1,,,,1.8385751,,Right Foot,,,,"[62.7, 35.2]",,Ground Pass,,28.723684,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing Back,4,Barcelona,217,"['2147b9a3-9f6a-48fc-97ba-e0e2b054c561', '2800caca-c164-4e3a-ad0a-e16611175db7']",14,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.947,Pass,True,2016/2017
,,,,,,,,,,,,,,,1.555971,,,,,,,,,,,,,85daf550-ca6e-430e-9207-ad1e5d37d3a7,65,,"[63.4, 36.5]",266280,1,,,,1.1357805,,Right Foot,,,,"[71.3, 53.5]",,Ground Pass,,18.745934,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['1e41821b-f73c-4f87-8714-9baebc63675e'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.661,Pass,,2016/2017
,,,,,,,,,,,,,,,1.791568,,,,,,,,,,,,,6f8b609e-b7b4-400e-b9ac-057b2cb6a35a,68,,"[76.6, 48.1]",266280,1,,,,-1.735945,,Left Foot,,,,"[72.0, 20.5]",,Ground Pass,,27.980707,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,4,Barcelona,217,['7ccb039c-cc2c-4894-bf64-5d15509fee39'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.060,Pass,,2016/2017
,,,,,,,,,,,,,,,0.897644,,,,,,,,,,,,,58a7ed05-244b-4b17-9b60-3be4f8cfb15d,71,,"[79.8, 10.4]",266280,1,,,,0.62507004,,Left Foot,,,,"[97.4, 23.1]",,Ground Pass,,21.703686,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,4,Barcelona,217,['6e62e330-2b02-4f74-a6ca-79a9ef0f622b'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:01:27.624,Pass,,2016/2017
,,,,,,,,,,,,,,,0.498865,,,,,,,,,,,,,6cacf109-bd7e-40f1-9c15-c7d4ab71e06a,75,,"[24.0, 56.0]",266280,1,,,,0.5880026,,Left Foot,,,,"[30.0, 60.0]",,Ground Pass,,7.2111025,,,,Vicente Iborra De La Fuente,3497.0,,,,,,Recovery,1,Regular Play,Steven N''Kemboanza Mike Christopher Nzonzi,5737.0,Left Center Midfield,5,Sevilla,213,['b2c300a3-fd62-4014-8f70-328ab39b2be9'],29,,,,,,,,,,,,,,,,,Sevilla,213,00:01:29.437,Pass,,2016/2017
,,,,,,,,,,,,,,,1.042154,,,,,,,,,,,,,34788251-506a-4185-855d-6252d4d6b257,78,,"[30.3, 59.8]",266280,1,,,,-2.884269,,Right Foot,,,,"[18.9, 56.8]",,Ground Pass,,11.78813,,,,Clément Lenglet,6826.0,,,,,,,1,Regular Play,Vicente Iborra De La Fuente,3497.0,Right Center Midfield,5,Sevilla,213,['777b798d-76d3-4266-bf75-3b74c0a256d8'],30,,,,,,,,,,,,,,,,,Sevilla,213,00:01:30.031,Pass,,2016/2017
,,,,,,,,,,,,,,,1.220287,,,,,,,,,,,,,a5c11c8b-a606-45d2-86f9-4bf2bf6635fa,81,,"[18.9, 56.8]",266280,1,,,,1.1203493,,Left Foot,,,,"[24.8, 69.0]",,Low Pass,,13.551753,,,,Mariano Ferreira Filho,21210.0,,,,,,,1,Regular Play,Clément Lenglet,6826.0,Right Center Back,5,Sevilla,213,['936ddc09-d530-4674-b56d-a9b0f0c9b76b'],31,,,,,,,,,,,,,,,,,Sevilla,213,00:01:31.122,Pass,,2016/2017
,,,,,,,,,,,,,,,0.894489,,,,,,,,,,,,,4714f429-0409-4c1d-acb0-5069a8d4ae57,85,,"[24.4, 72.0]",266280,1,,,,0.07339732,,Right Foot,,,,"[38.0, 73.0]",,Ground Pass,,13.636715,,,,Vicente Iborra De La Fuente,3497.0,,,,,,,1,Regular Play,Mariano Ferreira Filho,21210.0,Right Wing Back,5,Sevilla,213,"['12270112-c431-4ade-a65a-28af10b59805', '7928e590-f0ef-42f5-beae-6eeef9e6eb81']",33,,,,,,,,,,,,,,,,,Sevilla,213,00:01:33.348,Pass,True,2016/2017
,,,,,,,,,,,,,,,0.872468,,,,,,,,,,,,,041c0465-8190-441f-a19a-b396be5e902a,93,,"[90.3, 18.8]",266280,1,,,,1.663748,,Right Foot,,,,"[89.2, 30.6]",,Ground Pass,,11.85116,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing Back,6,Barcelona,217,['7ec6d49f-e4a8-4c71-b39d-27958f7cc12d'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:01:38.699,Pass,,2016/2017
,,,,,,,,,,,,,,,0.773541,,,,,,,,,,,,,c72bc286-b3c3-4698-94ca-ad36619badae,104,,"[102.0, 26.6]",266280,1,,,,1.2793396,,Right Foot,,,,"[102.9, 29.6]",,Ground Pass,,3.132092,,Incomplete,,Ivan Rakitić,5470.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,6,Barcelona,217,"['38b97743-e00c-471b-9c30-ed05bc508705', '80fcab24-409f-480b-a663-ddc7d1e04ced']",42,,,,,,,,,,,,,,,,,Barcelona,217,00:01:42.858,Pass,,2016/2017
