ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.159038,,,,,,,,,,,,,,9c4faacb-c6e8-459c-8a9f-dd3f5410d3ff,41,,"[42.0, 66.6]",69340,0,,,,,-1.8622531,,Right Foot,,,,"[36.0, 46.6]",,Ground Pass,,20.880613,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['91cb156b-12d2-44a5-afae-10b6a933f812'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.181,Pass,,2011/2012
,,,,,,,,,,,,,,2.8444,,,,,,,,,,,,,,62311350-e240-418f-8f67-8dfcb69a2965,44,,"[45.1, 48.0]",69340,0,,,,,-1.1869065,,Right Foot,,,,"[63.6, 2.2]",,High Pass,,49.39524,,,Adriano Correia Claro,22102.0,,True,,,,1,From Free Kick,Carles Puyol i Saforcada,20125.0,Right Center Back,4,Barcelona,217,['ad10d0a7-f6c9-41b3-99d6-f89c73fef93b'],54,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.027,Pass,,2011/2012
,,,,,,,,,,,,,,1.6954,,,,,,,,,,,,,,cb64db75-faee-4bf0-bf1a-58f674187a5b,48,,"[50.2, 11.6]",69340,0,,,,,2.0102794,,Right Foot,,,,"[37.6, 38.4]",,Low Pass,,29.614185,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Free Kick,Adriano Correia Claro,22102.0,Left Back,4,Barcelona,217,"['0b21ff0e-4dc3-4e5c-ad79-94a200c7420d', '8c5e1299-7256-4429-abe4-2acc2554f444']",59,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.298,Pass,True,2011/2012
,,,,,,,,,,,,,,3.130863,,,,,,,,,,,,,,916341c7-6a25-4527-96c9-4cc0b95dbeaf,51,,"[47.3, 52.3]",69340,1,,,,,-3.0738997,,Left Foot,,,,"[17.8, 50.3]",,Ground Pass,,29.567719,,,José Manuel Pinto Colorado,26005.0,,,,,,1,From Free Kick,Carles Puyol i Saforcada,20125.0,Right Center Back,4,Barcelona,217,['0be268fd-85be-4b3b-9198-0d260561344a'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.568,Pass,,2011/2012
,,,,,,,,,,,,,,1.5636,,,,,,,,,,,,,,1a776a32-e72b-4902-9f10-24a145e93343,54,,"[20.1, 49.7]",69340,1,,,,,-1.3594776,,Right Foot,,,,"[26.6, 19.4]",,Ground Pass,,30.989353,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Free Kick,José Manuel Pinto Colorado,26005.0,Goalkeeper,4,Barcelona,217,['0eb11c35-ee21-4176-b9fd-d65e03dfd908'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.626,Pass,,2011/2012
,,,,,,,,,,,,,,1.766078,,,,,,,,,,,,,,d9e7d3bd-e482-4940-a2b0-1ee7282a1b14,57,,"[43.3, 9.1]",69340,1,,,,,2.1249335,,Left Foot,,,,"[30.8, 29.3]",,Ground Pass,,23.75479,,,Seydou Kéita,20169.0,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,4,Barcelona,217,['9fcebb34-4594-428c-ab7f-991aaddf8b6d'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.900,Pass,,2011/2012
,,,,,,,,,,,,,,1.4245,,,,,,,,,,,,,,d6cf3d53-d99a-4f32-aa11-501f2c85b3d5,60,,"[44.0, 43.2]",69340,1,,,,,1.1652229,,Left Foot,,,,"[51.6, 60.9]",,Ground Pass,,19.26266,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Free Kick,Seydou Kéita,20169.0,Center Defensive Midfield,4,Barcelona,217,['1442fe29-147d-43b0-a3cc-c21c0af41fab'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.584,Pass,,2011/2012
,,,,,,,,,,,,,,2.879649,,,,,,,,,,,,,,208ce542-b7db-4464-8783-b8b7aa1ea400,64,,"[66.9, 63.9]",69340,1,,,,,0.002617795,10d1e7a1-424b-4b46-b1b6-72bb1b16ae89,Right Foot,,,,"[105.1, 64.0]",,Ground Pass,,38.20013,,,Daniel Alves da Silva,4324.0,True,,Through Ball,True,,1,From Free Kick,Carles Puyol i Saforcada,20125.0,Right Center Back,4,Barcelona,217,"['02f4f79d-6575-4909-8285-8c471bbfe642', '42771fd7-e073-42f8-ae7f-7cb14e3ee6ab']",26,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.338,Pass,True,2011/2012
,,,,,,,,,,,,,,4.6891,,,,,,,,,,,,,,32eb48a5-8c2d-40c4-8472-9d5234f3c736,69,,"[7.5, 37.8]",69340,1,,,,,-0.05482306,,Drop Kick,,,,"[89.5, 33.3]",,High Pass,,82.12338,,,José Salomón Rondón Giménez,4041.0,,,,,,1,From Keeper,Idriss Carlos Kameni,26103.0,Goalkeeper,6,Málaga,223,['aa7edeae-3b9a-48b6-916b-b1a126a536ef'],44,,,,,,,,,,,,,,,,,,Málaga,223,00:01:44.690,Pass,,2011/2012
,,,,,,,,,,,,,,1.071476,,,,,,,,,,,,,,f534b175-4e03-4525-b285-a3bf288891f4,73,,"[119.1, 16.8]",69340,1,,,,,-2.7201734,,Right Foot,,,,"[107.5, 11.6]",,Ground Pass,,12.712199,,,Sérgio Paulo Barbosa Valente,25859.0,,,,,,1,Regular Play,José Salomón Rondón Giménez,4041.0,Center Forward,7,Málaga,223,"['39700201-8e5e-4cfa-b2bd-8bf4095cb3d5', 'aa5e0b60-a2e7-4be9-9461-4bf953cfd25f']",55,,,,,,,,,,,,,,,,,,Málaga,223,00:01:55.958,Pass,True,2011/2012
