bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.919977,,,,,,,,,,,,,,757566b1-7f72-49d2-9c0d-41d78a2a394a,100,,"[56.4, 4.4]",266731,1,,,,0.16693999,,Left Foot,,,,"[92.6, 10.5]",,High Pass,,36.710354,,Incomplete,,Adrián González Morales,6557.0,,,,,,1,From Throw In,Antonio Manuel Luna Rodríguez,6675.0,Left Back,8,Eibar,322,"['4971ce32-49a2-448b-9dc7-61ddfd318ffb', 'eb2c162b-9848-4201-88ec-d815468362c2']",35,,,,,,,,,,,,,,,,,Eibar,322,00:01:35.453,Pass,,2016/2017
,,,,,,,,,,,,,,,1.563181,,,,,,,,,,,,,,32e3f80a-a0f1-48e8-8433-f316beec9101,103,,"[90.6, 0.1]",266731,1,,,,1.2807094,,,,,,"[96.6, 20.2]",,Low Pass,,20.976416,,Incomplete,,Sergio Enrich Ametller,6700.0,,,,,Throw-in,1,From Throw In,Antonio Manuel Luna Rodríguez,6675.0,Left Back,9,Eibar,322,"['94a7c2ac-7c1b-46c0-aca9-13d0bed659a6', 'ba0e40d9-6489-4289-b8e8-9b5d1d5f7bf0']",54,,,,,,,,,,,,,,,,,Eibar,322,00:01:54.243,Pass,,2016/2017
,,,,,,,,,,,,,,,0.528,,,,,,,,,,,,,,acd42cda-8eae-4457-a245-93f4d5447dc0,108,,"[23.5, 66.9]",266731,1,,,,1.3876855,,Right Foot,,,,"[24.0, 69.6]",,Ground Pass,,2.745906,,,,Ivan Rakitić,5470.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,9,Eibar,322,"['66c8ce23-52a3-4cdb-b746-b75b4c5a0197', '68ab1604-0432-4726-90e4-74381738a1a0']",56,,,,,,,,,,,,,,,,,Barcelona,217,00:01:56.835,Pass,True,2016/2017
,,,,,,,,,,,,,,,1.447198,,,,,,,,,,,,,,c06e6bfb-5b4e-4b04-b9d6-663e7608c18a,111,,"[24.0, 69.6]",266731,1,,,,-1.0828373,,Left Foot,,,,"[30.9, 56.6]",,Ground Pass,,14.717676,,Incomplete,,Arda Turan,11094.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,9,Eibar,322,"['716f5815-779a-45b7-989b-b4530a916a0e', '7502de57-06eb-4443-a787-47222d27f547']",57,,,,,,,,,,,,,,,,,Barcelona,217,00:01:57.443,Pass,,2016/2017
,,,,,,,,,,,,,,,1.4037,,,,,,,,,,,,,,dc69ff30-9212-41e7-be4f-ca9feee9d076,117,,"[82.7, 17.9]",266731,2,,,,0.78332776,,Right Foot,,,,"[106.9, 42.0]",,High Pass,,34.15333,,Incomplete,,Mauro Javier Dos Santos,6837.0,,,,,Free Kick,1,From Free Kick,Pedro León Sánchez Gil,6907.0,Right Wing,10,Eibar,322,"['d6c00cd0-e4de-432e-ad6f-1a9216f017c9', 'f1640481-71d5-4210-8f93-536cdb555517']",34,,,,,,,,,,,,,,,,,Eibar,322,00:02:34.813,Pass,,2016/2017
,,,,,,,,,,,,,,,1.5196,,,,,,,,,,,,,,c6a8f9d2-5dbc-4d53-a1ee-09d5360527f3,121,,"[120.0, 80.0]",266731,3,,,,-1.8375403,,Right Foot,,,,"[110.6, 45.6]",,High Pass,,35.661182,,Incomplete,True,,,,,Outswinging,,Corner,1,From Corner,Pedro León Sánchez Gil,6907.0,Right Wing,11,Eibar,322,['5c75f30e-9ae5-44a6-a222-8a36b696fd21'],10,,,,,,,,,,,,,,,,,Eibar,322,00:03:10.189,Pass,,2016/2017
,,,,,,,,,,,,,,,6.7037,,,,,,,,,,,,,,9889a640-1b3c-41bc-b246-b1eb9e15e03a,127,,"[9.5, 43.1]",266731,3,,,,-0.49842072,,Drop Kick,,,,"[85.2, 1.9]",,High Pass,,86.18544,,,,Luis Alberto Suárez Díaz,5246.0,,True,,,,1,From Keeper,Marc-André ter Stegen,20055.0,Goalkeeper,13,Barcelona,217,['0e6a5e71-9de1-447c-9e46-547f148bd720'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:03:17.560,Pass,,2016/2017
,,,,,,,,,,,,,,,1.447047,,,,,,,,,,,,,,5ba8f358-9047-42f8-92a2-c3879f500131,136,,"[120.0, 0.1]",266731,3,,,,3.0648208,,Left Foot,,,,"[112.2, 0.7]",,Ground Pass,,7.823043,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Corner,1,From Corner,Neymar da Silva Santos Junior,4320.0,Left Wing,14,Barcelona,217,['32982793-8861-42de-a98a-cbf81caadba8'],45,,,,,,,,,,,,,,,,,Barcelona,217,00:03:45.437,Pass,,2016/2017
,,,,,,,,,,,,,,,2.7884,,,,,,,,,,,,,,1e63dab5-a168-4617-a5ce-5d2821042084,139,,"[112.2, 1.3]",266731,3,,,,3.0356083,,Left Foot,,,,"[98.1, 2.8]",,Ground Pass,,14.179563,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,14,Barcelona,217,['e699900c-95cb-48fa-8bc3-4413a7adcdd3'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:03:47.483,Pass,,2016/2017
,,,,,,,,,,,,,,,1.7303,,,,,,,,,,,,,,f4d46def-9abf-4a09-a4c4-7dff8974164e,143,,"[86.3, 12.8]",266731,3,,,,-1.9605049,,Right Foot,,,,"[84.0, 7.2]",,Ground Pass,,6.0539246,,,,Arda Turan,11094.0,,,,,,1,From Corner,Neymar da Silva Santos Junior,4320.0,Left Wing,14,Barcelona,217,"['0301b779-96fc-4777-baea-b6b253914e3b', '2e0fee0f-0df1-4cdb-b169-354dbe28f295']",51,,,,,,,,,,,,,,,,,Barcelona,217,00:03:51.672,Pass,True,2016/2017
