ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,"[79.4, 18.2]",,,,,,,,,,,,0.480924,,,,,,,,,,,,,,4717fe83-20d4-4af0-919b-d94531b3205e,1452,,"[77.2, 19.0]",70281,34,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,80,Barcelona,217,"['786ee739-5359-4baa-9ba3-d045cf2f22b0', 'b474e92b-7429-4d6c-a8d9-c5d744232738']",51,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:51.214,Carry,,2012/2013
,,,,"[97.7, 5.8]",,,,,,,,,,,,1.294848,,,,,,,,,,,,,,732604dd-62cc-4b84-8b82-90ca751ddb78,1455,,"[96.1, 5.8]",70281,34,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Cristian Tello Herrera,6658.0,Left Wing,80,Barcelona,217,"['39c073b2-0ed3-4a0b-8111-e2367e511b50', 'b23a8461-fad7-4497-b8c5-f32f865a182a']",52,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:52.753,Carry,,2012/2013
,,,,"[111.4, 18.6]",,,,,,,,,,,,0.04,,,,,,,,,,,,,,a63463a5-deb8-4d08-b001-8caab480dfc9,1459,,"[110.7, 19.3]",70281,34,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,80,Barcelona,217,"['1a2cdea9-b2d6-455f-b1aa-ea17c4a7dbd3', '7e11585b-0a4b-4e0d-bf51-afe443d408f6']",56,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:56.106,Carry,,2012/2013
,,,,"[116.6, 51.5]",,,,,,,,,,,,1.075949,,,,,,,,,,,,,,966b3e97-7915-4e7c-9c8f-8636e7973802,1462,,"[112.5, 50.4]",70281,34,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,80,Barcelona,217,"['27c0677d-a451-4dc9-b765-6c52e49b2d06', '674b730f-4308-4777-b6a1-09f0472bcd5f', 'faf401c3-0cc6-44cd-9701-0be18bcc4ae5']",57,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:57.972,Carry,True,2012/2013
,,,,"[33.4, 66.1]",,,,,,,,,,,,1.327797,,,,,,,,,,,,,,a3bdae19-0a3a-4eaf-9dbe-592526f380df,1470,,"[38.7, 60.8]",70281,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexandre Dimitri Song-Billong,27053.0,Center Defensive Midfield,82,Barcelona,217,"['1de40bb1-22ca-41d6-8dfd-4d69aa781d02', '81881f9f-e1a4-48a1-b612-c653cf1dbd4c', '84427a93-91dc-4264-8ea2-5968790425d4']",36,,,,,,,,,,,,,,,,,,,Barcelona,217,00:35:36.787,Carry,True,2012/2013
,,,,"[52.4, 58.9]",,,,,,,,,,,,3.658984,,,,,,,,,,,,,,b24268db-9d95-4e6f-8200-553d0134a204,1474,,"[58.3, 61.1]",70281,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,82,Barcelona,217,"['39269b7c-64e7-4dc9-a0f2-df57114b446e', 'c95c3619-1108-4864-91fd-ef36be203d9b', 'cc42f1c0-177f-475f-9347-f3526ea0ce79']",39,,,,,,,,,,,,,,,,,,,Barcelona,217,00:35:39.300,Carry,True,2012/2013
,,,,"[57.8, 31.7]",,,,,,,,,,,,1.970199,,,,,,,,,,,,,,ef511026-ea06-44e6-a2b3-01a475e03cd6,1478,,"[60.4, 34.5]",70281,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,82,Barcelona,217,"['42dfe9c0-dd19-4bc7-b002-47c6abcb6a34', 'c3d0ef81-2bf7-4e0d-badc-ecaccd1589ea']",44,,,,,,,,,,,,,,,,,,,Barcelona,217,00:35:44.696,Carry,,2012/2013
,,,,"[98.3, 22.1]",,,,,,,,,,,,4.807568,,,,,,,,,,,,,,b8e0e85d-e034-486a-bb42-812b3bfba171,1481,,"[90.7, 3.6]",70281,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Cristian Tello Herrera,6658.0,Left Wing,82,Barcelona,217,"['2e9bd9d0-cc4a-4ca5-91d9-eaf650ae6779', '6b5e601a-89f4-46fa-ae74-15c064a1e4e2']",49,,,,,,,,,,,,,,,,,,,Barcelona,217,00:35:49.013,Carry,,2012/2013
,,,,"[54.3, 16.7]",,,,,,,,,,,,1.549868,,,,,,,,,,,,,,2a139da3-70ea-4531-b35c-97a89177f642,1492,,"[53.0, 22.5]",70281,36,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,84,Barcelona,217,"['a3f45f1a-7fa3-4521-be3b-c7e5d3362c98', 'cced977a-fe1c-4f84-932e-6afdaa8f5e40']",19,,,,,,,,,,,,,,,,,,,Barcelona,217,00:36:19.645,Carry,,2012/2013
,,,,"[67.4, 4.7]",,,,,,,,,,,,0.039998002,,,,,,,,,,,,,,8e7f4fec-6629-4615-a234-8714c9764c47,1495,,"[67.4, 4.7]",70281,36,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Cristian Tello Herrera,6658.0,Left Wing,84,Barcelona,217,"['a5ea9426-b206-4555-8f30-4e124ed2ca60', 'fbced011-6425-4ece-b501-858238111fbf']",22,,,,,,,,,,,,,,,,,,,Barcelona,217,00:36:22.769,Carry,,2012/2013
