50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,"[25.6, 49.5]",,,,,,,,,,,,2.369718,,,,,,,,,,,,,,,8dd34c36-b973-4ce8-9297-5276d90138d7,494,,"[22.6, 53.1]",68354,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,20,Barcelona,217,"['0dc683ac-1a99-499b-b20b-35b43375baf1', 'b0a7b5be-054c-4476-b456-4cb3dcfbf4aa']",24,,,,,,,,,,,,,,,,,Barcelona,217,00:09:24.887,Carry,,2005/2006
,,,,"[40.4, 49.5]",,,,,,,,,,,,3.014446,,,,,,,,,,,,,,,5ffafa9c-8fb2-46ec-90aa-56a5564e098c,497,,"[40.8, 47.6]",68354,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,20,Barcelona,217,"['2ad22c8a-9f50-47ac-adfd-8ea2041a7f24', '8051ad14-6ece-41c2-aaad-e6cffe8926e5']",28,,,,,,,,,,,,,,,,,Barcelona,217,00:09:28.483,Carry,,2005/2006
,,,,"[64.6, 20.7]",,,,,,,,,,,,4.210901,,,,,,,,,,,,,,,9e478184-7de0-4e3f-8c34-899d976db0f0,502,,"[44.8, 20.5]",68354,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Left Center Back,20,Barcelona,217,"['26e5d322-2367-4cef-b4d8-8358fc7fa4b2', 'c89aec6e-292b-4b97-84c3-a0d5c2010396']",35,,,,,,,,,,,,,,,,,Barcelona,217,00:09:35.437,Carry,,2005/2006
,,,,"[68.0, 9.5]",,,,,,,,,,,,2.406629,,,,,,,,,,,,,,,2cfb9152-6dde-436b-aa0e-b811df9a8871,505,,"[70.5, 8.8]",68354,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,20,Barcelona,217,"['6e9d7526-0a12-4a45-a4a4-8112f3c03aa1', 'd3dc9cc6-5453-46f6-aaf8-784f87cd9dbc']",40,,,,,,,,,,,,,,,,,Barcelona,217,00:09:40.979,Carry,,2005/2006
,,,,"[70.9, 22.2]",,,,,,,,,,,,0.893306,,,,,,,,,,,,,,,f4811d06-e98e-4ff5-8a63-0fbddf25eb56,508,,"[69.2, 22.6]",68354,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Left Center Back,20,Barcelona,217,"['6a22db39-672b-4b40-9a8a-4a76a684ad25', 'f0bcbc58-7617-4144-8fe2-76f3a0d29d10']",44,,,,,,,,,,,,,,,,,Barcelona,217,00:09:44.205,Carry,,2005/2006
,,,,"[94.0, 26.0]",,,,,,,,,,,,0.186398,,,,,,,,,,,,,,,1fc44708-7d9a-4d56-9845-4437f6aaddd3,512,,"[91.5, 23.4]",68354,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ronaldo de Assis Moreira,25879.0,Left Wing,20,Barcelona,217,"['247ba8ad-4e05-41af-9f4c-81d1b76db7ca', '4accd2b5-be6f-4c84-8bb4-4ccfcc06c9fa', '9133b51b-b52d-44e5-b001-7a82d20cb7c3']",46,,,,,,,,,,,,,,,,,Barcelona,217,00:09:46.539,Carry,True,2005/2006
,,,,"[28.0, 62.0]",,,,,,,,,,,,1.77667,,,,,,,,,,,,,,,3b2bbb0a-05c9-4d44-a207-9c8c02af62b5,515,,"[24.9, 57.8]",68354,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,José Moratón Taeño,26148.0,Right Center Back,20,Barcelona,217,"['11691d75-b983-4afa-8412-4d37d6d6feaa', 'cb9a685d-ed68-48f1-bbdf-4f96c6985c92']",48,,,,,,,,,,,,,,,,,Racing Santander,1217,00:09:48.284,Carry,,2005/2006
,,,,"[76.0, 14.1]",,,,,,,,,,,,3.586104,,,,,,,,,,,,,,,f842a7d1-ace2-4704-ad8a-a5313c1d1cd1,519,,"[75.2, 12.0]",68354,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,20,Barcelona,217,"['1d3360b7-c05c-403e-8262-f3efdfe76055', '289fa1f0-ebbd-4236-a828-ec528fff6020']",50,,,,,,,,,,,,,,,,,Barcelona,217,00:09:50.629,Carry,,2005/2006
,,,,"[87.9, 58.4]",,,,,,,,,,,,5.570647,,,,,,,,,,,,,,,40f78862-4220-4439-b64c-54d1f4e993ff,522,,"[81.7, 66.5]",68354,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,20,Barcelona,217,"['70aec87f-32ca-422d-a3cb-2540ddc42922', '7b4c7981-32f7-41a5-aa88-0ce2240f974d']",56,,,,,,,,,,,,,,,,,Barcelona,217,00:09:56.432,Carry,,2005/2006
,,,,"[84.3, 45.5]",,,,,,,,,,,,0.200003,,,,,,,,,,,,,,,ac3d62fb-3986-49a3-9283-950bfeaf4ea1,525,,"[84.3, 45.5]",68354,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,20,Barcelona,217,"['d835ffbf-c43b-4cc0-b1c3-aedfb93935e7', 'e03fbea7-7c5a-4bfe-87ac-623352673d15']",2,,,,,,,,,,,,,,,,,Barcelona,217,00:10:02.738,Carry,,2005/2006
