ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,03590520-51d4-4f9e-b6ca-f4c1f168bf41,171,,"[37.3, 16.8]",69300,2,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ander Herrera Agüera,3606.0,Center Attacking Midfield,7,Barcelona,217,"['0f5228ad-fe4b-4480-b9b3-6c90293b8c9a', '1583f2fb-8e67-4da5-8992-e1cef9fdfd97', '31fe5253-a5bf-44cf-8a60-af7981b783bb']",39,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:02:39.631,Dribbled Past,,2010/2011
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,a562d188-82e5-4548-b37b-46ef413b387a,431,,"[79.1, 57.1]",69300,7,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,15,Real Zaragoza,395,"['5b2079a0-35de-49ae-9d35-d22b880783aa', '75a27cb2-12f6-408b-851b-2069e367948a', 'efc35f09-7801-43ac-948d-db5f23b24e7d']",9,,,,,,,,,,,,,,,,,Barcelona,217,00:07:09.508,Dribbled Past,,2010/2011
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,ca36acc5-1448-4c3d-9fd4-c97aef0a1150,484,,"[30.3, 26.9]",69300,7,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gabriel Alejandro Milito,25919.0,Left Center Back,17,Real Zaragoza,395,"['65dc8435-e5df-4e44-8170-219cfa98f864', 'e5cda4a2-ec0b-4b47-b450-a64745a6d3fa']",57,,,,,,,,,,,,,,,,,Barcelona,217,00:07:57.785,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a2964c98-3d45-412a-be39-df7d08af1611,648,,"[25.8, 25.9]",69300,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Guirane N''Daw,26760.0,Left Center Midfield,21,Barcelona,217,"['22d15d8c-961a-4e0e-9906-5428d357b55f', '5243fc5c-53a9-4928-9675-7114e793e7bb']",9,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:11:09.522,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a8755d1c-6e7a-4eef-89ff-a71332bd9e2e,950,,"[25.6, 73.9]",69300,18,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ander Herrera Agüera,3606.0,Center Attacking Midfield,35,Barcelona,217,"['b4da7209-1e5b-41d3-aa23-c93898f01d36', 'cab9445d-b3f8-45ec-8485-0b4e1fb2d8ff']",48,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:18:48.325,Dribbled Past,,2010/2011
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,34d2509b-f719-481b-a1c7-fc35ed8a5300,1325,,"[69.8, 48.6]",69300,26,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,51,Real Zaragoza,395,"['18a83cb9-bd45-4fb9-85ef-d61fd55bc6de', '9e1c530c-75de-44ea-986a-47274b4f7a0f', 'd7ac53f1-0842-464e-9dd9-22626daa0082']",47,,,,,,,,,,,,,,,,,Barcelona,217,00:26:47.420,Dribbled Past,,2010/2011
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,fe7bbe93-eab1-4af0-a75c-a701ce451d63,1408,,"[96.6, 23.2]",69300,28,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bojan Krkíc Pérez,4913.0,Center Forward,52,Barcelona,217,"['9a75c20e-57e4-4fa6-9868-07fce3eaaa44', 'ae67e6d7-5fab-4e1e-854b-1618d939f69d', 'bef41f7b-6e31-4500-a0f1-54a483988a71']",16,,,,,,,,,,,,,,,,,Barcelona,217,00:28:16.865,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d3b5aaf8-49f5-4399-980f-f7cf9c203f62,1463,,"[30.6, 21.9]",69300,30,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Guirane N''Daw,26760.0,Left Center Midfield,55,Barcelona,217,"['54e05c37-ed82-4834-bf47-ca547a5c4cf0', 'fe7b43bd-7571-4bc2-9f3b-2b8112d57eb9']",27,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:30:27.592,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,61679c4b-1a31-4964-82a0-256a51ddaf49,1522,,"[28.5, 37.5]",69300,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ander Herrera Agüera,3606.0,Center Attacking Midfield,58,Barcelona,217,"['6d4158f3-4ea4-4dd0-ab60-82285fe2f94b', 'c1d577e6-9b43-4c4a-8231-beadb11ef6a8']",12,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:32:12.936,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1ab4c904-2d8e-432d-90ad-6198b1b2343d,1635,,"[31.9, 28.9]",69300,36,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Guirane N''Daw,26760.0,Left Center Midfield,65,Barcelona,217,"['58b57d54-7bec-47da-887a-203f7d5a3fc7', 'ef70e69e-fb42-4913-badd-8ac2ef812248']",11,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:36:11.185,Dribbled Past,,2010/2011
