bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.013579,,,,,,,,,,,,,f2b7cbe6-2706-4848-b6d0-cb64dc782e0b,47,,"[39.4, 58.8]",68315,1,,,,,1.9799525,,Right Foot,,,"[34.5, 70.1]",,Ground Pass,,12.316655,,,,Iñaki Descarga Retegi,25894.0,,,,,Recovery,1,Regular Play,Alberto Rivera Pizarro,25893.0,Left Defensive Midfield,6,Levante UD,221,"['3b5868cf-e2dd-4ea0-8117-69f1ccf5228b', 'faa5b14b-fb40-4f7e-aaec-cbe8de20b434']",9,,,,,,,,,,,,,,,,,Levante UD,221,00:01:09.316,Pass,,2004/2005
,,,,,,,,,,,,,,,,,0.921055,,,,,,,,,,,,,ac603b27-c8f3-45ec-999e-4445bfda7874,51,,"[33.5, 61.9]",68315,1,,,,,-0.6686896,,Right Foot,,,"[41.6, 55.5]",,Ground Pass,,10.323275,,,,Fabio Celestini,20321.0,,,,,,1,Regular Play,Iñaki Descarga Retegi,25894.0,Left Back,6,Levante UD,221,"['55b4eacf-cf53-47ee-852b-12f1d922d60e', 'c6a8f0c5-d199-4860-8bb3-bcaebb94eb11']",11,,,,,,,,,,,,,,,,,Levante UD,221,00:01:11.336,Pass,True,2004/2005
,,,,,,,,,,,,,,,,,1.171545,,,,,,,,,,,,,2ac37b1d-dd37-4e44-a0cb-976158813401,55,,"[55.8, 62.7]",68315,1,,,,,-0.83620185,,Right Foot,,,"[75.4, 41.0]",,Ground Pass,,29.241238,,,,Ignacio Pérez Santamaría,25892.0,,,,,,1,Regular Play,Fabio Celestini,20321.0,Right Defensive Midfield,6,Levante UD,221,['b41c0ed5-88c9-427e-a7ec-145fd5d9b7c6'],16,,,,,,,,,,,,,,,,,Levante UD,221,00:01:16.059,Pass,,2004/2005
,,,,,,,,,,,,,,,,,1.039471,,,,,,,,,,,,,2d81d643-a0b7-4f30-adf4-9608cc356a94,57,,"[75.4, 41.0]",68315,1,,,,,2.5113988,,Left Foot,,,"[66.9, 47.2]",,Low Pass,,10.520931,,Incomplete,,Alberto Rivera Pizarro,25893.0,,,,,,1,Regular Play,Ignacio Pérez Santamaría,25892.0,Center Attacking Midfield,6,Levante UD,221,"['95d34ea1-2d5e-4fab-af41-b1a7f949e1f5', 'b7261aaf-a7b5-4859-9df2-e9a4990bbeec']",17,,,,,,,,,,,,,,,,,Levante UD,221,00:01:17.231,Pass,,2004/2005
,,,,,,,,,,,,,,,,,0.412164,,,,,,,,,,,,,8ea7cff6-529d-4b4b-a1e2-f213887f9007,64,,"[65.8, 34.5]",68315,1,,,,,0.7114591,,Right Foot,,,"[68.7, 37.0]",,Ground Pass,,3.8288379,,,,Samuel Eto''o Fils,19298.0,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Right Center Midfield,7,Barcelona,217,['6debc030-3dae-4193-83dc-101910eb8223'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.702,Pass,,2004/2005
,,,,,,,,,,,,,,,,,1.139356,,,,,,,,,,,,,9536b955-9430-43ef-bddb-5d4a02d03500,70,,"[63.3, 42.8]",68315,1,,,,,1.0211887,,Right Foot,,,"[75.0, 61.9]",,Ground Pass,,22.39866,,Incomplete,,Juliano Haus Belletti,25863.0,,,,,,1,Regular Play,Samuel Eto''o Fils,19298.0,Center Forward,7,Barcelona,217,"['4f9e7f58-eafb-48b5-bdcd-4c88d0960bd6', 'c7d29783-73b0-4b5d-94e3-09bca088098f']",24,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.326,Pass,,2004/2005
,,,,,,,,,,,,,,,,,2.492362,,,,,,,,,,,,,4d88d11b-6213-4860-b79e-abbf05a8a4cb,74,,"[37.3, 18.2]",68315,1,,,,,2.503947,,Left Foot,,,"[12.6, 36.5]",,Ground Pass,,30.740526,,,,Juan Luis Mora Palacios,25891.0,,,,,,1,Regular Play,Jofre González Mateu,25890.0,Left Wing,8,Levante UD,221,['25ee2856-70d5-4093-91dd-b3fd8273f8ce'],26,,,,,,,,,,,,,,,,,Levante UD,221,00:01:26.510,Pass,,2004/2005
,,,,,,,,,,,,,,,,,3.1875,,,,,,,,,,,,,719dd343-b200-44f0-a547-d6a9edca8ee6,77,,"[12.9, 42.0]",68315,1,,,,,0.54930514,,Right Foot,,,"[55.7, 68.2]",,High Pass,,50.18247,,,,Felix Dja Ettien Yohou,25895.0,,,,,,1,Regular Play,Juan Luis Mora Palacios,25891.0,Goalkeeper,8,Levante UD,221,['04e72d3a-9404-44b2-b9cb-1bc1c08ecb39'],31,,,,,,,,,,,,,,,,,Levante UD,221,00:01:31.536,Pass,,2004/2005
,,,,,,,,,,,,,,,,,0.6978,,,,,,,,,,,,,30ba46e4-c21a-4efb-87ab-0cd2a90ceb54,80,,"[55.7, 67.9]",68315,1,,,,,2.929635,,Other,,,"[47.8, 69.6]",,Low Pass,,8.080841,,,,Iñaki Descarga Retegi,25894.0,,,,,,1,Regular Play,Felix Dja Ettien Yohou,25895.0,Right Wing,8,Levante UD,221,['d17b90d2-7aa7-4a08-9a54-23a514298233'],34,,,,,,,,,,,,,,,,,Levante UD,221,00:01:34.856,Pass,,2004/2005
,,,,,,,,,,,,,,,,,2.001357,,,,,,,,,,,,,77be39d6-51cf-43b6-a70c-6e16d002c1b7,82,,"[47.8, 69.6]",68315,1,,,,,-2.1415095,,Head,,,"[37.4, 53.4]",,Low Pass,,19.250975,,Incomplete,,Alberto Rivera Pizarro,25893.0,,,,,,1,Regular Play,Iñaki Descarga Retegi,25894.0,Left Back,8,Levante UD,221,"['44500f38-43ea-408a-9115-c1a32adfea2d', 'fe48c860-2941-4210-b365-66b6c378c50b']",35,,,,,,,,,,,,,,,,,Levante UD,221,00:01:35.554,Pass,,2004/2005
