bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.035003,,,,,,,,,,,,11a09465-3556-4593-badd-3703c34aaf79,55,,"[69.7, 17.6]",266467,0,,,,,-2.3561945,,Right Foot,,,,"[60.0, 7.9]",,Ground Pass,,13.717872,,,Jonathan Castro Otto,6802.0,,,,,,,1,Regular Play,Nemanja Radoja,6796.0,Left Defensive Midfield,4,Celta Vigo,209,['8dbe3d56-e191-4c79-aa0e-cca002c10930'],42,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:42.192,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.9895,,,,,,,,,,,,ba254747-49b3-468e-afba-3d91a215efae,59,,"[56.4, 7.0]",266467,0,,,,,2.6356423,,Right Foot,,,,"[34.2, 19.3]",,Ground Pass,,25.379717,,,Sergi Gómez Solà,6804.0,,,,,,,1,Regular Play,Jonathan Castro Otto,6802.0,Left Back,4,Celta Vigo,209,"['5a535c48-ccfe-4256-b3ec-422d08d75eb5', '936a6ce5-be6a-4e82-9535-e5aa47a9b0e4']",44,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:44.829,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,1.8282,,,,,,,,,,,,e89894c7-5513-4a73-a060-a91ab0e10836,62,,"[34.2, 19.3]",266467,0,,,,,0.897126,,Right Foot,,,,"[43.3, 30.7]",,Ground Pass,,14.5866375,,,Augusto Matías Fernández,19668.0,,,,,,,1,Regular Play,Sergi Gómez Solà,6804.0,Left Center Back,4,Celta Vigo,209,['b4a2bf30-dbdc-477c-a723-d2629b541706'],45,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:45.859,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,0d84e4b6-6001-4b3a-b458-db81380f01ca,64,,"[43.3, 30.7]",266467,0,,,,,2.1157987,,Right Foot,,,,"[33.6, 46.7]",,Ground Pass,,18.710691,,,Gustavo Daniel Cabral Cáceres,6794.0,,,,,,,1,Regular Play,Augusto Matías Fernández,19668.0,Right Defensive Midfield,4,Celta Vigo,209,['9e7d02e7-18d9-413e-967e-8d489527a5f8'],47,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:47.687,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.177811,,,,,,,,,,,,29eaf197-3519-426c-acdf-4e48ea5b4440,68,,"[39.0, 39.8]",266467,0,,,,,-2.0431018,,Right Foot,,,,"[29.6, 21.4]",,Ground Pass,,20.662043,,,Sergi Gómez Solà,6804.0,,,,,,,1,Regular Play,Gustavo Daniel Cabral Cáceres,6794.0,Right Center Back,4,Celta Vigo,209,['7938b5a4-0a7d-4979-99fa-07f9b68d5638'],51,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:51.996,Pass,,2015/2016
,,,,,,,,,,,,,,,,,2.7848,,,,,,,,,,,,439dfa7d-94c3-4a96-9b48-ee83a930215a,71,,"[30.5, 21.6]",266467,0,,,,,-0.14285582,,Right Foot,,,,"[74.3, 15.3]",,High Pass,,44.250763,Incomplete,,,,,,,,,,1,Regular Play,Sergi Gómez Solà,6804.0,Left Center Back,4,Celta Vigo,209,['308be273-73e7-49a4-8f3a-57ebe4d99e9b'],55,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:55.239,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.2128,,,,,,,,,,,,308be273-73e7-49a4-8f3a-57ebe4d99e9b,72,,"[46.7, 65.7]",266467,0,,,,True,-0.17713611,,,,,,"[62.9, 62.8]",,High Pass,,16.457521,Incomplete,,Sergi Roberto Carnicer,6379.0,,,,,,Recovery,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Celta Vigo,209,"['439dfa7d-94c3-4a96-9b48-ee83a930215a', '45ef78ee-5944-47a3-a676-96a3ccc4e10e', '48b3f06b-5fe3-4218-8958-ca4016e3536b', 'cc67ae1d-2cbc-4677-8a94-6427059b2485']",58,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.024,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,0.977,,,,,,,,,,,,d624a406-c2d6-4d4e-b2ea-1ae61b0b04e2,77,,"[58.5, 17.2]",266467,0,,,,,-0.019228399,,Right Foot,,,,"[68.9, 17.0]",,Low Pass,,10.401923,,,Iago Aspas Juncal,5217.0,,,,,,,1,Regular Play,Nemanja Radoja,6796.0,Left Defensive Midfield,4,Celta Vigo,209,['9eb0f6b6-b0a6-492b-814c-fff3d3f19ed5'],59,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:59.650,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.8614,,,,,,,,,,,,dc3cd5ac-1fd5-4ede-80ca-f9f45d9d5d84,79,,"[68.9, 17.0]",266467,1,,,,,1.4174639,,Head,,,,"[70.6, 28.0]",,High Pass,,11.130589,,,Daniel Wass,6797.0,,,,,,,1,Regular Play,Iago Aspas Juncal,5217.0,Left Center Forward,4,Celta Vigo,209,['2c048f6c-99d7-4353-839c-71a8c77ec72a'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:00.627,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.4498,,,,,,,,,,,,5e7a4ee5-7e0c-4fa5-9456-779abc8e7f7f,81,,"[70.6, 28.0]",266467,1,,,,,-1.2448264,,Head,,,,"[73.0, 20.9]",,High Pass,,7.4946647,Incomplete,,,,,,,,,,1,Regular Play,Daniel Wass,6797.0,Right Center Forward,4,Celta Vigo,209,['2d01c667-2d89-452a-9a12-03da7cc6a1d4'],1,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:01.488,Pass,,2015/2016
