50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.788719,,,,,,,,,,,,,2a3bda0d-db21-41e6-a82f-87a2ae445b1c,54,,"[37.1, 59.7]",266420,1,,,,,-1.3304108,,Right Foot,,,"[45.9, 23.8]",,Ground Pass,,36.96282,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['3a5d28b5-636c-4598-9d3e-0a742b697c63'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.189,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.9962,,,,,,,,,,,,,72fc202f-251d-4e0f-a94d-1754bc9692ec,58,,"[52.7, 28.2]",266420,1,,,,,1.782454,,Right Foot,,,"[44.9, 64.5]",,Ground Pass,,37.12856,,,,Marc Bartra Aregall,7068.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Left Center Back,4,Barcelona,217,"['4464191e-a572-4938-b2c9-cee6d26d33d4', 'e80ae1e5-7b55-4b80-9607-df9edd954131']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.250,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.734471,,,,,,,,,,,,,fbc27b37-ca49-4892-8f9e-c7396e6db38a,61,,"[49.5, 70.6]",266420,1,,,,,-2.0208702,,Right Foot,,,"[40.9, 52.8]",,Ground Pass,,19.768661,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Marc Bartra Aregall,7068.0,Right Center Back,4,Barcelona,217,['9c99d3ce-c99b-4a47-a7ab-6c268749fe3c'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.769,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.506556,,,,,,,,,,,,,5ed23320-562c-47ea-b127-f84a9067e97f,64,,"[52.9, 47.8]",266420,1,,,,,-1.4211048,,Right Foot,,,"[57.5, 17.3]",,Ground Pass,,30.844934,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['1eed2833-5079-47b6-ae47-1f3437545cdf'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:01:27.566,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.37911,,,,,,,,,,,,,2c8393e0-2058-4f1e-b9c3-32895f9157a8,67,,"[65.9, 15.0]",266420,1,,,,,-0.77685136,,Right Foot,,,"[77.7, 3.4]",,Ground Pass,,16.546904,,,,Adriano Correia Claro,22102.0,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Right Center Midfield,4,Barcelona,217,['9442bfa9-3a94-44da-ab04-36f520300515'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.949,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.611021,,,,,,,,,,,,,101e2e12-5596-4b7b-be0b-8d53518803d4,71,,"[73.8, 5.6]",266420,1,,,,,2.890923,,Right Foot,,,"[44.9, 13.0]",,Low Pass,,29.832365,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Adriano Correia Claro,22102.0,Left Back,4,Barcelona,217,['d755ebdb-3e38-450d-a90f-57327323e06e'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:01:37.778,Pass,,2013/2014
,,,,,,,,,,,,,,,,3.0381,,,,,,,,,,,,,4bd3b1de-f548-460b-95af-9501e138074f,74,,"[48.4, 19.7]",266420,1,,,,,0.46836457,,Right Foot,,,"[90.7, 41.1]",,High Pass,,47.405167,,,Incomplete,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Left Center Back,4,Barcelona,217,"['1f4f2204-a879-4e8f-af51-f603b108ebf6', '6c54ff4f-ac56-4828-83b9-6eab46310c57']",41,,,,,,,,,,,,,,,,,Barcelona,217,00:01:41.698,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.6227,,,,,,,,,,,,,e439505d-4154-4a64-940f-02edf970ad1a,84,,"[49.6, 55.1]",266420,1,,,,,1.5707964,,Right Foot,,,"[49.6, 61.3]",,Ground Pass,,6.2,,,,Jesús Joaquín Fernández Sáez de la Torre,7022.0,,,,,,1,Regular Play,José Antonio García Rabasco,24149.0,Right Center Midfield,5,Almería,403,['3510007c-80ea-4c58-9f38-4cce84e4b25a'],50,,,,,,,,,,,,,,,,,Almería,403,00:01:50.147,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.729558,,,,,,,,,,,,,49fc4a5e-a557-4812-a9b8-41596491f21b,87,,"[49.6, 61.3]",266420,1,,,,,0.06320683,,Left Foot,,,"[65.4, 62.3]",,Ground Pass,,15.831614,,,,Rodrigo Ríos Lozano,24145.0,,,,,,1,Regular Play,Jesús Joaquín Fernández Sáez de la Torre,7022.0,Right Wing,5,Almería,403,['4e745a3e-3ffb-4765-b42b-b02d568b8756'],50,,,,,,,,,,,,,,,,,Almería,403,00:01:50.810,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.198888,,,,,,,,,,,,,fba61a78-5f7c-4840-b1e4-3496eb7e49b3,91,,"[55.4, 21.2]",266420,1,,,,,3.070285,,Left Foot,,,"[41.4, 22.2]",,Ground Pass,,14.035668,,,,Gerard Piqué Bernabéu,5213.0,,,,,Recovery,1,Regular Play,Adriano Correia Claro,22102.0,Left Back,5,Almería,403,['e0be1086-f21b-4d5c-9c6d-6f62547c370b'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:01:52.518,Pass,,2013/2014
