ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.0539,,,,,,,,,,,,,,,752beb01-bd46-4610-98c2-1b92b68837ea,55,,"[62.7, 80.0]",69141,0,,,,,-1.5707964,,,,,,"[62.7, 69.0]",,Low Pass,,11.0,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Throw-in,1,From Throw In,Gianluca Zambrotta,15774.0,Right Back,4,Barcelona,217,['9f3c0aca-76d5-4fd3-bdc2-c727ea93ae1b'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.601,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.710897,,,,,,,,,,,,,,,3fef4833-eb65-488e-acb6-95d4fa98f8fd,59,,"[64.1, 69.4]",69141,0,,,,,-1.9268106,,Left Foot,,,,"[56.7, 49.5]",,Ground Pass,,21.231344,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Barcelona,217,"['79038446-6c8e-49aa-b031-07f8698d5388', 'b57be7b7-6ff5-43fb-a44a-190820bd2ce4']",44,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.228,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,0.776155,,,,,,,,,,,,,,,26a619f3-2507-4d82-aa3e-1449aeed68a3,63,,"[58.4, 40.6]",69141,0,,,,,-0.9272952,,Right Foot,,,,"[64.1, 33.0]",,Ground Pass,,9.5,,,Anderson Luís de Souza,19757.0,,,,,,,1,From Throw In,Rafael Márquez Álvarez,5558.0,Center Defensive Midfield,4,Barcelona,217,['f2f33bc2-6f2e-4a42-8926-c456d9d4a002'],47,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.719,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.290611,,,,,,,,,,,,,,,2a1d2950-c0f6-415b-b4a0-70d82e6c88fb,67,,"[64.6, 26.2]",69141,0,,,,,-0.47411844,,Right Foot,,,,"[79.8, 18.4]",,Ground Pass,,17.084496,,,Thierry Henry,15516.0,,,,,,,1,From Throw In,Anderson Luís de Souza,19757.0,Right Center Midfield,4,Barcelona,217,['d600a191-7c23-455a-b851-072bc7ac6532'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.027,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.921,,,,,,,,,,,,,,,05ffead0-9aa4-4370-8c1e-a218ee55c3cc,71,,"[79.8, 18.4]",69141,0,,,,,0.91902333,,Right Foot,,,,"[93.0, 35.7]",,High Pass,,21.760744,Incomplete,,Samuel Eto''o Fils,19298.0,,,,Through Ball,True,,1,From Throw In,Thierry Henry,15516.0,Left Wing,4,Barcelona,217,"['21201aab-2c33-45ef-92e0-b437dbfe7beb', '543e0b12-27b9-4297-aa61-8ae05331d835']",51,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.357,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.354682,,,,,,,,,,,,,,,3ff3e530-904a-4e79-927a-27296ce18270,75,,"[29.1, 43.2]",69141,0,,,,,0.2752397,,Left Foot,,,,"[50.7, 49.3]",,High Pass,,22.44482,,,David Josué Jiménez Silva,3064.0,,,,,,Recovery,1,Regular Play,Alexis Ruano Delgado,6614.0,Left Center Back,5,Valencia,207,['3e1b8760-d2c5-4882-a245-f13603d01a34'],54,,,,,,,,,,,,,,,,,,Valencia,207,00:00:54.404,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.024324,,,,,,,,,,,,,,,2208e385-e165-4a56-9464-fa9ff7252966,78,,"[51.1, 49.5]",69141,0,,,,,2.5726094,,Left Foot,,,,"[42.5, 55.0]",,Ground Pass,,10.20833,,,Rubén Baraja Vegas,20129.0,,,,,,,1,Regular Play,David Josué Jiménez Silva,3064.0,Center Attacking Midfield,5,Valencia,207,['778233a9-80be-498b-839e-b6b0fb85c18c'],55,,,,,,,,,,,,,,,,,,Valencia,207,00:00:55.881,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.822191,,,,,,,,,,,,,,,8d23528a-5f02-490c-9205-4a52073c4404,81,,"[43.5, 57.8]",69141,0,,,,,1.2506771,,Right Foot,,,,"[49.6, 76.2]",,Ground Pass,,19.384789,,,Joaquín Sánchez Rodríguez,6651.0,,,,,,,1,Regular Play,Rubén Baraja Vegas,20129.0,Right Center Midfield,5,Valencia,207,['ff7401fe-657d-4e81-8000-fb658e4c1a68'],58,,,,,,,,,,,,,,,,,,Valencia,207,00:00:58.091,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.99722,,,,,,,,,,,,,,,4e5e77ec-bb67-462e-bdc4-3a3f8b731727,84,,"[49.4, 75.4]",69141,1,,,,,-3.1252007,,Right Foot,,,,"[37.2, 75.2]",,Ground Pass,,12.201639,,,Luís Miguel Brito Garcia Monteiro,20070.0,,,,,,,1,Regular Play,Joaquín Sánchez Rodríguez,6651.0,Right Wing,5,Valencia,207,['6299c1db-7c5f-4bc6-8d6d-8843d5b6e792'],1,,,,,,,,,,,,,,,,,,Valencia,207,00:01:01.693,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.966038,,,,,,,,,,,,,,,7b972e01-9c0b-4564-ac7d-921648ab4ae0,88,,"[35.9, 76.0]",69141,1,,,,,0.13552772,,Right Foot,,,,"[51.3, 78.1]",,Ground Pass,,15.542522,,,David Josué Jiménez Silva,3064.0,,,,,,,1,Regular Play,Luís Miguel Brito Garcia Monteiro,20070.0,Right Back,5,Valencia,207,"['21f4dd48-3e9e-4a6a-ab5e-42d2d70607d4', '5a66ad77-dc41-4fe5-a4df-3b23bffa7fdc']",3,,,,,,,,,,,,,,,,,,Valencia,207,00:01:03.604,Pass,True,2007/2008
