bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,51c91bd0-decf-428f-86ea-579fccd70e10,25,,,"[56.2, 62.1]",69165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Ferrán Corominas Telechea,26102.0,Right Midfield,2,Barcelona,217,['e95e5e28-0088-4983-9d0c-5b8d74fef310'],13,,,,,,,,,,,,,,,,Espanyol,214,00:00:13.332,Ball Receipt*,,2006/2007
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce2061f1-4a6e-46c1-8188-0fa33cc4c2cb,29,,,"[110.3, 48.6]",69165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Luis García Fernández,23916.0,Center Attacking Midfield,3,Espanyol,214,['08c121a7-ab8a-476f-a892-5e0bb4d0d5f8'],28,,,,,,,,,,,,,,,,Espanyol,214,00:00:28.371,Ball Receipt*,,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7425a8ae-8993-497d-8a1b-1ada03151024,31,,,"[47.3, 70.6]",69165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Center Defensive Midfield,4,Barcelona,217,['83850bbf-a017-43b1-ae14-3fffaaf3e91d'],48,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.905,Ball Receipt*,,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7a911afb-a6aa-490a-a76d-581f13f5bba5,33,,,"[34.8, 42.2]",69165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Carles Puyol i Saforcada,20125.0,Left Center Back,4,Barcelona,217,['b17e7312-a5bb-41d2-bfd9-69db19c5868d'],55,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.499,Ball Receipt*,,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d99d7178-ae16-4439-9f8f-42fecc8f1530,36,,,"[45.0, 76.1]",69165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gianluca Zambrotta,15774.0,Right Back,4,Barcelona,217,['4e67fa83-f55f-4407-9943-a70432a6715d'],0,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.152,Ball Receipt*,,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7fa53939-fbbe-4f3b-bb80-3091e0f97cbc,40,,,"[63.0, 78.5]",69165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Barcelona,217,"['32ce7650-1b15-4b9a-8554-94ecfe66f629', 'c61343d7-4a52-4f3a-ac35-4e685985571f']",2,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.606,Ball Receipt*,True,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7d93f1a2-d29f-40de-afb4-4237a5c92079,43,,,"[48.3, 77.5]",69165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gianluca Zambrotta,15774.0,Right Back,4,Barcelona,217,['c0e6e1da-11c6-404b-b1f5-f2a5c7cf9c1e'],4,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.552,Ball Receipt*,,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6fc7ab0-eca4-4032-bb7d-f2b59bb1f514,47,,,"[35.6, 69.9]",69165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lilian Thuram,15071.0,Right Center Back,4,Barcelona,217,"['23d53966-bba1-466e-98ff-11c0e8aa3443', '400a87ad-1fab-4d15-bec9-8665c02e05f9']",6,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.964,Ball Receipt*,True,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e8434096-1bd2-4687-8839-2e264b2279fa,50,,,"[8.3, 43.2]",69165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,4,Barcelona,217,['f29fedd9-f536-40e2-bd03-8bebe1435bd9'],9,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.381,Ball Receipt*,,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79097097-eae8-4f24-b071-4e544866d269,53,,,"[25.8, 63.8]",69165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lilian Thuram,15071.0,Right Center Back,4,Barcelona,217,['f6f6b46e-0b1e-47fd-b588-48ffe0fd8921'],12,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.201,Ball Receipt*,,2006/2007
