ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.8587,,,,,,,,,,,,,2c54b7ad-97af-4a8b-a730-c74a868c837c,3251,,"[67.7, 68.8]",266424,73,,,,,-0.827797,,Right Foot,,,,"[75.6, 60.2]",,Ground Pass,,11.677756,,,,,Sergi Roberto Carnicer,6379.0,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,164,Barcelona,217,['244d4d1b-af18-4279-9614-f222f732d70a'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:28:30.931,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.803291,,,,,,,,,,,,,37163435-b937-4341-bb33-d8e1fbad3bbf,3255,,"[75.5, 59.9]",266424,73,,,,,2.8430936,,Right Foot,,,,"[67.7, 62.3]",,Ground Pass,,8.160882,,,,,Daniel Alves da Silva,4324.0,,,,,,2,Regular Play,Sergi Roberto Carnicer,6379.0,Right Center Midfield,164,Barcelona,217,['6fe5850d-3846-4040-b9f9-21fa6d2e52ba'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:28:31.830,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.536547,,,,,,,,,,,,,bd8a844d-21ae-4d11-96a8-b8ce11efe2de,3258,,"[67.7, 62.3]",266424,73,,,,,2.69781,,Right Foot,,,,"[61.6, 65.2]",,Ground Pass,,6.7542577,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,164,Barcelona,217,['db2edd18-d80e-41cd-a61a-b82e8d691866'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:28:32.862,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.1944,,,,,,,,,,,,,87385281-cabf-4b3b-ad79-81726b474beb,3262,,"[69.2, 55.3]",266424,73,,,,,-0.5926038,,Left Foot,,,,"[84.2, 45.2]",,Ground Pass,,18.083418,,,,,Jordi Alba Ramos,5211.0,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,164,Barcelona,217,['fec806e3-fedb-4f5e-ba6d-9113e123fbac'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:28:37.111,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.199529,,,,,,,,,,,,,acbca598-e30c-4da4-854d-3364ea29dd00,3264,,"[84.2, 45.2]",266424,73,,,,,0.76159316,80a89b3f-b2e5-40cb-b8b1-0120124541fc,Left Foot,,,,"[92.8, 53.4]",True,Ground Pass,,11.882761,,,,,Luis Alberto Suárez Díaz,5246.0,,,Through Ball,True,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Back,164,Barcelona,217,['f5653a6c-9350-4baf-b5ce-dd1814197985'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:28:38.305,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.611,,,,,,,,,,,,,6e0125dd-63a8-48d4-a64e-fd75474cb333,3269,,"[61.0, 40.1]",266424,74,,True,,,-2.927532,,Right Foot,,,,"[58.7, 39.6]",,Ground Pass,,2.3537204,,,,,Gareth Frank Bale,6399.0,,,,,Kick Off,2,From Kick Off,Karim Benzema,19677.0,Center Forward,165,Real Madrid,220,['c62db81f-724a-4936-a304-cd88980e8002'],59,,,,,,,,,,,,,,,,,Real Madrid,220,00:29:59.756,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.945612,,,,,,,,,,,,,79343c19-011e-4277-8073-6f1056c38e4f,3271,,"[61.9, 38.7]",266424,75,,True,,,-0.22471116,,Left Foot,,,,"[65.4, 37.9]",,Ground Pass,,3.5902646,,,,,Francisco Román Alarcón Suárez,4926.0,,,,,,2,From Kick Off,Gareth Frank Bale,6399.0,Center Attacking Midfield,165,Real Madrid,220,['c04db209-70e6-40d0-a698-10421b4f4f7d'],1,,,,,,,,,,,,,,,,,Real Madrid,220,00:30:01.493,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.9921,,,,,,,,,,,,,b1c487b4-c418-4cc0-8b91-57e161718a0e,3275,,"[76.0, 38.7]",266424,75,,,,,1.7649025,,Right Foot,,,,"[71.4, 62.1]",,Ground Pass,,23.84785,,,,,Francisco Román Alarcón Suárez,4926.0,,,,,Free Kick,2,From Free Kick,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Wing,166,Real Madrid,220,['f9828d05-57b5-40eb-8cbb-b13ba06da0b5'],14,,,,,,,,,,,,,,,,,Real Madrid,220,00:30:14.148,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.0514,,,,,,,,,,,,,6a00c399-75d8-48e1-a311-545a8aff202c,3278,,"[71.4, 62.1]",266424,75,,,,,-2.1870933,,Right Foot,,,,"[69.7, 59.7]",,Ground Pass,,2.9410882,,,,,Luka Modrić,5463.0,,,,,,2,From Free Kick,Francisco Román Alarcón Suárez,4926.0,Right Wing,166,Real Madrid,220,['e66211ba-1e40-4828-9a39-454a96dcf947'],15,,,,,,,,,,,,,,,,,Real Madrid,220,00:30:15.953,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.5589,,,,,,,,,,,,,b370e386-a1b4-49a9-bf2f-940875c7c950,3281,,"[69.7, 59.7]",266424,75,,,,,-1.764479,,Right Foot,,,,"[63.6, 28.6]",,Ground Pass,,31.692585,,,,,Toni Kroos,5574.0,,,,,,2,From Free Kick,Luka Modrić,5463.0,Right Defensive Midfield,166,Real Madrid,220,['34f9c63c-f392-497a-be11-04a48935090a'],19,,,,,,,,,,,,,,,,,Real Madrid,220,00:30:19.452,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.8898,,,,,,,,,,,,,0ea77d37-2dc0-4f9c-8051-8c5e942c4c9a,3284,,"[63.6, 28.6]",266424,75,,,,,-1.3933115,,Right Foot,,,,"[67.6, 6.3]",,Ground Pass,,22.655905,,,,,Danilo Luiz da Silva,3063.0,,,,,,2,From Free Kick,Toni Kroos,5574.0,Left Defensive Midfield,166,Real Madrid,220,['0c3315c7-254e-4572-bd2a-39c0954a1bd9'],21,,,,,,,,,,,,,,,,,Real Madrid,220,00:30:21.931,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.5291,,,,,,,,,,,,,0c02d73a-ffb7-4a19-9e00-a47ab846f2d3,3288,,"[63.3, 23.5]",266424,75,,,,,2.1381958,,Right Foot,,,,"[51.0, 42.8]",,Ground Pass,,22.88624,,,,,Raphaël Varane,5485.0,,,,,,2,From Free Kick,Danilo Luiz da Silva,3063.0,Left Back,166,Real Madrid,220,['0df8b634-19e5-49c6-877c-7438e5d931c2'],27,,,,,,,,,,,,,,,,,Real Madrid,220,00:30:27.004,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.6398,,,,,,,,,,,,,08c25bef-be2c-48ed-86d8-416ca64885e8,3291,,"[50.9, 42.2]",266424,75,,,,,-1.9550452,,Left Foot,,,,"[41.6, 19.2]",,Ground Pass,,24.80907,,,,,Sergio Ramos García,5201.0,,,,,,2,From Free Kick,Raphaël Varane,5485.0,Right Center Back,166,Real Madrid,220,['7bdde15f-5b96-4cae-b585-3f9dc4953992'],30,,,,,,,,,,,,,,,,,Real Madrid,220,00:30:30.577,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.8902,,,,,,,,,,,,,55ba2f3b-d6f8-49da-bf10-af3adb1795cd,3294,,"[41.9, 20.8]",266424,75,,,,,2.8529181,,Right Foot,,,,"[8.9, 30.6]",,Ground Pass,,34.42441,,,,,Keylor Navas Gamboa,5597.0,,,,,,2,From Free Kick,Sergio Ramos García,5201.0,Left Center Back,166,Real Madrid,220,"['445b87e0-f9a0-4433-9aeb-aabe58290a55', 'b12d3c37-089e-4ac6-883c-ca2b3e64fff5']",33,,,,,,,,,,,,,,,,,Real Madrid,220,00:30:33.216,Pass,True,2015/2016
