50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,3.839413,,,,,,,,,,,,1a5f04ba-0b2c-457c-ab1e-6772921d00bd,81,,"[41.2, 23.6]",68331,1,,,,,-0.71883,,Left Foot,,"[66.8, 1.2]",,High Pass,,34.016468,,Out,,Diego Alberto Milito,19294.0,,,,,,,1,Regular Play,Juan Francisco García García,26023.0,Left Back,5,Real Zaragoza,395,"['6a8ef5ee-a5f7-4812-9113-cd37414ddf18', 'fa4095e1-b0f3-44f2-b5d8-575ccd2036ab']",22,,,,,,,,,,,,,,,,Real Zaragoza,395,00:01:22.495,Pass,True,2006/2007
,,,,,,,,,,,,,,,0.998706,,,,,,,,,,,,8923ca50-c2bf-4a73-9a1b-0c55a593c3d5,83,,"[53.5, 80.0]",68331,1,,,,,-0.68749785,,,,"[65.8, 69.9]",,High Pass,,15.915401,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Throw-in,1,From Throw In,Gianluca Zambrotta,15774.0,Right Back,6,Barcelona,217,['01080492-92eb-4192-9f8b-56791b5f9988'],36,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.182,Pass,,2006/2007
,,,,,,,,,,,,,,,3.480499,,,,,,,,,,,,1adb81f6-e010-4b9d-afdc-f197839f2df6,91,,"[52.3, 65.2]",68331,1,,,,,-1.981707,,Right Foot,,"[34.0, 23.2]",,Low Pass,,45.813644,,,,Carles Puyol i Saforcada,20125.0,,,True,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,6,Barcelona,217,"['163ff014-77a6-4c8f-ace0-59e8f0182df9', '52b95671-1a76-49d9-847d-da8d01b23411', 'df0d342c-1538-491e-b14e-0a6583d49369']",41,,,,,,,,,,,,,,,,Barcelona,217,00:01:41.071,Pass,True,2006/2007
,,,,,,,,,,,,,,,1.508953,,,,,,,,,,,,a9f4244f-1031-4316-9f61-c98f7e3a4744,94,,"[34.0, 23.2]",68331,1,,,,,-1.0771791,,Left Foot,,"[43.9, 4.8]",,Ground Pass,,20.894258,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,6,Barcelona,217,['d2f3c41c-eecf-4557-b144-9c0ffbd68d83'],44,,,,,,,,,,,,,,,,Barcelona,217,00:01:44.630,Pass,,2006/2007
,,,,,,,,,,,,,,,1.110162,,,,,,,,,,,,475cebd2-6281-485f-8c66-5d129b09be57,97,,"[43.9, 4.8]",68331,1,,,,,1.0743736,,Left Foot,,"[49.1, 14.4]",,Ground Pass,,10.917875,,,,Anderson Luís de Souza,19757.0,,,,,,,1,From Throw In,Sylvio Mendes Campos Junior,25854.0,Left Back,6,Barcelona,217,['e1cb0069-9f70-4bf0-967e-87a761592848'],46,,,,,,,,,,,,,,,,Barcelona,217,00:01:46.893,Pass,,2006/2007
,,,,,,,,,,,,,,,1.300032,,,,,,,,,,,,1dd4b693-a4f6-4906-b750-dbd1a964b87c,100,,"[49.4, 14.2]",68331,1,,,,,-0.42238665,,Right Foot,,"[67.2, 6.2]",,Ground Pass,,19.515121,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,From Throw In,Anderson Luís de Souza,19757.0,Left Center Midfield,6,Barcelona,217,['c41094dd-2b6b-4188-ba30-546bb5c93a66'],49,,,,,,,,,,,,,,,,Barcelona,217,00:01:49.283,Pass,,2006/2007
,,,,,,,,,,,,,,,1.0808,,,,,,,,,,,,c406d8e7-065c-45d8-8e9d-2e104b1ad7ff,104,,"[65.1, 5.1]",68331,1,,,,,-0.2837941,,Right Foot,,"[67.5, 4.4]",,Ground Pass,,2.5,,Incomplete,,Sylvio Mendes Campos Junior,25854.0,,,,,,,1,From Throw In,Ronaldo de Assis Moreira,25879.0,Left Wing,6,Barcelona,217,"['1b14e0f7-20aa-4bd2-a5bc-276dca76691f', '990fc937-0ae8-405f-b9ef-7ef9be9fa7df', 'd41e57de-ffff-47aa-bd8e-2f2d58f7d0d2']",50,,,,,,,,,,,,,,,,Barcelona,217,00:01:50.939,Pass,True,2006/2007
,,,,,,,,,,,,,,,1.18003,,,,,,,,,,,,34b37036-19e0-4e74-915d-4c542ea3f7ed,107,,"[54.0, 1.0]",68331,2,,True,,,2.401209,,,,"[48.2, 6.3]",,High Pass,,7.856844,,,,Anderson Luís de Souza,19757.0,,,,,,Throw-in,1,From Throw In,Sylvio Mendes Campos Junior,25854.0,Left Back,7,Barcelona,217,['3963a5d4-640e-48f7-93e2-406e8decb83f'],0,,,,,,,,,,,,,,,,Barcelona,217,00:02:00.668,Pass,,2006/2007
,,,,,,,,,,,,,,,1.739889,,,,,,,,,,,,7956af81-3f99-4c67-917a-5d7036ad51e9,109,,"[46.3, 9.2]",68331,2,,,,,1.7802143,,Right Foot,,"[38.5, 45.9]",,Low Pass,,37.51973,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Throw In,Anderson Luís de Souza,19757.0,Left Center Midfield,7,Barcelona,217,['04812a87-a279-4079-9b39-df73df672ace'],2,,,,,,,,,,,,,,,,Barcelona,217,00:02:02.613,Pass,,2006/2007
,,,,,,,,,,,,,,,1.739859,,,,,,,,,,,,100f71e9-2841-489c-89e5-353845f107c2,112,,"[43.6, 54.5]",68331,2,,,,,-0.107051864,,Right Foot,,"[77.1, 50.9]",,Ground Pass,,33.69288,,,,Eiður Smári Guðjohnsen,11270.0,,,,,,,1,From Throw In,Rafael Márquez Álvarez,5558.0,Right Center Back,7,Barcelona,217,['85fdd772-438e-41d1-a510-cf254c2d4137'],6,,,,,,,,,,,,,,,,Barcelona,217,00:02:06.460,Pass,,2006/2007
,,,,,,,,,,,,,,,0.617689,,,,,,,,,,,,66fbdc4e-57e1-435c-bce1-1a4bb9cc4277,116,,"[76.4, 40.8]",68331,2,,,,,-1.0761851,,Right Foot,,"[81.2, 31.9]",,Ground Pass,,10.111875,,,,Anderson Luís de Souza,19757.0,,,,,,,1,From Throw In,Eiður Smári Guðjohnsen,11270.0,Center Forward,7,Barcelona,217,['da5cc7fd-d7b8-43c5-97b2-1d60dadecdf0'],9,,,,,,,,,,,,,,,,Barcelona,217,00:02:09.812,Pass,,2006/2007
,,,,,,,,,,,,,,,1.602239,,,,,,,,,,,,df590b5b-4aeb-4ae8-bf57-0a2c170e6cb8,119,,"[83.6, 34.0]",68331,2,,,,,-0.9924204,,Right Foot,,"[96.2, 14.7]",,Ground Pass,,23.04886,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,From Throw In,Anderson Luís de Souza,19757.0,Left Center Midfield,7,Barcelona,217,['ff31e8d8-381e-4e2c-98e1-a68c4e4d332c'],11,,,,,,,,,,,,,,,,Barcelona,217,00:02:11.463,Pass,,2006/2007
,,,,,,,,,,,,,,,0.1858,,,,,,,,,,,,66e29604-bad1-4bbd-948b-db142b552911,122,,"[99.1, 22.4]",68331,2,,,,,1.0303768,,Right Foot,,"[100.3, 24.4]",,High Pass,,2.3323808,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Throw In,Ronaldo de Assis Moreira,25879.0,Left Wing,7,Barcelona,217,"['5c2a27e2-4518-48e3-b57c-40f59e39a971', '8935661f-b6b9-42fe-ac27-4d9fcb816f94']",15,,,,,,,,,,,,,,,,Barcelona,217,00:02:15.906,Pass,,2006/2007
