bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.243145,,,,,,,,,,,,,,,,,640f258d-f602-43bb-82ca-9e5f3bfaf670,3425,,"[58.4, 18.1]",69329,75,,,,-0.5915445,,Right Foot,,,,"[77.9, 5.0]",Ground Pass,,23.491701,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,2,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,158,Barcelona,217,['2b3e5246-46f0-415a-b3c3-ada446d4f583'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:50.622,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.146356,,,,,,,,,,,,,,,,,40b74299-1748-4de8-b534-6117ba2a3231,3429,,"[83.5, 11.3]",69329,75,,,,1.4608961,,Right Foot,,,,"[85.1, 25.8]",Ground Pass,,14.588009,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,158,Barcelona,217,"['926fe659-0334-4425-bcb6-890d01d6470a', '9aeb0e4e-47a4-4ef0-9eda-e7b2f4544212']",54,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:54.169,Pass,True,2011/2012
,,,,,,,,,,,,,,,,1.552,,,,,,,,,,,,,,,,,59db0dfe-9e46-4b20-8408-2122bc4dcc7f,3435,,"[105.4, 39.7]",69329,75,,,,0.9938634,9f51a67d-ae3a-42ac-821b-37e1d3641328,Left Foot,,,,"[109.5, 46.0]",Ground Pass,,7.5166483,,,,Francesc Fàbregas i Soler,3478.0,True,,,Through Ball,True,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,158,Barcelona,217,['662f5d23-d538-40b9-8ff1-cdefa9bafc83'],58,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:58.765,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.11515,,,,,,,,,,,,,,,,,7ca50b07-1713-4e59-b247-05a9a5a98151,3442,,"[120.0, 80.0]",69329,76,True,,,-2.0947156,,Right Foot,,,,"[117.4, 75.5]",Ground Pass,,5.1971145,,,,Daniel Alves da Silva,4324.0,,,,,,Corner,2,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,159,Barcelona,217,['d31d0507-e7fe-4df0-9a54-c8b96812a366'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:31:10.467,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.273718,,,,,,,,,,,,,,,,,c01e9b4f-5dfd-4a44-b728-b4203333d9d9,3444,,"[116.7, 72.6]",69329,76,,,,-2.720654,,Right Foot,,,,"[92.8, 61.9]",Ground Pass,,26.185875,,,,Xavier Hernández Creus,20131.0,,,,,,,2,From Corner,Daniel Alves da Silva,4324.0,Right Back,159,Barcelona,217,['4327e23f-7450-4c63-814a-13643db3b6ab'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:31:12.591,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.171691,,,,,,,,,,,,,,,,,3de8459e-5437-4e19-9b69-04f19d0a75b6,3447,,"[95.2, 62.2]",69329,76,,,,0.41900375,,Right Foot,,,,"[107.1, 67.5]",Ground Pass,,13.0268955,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,From Corner,Xavier Hernández Creus,20131.0,Left Center Midfield,159,Barcelona,217,['26406a41-e1f0-4ba1-a74a-7a6c8bac15f8'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:31:15.716,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.072101,,,,,,,,,,,,,,,,,5869a964-ce11-49d5-9ccd-39fd6d8ea2aa,3451,,"[107.5, 60.7]",69329,76,,,,-2.8666828,,Left Foot,,,,"[95.8, 57.4]",Ground Pass,,12.15648,,,,Xavier Hernández Creus,20131.0,,,,,,,2,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,159,Barcelona,217,['006460a6-aede-4b0a-885e-a5ec04a4215e'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:31:18.859,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.671492,,,,,,,,,,,,,,,,,b321a464-3aff-431f-98fc-8d483f09848e,3454,,"[95.8, 57.4]",69329,76,,,,-1.7616947,,Right Foot,,,,"[89.5, 24.8]",Ground Pass,,33.203163,,,,Andrés Iniesta Luján,5216.0,,,,,,,2,From Corner,Xavier Hernández Creus,20131.0,Left Center Midfield,159,Barcelona,217,['88d99d91-0eb7-434c-aa79-dfb5bb1e8075'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:31:20.761,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.626202,,,,,,,,,,,,,,,,,ec670c34-fc83-427b-b264-20ce38bc9d09,3457,,"[89.5, 24.8]",69329,76,,,,0.6757914,,Right Foot,,,,"[112.7, 43.4]",High Pass,,29.7355,,Pass Offside,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,From Corner,Andrés Iniesta Luján,5216.0,Center Defensive Midfield,159,Barcelona,217,['1c4ce8c6-ba94-4521-949a-88bcf23b1ceb'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:31:24.269,Pass,,2011/2012
,,,,,,,,,,,,,,,,4.6225,,,,,,,,,,,,,,,,,cd8ece51-6f6a-470e-b572-b17237c01007,3459,,"[7.3, 36.4]",69329,76,,,,0.10256136,,Right Foot,,,,"[86.0, 44.5]",High Pass,,79.11574,,Incomplete,,Frédéric Oumar Kanouté,25960.0,,,,,,Free Kick,2,From Free Kick,Javier Varas Herrera,26753.0,Goalkeeper,160,Sevilla,213,"['9d912bb8-2ed1-466f-a8be-da5ad0b59a01', 'c150e439-59c6-40c5-ba71-51a2cd57c7ae']",51,,,,,,,,,,,,,,,,,,Sevilla,213,00:31:51.274,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.501944,,,,,,,,,,,,,,,,,c150e439-59c6-40c5-ba71-51a2cd57c7ae,3461,,"[35.0, 36.5]",69329,76,,,,-3.0791738,,Head,,,,"[14.2, 35.2]",Low Pass,,20.840586,,,,Víctor Valdés Arribas,20176.0,,,,,,Recovery,2,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,161,Barcelona,217,"['80329299-027c-4423-b2d0-428709eaed42', 'cd8ece51-6f6a-470e-b572-b17237c01007']",55,,,,,,,,,,,,,,,,,,Barcelona,217,00:31:55.897,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.220077,,,,,,,,,,,,,,,,,a18edbe3-18e3-4f8b-b26f-9271a9c7bb8c,3464,,"[14.7, 35.2]",69329,76,,,,0.9113108,,Keeper Arm,,,,"[28.5, 53.0]",Ground Pass,,22.522877,,,,Javier Alejandro Mascherano,5506.0,,,,,,,2,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,161,Barcelona,217,['7fbe2a93-ff03-4cf5-b5e6-2dc5ba3ae46c'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:31:57.901,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.306467,,,,,,,,,,,,,,,,,2aa331fa-e59e-44ad-acdf-2f1f9493ce26,3467,,"[28.7, 53.0]",69329,77,,,,-0.20145507,,Right Foot,,,,"[42.9, 50.1]",Ground Pass,,14.493102,,,,Xavier Hernández Creus,20131.0,,,,,,,2,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,161,Barcelona,217,['6233330f-fba2-4084-adea-2b1c248e3f0e'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:32:00.697,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.32453,,,,,,,,,,,,,,,,,cd3eae54-9bd1-4682-9adb-af525fcee936,3470,,"[71.9, 57.3]",69329,77,,,,1.0281628,,Right Foot,,,,"[83.9, 77.2]",Ground Pass,,23.238115,,,,Daniel Alves da Silva,4324.0,,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,161,Barcelona,217,['fcb5b11d-6961-4c81-b921-fa9ae8d6d0a4'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:32:06.879,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.064582,,,,,,,,,,,,,,,,,e9013211-93a7-4bc1-b2db-a03c9dad063e,3474,,"[96.2, 69.0]",69329,77,,,,-2.5717287,,Left Foot,,,,"[85.9, 62.4]",Ground Pass,,12.233151,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,161,Barcelona,217,['c7acfe8e-84c1-4da7-8196-fd8ccfb1db0f'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:32:12.466,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.236938,,,,,,,,,,,,,,,,,ab001a37-1fd1-4d2b-a03e-529640ee1178,3478,,"[84.6, 61.7]",69329,77,,,,-2.1599238,,Left Foot,,,,"[70.9, 41.2]",Ground Pass,,24.656439,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,161,Barcelona,217,"['4a34d7d7-5089-425e-a223-1d9a0a3d4c00', '5f26e2d0-ae99-40c0-ba5b-532b75282114']",15,,,,,,,,,,,,,,,,,,Barcelona,217,00:32:15.152,Pass,True,2011/2012
,,,,,,,,,,,,,,,,2.009885,,,,,,,,,,,,,,,,,799640c3-a1c6-4fe0-b4f7-78325a66b020,3481,,"[74.1, 34.2]",69329,77,,,,-0.8891139,,Left Foot,,,,"[98.2, 4.5]",Ground Pass,,38.247875,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,2,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,161,Barcelona,217,['177c1e49-db54-484e-9873-33b5ac3d510a'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:32:17.714,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.09231,,,,,,,,,,,,,,,,,4c52a86f-1a55-4118-bd01-36f8647051ed,3484,,"[101.0, 5.8]",69329,77,,,,2.1752179,,Left Foot,,,,"[91.4, 19.7]",Ground Pass,,16.892899,,,,Andrés Iniesta Luján,5216.0,,,,,,,2,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,161,Barcelona,217,['d3103e4c-9f26-4775-bceb-f158e17f2cc7'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:32:21.173,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.899494,,,,,,,,,,,,,,,,,2652f9b5-9c26-4b16-9772-2a6ad23b9a6c,3487,,"[90.7, 22.6]",69329,77,,,,1.81467,,Right Foot,,,,"[85.4, 43.9]",Ground Pass,,21.949488,,,,Xavier Hernández Creus,20131.0,,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Center Defensive Midfield,161,Barcelona,217,['13903707-48bb-4c4e-aeec-9a4700d8739c'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:32:23.895,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.579554,,,,,,,,,,,,,,,,,8afa7ac7-1375-4083-b757-905da7cef6bb,3491,,"[86.1, 48.4]",69329,77,,,,0.8867447,d123eb25-5cce-4373-ade2-7e5690dc7072,Right Foot,,,,"[96.7, 61.4]",High Pass,,16.773788,,,,Lionel Andrés Messi Cuccittini,5503.0,True,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,161,Barcelona,217,"['769c5620-bd03-48af-8f99-d9db45f3b426', 'aa37689b-6518-42cf-a1e4-eeea97e06c6b']",25,,,,,,,,,,,,,,,,,,Barcelona,217,00:32:25.979,Pass,True,2011/2012
,,,,,,,,,,,,,,,,1.031035,,,,,,,,,,,,,,,,,f3905951-3d76-45a8-a15e-3fe1b42bcc59,3505,,"[120.0, 80.0]",69329,77,True,,,-2.5997467,,Right Foot,,,,"[109.7, 73.8]",Ground Pass,,12.022063,,,,Francesc Fàbregas i Soler,3478.0,,,,,,Corner,2,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,162,Barcelona,217,['dad50df9-5758-4d14-85cf-a800f01ba6f1'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:32:38.161,Pass,,2011/2012
