50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,1.395735,,,,,,,,,,,,,ed4d4ab6-bb5f-4112-811a-9e6cd8c3788c,44,,"[6.1, 40.8]",9717,0,,,,1.1071488,,Right Foot,,,"[13.9, 56.4]",,Ground Pass,,17.44133,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,['cfd662f9-ba5a-4ae5-87e6-62cce1c4f555'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.022,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.315181,,,,,,,,,,,,,7b7281c8-4ba9-45c7-b4b5-1b4aa3745161,47,,"[19.3, 61.9]",9717,0,,,,0.9672739,,Right Foot,,,"[26.4, 72.2]",,Ground Pass,,12.509996,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['dd81a9eb-7c1b-4b38-ac21-74abd06b97b4'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.835,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.466667,,,,,,,,,,,,,402158a5-56a7-497d-88e7-683c322ef6bf,50,,"[26.4, 72.2]",9717,0,,,,-2.7262945,,Right Foot,,,"[13.7, 66.6]",,Ground Pass,,13.879842,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['1451337f-6a19-4704-9fc7-ae015219a03d'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.641,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.43939,,,,,,,,,,,,,a22dd19e-91af-432a-8442-5ac96643c5d5,53,,"[13.7, 66.6]",9717,0,,,,-2.1243863,,Right Foot,,,"[4.8, 52.2]",,Ground Pass,,16.92838,,,,,Marc-André ter Stegen,20055.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['654f4b9b-9b54-4892-b981-537fefdea630'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.826,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,2.217882,,,,,,,,,,,,,625f18a7-7b95-4d2b-ba30-7111bdb4515f,57,,"[4.7, 52.2]",9717,0,,,,-1.0065281,,Right Foot,,,"[29.7, 12.7]",,High Pass,,46.74666,,,Incomplete,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,"['afd7fcf6-2277-4a30-92fc-8a40fc11f84a', 'cd2db779-95ba-4ab0-b6ed-cbb087ba9811', 'd95434be-4f6e-4288-8057-f290efd03820']",38,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.478,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,,,1.732338,,,,,,,,,,,,,0ee91354-3aa3-4271-aa8b-cd186b6b7599,60,,"[43.4, 0.1]",9717,0,,,,2.786887,,,,,"[27.2, 6.1]",,Low Pass,,17.275415,,,,,Thomas Vermaelen,6332.0,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['b87753b1-32ed-4c40-9320-88c8862d59c2'],51,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.309,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.596276,,,,,,,,,,,,,c9f2383b-e870-41b3-9999-c65e3aecb2f6,64,,"[31.1, 4.2]",9717,0,,,,0.19968389,,Left Foot,,,"[64.7, 11.0]",,High Pass,,34.28119,,,Unknown,,,,,,,,,1,From Throw In,Thomas Vermaelen,6332.0,Left Center Back,3,Barcelona,217,,55,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.094,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.623921,,,,,,,,,,,,,271d8a61-9b82-4c45-8728-328b35033294,67,,"[64.7, 14.2]",9717,1,,,,3.0584514,,Left Foot,,,"[51.5, 15.3]",,Ground Pass,,13.245754,,,,,Thomas Vermaelen,6332.0,,,,,Free Kick,1,From Free Kick,José Paulo Bezzera Maciel Júnior,5542.0,Left Defensive Midfield,4,Barcelona,217,['bd89ee2e-51af-4971-9a6a-8b6f881b42b4'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.060,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,2.028377,,,,,,,,,,,,,444cdd66-8720-4109-b65e-53f4fb72985c,70,,"[51.2, 15.3]",9717,1,,,,1.7568048,,Left Foot,,,"[42.6, 61.0]",,Low Pass,,46.50215,,,,,Gerard Piqué Bernabéu,5213.0,,True,,,,1,From Free Kick,Thomas Vermaelen,6332.0,Left Center Back,4,Barcelona,217,['a118d05b-bd0e-489f-9132-fa3b64a092e9'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.661,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,0.880973,,,,,,,,,,,,,47100ffe-3750-46b9-a6f9-dac74164c9a8,73,,"[46.5, 57.4]",9717,1,,,,-0.7896535,,Right Foot,,,"[58.2, 45.6]",,Ground Pass,,16.617159,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['caf56b87-c1a8-4e2f-8010-6957219c988e'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.980,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.876457,,,,,,,,,,,,,f31ed1ee-8dc4-4586-957b-b87e2066bfe9,76,,"[58.4, 45.5]",9717,1,,,,-2.0274017,,Left Foot,,,"[47.2, 22.7]",,High Pass,,25.402363,,,,,Thomas Vermaelen,6332.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,4,Barcelona,217,['3b8f2cbd-e890-44a6-87dc-a83d813188c3'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.926,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.86929,,,,,,,,,,,,,32cfb760-8760-4f4c-8f07-755e10df4574,79,,"[51.7, 14.9]",9717,1,,,,-0.8044435,,Left Foot,,,"[62.0, 4.2]",,Ground Pass,,14.851936,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Free Kick,Thomas Vermaelen,6332.0,Left Center Back,4,Barcelona,217,['1b61212b-ba98-42b8-8a62-145d8262f46c'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.397,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,0.774494,,,,,,,,,,,,,76fe31cf-b934-4ecf-9d0d-f7e7b74818e7,82,,"[62.2, 6.1]",9717,1,,,,0.8713924,,Left Foot,,,"[67.5, 12.4]",,Ground Pass,,8.232861,,,,,Denis Suárez Fernández,6609.0,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['a37598f9-10df-4cd6-8226-02bf1165bf0c'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.334,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.097415,,,,,,,,,,,,,bde4016f-40af-48ef-8b41-58ed654abc44,88,,"[70.9, 18.8]",9717,1,True,,,-3.0611217,,Left Foot,,,"[64.7, 18.3]",,Ground Pass,,6.2201285,,,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,Free Kick,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,5,Barcelona,217,['408523d4-6413-4204-be56-f0f4eddc6a1c'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.539,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,2.00606,,,,,,,,,,,,,abea23b4-f948-4136-8b11-c7bb25597bd0,90,,"[67.0, 18.3]",9717,1,,,,1.9908209,,Right Foot,,,"[53.2, 49.2]",,Ground Pass,,33.84154,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,José Paulo Bezzera Maciel Júnior,5542.0,Left Defensive Midfield,5,Barcelona,217,['466bf8d9-14d5-432d-a934-dd4764d27f6c'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:37.735,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,0.890132,,,,,,,,,,,,,b5af672d-8c22-4339-be37-04322a3b5c7e,93,,"[53.6, 50.0]",9717,1,,,,-0.3493444,,Right Foot,,,"[67.6, 44.9]",,Ground Pass,,14.9,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,['37948311-2567-4273-b74e-c67a51cdbf16'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.461,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.72016,,,,,,,,,,,,,dbf5991f-0a81-432c-aa6c-0a9973d66c8c,96,,"[67.5, 44.9]",9717,1,,,,1.6756732,,Right Foot,,,"[64.3, 75.3]",,Ground Pass,,30.567957,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,5,Barcelona,217,['8216a1bd-023e-4429-ad40-089f01d0b1c8'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:41.418,Pass,,2017/2018
