bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,438bf4cd-7a6d-47cf-bbd8-e6774895bb2a,116,,"[74.1, 4.4]",69249,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marcelo Vieira da Silva Júnior,5552.0,Left Midfield,11,Real Madrid,220,"['94abff1e-7757-401c-a681-a5cb0d646cfe', 'f789cce3-c65b-45b2-90fd-10cd43f657e1']",54,,,,,,,,,,,,,,,,Real Madrid,220,00:01:54.821,Dribble,True,2008/2009
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,094a9974-93b5-4f8e-9bb1-b3d559d60cfe,131,,"[106.1, 3.5]",69249,2,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Christoph Metzelder,20014.0,Right Center Back,12,Real Madrid,220,['e309692e-26e3-46b3-a2f4-3ef8ae446e17'],35,,,,,,,,,,,,,,,,Real Madrid,220,00:02:35.442,Dribble,True,2008/2009
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,07a5d9d0-4483-466d-b468-2dede863b6f0,269,,"[93.1, 46.8]",69249,6,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,23,Barcelona,217,['edd4f068-4e18-41f8-b9f5-f3d1bd1ad4a4'],3,,,,,,,,,,,,,,,,Barcelona,217,00:06:03.329,Dribble,True,2008/2009
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,18393265-39a2-46aa-b45b-9e2471c37110,575,,"[105.9, 75.1]",69249,13,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sergio Ramos García,5201.0,Right Back,43,Real Madrid,220,"['3b6fbec8-e837-45d3-a961-6dfdaa780b7f', 'bdafd2f3-cdbe-4fbb-b17a-fc159a3ff56f']",26,,,,,,,,,,,,,,,,Real Madrid,220,00:13:26.379,Dribble,True,2008/2009
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,d4addefa-d23a-463e-b5b9-7c2ea7b07628,616,,"[92.9, 4.1]",69249,15,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Thierry Henry,15516.0,Left Wing,45,Barcelona,217,['b9beffda-1402-4b7f-942f-8102c423acce'],12,,,,,,,,,,,,,,,,Barcelona,217,00:15:12.026,Dribble,True,2008/2009
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,80deb191-27f4-4719-92d2-38f4cdbff685,744,,"[95.1, 68.6]",69249,18,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Sergio Ramos García,5201.0,Right Back,50,Real Madrid,220,['e97732aa-80a8-4182-a1e0-ddde832b1472'],32,,,,,,,,,,,,,,,,Real Madrid,220,00:18:32.105,Dribble,True,2008/2009
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,e1774540-c44d-4238-a0b9-e6d9778df5b9,765,,"[97.3, 5.0]",69249,18,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Thierry Henry,15516.0,Left Wing,51,Barcelona,217,['97a87dec-a632-4e09-acf1-67c2af6a8fed'],52,,,,,,,,,,,,,,,,Barcelona,217,00:18:52.847,Dribble,True,2008/2009
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,aaf46365-cb25-4a69-b252-18c81174b9a1,788,,"[71.6, 39.8]",69249,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Lassana Diarra,3181.0,Right Defensive Midfield,53,Real Madrid,220,"['321efeb8-64e0-4297-bf16-0846ede578ec', '4542348e-742a-4131-b885-e4b044b053ca']",48,,,,,,,,,,,,,,,,Real Madrid,220,00:20:48.202,Dribble,True,2008/2009
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,e3c09ec1-1e66-4425-b615-c532ca64069e,799,,"[108.6, 70.1]",69249,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Arjen Robben,8218.0,Right Midfield,53,Real Madrid,220,"['7245e036-a069-45e5-93ab-b13d37af7a04', 'f3d38182-d770-4124-a09d-82576b812179']",59,,,,,,,,,,,,,,,,Real Madrid,220,00:20:59.021,Dribble,True,2008/2009
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,76346270-af3b-463c-8ede-9873f3009aa1,806,,"[96.1, 54.8]",69249,21,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Gonzalo Gerardo Higuaín,5497.0,Left Center Forward,53,Real Madrid,220,"['87ba0d9d-d327-40bd-ac9c-830ceb5f0dbe', 'bbd6c74d-5fb2-4624-9ec9-5b91e3955a10']",4,,,,,,,,,,,,,,,,Real Madrid,220,00:21:04.184,Dribble,True,2008/2009
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,82e208ba-f601-462b-af98-b2a976ba491a,809,,"[99.7, 52.3]",69249,21,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Gonzalo Gerardo Higuaín,5497.0,Left Center Forward,53,Real Madrid,220,['f0a87372-fd36-4aea-9fb7-d974dee76021'],4,,,,,,,,,,,,,,,,Real Madrid,220,00:21:04.786,Dribble,True,2008/2009
