bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,3.622032,,,,,,,,,,,,,,71c5c4ca-6859-47fe-a745-30422ff6c47f,1366,,"[51.1, 35.7]",3773403,34,,,,0.2068095,,Head,,,"[87.8, 43.4]",,High Pass,,37.499065,,Incomplete,,Óscar de Marcos Arana,6649.0,,,,,,Recovery,1,Regular Play,Daniel García Carrillo,6775.0,Right Defensive Midfield,69,Athletic Club,215,"['57397bc1-c033-45ff-b818-6d9b5f752aa4', 'f2e0c103-f5c3-4ac4-885b-1d3c2efa92fe', 'f63da569-e988-426f-8df0-be40a186b041']",38,,,,,,,,,,,,,,,,,Athletic Club,215,00:34:38.545,Pass,,2020/2021
,,,,,,,,,,,,,,,1.575472,,,,,,,,,,,,,,f84716f0-4398-475c-b37d-b3a8d985a795,1370,,"[22.2, 56.1]",3773403,34,,,,1.092444,,Left Foot,,,"[32.0, 75.0]",,Ground Pass,,21.289669,,,,Óscar Mingueza García,43728.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,70,Barcelona,217,['18c5ba9a-5555-4572-8f8e-90f2d39e8403'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:34:44.380,Pass,,2020/2021
,,,,,,,,,,,,,,,1.282799,,,,,,,,,,,,,,31cc4ae6-d15c-4537-8be1-8c7b8f8c0ed8,1374,,"[32.4, 75.2]",3773403,34,,,,-2.7589855,,Right Foot,,,"[16.0, 68.6]",,Ground Pass,,17.678236,,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Óscar Mingueza García,43728.0,Right Back,70,Barcelona,217,"['8410b48a-30c0-4522-b019-cf16ddd2f650', 'd9439ff1-e396-4e02-8568-ebfac0fd730e']",46,,,,,,,,,,,,,,,,,Barcelona,217,00:34:46.671,Pass,True,2020/2021
,,,,,,,,,,,,,,,2.45326,,,,,,,,,,,,,,0cc7176b-884e-4747-9ff8-602d4a1a2ea9,1377,,"[13.3, 66.5]",3773403,34,,,,-1.2728703,,Left Foot,,,"[24.6, 29.7]",,High Pass,,38.495846,,,,Ronald Federico Araújo da Silva,32480.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,70,Barcelona,217,['46ed6cb7-0a5a-4b9a-b7c4-d9b5ceb5cad0'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:34:49.018,Pass,,2020/2021
,,,,,,,,,,,,,,,1.253991,,,,,,,,,,,,,,d1505126-63bc-4e06-b6e2-353e04e53849,1380,,"[27.1, 32.7]",3773403,34,,,,1.0822428,,Right Foot,,,"[33.0, 43.8]",,Ground Pass,,12.5706005,,,,Miralem Pjanić,6947.0,,,,,,,1,Regular Play,Ronald Federico Araújo da Silva,32480.0,Right Center Back,70,Barcelona,217,['72e74813-f7c1-4339-b934-77a545560ad0'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:34:54.082,Pass,,2020/2021
,,,,,,,,,,,,,,,0.085871,,,,,,,,,,,,,,365b1849-257d-41a4-9129-ba1c9f37ba3a,1383,,"[33.3, 41.9]",3773403,34,,,,1.4288993,,Right Foot,,,"[33.8, 45.4]",,Ground Pass,,3.535534,,Incomplete,,Óscar Mingueza García,43728.0,,,,,,,1,Regular Play,Miralem Pjanić,6947.0,Right Defensive Midfield,70,Barcelona,217,"['5c755056-cecf-44eb-94b1-29d6bf35479b', 'aa230887-d212-473f-a630-dffae62c05ae']",55,,,,,,,,,,,,,,,,,Barcelona,217,00:34:55.809,Pass,,2020/2021
,,,,,,,,,,,,,,,2.32848,,,,,,,,,,,,,,059f1030-1889-49a3-ad7c-c3960c42f44f,1386,,"[19.5, 51.0]",3773403,34,,,,1.0751597,,Left Foot,,,"[32.8, 75.6]",,Low Pass,,27.965157,,,,Óscar Mingueza García,43728.0,,,,,,Recovery,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,70,Barcelona,217,['2f36be63-903e-4440-9fd0-de1740b62854'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:34:57.054,Pass,,2020/2021
,,,,,,,,,,,,,,,1.242197,,,,,,,,,,,,,,bb3fba9f-98e8-45aa-a6ce-c1a57737d77d,1389,,"[46.6, 76.4]",3773403,35,,,,-1.9870657,,Right Foot,,,"[42.4, 66.9]",,Ground Pass,,10.387012,,,,Miralem Pjanić,6947.0,,,,,,,1,Regular Play,Óscar Mingueza García,43728.0,Right Back,70,Barcelona,217,['402afea3-1300-4548-859c-171e8941b810'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:35:02.514,Pass,,2020/2021
,,,,,,,,,,,,,,,1.160602,,,,,,,,,,,,,,6f15fc94-1d96-410e-9f42-240f9dac1037,1392,,"[43.9, 64.4]",3773403,35,,,,-0.9978302,,Right Foot,,,"[51.9, 52.0]",,Ground Pass,,14.756694,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Miralem Pjanić,6947.0,Right Defensive Midfield,70,Barcelona,217,['b961214f-5f69-46f8-8f34-93d69034af5e'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:35:04.265,Pass,,2020/2021
,,,,,,,,,,,,,,,0.868645,,,,,,,,,,,,,,29a08b48-ebd1-4d08-a867-ccacbbfcfcd4,1395,,"[52.6, 55.4]",3773403,35,,,,0.13411078,,Left Foot,,,"[65.2, 57.1]",,Ground Pass,,12.714166,,,,Ousmane Dembélé,5477.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,70,Barcelona,217,['ea1e511f-6e4f-416e-abdb-94dbe2011b15'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:35:06.682,Pass,,2020/2021
,,,,,,,,,,,,,,,2.706502,,,,,,,,,,,,,,2b622262-7c7d-4aff-a113-c6f34b3bf3bb,1397,,"[65.2, 57.1]",3773403,35,,,,1.2231895,,Right Foot,,,"[72.7, 77.8]",,Ground Pass,,22.016811,,,,Óscar Mingueza García,43728.0,,,,,,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,70,Barcelona,217,['f6cd5ee0-d308-4580-9da2-7f1b43064364'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:35:07.551,Pass,,2020/2021
,,,,,,,,,,,,,,,1.106014,,,,,,,,,,,,,,bc03a9b1-3213-4944-82e6-f4ba071ea3cc,1399,,"[79.7, 76.7]",3773403,35,,,,-2.5762563,,Right Foot,,,"[70.4, 70.8]",,Ground Pass,,11.013628,,,,Pedro González López,30486.0,,,,,,,1,Regular Play,Óscar Mingueza García,43728.0,Right Back,70,Barcelona,217,['63d81663-be67-4a47-9b92-ff97dfa463fe'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:35:10.257,Pass,,2020/2021
,,,,,,,,,,,,,,,3.028137,,,,,,,,,,,,,,b3af1d08-70b5-4246-860e-ab83464f2fc4,1402,,"[73.5, 69.7]",3773403,35,,,,-0.057628427,,Left Foot,,,"[109.9, 67.6]",,Ground Pass,,36.460526,,,,Ousmane Dembélé,5477.0,,,,,,,1,Regular Play,Pedro González López,30486.0,Center Attacking Midfield,70,Barcelona,217,['a1b43412-7e5d-4c7c-9eab-2a4dba4c663f'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:35:12.224,Pass,,2020/2021
,,,,,,,,,,,,,,,1.224874,,,,,,,,,,,,,,b39a69ec-c3b8-4065-b081-4f3d99407be7,1405,,"[106.5, 76.4]",3773403,35,,,,-2.375423,,Right Foot,,,"[90.6, 61.1]",,Ground Pass,,22.065811,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,70,Barcelona,217,['7b5a1c65-ae6e-482f-b3ff-351dccc92e75'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:35:18.583,Pass,,2020/2021
,,,,,,,,,,,,,,,1.562667,,,,,,,,,,,,,,0046e374-83aa-4a56-a5b7-54467a72e12b,1408,,"[90.4, 58.9]",3773403,35,,,,-1.5593026,,Right Foot,,,"[90.6, 41.5]",,Ground Pass,,17.40115,,,,Miralem Pjanić,6947.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,70,Barcelona,217,['9e1ea5d9-6576-4cb8-951a-b90ede4e0065'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:35:20.327,Pass,,2020/2021
,,,,,,,,,,,,,,,2.23591,,,,,,,,,,,,,,a21a5888-72c8-4e1d-b518-64e98b5c9279,1411,,"[89.9, 39.0]",3773403,35,,,,-1.3526998,,Right Foot,,,"[94.0, 20.5]",,Ground Pass,,18.94888,,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Miralem Pjanić,6947.0,Right Defensive Midfield,70,Barcelona,217,['938948bf-67f8-4d57-9c0b-15a96df35fb3'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:35:22.412,Pass,,2020/2021
,,,,,,,,,,,,,,,1.213069,,,,,,,,,,,,,,5079094f-82f4-490d-96d0-9327458281f3,1414,,"[95.4, 22.3]",3773403,35,,,,0.365038,,Left Foot,,,"[111.1, 28.3]",,High Pass,,16.807438,,Incomplete,,Antoine Griezmann,5487.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,70,Barcelona,217,"['6b5d0024-6340-4946-b73d-7a6140097a1b', 'bcfdc7ac-29bb-4062-8130-8cdadb4e5c45']",25,,,,,,,,,,,,,,,,,Barcelona,217,00:35:25.763,Pass,,2020/2021
,,,,,,,,,,,,,,,2.819366,,,,,,,,,,,,,,bcfdc7ac-29bb-4062-8130-8cdadb4e5c45,1416,,"[9.0, 51.8]",3773403,35,,,,1.6209335,,Head,,,"[7.6, 79.7]",,High Pass,,27.935102,,Out,,Óscar de Marcos Arana,6649.0,,,,,,Interception,1,Regular Play,Yeray Álvarez López,6877.0,Right Center Back,70,Barcelona,217,"['5079094f-82f4-490d-96d0-9327458281f3', '57c54849-ae22-4921-81cc-15de480179ac']",26,,,,,,,,,,,,,,,,,Athletic Club,215,00:35:26.976,Pass,,2020/2021
,,,,,,,,,,,,,,,2.098303,,,,,,,,,,,,,,0044156c-608f-4542-9605-3c4918465fc5,1418,,"[110.1, 0.1]",3773403,35,True,,,2.4940016,,,,,"[102.3, 6.0]",,Low Pass,,9.780082,,,,Pedro González López,30486.0,,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,71,Barcelona,217,['207e39a7-156d-4600-b60c-158a07785a18'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:35:48.043,Pass,,2020/2021
