bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.6933,,,,,,,,,,,,bd4c3abe-f0a2-424b-a07b-b24a3ed0b4ac,64,,"[48.7, 13.1]",69312,1,,,,,1.5266262,,Right Foot,,,"[49.5, 31.2]",,Ground Pass,,18.11767,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,4,Barcelona,217,['bbd89b21-9a4b-45f2-a4a1-c4b736453fa1'],9,,,,,,,,,,,,,,,Barcelona,217,00:01:09.889,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.186368,,,,,,,,,,,,348200f9-a3ae-4783-9326-6d38593ecf6b,67,,"[49.5, 31.2]",69312,1,,,,,2.965653,,Left Foot,,,"[27.0, 35.2]",,Ground Pass,,22.852789,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Left Wing,4,Barcelona,217,['bacd4a4a-d6e1-4a3a-bf56-e4afa9c36248'],10,,,,,,,,,,,,,,,Barcelona,217,00:01:10.623,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.437642,,,,,,,,,,,,65453d06-2363-48be-b67d-f3672611c888,70,,"[27.6, 35.6]",69312,1,,,,,1.3628378,,Right Foot,,,"[34.5, 68.3]",,Low Pass,,33.420055,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Left Center Back,4,Barcelona,217,['ae4a21ff-d200-450e-b76e-e562542d7d1a'],12,,,,,,,,,,,,,,,Barcelona,217,00:01:12.733,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.371521,,,,,,,,,,,,43f19952-4c19-41b3-9d6e-c2436b9d7525,73,,"[46.1, 69.3]",69312,1,,,,,0.43240777,,Left Foot,,,"[61.7, 76.5]",,Ground Pass,,17.181385,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,4,Barcelona,217,['ec497e7f-0c1c-4bed-8273-eef6a8f30e83'],16,,,,,,,,,,,,,,,Barcelona,217,00:01:16.862,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.838665,,,,,,,,,,,,8b4ae948-880f-4f3b-aad4-b8795fdb98f4,76,,"[71.2, 58.3]",69312,1,,,,,-2.7190611,,Right Foot,,,"[58.3, 52.5]",,Ground Pass,,14.143904,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['e653e874-0852-4722-8248-cb6a751cdcf1'],22,,,,,,,,,,,,,,,Barcelona,217,00:01:22.628,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.438761,,,,,,,,,,,,86c67ec0-f9a3-4985-b735-6055c2d0be7c,80,,"[64.2, 50.0]",69312,1,,,,,-1.4835186,,Right Foot,,,"[64.9, 42.0]",,Ground Pass,,8.030566,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Left Wing,4,Barcelona,217,"['63421065-4c9f-4144-a40e-036fe248401c', '70ba9e9e-a227-450f-adbb-b9ab4f582174']",25,,,,,,,,,,,,,,,Barcelona,217,00:01:25.472,Pass,True,2011/2012
,,,,,,,,,,,,,,,,1.932461,,,,,,,,,,,,b9ffe3a7-d6c9-4c85-9357-d52497379e1a,84,,"[64.8, 43.4]",69312,1,,,,,3.0698926,,Left Foot,,,"[46.7, 44.7]",,Ground Pass,,18.146626,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,4,Barcelona,217,"['06f09485-c813-45f1-874e-b0d624ddf6aa', '2e3adf86-65c0-40a3-88d0-8d21854632f9']",26,,,,,,,,,,,,,,,Barcelona,217,00:01:26.271,Pass,True,2011/2012
,,,,,,,,,,,,,,,,3.046107,,,,,,,,,,,,bfed5c3e-c1cb-4467-9b97-9cdd8f92c381,87,,"[53.5, 42.9]",69312,1,,,,,-1.09971,,Right Foot,,,"[72.6, 5.4]",,High Pass,,42.083965,,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Left Center Back,4,Barcelona,217,['6b02fa20-c770-4577-8f50-100fe2f0e8fb'],29,,,,,,,,,,,,,,,Barcelona,217,00:01:29.914,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.315392,,,,,,,,,,,,e5a19168-6437-40ea-87df-0bc32b5726bb,90,,"[73.1, 16.5]",69312,1,,,,,2.2641478,,Right Foot,,,"[55.4, 37.8]",,Ground Pass,,27.694405,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,4,Barcelona,217,['95f6de4d-2a5f-4f28-b374-0a2527046f50'],35,,,,,,,,,,,,,,,Barcelona,217,00:01:35.060,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.435154,,,,,,,,,,,,c057e815-8a2e-4841-8e2f-771dfaf8ac69,93,,"[66.9, 48.7]",69312,1,,,,,1.0400229,,Right Foot,,,"[80.4, 71.7]",,Ground Pass,,26.669271,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Left Center Back,4,Barcelona,217,['15ef89bd-ec54-4565-af10-8ab47ea238fb'],40,,,,,,,,,,,,,,,Barcelona,217,00:01:40.683,Pass,,2011/2012
