ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.3461,,,,,,,,,,,,,,36915d57-7a73-4ebc-be75-b0e4327f685e,56,,"[30.6, 38.6]",68313,0,,,,,-0.30769172,,Left Foot,,,,"[64.9, 27.7]",,Low Pass,,35.990276,,,,Mohamed El Yaagoubi,25864.0,,,,,,1,Regular Play,José Romero Urtasun,25865.0,Left Center Back,4,Osasuna,422,['1f9305b4-e164-4f3e-9725-0d5171cb8c85'],40,,,,,,,,,,,,,,,,,Osasuna,422,00:00:40.670,Pass,,2004/2005
,,,,,,,,,,,,,,,0.7169,,,,,,,,,,,,,,3ff9904e-2d1c-48da-8b77-3384617c73c8,60,,"[60.3, 27.7]",68313,0,,,,,2.1094205,,Left Foot,,,,"[55.4, 35.9]",,Ground Pass,,9.552486,,,,Iñaki Muñoz Oroz,25861.0,,,,,,1,Regular Play,Mohamed El Yaagoubi,25864.0,Left Wing,4,Osasuna,422,"['10292292-0cdb-453d-a4f6-df5e4c224c2f', '9bb74a25-86f2-45e7-aedf-882e645d66d8']",43,,,,,,,,,,,,,,,,,Osasuna,422,00:00:43.259,Pass,True,2004/2005
,,,,,,,,,,,,,,,1.776347,,,,,,,,,,,,,,83b1d734-5f49-4179-8b60-84c15d853796,63,,"[55.7, 37.1]",68313,0,,,,,1.7681919,,Right Foot,,,,"[54.7, 42.1]",,Ground Pass,,5.0990195,,,,Francisco Puñal Martínez,25874.0,,,,,,1,Regular Play,Iñaki Muñoz Oroz,25861.0,Left Defensive Midfield,4,Osasuna,422,['81975ce2-823a-4611-90d3-95fc1d697ca8'],44,,,,,,,,,,,,,,,,,Osasuna,422,00:00:44.016,Pass,,2004/2005
,,,,,,,,,,,,,,,2.08823,,,,,,,,,,,,,,a21a1a5f-cfec-40f3-b5c4-9aefc4d5b98f,66,,"[48.0, 44.3]",68313,0,,,,,0.933057,,Right Foot,,,,"[66.6, 69.4]",,Ground Pass,,31.240519,,,,José Izquierdo Martínez,25871.0,,,,,,1,Regular Play,Francisco Puñal Martínez,25874.0,Right Defensive Midfield,4,Osasuna,422,['ca012b4d-c9ec-4f74-ab0b-49bf4315e944'],45,,,,,,,,,,,,,,,,,Osasuna,422,00:00:45.873,Pass,,2004/2005
,,,,,,,,,,,,,,,2.657933,,,,,,,,,,,,,,4f73b5eb-0d90-40a4-979b-02a02f6de5dc,69,,"[79.3, 65.6]",68313,0,,,,,-0.37690926,,Right Foot,,,,"[117.7, 50.4]",,Ground Pass,,41.298912,,Incomplete,,,,,,,,,1,Regular Play,José Izquierdo Martínez,25871.0,Right Back,4,Osasuna,422,['edea3f12-db69-418d-b90c-ceac773ea1f5'],50,,,,,,,,,,,,,,,,,Osasuna,422,00:00:50.830,Pass,,2004/2005
,,,,,,,,,,,,,,,3.332261,,,,,,,,,,,,,,056ce4e1-5a93-41aa-b79d-a66d6dbb8579,72,,"[12.9, 44.4]",68313,1,,,,,-0.4094634,,Right Foot,,,,"[73.5, 18.1]",,High Pass,,66.06096,,Incomplete,,Ronaldo de Assis Moreira,25879.0,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,5,Barcelona,217,"['02af8ad5-34de-4515-888f-ccf315cb4912', '32af0a43-c8d6-45eb-823e-5ba2c581abaf']",7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.047,Pass,,2004/2005
,,,,,,,,,,,,,,,1.300111,,,,,,,,,,,,,,aa6b8f87-46c5-4851-bfd6-21b1403875a6,78,,"[56.4, 43.9]",68313,1,,,,,1.7650373,,Left Foot,,,,"[52.8, 62.2]",,Ground Pass,,18.650738,,,,Juliano Haus Belletti,25863.0,,,,,Recovery,1,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,5,Barcelona,217,['85a165d8-399c-456a-9217-accbbdd4c55f'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.254,Pass,,2004/2005
,,,,,,,,,,,,,,,1.649032,,,,,,,,,,,,,,f7f05b0d-7626-405e-b98b-439a870632bd,81,,"[117.6, 66.8]",68313,1,,,,,-1.7935734,,Right Foot,True,,,"[110.6, 35.9]",,High Pass,,31.68296,,Incomplete,,,,,,,,,1,Regular Play,Juliano Haus Belletti,25863.0,Right Back,5,Barcelona,217,['24d8fb09-a3f9-4249-8577-e20c953a724a'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:01:27.768,Pass,,2004/2005
,,,,,,,,,,,,,,,1.138562,,,,,,,,,,,,,,717b32c6-5360-4312-bd12-1f0df854cb10,84,,"[105.4, 80.0]",68313,1,,,,,-1.012197,,,,,,"[112.4, 68.8]",,Low Pass,,13.207574,,,,Ludovic Giuly,25878.0,,,,,Throw-in,1,From Throw In,Juliano Haus Belletti,25863.0,Right Back,6,Barcelona,217,['b1947067-c6ef-4c67-9aee-920adbf1739e'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:01:44.885,Pass,,2004/2005
,,,,,,,,,,,,,,,1.929375,,,,,,,,,,,,,,946d8017-d30c-4380-91c9-447e7e7fe3d7,88,,"[111.8, 74.1]",68313,1,,,,,-2.7976236,,Left Foot,,,True,"[105.1, 71.7]",,Ground Pass,,7.1168814,,,,Juliano Haus Belletti,25863.0,,,,,,1,From Throw In,Ludovic Giuly,25878.0,Right Wing,6,Barcelona,217,"['0958924f-c470-4097-b15d-67ea611c1ce0', 'a7bbaa7d-bdca-4c7e-9ecc-0f031bf840ad']",47,,,,,,,,,,,,,,,,,Barcelona,217,00:01:47.444,Pass,True,2004/2005
