ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.97825,,,,,,,,,,,,,8b593abc-2f01-4c29-8fcc-5accdf8a5c7d,58,,,"[80.9, 37.5]",3773597,0,,,,-2.6098685,,Left Foot,,,,"[69.0, 30.5]",,Ground Pass,,13.806158,,,,Pedro González López,30486.0,,,,,,1,From Throw In,Antoine Griezmann,5487.0,Left Attacking Midfield,3,Barcelona,217,['9caab71d-54dc-44c8-89b7-c1d0c0a7a93f'],55,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.357,Pass,,2020/2021
,,,,,,,,,,,,,,1.543019,,,,,,,,,,,,,9415a4d2-581e-4f4a-9150-a8adcfc0ba67,61,,,"[69.0, 30.5]",3773597,0,,,,-1.1522068,,Right Foot,,,,"[80.3, 5.1]",,Ground Pass,,27.80018,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Pedro González López,30486.0,Left Defensive Midfield,3,Barcelona,217,['f8e91a10-46fd-4887-8971-96227efb7880'],56,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.491,Pass,,2020/2021
,,,,,,,,,,,,,,1.079021,,,,,,,,,,,,,46c5b5bd-89e3-4264-89ea-591c9bcf0646,64,,,"[94.4, 17.3]",3773597,1,,,,2.234352,,Left Foot,,,,"[90.1, 22.8]",,Ground Pass,,6.981404,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Wing Back,3,Barcelona,217,['800194e4-eacf-45b1-b8d2-0404089ac9ee'],0,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.340,Pass,,2020/2021
,,,,,,,,,,,,,,1.524577,,,,,,,,,,,,,551c982d-55df-4682-a5d5-7222b73d9354,68,,,"[89.9, 26.7]",3773597,1,,,,0.7933556,,Right Foot,,,,"[108.6, 45.7]",,High Pass,,26.65877,,,Incomplete,Sergino Dest,21881.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Attacking Midfield,3,Barcelona,217,"['6cfa7e50-ec2c-4e2f-9e82-9e158526a76a', 'c9160d77-7107-4a69-aeda-8802ff31dbbf', 'caddd0d7-bca8-4046-a107-dcad706254a2']",3,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.017,Pass,True,2020/2021
,,,,,,,,,,,,,,3.36827,,,,,,,,,,,,,0f101456-b8e4-4216-956b-8e67bae5774c,76,,,"[14.9, 26.4]",3773597,1,,,,-0.04708559,,Right Foot,,,,"[72.2, 23.7]",,High Pass,,57.36358,,,Incomplete,Mikel Merino Zazón,3042.0,,,,,Free Kick,1,From Free Kick,Alejandro Remiro Gargallo,32185.0,Goalkeeper,4,Real Sociedad,210,"['cb12cb24-19e3-468a-bd67-bad9f08464b1', 'f98e53c1-1dc3-43f0-a209-28b61195e546']",41,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:41.434,Pass,,2020/2021
,,,,,,,,,,,,,,2.195065,,,,,,,,,,,,,d0ee399b-532c-4eb2-96d1-7a94b42929a4,80,,,"[28.9, 41.0]",3773597,1,,,,-3.1162174,,Right Foot,,,,"[9.2, 40.5]",,Ground Pass,,19.706345,,,,Alejandro Remiro Gargallo,32185.0,,,,,Recovery,1,From Free Kick,Igor Zubeldia Elorza,6676.0,Right Center Back,4,Real Sociedad,210,['df24f5d8-2d74-4758-bbd5-77f40f512615'],49,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:49.198,Pass,,2020/2021
,,,,,,,,,,,,,,1.446755,,,,,,,,,,,,,893f4642-933c-40e1-b390-7c93409cdcad,82,,,"[8.7, 40.5]",3773597,1,,,,-1.4822434,,Right Foot,,,,"[10.6, 19.1]",,Ground Pass,,21.48418,,,,Robin Aime Robert Le Normand,22128.0,,,,,,1,From Free Kick,Alejandro Remiro Gargallo,32185.0,Goalkeeper,4,Real Sociedad,210,['662582cf-dfe8-4b36-a660-710fd90c6fcf'],51,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:51.393,Pass,,2020/2021
,,,,,,,,,,,,,,1.318561,,,,,,,,,,,,,e335cc32-6451-417f-be6b-7988c27ce9e0,85,,,"[10.6, 19.1]",3773597,1,,,,2.0828755,,Right Foot,,,,"[2.0, 34.4]",,Ground Pass,,17.551353,,,,Alejandro Remiro Gargallo,32185.0,,,,,,1,From Free Kick,Robin Aime Robert Le Normand,22128.0,Left Center Back,4,Real Sociedad,210,['267a7046-0b54-480a-af72-face66054335'],54,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:54.960,Pass,,2020/2021
,,,,,,,,,,,,,,2.56187,,,,,,,,,,,,,7e6daa12-5a2b-434f-b7b0-25c20d691c84,89,,,"[2.7, 34.3]",3773597,1,,,,-0.68349475,,Left Foot,,,,"[44.2, 0.5]",,High Pass,,53.5228,,,Out,Martín Merquelanz Castellanos,23212.0,,,,,,1,From Free Kick,Alejandro Remiro Gargallo,32185.0,Goalkeeper,4,Real Sociedad,210,"['0eeb74bf-bf3f-45c1-9a3e-849198a87309', 'd166ddb8-eb80-47e0-8ecb-94dd44876d72']",57,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:57.304,Pass,True,2020/2021
,,,,,,,,,,,,,,1.240875,,,,,,,,,,,,,302f9dfc-cd55-459f-a468-15353ca933fe,91,,,"[70.2, 80.0]",3773597,2,,,,-1.1357124,,,,,,"[73.5, 72.9]",,Low Pass,,7.8294315,,,,Antoine Griezmann,5487.0,,,,,Throw-in,1,From Throw In,Óscar Mingueza García,43728.0,Right Center Back,5,Barcelona,217,['774a70f4-546c-4488-a801-7fd3f74344c0'],15,,,,,,,,,,,,,,,,Barcelona,217,00:02:15.305,Pass,,2020/2021
