50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.4674,,,,,,,,,,,,,d1e72d5e-5a77-4355-a984-b66ab9ae755e,3629,,"[60.9, 62.2]",69233,90,,,,,0.45602387,,Right Foot,,,"[92.5, 77.7]",,High Pass,,35.19673,,,Jeffren Isaac Suárez Bermúdez,26624.0,,,,,,2,From Free Kick,Rafael Márquez Álvarez,5558.0,Right Center Back,191,Barcelona,217,['db178410-e027-4db0-942f-123f3e9bc786'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:41.649,Pass,,2009/2010
,,,,,,,,,,,,,,,,,0.97171,,,,,,,,,,,,,aa5f393f-e482-4633-aa2c-a9efab9c0da6,3633,,"[112.4, 75.4]",69233,90,,,,,-2.4668517,,Left Foot,,,"[102.9, 67.8]",,Ground Pass,,12.165936,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,2,From Free Kick,Jeffren Isaac Suárez Bermúdez,26624.0,Right Back,191,Barcelona,217,"['0160db67-c482-4c1f-9da6-987a084b7792', '79ae0c58-b57b-4798-9c3f-0f5fd6817872']",49,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:49.204,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,0.591255,,,,,,,,,,,,,d2c8ca15-cf3e-45fc-addf-287f7e038311,3636,,"[91.6, 67.1]",69233,90,,,,,-2.2584677,,Left Foot,,,"[89.3, 64.3]",,High Pass,,3.6235342,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,2,From Free Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,191,Barcelona,217,"['2fd133ca-ce2f-4cd4-a7f6-f75edf5b3183', 'ad8741dd-2991-4c50-899d-854dd9a60037']",52,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:52.614,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.342514,,,,,,,,,,,,,b0df2a43-ed6a-4e2f-a7e3-101562d718dd,3639,,"[77.7, 44.7]",69233,90,,,,,-1.4601392,,Right Foot,,,"[78.7, 35.7]",,Ground Pass,,9.055386,,,Andrés Iniesta Luján,5216.0,,,,,Recovery,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,191,Barcelona,217,['b364bbc3-8e92-4346-b16d-a53726f2139e'],54,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:54.582,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.316621,,,,,,,,,,,,,5e04d793-cc60-4dc7-8de7-e93ddd5978f9,3642,,"[71.5, 21.1]",69233,90,,,,,-1.3045443,,Right Foot,,,"[75.4, 6.8]",,Ground Pass,,14.822281,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,2,From Free Kick,Andrés Iniesta Luján,5216.0,Right Center Midfield,191,Barcelona,217,['020f1dd9-af17-486b-8dc8-0d4dafe8bac0'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:57.926,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.184058,,,,,,,,,,,,,fea5f087-07cc-432f-9745-b0a981f7620e,3645,,"[75.4, 6.8]",69233,90,,,,,1.8264413,,Left Foot,,,"[73.1, 15.6]",,Ground Pass,,9.095603,,,Andrés Iniesta Luján,5216.0,,,,,,2,From Free Kick,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,191,Barcelona,217,['810b2178-b0cc-40c4-bf37-458d8302cf2c'],59,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:59.322,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.161486,,,,,,,,,,,,,bb084f60-aef8-4df7-ac5b-1c04e2da4530,3658,,"[89.3, 4.1]",69233,91,,,,,2.1156602,,Right Foot,,,"[83.3, 14.0]",,Ground Pass,,11.576269,,,Bojan Krkíc Pérez,4913.0,,,,,Recovery,2,From Free Kick,Andrés Iniesta Luján,5216.0,Right Center Midfield,191,Barcelona,217,['f9e36553-5200-45e0-9e98-8b05cc2d8c45'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:46:06.303,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.06953,,,,,,,,,,,,,23b8f28f-1b24-4636-bf0b-409ae513dadc,3661,,"[83.7, 21.1]",69233,91,,,,,1.6218468,5297a9ed-6a4e-4d9b-95ea-9e83a5242421,Right Foot,,,"[83.0, 34.8]",,Ground Pass,,13.717872,,,Thiago Alcântara do Nascimento,5208.0,True,,,,,2,From Free Kick,Bojan Krkíc Pérez,4913.0,Center Forward,191,Barcelona,217,['fea7dd34-552b-4076-a56f-707b9b6cd8fa'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:46:08.718,Pass,,2009/2010
,,,,,,,,,,,,,,,,,2.847852,,,,,,,,,,,,,432a6fb5-4431-4d9c-9f7f-81e4bb6e750b,3668,,"[76.6, 30.6]",69233,91,,,,,2.4919994,,Right Foot,,,"[58.3, 44.5]",,Ground Pass,,22.980427,,,Rafael Márquez Álvarez,5558.0,,,,,Recovery,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,191,Barcelona,217,['4b524f60-ec99-4ace-af3c-90e50af3c6c1'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:46:14.155,Pass,,2009/2010
,,,,,,,,,,,,,,,,,0.484906,,,,,,,,,,,,,d9021d10-1080-47e7-8dca-021916f973c5,3671,,"[58.3, 44.5]",69233,91,,,,,-1.6651102,,Right Foot,,,"[56.9, 29.7]",,Ground Pass,,14.866069,,,Gerard Piqué Bernabéu,5213.0,,,,,,2,From Free Kick,Rafael Márquez Álvarez,5558.0,Right Center Back,191,Barcelona,217,['be547f42-93ea-49a0-af56-e25bc4a23665'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:46:17.763,Pass,,2009/2010
