bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.923997,,,,,,,,,,,,,,54341176-c361-427b-b435-5ddd8e342c7b,43,,"[43.8, 48.1]",303470,0,,,,,-1.4380858,,Right Foot,,,,"[49.3, 6.9]",,Ground Pass,,41.56549,,,,,Marcelo Vieira da Silva Júnior,5552.0,,True,,,,1,From Kick Off,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,2,Real Madrid,220,['62543453-b36c-4856-9dff-414cbef42fc5'],22,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:22.575,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.577561,,,,,,,,,,,,,,d9c1fcbd-2917-491b-a54a-759bbaac9a10,46,,"[62.8, 6.8]",303470,0,,,,,-0.34822094,,Left Foot,,,,"[77.4, 1.5]",,Ground Pass,,15.532225,,,,,Vinícius José Paixão de Oliveira Júnior,18395.0,,,,,,1,From Kick Off,Marcelo Vieira da Silva Júnior,5552.0,Left Back,2,Real Madrid,220,['bf4eecff-7ac2-4877-afe8-a661f2228cf3'],26,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:26.632,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.768588,,,,,,,,,,,,,,83dcb2b1-cf8c-417b-a8ae-8487267dc3f7,49,,"[83.5, 3.7]",303470,0,,,,,-0.73459446,,Right Foot,,,,"[86.6, 0.9]",,Ground Pass,,4.1773195,,,,,Marcelo Vieira da Silva Júnior,5552.0,,,,,,1,From Kick Off,Vinícius José Paixão de Oliveira Júnior,18395.0,Left Midfield,2,Real Madrid,220,['ac44fbf1-5fce-4008-a69e-abe25bd16f5e'],30,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:30.730,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.309161,,,,,,,,,,,,,,fa82d3dd-9523-4232-baa3-da43511786fc,54,,"[83.2, 1.0]",303470,0,,,,,2.6748004,,Left Foot,,,,"[70.5, 7.4]",,Ground Pass,,14.221462,,,,,Toni Kroos,5574.0,,,,,,1,From Kick Off,Marcelo Vieira da Silva Júnior,5552.0,Left Back,2,Real Madrid,220,['f6d8a523-283d-400b-9430-663dccf46daf'],34,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:34.758,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.833884,,,,,,,,,,,,,,1776323b-2417-4561-a69d-13f7cf6fc38b,57,,"[68.4, 7.1]",303470,0,,,,,1.4845908,,Right Foot,,,,"[69.1, 15.2]",,Ground Pass,,8.130191,,,,,Carlos Henrique Casimiro,5539.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Center Midfield,2,Real Madrid,220,['c3ead783-a377-45a9-9c9e-34b71b35a587'],38,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:38.113,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.033825,,,,,,,,,,,,,,4479989c-24f4-47b5-8fa7-50e70b5d48bf,59,,"[69.2, 14.9]",303470,0,,,,,-2.7490225,,Right Foot,,,,"[56.4, 9.6]",,Ground Pass,,13.85388,,,,,Sergio Ramos García,5201.0,,,,,,1,From Kick Off,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,2,Real Madrid,220,['d36ab94c-b171-4479-8dd8-4946042aa3b2'],38,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:38.946,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.914398,,,,,,,,,,,,,,ad513cee-796e-4919-84c7-8d589b54ffbb,61,,"[56.4, 9.6]",303470,0,,,,,-0.65457076,,Left Foot,,,,"[60.7, 6.3]",,Ground Pass,,5.420332,,,,,Toni Kroos,5574.0,,,,,,1,From Kick Off,Sergio Ramos García,5201.0,Left Center Back,2,Real Madrid,220,['76a3bc1e-0dab-4f38-9b45-642202d8dada'],39,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:39.980,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.177954,,,,,,,,,,,,,,98584a8f-f19a-41e9-af97-983b3c82798e,64,,"[60.7, 6.3]",303470,0,,,,,-0.4393609,,Right Foot,,,,"[70.7, 1.6]",,Ground Pass,,11.049435,,,,,Francisco Román Alarcón Suárez,4926.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Center Midfield,2,Real Madrid,220,['2bc2226d-198d-41a0-81d2-f7be3ec8efd9'],41,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:41.535,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.791559,,,,,,,,,,,,,,8b1eceef-fa0b-494e-9e7d-bddf05dcfbe2,68,,"[78.8, 1.6]",303470,0,,,,,-0.23684876,,Right Foot,,,,"[84.6, 0.2]",,Ground Pass,,5.9665737,,,,,Vinícius José Paixão de Oliveira Júnior,18395.0,,,,,,1,From Kick Off,Francisco Román Alarcón Suárez,4926.0,Right Center Midfield,2,Real Madrid,220,"['4585af4c-cab5-48fc-8762-ea2ffbf3a749', '9d5a653f-118e-4ea8-8762-97b1c08de63b']",44,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:44.953,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,3.334407,,,,,,,,,,,,,,003665bf-ee3a-4bb4-88b0-6b7661d13133,71,,"[90.5, 1.0]",303470,0,,,,,0.12102722,,Left Foot,,,,"[112.7, 3.7]",,Ground Pass,,22.363586,,,,,Francisco Román Alarcón Suárez,4926.0,,,,,,1,From Kick Off,Vinícius José Paixão de Oliveira Júnior,18395.0,Left Midfield,2,Real Madrid,220,['c764dc2d-eaed-4e95-a39e-2879407ad31b'],46,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:46.668,Pass,,2019/2020
