50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,2.1578,,,,,,,,,,,,,,ca13b078-7574-46c0-a63b-ad90205f4d34,48,,,"[54.2, 16.5]",70224,0,,,,,2.0042517,,Right Foot,,,"[43.0, 40.7]",,High Pass,,26.666082,,,,Martín Montoya Torralbo,6593.0,,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,"['3ad0cbb5-72ee-48c0-b003-8ed12a78e468', 'f1106b5d-9d25-4a9f-93e4-decb0c0d625f']",50,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.431,Pass,,2011/2012
,,,,,,,,,,,,,,,0.7878,,,,,,,,,,,,,,23434e3a-2afe-4740-a56e-2a03d114ec14,52,,,"[42.1, 40.5]",70224,0,,,,,-0.36473483,,Left Foot,,,"[53.1, 36.3]",,Low Pass,,11.774549,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,,1,Regular Play,Martín Montoya Torralbo,6593.0,Right Back,5,Barcelona,217,"['2b863c51-eed6-41fe-9570-b9ca4b1fa125', '80258d73-62e6-4f50-af6e-b1f9f7519d49']",52,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.629,Pass,True,2011/2012
,,,,,,,,,,,,,,,0.2436,,,,,,,,,,,,,,0f873bad-9ca6-43b0-9324-e102ec907dcc,56,,,"[49.9, 45.1]",70224,0,,,,,1.4601392,,Right Foot,,,"[50.1, 46.9]",,Low Pass,,1.811077,,Incomplete,,,,,,,,,,1,Regular Play,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,5,Barcelona,217,"['04e4d530-c362-487a-9af8-0050fb67eb15', '21bf36f9-2708-4d2a-bcdb-767f123dabd8']",55,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.234,Pass,True,2011/2012
,,,,,,,,,,,,,,,1.0674,,,,,,,,,,,,,,719071f2-63e4-429d-8ca5-2e4ea7d3fa1b,62,,,"[62.0, 0.1]",70224,1,,,,,0.37776667,,,,,"[74.6, 5.1]",,High Pass,,13.555811,,Incomplete,,Raúl Tamudo Montero,26109.0,,,,,,Throw-in,1,From Throw In,Roberto Román Triguero,6914.0,Left Back,6,Rayo Vallecano,360,"['6385ab14-11f0-4efd-9e8a-dc0a7de3309c', '92973368-02d6-4b12-b661-fa6d3cabcc28']",8,,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:08.187,Pass,,2011/2012
,,,,,,,,,,,,,,,1.6253,,,,,,,,,,,,,,6385ab14-11f0-4efd-9e8a-dc0a7de3309c,64,,,"[45.5, 75.0]",70224,1,,,,,0.079378314,,Head,,,"[54.3, 75.7]",,High Pass,,8.827797,,Incomplete,,,,,,,,,Recovery,1,From Throw In,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,6,Rayo Vallecano,360,"['4259fb9d-0687-4918-8839-8f08db426cd2', '719071f2-63e4-429d-8ca5-2e4ea7d3fa1b']",9,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.254,Pass,,2011/2012
,,,,,,,,,,,,,,,1.2797,,,,,,,,,,,,,,4259fb9d-0687-4918-8839-8f08db426cd2,65,,,"[65.8, 4.4]",70224,1,,,,,0.7974458,,Head,,,"[78.1, 17.0]",,High Pass,,17.608236,,Incomplete,,,,,,,,,Recovery,1,From Throw In,Roberto Román Triguero,6914.0,Left Back,6,Rayo Vallecano,360,"['6385ab14-11f0-4efd-9e8a-dc0a7de3309c', 'dad289c6-ac39-4d16-b44b-1f051acfc7b4']",10,,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:10.880,Pass,,2011/2012
,,,,,,,,,,,,,,,0.5649,,,,,,,,,,,,,,4078cf8f-d88b-4c00-8866-54d305c6ddee,68,,,"[42.0, 62.1]",70224,1,,,,,-1.2155654,,Right Foot,,,"[44.3, 55.9]",,Ground Pass,,6.6128664,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,7,Barcelona,217,['5ef3981a-4a8b-47ff-bcf5-0ae37c7a41af'],13,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.040,Pass,,2011/2012
,,,,,,,,,,,,,,,0.719592,,,,,,,,,,,,,,7f4ebff0-a79c-4c15-8fc7-6a944c4716c3,76,,,"[44.3, 60.0]",70224,1,,,,,1.6162196,,Left Foot,,,"[43.7, 73.2]",,Ground Pass,,13.21363,,,,Martín Montoya Torralbo,6593.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,7,Barcelona,217,"['7970f39f-6e04-4a32-afe4-bb8f596524ca', 'ff89de0b-6d44-4262-8d85-1d5e3505a398']",15,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.596,Pass,True,2011/2012
,,,,,,,,,,,,,,,0.7804,,,,,,,,,,,,,,ebee4208-1750-411b-8959-f0e72f2c407b,79,,,"[43.7, 74.6]",70224,1,,,,,-2.4805496,,Right Foot,,,"[37.4, 69.7]",,Ground Pass,,7.981228,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,Regular Play,Martín Montoya Torralbo,6593.0,Right Back,7,Barcelona,217,['bc8b850b-41f4-47cf-8675-4e76020527e1'],16,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.355,Pass,,2011/2012
,,,,,,,,,,,,,,,2.6256,,,,,,,,,,,,,,cc75ba21-fc01-435c-97a8-04d18ac6e3b7,82,,,"[33.8, 68.6]",70224,1,,,,,-2.6885266,,Left Foot,,,"[3.4, 53.8]",,Ground Pass,,33.81124,,,,José Manuel Pinto Colorado,26005.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,7,Barcelona,217,['19ad7248-5bb5-41cf-bc7f-219ced4e3d2d'],18,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.297,Pass,,2011/2012
