bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.163,,,,,,,,,,,,,33db958d-8553-4f40-aa11-447924f9f81a,48,,"[75.0, 77.0]",9592,0,,,,,-2.782822,,Right Foot,,,,"[67.0, 74.0]",,Low Pass,,8.5440035,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Kick Off,Gerard Deulofeu Lázaro,3726.0,Right Midfield,2,Barcelona,217,"['5bc395f8-c3e0-4b96-894d-fd44b29a02fd', '75724444-c26c-4329-9334-aaae184d1394']",48,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.371,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,1.199,,,,,,,,,,,,,8e9e7dd3-a2b0-4422-b3fb-ec8834220e1e,51,,"[67.0, 74.0]",9592,0,,,,,-2.8430936,,Right Foot,,,,"[54.0, 70.0]",,Ground Pass,,13.601471,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,"['9015198d-33ca-4af3-abaf-4511db03d46d', 'e54e5f1b-76a4-4565-a195-460fb5ef88b4']",50,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.534,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,c6560746-5d8e-4f38-864c-003e8b499eba,54,,"[50.0, 69.0]",9592,0,,,,,-1.6614562,,Left Foot,,,,"[48.0, 47.0]",,Ground Pass,,22.090721,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Defensive Midfield,2,Barcelona,217,['7f28f5f4-52e4-40d0-98c0-64f10ceddf1c'],53,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.674,Pass,,2017/2018
,,,,,,,,,,,,,,,,,3.031,,,,,,,,,,,,,c70448ed-7121-4c46-897c-4e56f6c432d0,57,,"[52.0, 45.0]",9592,0,,,,,0.5307735,,Right Foot,,,,"[98.0, 72.0]",,High Pass,,53.338543,,,,Gerard Deulofeu Lázaro,3726.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['14f61e33-2e76-44b7-9acd-df67bbc298fc'],58,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.552,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,c811f0f5-807e-4e45-99bf-667b714f2cc0,60,,"[98.0, 75.0]",9592,1,,,,,-1.5232133,,Right Foot,,,,"[99.0, 54.0]",,Ground Pass,,21.023796,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Gerard Deulofeu Lázaro,3726.0,Right Midfield,2,Barcelona,217,['0620877c-e0ca-4b5b-8d7f-6b475f6bb708'],4,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.169,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.792,,,,,,,,,,,,,63e34d5f-a19a-40a1-b5bd-402a01acf92a,62,,"[99.0, 54.0]",9592,1,,,,,2.4980915,,Right Foot,,,,"[95.0, 57.0]",,Ground Pass,,5.0,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,2,Barcelona,217,['388ab635-c068-4eac-b8d6-fa303ec5b578'],5,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.159,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.267,,,,,,,,,,,,,0be2de80-ae4c-400d-88da-6ee3c63d7752,70,,"[97.0, 49.0]",9592,1,,,,,-2.0344439,,Right Foot,,,,"[96.0, 47.0]",,Low Pass,,2.236068,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,2,Barcelona,217,"['aea81e9d-eae2-414f-903a-935b307e13f4', 'b7a7ca98-0f9b-4ca9-a1ea-5cf0e6543201']",7,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.417,Pass,,2017/2018
,,,,,,,,,,,,,,,,,2.015,,,,,,,,,,,,,72be5daa-34e7-4757-90cf-469140332f24,73,,"[88.0, 46.0]",9592,1,,,,,-1.3617734,,Right Foot,,,,"[95.0, 13.0]",,Low Pass,,33.734257,,,,Jordi Alba Ramos,5211.0,,,,,Recovery,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,2,Barcelona,217,['9bc20ab5-bf69-46db-8a45-c6c15db972e4'],8,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.820,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,4f4caf54-346b-4a53-be68-7a9ec7806918,76,,"[95.0, 13.0]",9592,1,,,,,2.0344439,,Left Foot,,,,"[92.0, 19.0]",,Ground Pass,,6.708204,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['962aede9-97bb-4bc1-9685-3915fc1be264'],13,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.193,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.664,,,,,,,,,,,,,769cc166-3885-4cbe-8e6a-1fe8d3bc4f97,80,,"[89.0, 19.0]",9592,1,,,,,0.68052125,,Right Foot,,,,"[110.0, 36.0]",,Low Pass,,27.018513,,,,Gerard Deulofeu Lázaro,3726.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Midfield,2,Barcelona,217,"['827ca5aa-9995-43a4-86d3-b7806093faea', 'df11bac3-933e-4333-b8b1-324e509d9e1f']",14,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.778,Pass,True,2017/2018
