bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,3.320267,,,,,,,,,,,,,,12fd75ca-eb0a-48ee-b461-efee78261f47,18,,"[47.6, 5.9]",303615,0,,,,,2.5753446,,Right Foot,,,,"[20.7, 23.0]",Ground Pass,,31.875069,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Left Center Midfield,3,Barcelona,217,['e02c4ded-3a85-47a3-b029-5582bae85c39'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.029,Pass,,2019/2020
,,,,,,,,,,,,,,1.399998,,,,,,,,,,,,,,b368f188-18f3-451f-a140-e56b19cc04fd,21,,"[29.0, 41.2]",303615,0,,,,,1.1198263,,Left Foot,,,,"[41.3, 66.6]",Ground Pass,,28.221445,,,,Nélson Cabral Semedo,6374.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['4e649ad4-1b33-46d8-b469-364181c9dfec'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.678,Pass,,2019/2020
,,,,,,,,,,,,,,1.026275,,,,,,,,,,,,,,f115646d-0e7c-4db1-bc44-e97270aebbc5,24,,"[43.9, 64.9]",303615,0,,,,,-0.7853982,,Right Foot,,,,"[52.4, 56.4]",Ground Pass,,12.020815,,,,Ivan Rakitić,5470.0,,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,3,Barcelona,217,['ca7a5d11-36c3-4b19-a00d-11ce0ae29702'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.481,Pass,,2019/2020
,,,,,,,,,,,,,,1.835126,,,,,,,,,,,,,,da3c7880-24e4-4795-b3d5-c20996eac8be,27,,"[50.6, 54.1]",303615,0,,,,,-1.821799,,Right Foot,,,,"[43.6, 26.8]",Ground Pass,,28.183151,,,,Clément Lenglet,6826.0,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,3,Barcelona,217,['578d27b2-bf44-4f2c-b7cd-18f036a4a2a3'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.236,Pass,,2019/2020
,,,,,,,,,,,,,,0.96456,,,,,,,,,,,,,,11db6c2d-c4e2-4a9b-bc1e-9a067d10df25,30,,"[56.6, 22.4]",303615,0,,,,,-0.75092906,,Left Foot,,,,"[64.1, 15.4]",Ground Pass,,10.259142,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['812726b8-4545-417c-a40d-26439c1b53e6'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.531,Pass,,2019/2020
,,,,,,,,,,,,,,0.895348,,,,,,,,,,,,,,fdc05d3b-e557-4abc-b767-2b2ae539b8b5,34,,"[63.8, 16.0]",303615,0,,,,,-1.4219064,,Right Foot,,,,"[65.9, 2.0]",Ground Pass,,14.156624,,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Left Center Midfield,3,Barcelona,217,"['38830c85-80b4-4962-a815-94a865c08198', 'e83f498f-06e5-4cf2-be3a-19d5ad7cbc6d']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.260,Pass,True,2019/2020
,,,,,,,,,,,,,,0.588603,,,,,,,,,,,,,,217201fa-d0f7-405e-af47-81d863280f41,37,,"[65.9, 2.0]",303615,0,,,,,1.849096,,Left Foot,,,,"[62.9, 12.5]",Ground Pass,,10.920165,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['82507619-c3d8-4583-b69b-f36d6503333f'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.092,Pass,,2019/2020
,,,,,,,,,,,,,,0.936189,,,,,,,,,,,,,,582ae441-73f9-478d-8394-f79c227cf941,41,,"[53.7, 16.1]",303615,0,,,,,2.5838838,,Right Foot,,,,"[43.6, 22.4]",Ground Pass,,11.903781,,,,Clément Lenglet,6826.0,,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Left Center Midfield,3,Barcelona,217,"['44fd18f6-bf1c-43aa-903d-361cf5587eb2', 'c5f10601-e0a6-4d75-8fbb-bcbb79da6d61']",36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.343,Pass,True,2019/2020
,,,,,,,,,,,,,,1.232425,,,,,,,,,,,,,,cb8c2574-87c4-46a1-a26f-929b8e8f5b78,44,,"[46.3, 19.4]",303615,0,,,,,-0.99063057,,Left Foot,,,,"[56.0, 4.6]",Ground Pass,,17.69548,,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['75b4253a-c537-410a-bd44-6e27a99585fe'],39,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.202,Pass,,2019/2020
,,,,,,,,,,,,,,0.829325,,,,,,,,,,,,,,29a4b0ab-a0f4-4187-9c5d-6add1592d6c8,47,,"[57.2, 10.9]",303615,0,,,,,1.0098956,,Left Foot,,,,"[67.0, 26.5]",Ground Pass,,18.422812,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['f2fd24c7-06a8-4d4e-b0e5-8bea62295061'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.922,Pass,,2019/2020
,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,a036ea32-fda3-482d-a6da-2beaef03b09b,52,,"[56.2, 53.0]",303615,0,,,,,-2.4794602,,Right Foot,,,,"[43.5, 43.1]",Low Pass,,16.102795,,,,Leandro Daniel Cabrera Sasía,6635.0,,,,,,Recovery,1,Regular Play,Adrián Embarba Blázquez,11539.0,Right Center Forward,4,Espanyol,214,"['945254f9-8b42-4a50-a73d-215f06274477', 'afd14ea9-38b3-44c6-ac07-834d5ed1f30a']",45,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:45.560,Pass,True,2019/2020
,,,,,,,,,,,,,,0.63697,,,,,,,,,,,,,,d27c544e-c84a-4d4d-984e-71949f338ea3,56,,"[55.6, 35.9]",303615,0,,,,,0.42604777,,Left Foot,,,,"[68.6, 41.8]",Low Pass,,14.276204,,,,Adrián Embarba Blázquez,11539.0,,,,,,,1,Regular Play,Leandro Daniel Cabrera Sasía,6635.0,Left Center Back,4,Espanyol,214,"['57767700-3d1c-4849-94db-f264975ae196', '98a833ee-ac04-43e6-8d67-15e2c88e93fa']",50,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:50.206,Pass,True,2019/2020
,,,,,,,,,,,,,,0.779303,,,,,,,,,,,,,,18986df5-8f45-4e2a-b28e-a57da53d6510,65,,"[48.0, 54.7]",303615,0,,,,,-1.0537643,,Right Foot,,,,"[50.9, 49.6]",Ground Pass,,5.866856,,,,Ivan Rakitić,5470.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,['6b2b7e5b-2359-49c5-b9ec-59d685f477ec'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.343,Pass,,2019/2020
,,,,,,,,,,,,,,1.391204,,,,,,,,,,,,,,a9501222-625e-4190-8bd9-5952789dde75,67,,"[50.9, 49.6]",303615,0,,,,,-2.0662181,,Right Foot,,,,"[42.2, 33.5]",Ground Pass,,18.300274,,,,Clément Lenglet,6826.0,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,5,Barcelona,217,['3f5e75ec-2b59-477c-8377-d203a529a3e4'],56,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.122,Pass,,2019/2020
,,,,,,,,,,,,,,1.147306,,,,,,,,,,,,,,958833e9-184e-46f6-832a-62d1b1361676,70,,"[42.2, 33.5]",303615,0,,,,,-1.0417658,,Left Foot,,,,"[49.8, 20.5]",Ground Pass,,15.058553,,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,5,Barcelona,217,['912a3302-4791-45dd-ba9d-f43450c0231e'],58,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.741,Pass,,2019/2020
,,,,,,,,,,,,,,0.8377,,,,,,,,,,,,,,6bc2ff01-7dcd-4554-9b9b-319e69f1f7b7,73,,"[63.3, 18.0]",303615,1,,,,,-0.8003224,,Right Foot,,,,"[69.9, 11.2]",Ground Pass,,9.476286,,,,Antoine Griezmann,5487.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['8a929bee-609d-4e62-890c-657938157931'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.499,Pass,,2019/2020
,,,,,,,,,,,,,,0.698244,,,,,,,,,,,,,,8282ee36-a257-44bb-8e3f-a3f48b41e2f3,75,,"[69.9, 11.2]",303615,1,,,,,2.3011322,,Left Foot,,,,"[63.9, 17.9]",Ground Pass,,8.993887,,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Right Center Forward,5,Barcelona,217,['4230e38b-02b4-4504-8492-30b8ad4badb9'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.337,Pass,,2019/2020
,,,,,,,,,,,,,,1.17977,,,,,,,,,,,,,,477fc29b-47ac-4f8b-bcf1-e363e289cc0a,78,,"[63.9, 17.9]",303615,1,,,,,2.456449,,Left Foot,,,,"[54.6, 25.5]",Ground Pass,,12.010412,,,,Clément Lenglet,6826.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['cc95abdb-de26-4396-8110-a5d17deff250'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.710,Pass,,2019/2020
,,,,,,,,,,,,,,0.981365,,,,,,,,,,,,,,b27f1e96-8e03-4076-92ef-f0324cdb4824,81,,"[54.6, 25.5]",303615,1,,,,,0.8695364,,Left Foot,,,,"[62.2, 34.5]",Ground Pass,,11.779643,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,5,Barcelona,217,['61b8e647-e449-4613-acf0-8f2d10c54aa0'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.342,Pass,,2019/2020
,,,,,,,,,,,,,,0.890354,,,,,,,,,,,,,,7f560da3-7e81-4892-9279-33b22a46cca9,84,,"[55.2, 34.1]",303615,1,,,,,-1.6056659,,Left Foot,,,,"[54.9, 25.5]",Ground Pass,,8.605231,,,,Clément Lenglet,6826.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['7ac92c4c-5c70-43da-b605-461a7d088a22'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.541,Pass,,2019/2020
,,,,,,,,,,,,,,0.772348,,,,,,,,,,,,,,8bb7ebbe-f33f-4238-b402-d6f87c6c31db,87,,"[63.2, 23.6]",303615,1,,,,,1.0032587,,Left Foot,,,,"[68.3, 31.6]",Ground Pass,,9.48736,,,,Ivan Rakitić,5470.0,,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,5,Barcelona,217,['eddc90a4-91f7-4f51-896d-ffc41ef56341'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.004,Pass,,2019/2020
,,,,,,,,,,,,,,0.733286,,,,,,,,,,,,,,d6680141-2bc5-41b5-bbac-9659c9f0a51c,89,,"[68.3, 31.6]",303615,1,,,,,2.9902172,,Right Foot,,,,"[62.4, 32.5]",Ground Pass,,5.9682493,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,5,Barcelona,217,['baf6c7b6-43ca-48b3-b9d7-31dded8fbe93'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.776,Pass,,2019/2020
,,,,,,,,,,,,,,1.569702,,,,,,,,,,,,,,5d476e18-fb94-4e8e-9ae0-1e479b97a42c,91,,"[62.4, 32.5]",303615,1,,,,,-1.380808,,Right Foot,,,,"[65.9, 14.3]",Ground Pass,,18.533484,,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['b53a81e4-d414-46eb-b792-2a2683fc1aa3'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.509,Pass,,2019/2020
,,,,,,,,,,,,,,2.086568,,,,,,,,,,,,,,09a6bbce-dd73-4ef5-9b36-16be252f0dd4,94,,"[70.0, 14.4]",303615,1,,,,,1.4174432,,Left Foot,,,,"[76.6, 57.1]",Ground Pass,,43.207058,,,,Lionel Andrés Messi Cuccittini,5503.0,,,True,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['b1d11299-a197-47c3-89a0-b6e546aee6ae'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.756,Pass,,2019/2020
,,,,,,,,,,,,,,0.668324,,,,,,,,,,,,,,dbf7e0b7-0588-4d27-a9e3-f42815523264,97,,"[84.5, 54.5]",303615,1,,,,,-0.71306086,,Left Foot,,,,"[91.9, 48.1]",Ground Pass,,9.78366,,,,Antoine Griezmann,5487.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,5,Barcelona,217,['ee17f48a-31c3-4c64-adfc-2ac0849363b0'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.099,Pass,,2019/2020
,,,,,,,,,,,,,,2.412,,,,,,,,,,,,,,d510f1bb-8b77-4b3e-b315-35c582c9659c,99,,"[91.9, 48.1]",303615,1,,,,,1.5937808,,Right Foot,,,,"[91.5, 65.5]",Ground Pass,,17.404596,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Right Center Forward,5,Barcelona,217,['50de9b6d-e473-4d13-97bc-deeee0f464f1'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.767,Pass,,2019/2020
,,,,,,,,,,,,,,0.883697,,,,,,,,,,,,,,55a151c7-63d6-4cfe-9d72-8dd22d24dcc6,102,,"[90.0, 71.6]",303615,1,,,,,-2.8313358,,Left Foot,,,,"[76.9, 67.4]",Ground Pass,,13.756817,,,,Ivan Rakitić,5470.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,5,Barcelona,217,['b34f2909-08ed-4f46-8524-da6829722d8e'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:30.239,Pass,,2019/2020
,,,,,,,,,,,,,,1.081971,,,,,,,,,,,,,,caf3827a-ef01-4811-8b33-9b56e0511818,105,,"[79.2, 66.2]",303615,1,,,,,1.0666304,,Right Foot,,,,"[84.0, 74.9]",Ground Pass,,9.936297,,,,Nélson Cabral Semedo,6374.0,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,5,Barcelona,217,['f1336b8c-037b-49d4-80e4-e3681b37734b'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.724,Pass,,2019/2020
,,,,,,,,,,,,,,0.658759,,,,,,,,,,,,,,d904c095-52f0-43bd-ba91-f2a4553f642d,108,,"[84.0, 74.9]",303615,1,,,,,-1.4005845,,Right Foot,,,,"[85.1, 68.5]",Ground Pass,,6.493843,,,,Antoine Griezmann,5487.0,,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,5,Barcelona,217,['6f131e6f-6c71-481f-974e-0b1130b9f3f6'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.590,Pass,,2019/2020
,,,,,,,,,,,,,,0.618553,,,,,,,,,,,,,,a9c50b59-c139-44b3-809a-664ac7e56dca,110,,"[85.1, 68.5]",303615,1,,,,,1.9023505,,Left Foot,,,,"[83.0, 74.6]",Ground Pass,,6.4513564,,,,Nélson Cabral Semedo,6374.0,,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Right Center Forward,5,Barcelona,217,['55c60567-dd66-4250-a94a-547edf43d667'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:37.248,Pass,,2019/2020
,,,,,,,,,,,,,,1.013321,,,,,,,,,,,,,,c9390afd-6f67-4428-90c1-207b5bab8d4b,113,,"[83.0, 74.6]",303615,1,,,,,-1.9501753,,Right Foot,,,,"[76.9, 59.3]",Ground Pass,,16.471188,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,5,Barcelona,217,['6ab748ef-eba2-42bd-af46-5a0dc44e6356'],39,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:39.074,Pass,,2019/2020
,,,,,,,,,,,,,,1.23622,,,,,,,,,,,,,,44bc5522-f902-4ba0-9434-b6890de7592c,116,,"[76.9, 59.3]",303615,1,,,,,-3.0278006,,Left Foot,,,,"[62.9, 57.7]",Ground Pass,,14.091132,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['3d031378-8bbd-4f57-8190-0fdbbe9399c6'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.127,Pass,,2019/2020
