ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.587839,,,,,,,,,,,,,1932a7b3-f6c8-41af-a166-b0807b7b0d44,48,,"[57.1, 72.9]",266310,0,,,,-0.85104764,,Right Foot,,,,"[84.1, 42.1]",,Low Pass,,40.959003,,Incomplete,,,,,,,,,1,From Throw In,Sidnei Rechel da Silva Júnior,6777.0,Right Center Back,4,RC Deportivo La Coruña,219,['a3758b69-18fd-47c8-b00b-aca57ee1b161'],51,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:51.496,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.449809,,,,,,,,,,,,,49a888a9-edc8-4001-b735-7dc857d258a6,54,,"[52.6, 32.6]",266310,1,,,,-1.2001551,,Right Foot,,,,"[60.1, 13.3]",,Ground Pass,,20.706038,,,,Jordi Alba Ramos,5211.0,,,,,Free Kick,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['0bb5f594-1271-468d-a162-9ad9c3d8a03d'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.313,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.1779,,,,,,,,,,,,,3295020b-7cbb-4032-b830-0e6d2176e347,57,,"[62.2, 11.7]",266310,1,,,,-0.8499848,,Left Foot,,,,"[71.6, 1.0]",,Ground Pass,,14.242542,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['dd827772-51b5-44ac-a088-6aa8a503e0b1'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.583,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.9985,,,,,,,,,,,,,95583c78-1f9c-4b1d-90d5-91b760acf0af,60,,"[77.4, 5.8]",266310,1,,,,3.1415927,,Right Foot,,,,"[69.9, 5.8]",,Ground Pass,,7.5,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Free Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,5,Barcelona,217,['ed326425-a069-41f3-98f7-28075124954c'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.242,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.0771,,,,,,,,,,,,,699639bd-b807-4113-ae77-9b54020724ab,63,,"[69.9, 5.8]",266310,1,,,,-0.30499235,,Right Foot,,,,"[80.7, 2.4]",,Ground Pass,,11.322544,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['c05fa7bc-ddb3-45bc-ad08-056bc166b7c6'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.320,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.192,,,,,,,,,,,,,a9fdee80-4375-4f73-a035-50fd9a14adb1,66,,"[80.3, 3.5]",266310,1,,,,2.5726094,,Right Foot,,,,"[71.7, 9.0]",,Ground Pass,,10.20833,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Free Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,5,Barcelona,217,['22471a65-8cc9-4f24-9b01-1775141c76b0'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.477,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.874,,,,,,,,,,,,,ff359c5e-8f6f-471d-8734-b77095d5ff84,69,,"[71.7, 9.0]",266310,1,,,,1.6061798,,Left Foot,,,,"[71.3, 20.3]",,Ground Pass,,11.307077,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['1110ee39-8150-4f94-9cba-e6955144eff8'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.234,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.8816,,,,,,,,,,,,,63b65548-a061-42af-a037-bc123ffb8177,72,,"[71.7, 20.5]",266310,1,,,,-1.5521069,,Right Foot,,,,"[71.9, 9.8]",,Ground Pass,,10.701869,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Left Center Midfield,5,Barcelona,217,['741d2005-66ac-4fa2-82fd-dc82c5eae238'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.108,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.3033,,,,,,,,,,,,,872b7648-006d-480f-8369-f231058a932a,75,,"[70.7, 9.1]",266310,1,,,,2.3887644,,Left Foot,,,,"[50.1, 28.4]",,Low Pass,,28.22853,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['61f628d5-9987-4baf-a29b-850cde8d4540'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.654,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.770755,,,,,,,,,,,,,4ba76b99-44ec-4209-a432-fe8a64b40a91,78,,"[52.8, 32.9]",266310,1,,,,1.2839847,,Right Foot,,,,"[63.3, 68.5]",,Ground Pass,,37.11617,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,5,Barcelona,217,['6f33b04c-e831-473a-893a-ea1c96803a66'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.334,Pass,,2015/2016
