bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,True,,,,,1.911902,,,,,,,,,,,,,58d7c2a7-a0aa-4d22-bfb6-c522389b97d4,2163,,"[31.8, 20.0]",3773387,50,,,,-0.84089667,,Right Foot,,,,"[42.0, 8.6]",,High Pass,,15.297058,,,,Jordi Alba Ramos,5211.0,,,,,Interception,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,88,Barcelona,217,"['44c83abe-01dd-49f3-a3c7-99bc969537f6', 'dabc5055-7a76-4e18-bcf5-574646eb45ed']",55,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:55.622,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.736484,,,,,,,,,,,,,65c67ea1-1761-455f-840d-f1ed2c4ea9fc,2167,,"[44.3, 5.4]",3773387,50,,,,1.4007378,,Left Foot,,,,"[46.0, 15.3]",,Ground Pass,,10.044899,,,,Antoine Griezmann,5487.0,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Wing Back,88,Barcelona,217,['1b82f444-6419-4b14-9c8b-32a13554a47e'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:57.534,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.57414,,,,,,,,,,,,,a9bf3d1b-5372-4615-8038-c27fc2891424,2170,,"[44.3, 16.5]",3773387,50,,,,-2.263676,,Left Foot,,,,"[39.9, 11.2]",,Ground Pass,,6.8883963,,,,Sergio Busquets i Burgos,5203.0,,,,,,2,Regular Play,Antoine Griezmann,5487.0,Left Center Forward,88,Barcelona,217,"['4060f899-894a-4c12-a6bc-63ea00ed467a', 'a1ec9e03-5af0-41f0-a2fc-b975e9add93f']",58,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:58.271,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,1.503404,,,,,,,,,,,,,56547ebd-347e-4f5c-89e6-3c6294aa2b19,2172,,"[39.9, 11.2]",3773387,50,,,,1.0501453,,Right Foot,,,,"[48.1, 25.5]",,Ground Pass,,16.484236,,,,Frenkie de Jong,8118.0,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,88,Barcelona,217,['3721b4eb-ae43-4e4b-9f0a-c4d4073e6c6b'],58,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:58.845,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.117487,,,,,,,,,,,,,75d58c99-f904-4a07-8029-8902e7591a14,2174,,"[48.1, 25.5]",3773387,51,,,,-0.39852244,,Right Foot,,,,"[55.7, 22.3]",,Ground Pass,,8.246211,,,,Antoine Griezmann,5487.0,,,,,,2,Regular Play,Frenkie de Jong,8118.0,Right Center Midfield,88,Barcelona,217,['24fcdc2a-737e-4dac-a0f0-4c229edc3f5a'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:00.348,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.686843,,,,,,,,,,,,,05e72dee-ab83-4fd1-bde1-3e18bb5770f3,2177,,"[57.1, 29.6]",3773387,51,,,,1.1652951,,Left Foot,,,,"[65.6, 49.4]",,Ground Pass,,21.54739,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,2,Regular Play,Antoine Griezmann,5487.0,Left Center Forward,88,Barcelona,217,['8fe145f1-d332-4727-9f3f-1acf97ce790e'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:02.039,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.42157,,,,,,,,,,,,,436adacd-a12d-43eb-b1aa-f944cda0cb32,2180,,"[72.0, 48.0]",3773387,51,,,,-1.469972,,Left Foot,,,,"[74.6, 22.3]",,Ground Pass,,25.831182,,,,Frenkie de Jong,8118.0,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,88,Barcelona,217,['18493684-3587-4ce6-a5d7-b9ab388ba769'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:09.060,Pass,,2020/2021
,,,,,,,,,,,,,,,,,2.001587,,,,,,,,,,,,,4381380e-6fa5-4477-9aca-6ce53a1663f6,2183,,"[74.6, 21.2]",3773387,51,,,,-1.0714496,,Right Foot,,,,"[84.8, 2.5]",,Ground Pass,,21.30094,,,,Jordi Alba Ramos,5211.0,,,,,,2,Regular Play,Frenkie de Jong,8118.0,Right Center Midfield,88,Barcelona,217,['c89dc8cf-1f0f-4e96-b849-50a96e3a1cca'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:13.646,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.25552,,,,,,,,,,,,,29913b83-2e1b-4bd6-b832-125a53f2ddd6,2185,,"[84.8, 2.5]",3773387,51,,,,2.6298537,,Left Foot,,,,"[77.5, 6.6]",,Ground Pass,,8.372574,,,,Clément Lenglet,6826.0,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Wing Back,88,Barcelona,217,['8a1636d9-e4f0-4444-bfd0-09064dcfa524'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:15.647,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.490697,,,,,,,,,,,,,456acbda-6ee5-4666-9f55-6d64297f305c,2188,,"[77.5, 6.6]",3773387,51,,,,-0.10451291,,Left Foot,,,,"[91.8, 5.1]",,Ground Pass,,14.378456,,,,Jordi Alba Ramos,5211.0,,,,,,2,Regular Play,Clément Lenglet,6826.0,Left Center Back,88,Barcelona,217,['3768c9b0-509c-4201-88b7-84c33a61a7ee'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:18.562,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.109024,,,,,,,,,,,,,a89ec9c6-f496-4095-8162-b38c7c2bc803,2191,,"[91.8, 5.1]",3773387,51,,,,2.6199744,,Left Foot,,,,"[83.1, 10.1]",,Ground Pass,,10.034441,,,,Pedro González López,30486.0,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Wing Back,88,Barcelona,217,['c2cf498f-9853-40ef-ac7d-cbfafe9bd36e'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:20.528,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.904821,,,,,,,,,,,,,2f24a17d-c7b7-45eb-8d12-6a50dbef326d,2194,,"[82.5, 10.1]",3773387,51,,,,2.486874,,Right Foot,,,,"[72.6, 17.7]",,Ground Pass,,12.480785,,,,Sergio Busquets i Burgos,5203.0,,,,,,2,Regular Play,Pedro González López,30486.0,Left Center Midfield,88,Barcelona,217,['4ddd3852-76c2-4b8c-ab57-6b44891c6828'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:23.237,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.36894,,,,,,,,,,,,,8fc08d61-9d25-4796-b0fa-83d64714cd36,2196,,"[72.6, 17.7]",3773387,51,,,,-1.1739782,,Left Foot,,,,"[77.0, 7.2]",,Ground Pass,,11.384639,,,,Clément Lenglet,6826.0,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,88,Barcelona,217,['e13b754f-06de-4445-bda6-5e92d6d88811'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:24.142,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.065608,,,,,,,,,,,,,342f8cb7-daaa-4379-859e-53828a83cbb6,2199,,"[77.0, 7.2]",3773387,51,,,,1.3996477,,Left Foot,,,,"[78.4, 15.3]",,Ground Pass,,8.220098,,,,Pedro González López,30486.0,,,,,,2,Regular Play,Clément Lenglet,6826.0,Left Center Back,88,Barcelona,217,['6dade3e5-8b64-4572-b8e4-4f4ae8a1ac8b'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:26.098,Pass,,2020/2021
,,,,,,,,,,,,,,,,,2.052153,,,,,,,,,,,,,73e34346-bfac-455d-881b-d2c21186f86f,2202,,"[78.4, 15.3]",3773387,51,,,,1.7686201,,Right Foot,,,,"[69.4, 60.2]",,Ground Pass,,45.79312,,,,Sergi Roberto Carnicer,6379.0,,True,,,,2,Regular Play,Pedro González López,30486.0,Left Center Midfield,88,Barcelona,217,['9da4ecce-132f-4dca-903e-573e999288d9'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:28.942,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.630783,,,,,,,,,,,,,d97b57c8-b147-4c47-bf75-4ac2bf26eccd,2205,,"[70.5, 60.2]",3773387,51,,,,0.60908717,,Right Foot,,,,"[91.0, 74.5]",,Ground Pass,,24.994799,,,,Ousmane Dembélé,5477.0,,,,,,2,Regular Play,Sergi Roberto Carnicer,6379.0,Right Center Back,88,Barcelona,217,['fe531131-5fe5-47dd-9a92-2e6e1958c081'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:31.868,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.204438,,,,,,,,,,,,,781e22cc-97dc-4dab-8712-49706f8b8742,2208,,"[99.7, 69.0]",3773387,51,,,,-2.02863,,Left Foot,,,,"[89.5, 48.3]",,Ground Pass,,23.076612,,,,Pedro González López,30486.0,,,,,,2,Regular Play,Ousmane Dembélé,5477.0,Right Wing Back,88,Barcelona,217,['567b0014-6e1e-48a8-ac74-487eb39c7b5e'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:36.867,Pass,,2020/2021
,,,,,,,,,,,,,,,,,2.346704,,,,,,,,,,,,,4209fc6e-f693-4372-bf44-ae8e2a054bd8,2211,,"[89.5, 47.7]",3773387,51,,,,-1.8439168,,Left Foot,,,,"[80.2, 14.5]",,High Pass,,34.477962,,,,Clément Lenglet,6826.0,,,,,,2,Regular Play,Pedro González López,30486.0,Left Center Midfield,88,Barcelona,217,['11d8e590-a8db-493b-82de-d6a218e57801'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:40.142,Pass,,2020/2021
,,,,,,,,,,,,,,,,,2.209238,,,,,,,,,,,,,67a6b508-5905-4cdf-bde4-dba0e34dc4ab,2214,,"[88.9, 14.5]",3773387,51,,,,-0.644668,,Right Foot,,,,"[102.6, 4.2]",,Ground Pass,,17.14001,,,,Jordi Alba Ramos,5211.0,,,,,,2,Regular Play,Clément Lenglet,6826.0,Left Center Back,88,Barcelona,217,['c74c38a3-cdd6-4566-b5cc-19a59ec88ae7'],44,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:44.296,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.466282,,,,,,,,,,,,,d54f22eb-de19-4fdb-aa2c-271ef07e4ae2,2217,,"[102.3, 4.2]",3773387,51,,,,2.900475,,Left Foot,,,,"[90.1, 7.2]",,Ground Pass,,12.563439,,,,Clément Lenglet,6826.0,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Wing Back,88,Barcelona,217,['7aa7c3bf-24f5-4e6d-aa0f-aa8173f4e48b'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:48.430,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.12858,,,,,,,,,,,,,e67721ef-f29b-48b1-bf2f-a18c80fe0ad0,2220,,"[90.1, 7.2]",3773387,51,,,,1.5966526,,Left Foot,,,,"[89.8, 18.8]",,Ground Pass,,11.603879,,,,Pedro González López,30486.0,,,,,,2,Regular Play,Clément Lenglet,6826.0,Left Center Back,88,Barcelona,217,['359f6385-8a1e-49b0-a2cb-257afc31c80b'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:50.674,Pass,,2020/2021
