ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,"[80.9, 59.1]",,,,,,,,,,,1.4154,,,,,,,,,,,,,e0ca66f4-acdf-4186-8309-3101b0132b95,3311,,"[78.6, 60.5]",266160,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,170,Barcelona,217,"['00b741ab-1403-4509-9209-47450dfded15', '36196e90-438f-4580-8ed3-506eea5eabe1']",0,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:00.488,Carry,,2015/2016
,,,"[99.8, 64.2]",,,,,,,,,,,4.096943,,,,,,,,,,,,,6dc9395a-604c-4670-bd79-105f4ae2ac12,3314,,"[102.1, 70.2]",266160,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Aleix Vidal Parreu,6400.0,Right Back,170,Barcelona,217,"['443fedaf-40da-4c13-873d-8017505b7388', '70ef7ece-ccc3-4fba-a80c-b2192f38ff61']",3,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:03.307,Carry,,2015/2016
,,,"[85.6, 68.3]",,,,,,,,,,,0.825325,,,,,,,,,,,,,6fd677af-fea7-4f12-a602-f2249ee278c3,3317,,"[85.6, 68.3]",266160,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergi Roberto Carnicer,6379.0,Center Defensive Midfield,170,Barcelona,217,"['0e35ffbf-76d9-4721-8886-71998cd72e7e', '14f295b2-a93b-477d-91d1-1a20638aec3b']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:08.530,Carry,,2015/2016
,,,"[85.5, 61.0]",,,,,,,,,,,0.2,,,,,,,,,,,,,193f1d76-49d8-44cf-ac6b-b975f32eee39,3320,,"[85.5, 61.0]",266160,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,170,Barcelona,217,"['715c3d25-1725-4850-936d-70fbeff3b90a', 'c281812a-378f-4b76-8b6a-a1b875900bd9']",10,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:10.301,Carry,,2015/2016
,,,"[84.9, 70.0]",,,,,,,,,,,0.7435,,,,,,,,,,,,,255ee267-2690-41d8-b21d-01c5ee0f9429,3323,,"[84.9, 70.0]",266160,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergi Roberto Carnicer,6379.0,Center Defensive Midfield,170,Barcelona,217,"['1e72564b-816e-409b-af41-f7a475aa11ca', 'f9fc6ae2-f8e2-41f9-95e8-0e90c7eede55']",11,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:11.474,Carry,,2015/2016
,,,"[91.1, 76.8]",,,,,,,,,,,0.9572,,,,,,,,,,,,,c99e1c35-cf5d-4a9f-af2d-012519562187,3328,,"[90.8, 78.5]",266160,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Aleix Vidal Parreu,6400.0,Right Back,170,Barcelona,217,"['4ef147e7-26fd-4c7b-acd3-b587e30d62f8', 'f42b57b7-21f6-4a13-a30e-a6422e177f53']",13,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:13.962,Carry,,2015/2016
,,,"[118.9, 69.1]",,,,,,,,,,,1.8948,,,,,,,,,,,,,11f02cf4-2016-4f20-ae33-e517b44e8d53,3331,,"[108.3, 73.2]",266160,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,170,Barcelona,217,"['2870fe8a-87c4-4578-bdfc-6244fdc114ad', '3c262ba4-f835-4c37-819a-e13d814bf83f', '88c5ebc2-2605-439d-896f-3e0a09042ce8']",16,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:16.726,Carry,True,2015/2016
,,,"[117.5, 77.1]",,,,,,,,,,,4.428,,,,,,,,,,,,,027bb76c-c1c0-4078-942e-85efc0786e0f,3337,,"[117.5, 77.1]",266160,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,171,Barcelona,217,"['02e40052-dacf-4848-b3db-78a1bed39612', '496ed0fe-76a6-476f-a5f8-39b481638691']",45,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:45.900,Carry,,2015/2016
,,,"[97.1, 74.6]",,,,,,,,,,,1.8459,,,,,,,,,,,,,d99c381b-938b-4bf7-9856-42e12cbb8516,3340,,"[99.8, 76.6]",266160,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Neymar da Silva Santos Junior,4320.0,Left Wing,171,Barcelona,217,"['41f29bde-c819-4d99-8fca-c44edfa756e4', '968deff4-424b-4993-8f17-33ab2e1b6d41']",51,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:51.446,Carry,,2015/2016
,,,"[86.0, 73.4]",,,,,,,,,,,0.3125,,,,,,,,,,,,,6ab04b6a-debb-4596-bb7d-d923519d803b,3343,,"[87.0, 73.7]",266160,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Aleix Vidal Parreu,6400.0,Right Back,171,Barcelona,217,"['2201faee-fc89-4eb3-aef5-54e94a916068', 'd16f1d5a-09b4-4e84-8829-01a858062403']",54,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:54.713,Carry,,2015/2016
,,,"[38.2, 26.5]",,,,,,,,,,,3.505597,,,,,,,,,,,,,26b5938f-ddfd-40e3-8359-e09ae3a4ce94,3346,,"[33.1, 23.9]",266160,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Víctor Camarasa Ferrando,6659.0,Center Defensive Midfield,172,Levante UD,221,"['253fd01e-ba7a-46b6-ad4a-33837628bb5c', '85be946a-6a48-4adf-af34-be090d80262b', '9622240f-7002-4c57-8e1c-0933bfd36749']",57,,,,,,,,,,,,,,,,,,Levante UD,221,00:42:57.310,Carry,True,2015/2016
,,,"[85.9, 11.1]",,,,,,,,,,,2.0437,,,,,,,,,,,,,e36ceb4e-c130-41e2-9e74-df4e7b635598,3357,,"[78.0, 12.5]",266160,88,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Víctor Camarasa Ferrando,6659.0,Center Defensive Midfield,173,Levante UD,221,"['3d74238e-d4ed-4d46-86a2-5a88f38f9705', '62d0dda6-ed42-4754-b8ee-4ba6e625dbef', 'cfeb7d2f-ebb8-42ee-b61e-1ffff4f74a7e']",38,,,,,,,,,,,,,,,,,,Levante UD,221,00:43:38.124,Carry,True,2015/2016
,,,"[84.3, 16.8]",,,,,,,,,,,0.766519,,,,,,,,,,,,,a8d9cfdd-1d2c-4004-9b4a-2ed4f944ff3c,3362,,"[84.3, 16.8]",266160,88,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,José Luis Morales Nogales,6668.0,Left Wing,173,Levante UD,221,"['84b18dd8-488c-4df0-a825-4b1a230044df', 'e97ac253-0cd1-422e-877f-44c13c1d71c0']",41,,,,,,,,,,,,,,,,,,Levante UD,221,00:43:41.525,Carry,,2015/2016
,,,"[98.1, 27.6]",,,,,,,,,,,0.232219,,,,,,,,,,,,,6fea7558-05e3-4b3a-bdd5-bc9a8fa73dc1,3368,,"[98.1, 27.6]",266160,88,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Víctor Camarasa Ferrando,6659.0,Center Defensive Midfield,173,Levante UD,221,"['95326c59-ab4d-4fff-b8aa-9e84a95ab3c3', 'c1f97775-e95d-487c-9b4c-f200c63aed2f']",44,,,,,,,,,,,,,,,,,,Levante UD,221,00:43:44.501,Carry,,2015/2016
,,,"[28.5, 47.4]",,,,,,,,,,,0.040000003,,,,,,,,,,,,,8b4c9706-617e-4e4f-8cf7-85841fa0483c,3375,,"[28.4, 48.1]",266160,88,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Right Center Midfield,174,Barcelona,217,"['5b9fb42f-0409-4e2e-8d6b-bedcc5aa730c', '7b5763fd-0d1a-4999-aa67-cdf0de31e903', 'a1009fb4-62b1-4f87-bc63-bb73951fcbfd']",47,,,,,,,,,,,,,,,,,,Barcelona,217,00:43:47.762,Carry,True,2015/2016
,,,"[18.3, 60.7]",,,,,,,,,,,0.08,,,,,,,,,,,,,18160389-5f40-4690-9a8f-7795d20f3331,3379,,"[17.0, 62.3]",266160,88,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Aleix Vidal Parreu,6400.0,Right Back,174,Barcelona,217,"['78d1b189-6763-42b5-9409-071f7554adb4', '8639674a-5016-4d00-b6cb-1cb3e4739785']",49,,,,,,,,,,,,,,,,,,Barcelona,217,00:43:49.551,Carry,,2015/2016
,,,"[91.9, 17.1]",,,,,,,,,,,0.812385,,,,,,,,,,,,,79431ca9-58e4-4b2a-974a-7ea2327e79ca,3384,,"[91.7, 14.1]",266160,88,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,José Luis Morales Nogales,6668.0,Left Wing,175,Levante UD,221,"['19e58de8-dd5a-4857-bf24-e4769ceb5b26', '89d17ea5-ada2-4b62-84b5-756097891810', 'f9005ea0-e000-47f0-875c-924460a0b745']",52,,,,,,,,,,,,,,,,,,Levante UD,221,00:43:52.243,Carry,True,2015/2016
,,,"[85.2, 27.6]",,,,,,,,,,,0.469711,,,,,,,,,,,,,e45af061-eb1c-4af6-8ba2-c654a2cb66ea,3388,,"[85.2, 27.6]",266160,88,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Víctor Camarasa Ferrando,6659.0,Center Defensive Midfield,175,Levante UD,221,"['1c5c7090-1828-45d0-a2f6-84123bd3bdd4', '1df9f390-2f96-432f-9a78-f743e002687d']",54,,,,,,,,,,,,,,,,,,Levante UD,221,00:43:54.229,Carry,,2015/2016
,,,"[91.8, 45.6]",,,,,,,,,,,0.29157,,,,,,,,,,,,,2779d365-b4a4-47e2-9587-cce9c4e8c9e1,3392,,"[88.6, 45.6]",266160,88,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jefferson Andrés Lerma Solís,5678.0,Left Center Midfield,175,Levante UD,221,"['4a555572-c584-4985-825e-75256bf3ef03', 'c2f97eb2-201b-43b7-9bf0-a1a219d3f997', 'c42153c7-b861-4aa4-b676-b519c841b5c0']",56,,,,,,,,,,,,,,,,,,Levante UD,221,00:43:56.488,Carry,True,2015/2016
,,,"[54.9, 26.9]",,,,,,,,,,,1.206788,,,,,,,,,,,,,ccf7b8bb-c6aa-41db-ac18-ddb76df42a6c,3403,,"[54.7, 26.9]",266160,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Right Center Midfield,176,Barcelona,217,"['25117498-46ae-4f6e-8212-efcdb6d3f26c', '499a2d02-40bf-47b6-8a45-8eaae34d7471', 'cdca4fc3-9aed-4ba0-8679-772116d6611a']",26,,,,,,,,,,,,,,,,,,Barcelona,217,00:44:26.283,Carry,True,2015/2016
,,,"[45.3, 17.7]",,,,,,,,,,,0.0537,,,,,,,,,,,,,d7b46966-bacd-481b-acdd-e3598cd4aa85,3407,,"[45.3, 17.7]",266160,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,176,Barcelona,217,"['93fc40b2-69d2-433d-bccf-c992303980f9', 'c44c1024-eec6-48c6-8ceb-3f491a47977c']",28,,,,,,,,,,,,,,,,,,Barcelona,217,00:44:28.496,Carry,,2015/2016
,,,"[57.2, 10.8]",,,,,,,,,,,1.039956,,,,,,,,,,,,,88f879ac-4f5d-4349-a454-fbd38328840f,3410,,"[57.2, 10.8]",266160,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,176,Barcelona,217,"['483f35a6-e537-421e-bf4c-ae383a32ac05', '67049337-548f-4e00-b058-f5bca3b8325b']",29,,,,,,,,,,,,,,,,,,Barcelona,217,00:44:29.893,Carry,,2015/2016
,,,"[65.3, 17.5]",,,,,,,,,,,0.36,,,,,,,,,,,,,7167fd06-88f9-4520-a574-037c3c5c2dbd,3413,,"[65.3, 17.5]",266160,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Andrés Iniesta Luján,5216.0,Left Center Midfield,176,Barcelona,217,"['0ad31471-b873-4213-b436-7650de87c736', 'c18585f2-2616-4dad-800c-c649f4fda7c4']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:44:32.349,Carry,,2015/2016
,,,"[41.4, 20.2]",,,,,,,,,,,0.6386,,,,,,,,,,,,,4c87e3ad-237b-40b5-8a0c-01568656682d,3416,,"[41.1, 20.2]",266160,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,176,Barcelona,217,"['cd4219ad-ecde-46a8-93a4-0e40d72731fe', 'f95dab25-187b-42ea-ade0-7422e4396066']",34,,,,,,,,,,,,,,,,,,Barcelona,217,00:44:34.069,Carry,,2015/2016
,,,"[51.9, 5.3]",,,,,,,,,,,1.063792,,,,,,,,,,,,,5e2bfe9a-db91-41ab-9bb1-f76ebbf35fb5,3419,,"[51.9, 5.3]",266160,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,176,Barcelona,217,"['84fbfdba-f6fc-4185-a016-4156989d0d95', 'aa57d9e4-ecd6-430e-9bf3-d3d53ec01231']",35,,,,,,,,,,,,,,,,,,Barcelona,217,00:44:35.662,Carry,,2015/2016
