bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.781235,,,,,,,,,,,,,,eae0994d-810f-4c24-84de-6c74b76c5934,3914,,,"[110.2, 7.9]",3773585,87,,,,2.5759895,,Right Foot,,,,"[87.2, 22.5]",,Ground Pass,,27.242613,,,,Philippe Coutinho Correia,3501.0,,,,,,2,From Throw In,Frenkie de Jong,8118.0,Left Defensive Midfield,162,Barcelona,217,['0ef6b59c-3fc3-4a86-8cee-c435b8c7306b'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:42:43.432,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.498422,,,,,,,,,,,,,,d999cf7a-b6e2-438c-a328-d5c8dc4aa1dd,3917,,,"[87.2, 22.5]",3773585,87,,,,1.5528034,,Right Foot,,,,"[87.9, 61.4]",,Ground Pass,,38.9063,,,,Sergino Dest,21881.0,,,,,,2,From Throw In,Philippe Coutinho Correia,3501.0,Left Midfield,162,Barcelona,217,['1eaa7db3-522c-4f2a-b83d-890ae380c0a8'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:42:46.728,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.864413,,,,,,,,,,,,,,b73d572d-c28a-437c-8ab9-e43db7ea3791,3920,,,"[91.1, 63.7]",3773585,87,,,,0.63025683,,Right Foot,,,,"[103.3, 72.6]",,Ground Pass,,15.101324,,,,Francisco António Machado Mota de Castro Trincão,22390.0,,,,,,2,From Throw In,Sergino Dest,21881.0,Right Back,162,Barcelona,217,['309a87cc-628f-420d-8251-9b23f7f70303'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:42:49.379,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.160484,,,,,,,,,,,,,,1a17ab7d-b33c-40f7-9a47-afd73d121e20,3924,,,"[97.8, 73.3]",3773585,87,,,,-2.4756234,,Left Foot,,,,"[96.4, 72.2]",,Ground Pass,,1.7804494,,Incomplete,,Sergino Dest,21881.0,,,,,,2,From Throw In,Francisco António Machado Mota de Castro Trincão,22390.0,Right Midfield,162,Barcelona,217,"['3e8172d4-c03c-4a65-8c04-6ff040177f81', '790bec49-3b5d-4880-bf44-5cb7ca4372cf', '9af17265-7862-4af0-9428-37f7e6db5cae']",51,,,,,,,,,,,,,,,,,Barcelona,217,00:42:51.546,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,0.713544,,,,,,,,,,,,,,8015e658-2c14-4ce6-926a-8b5a917cc051,3927,,,"[5.9, 8.4]",3773585,87,,,,1.3641131,,Right Foot,,,,"[8.5, 20.8]",,Ground Pass,,12.669649,,,,Sergio Ramos García,5201.0,,,,,Recovery,2,Regular Play,Ferland Mendy,3804.0,Left Back,163,Real Madrid,220,['26d489a9-2f44-468e-ac7d-361b1699a61a'],54,,,,,,,,,,,,,,,,,Real Madrid,220,00:42:54.805,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.669705,,,,,,,,,,,,,,9704c41c-d637-4b39-9938-f08ed65d0494,3929,,,"[8.8, 20.8]",3773585,87,,,,-0.912371,,Right Foot,,,,"[21.1, 4.9]",,Ground Pass,,20.10224,,,,Vinícius José Paixão de Oliveira Júnior,18395.0,,,,,,2,Regular Play,Sergio Ramos García,5201.0,Left Center Back,163,Real Madrid,220,['6cdc201a-1302-4713-a44a-5102e9179207'],55,,,,,,,,,,,,,,,,,Real Madrid,220,00:42:55.518,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.999884,,,,,,,,,,,,,,e0ecab7d-f34f-44da-a9ee-6319796518d3,3932,,,"[21.1, 4.9]",3773585,87,,,,1.386112,,Right Foot,,,,"[22.8, 14.0]",,Ground Pass,,9.257429,,,,Carlos Henrique Casimiro,5539.0,,,,,,2,Regular Play,Vinícius José Paixão de Oliveira Júnior,18395.0,Left Wing,163,Real Madrid,220,['90f908d6-e8bc-4e7b-8d75-605c0ac80c1b'],57,,,,,,,,,,,,,,,,,Real Madrid,220,00:42:57.546,Pass,,2020/2021
,,,,,,,,,,,,,,,,,4.766658,,,,,,,,,,,,,,b3c3c36e-4d2a-4ebd-9c10-a767a2f8f342,3936,,,"[41.9, 16.4]",3773585,88,,,,-0.104000516,,Right Foot,,,,"[101.3, 10.2]",,Low Pass,,59.722694,,Incomplete,,Karim Benzema,19677.0,,,,,,2,Regular Play,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,163,Real Madrid,220,"['6b27c2fd-5e80-4e1b-8c63-b61016bc3f1f', '6cc042fd-8bb0-4847-ad8d-43076e980cef', 'ab9f4675-69f0-48c9-994f-5cb03ea4e637']",2,,,,,,,,,,,,,,,,,Real Madrid,220,00:43:02.526,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,1.310798,,,,,,,,,,,,,,000a1c98-cfde-47b4-8696-ebc2f22be933,3943,,,"[7.0, 44.1]",3773585,88,,,,0.19739556,,Right Foot,,,,"[32.0, 49.1]",,Ground Pass,,25.495098,,,,Clément Lenglet,6826.0,,,,,Goal Kick,2,From Goal Kick,Norberto Murara Neto,6590.0,Goalkeeper,164,Barcelona,217,['4f41b7a8-f8d3-4e7a-a2e4-9b60da265987'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:43:15.360,Pass,,2020/2021
,,,,,,,,,,,,,,,,,2.532121,,,,,,,,,,,,,,4d796881-24f7-4fa8-a3e1-db0f308f8673,3945,,,"[31.7, 49.1]",3773585,88,True,,,-0.063743316,,Right Foot,,,,"[41.1, 48.5]",,Ground Pass,,9.419129,,,,Philippe Coutinho Correia,3501.0,,,,,,2,From Goal Kick,Clément Lenglet,6826.0,Left Center Back,164,Barcelona,217,['3312823f-8b47-4040-b929-f93c68268005'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:43:18.701,Pass,,2020/2021
