50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.141786,,,,,,,,,,,,cfec4e3a-f353-47f1-a9e1-96a72cd61539,45,,,"[118.6, 19.5]",16023,0,,,,1.8259788,,Left Foot,,,,"[118.0, 21.8]",,Ground Pass,,2.376973,,,Incomplete,,,,,,,,1,From Throw In,Gonçalo Manuel Ganchinho Guedes,4367.0,Left Midfield,3,Valencia,207,['1300fceb-66f9-44ba-a492-3d1125fbb5ff'],46,,,,,,,,,,,,,,,,Valencia,207,00:00:46.071,Pass,,2018/2019
,,,,,,,,,,,,,,,1.344495,,,,,,,,,,,,29ca0c88-acc9-4dc2-9be6-bd3889df774b,47,,,"[120.0, 0.1]",16023,1,,,,1.7153506,,Right Foot,,,,"[115.4, 31.7]",,High Pass,True,31.933056,,,Incomplete,,,,,,Inswinging,Corner,1,From Corner,Daniel Parejo Muñoz,6595.0,Right Defensive Midfield,4,Valencia,207,['126eb71f-0663-4271-b544-40c5811715ee'],15,,,,,,,,,,,,,,,,Valencia,207,00:01:15.193,Pass,,2018/2019
,,,,,,,,,,,,,,,1.523429,,,,,,,,,,,,c850fb26-909a-4ed0-ba1a-178255651e98,52,,,"[61.0, 40.1]",16023,2,True,,,-2.6389313,,Right Foot,,,,"[39.9, 28.5]",,Ground Pass,,24.078413,,,,Thomas Vermaelen,6332.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,5,Barcelona,217,['85edc670-19ec-4751-bda4-b617ff1dbfef'],22,,,,,,,,,,,,,,,,Barcelona,217,00:02:22.728,Pass,,2018/2019
,,,,,,,,,,,,,,,1.475043,,,,,,,,,,,,675fee9e-49fa-498a-8f6f-987e16de0fd4,54,,,"[43.4, 22.1]",16023,2,,,,-1.0755501,,Left Foot,,,,"[50.8, 8.4]",,Ground Pass,,15.570806,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,5,Barcelona,217,['5533127b-6497-44c7-8cae-65215e5268bb'],25,,,,,,,,,,,,,,,,Barcelona,217,00:02:25.489,Pass,,2018/2019
,,,,,,,,,,,,,,,1.052305,,,,,,,,,,,,9135f8c5-a358-4044-8e84-3d6603671bf3,57,,,"[52.2, 7.3]",16023,2,,,,-0.327245,,Left Foot,,,,"[63.1, 3.6]",,Ground Pass,,11.510864,,,,Philippe Coutinho Correia,3501.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['b918274c-e2b7-4bf1-a099-b29daa82bb18'],27,,,,,,,,,,,,,,,,Barcelona,217,00:02:27.845,Pass,,2018/2019
,,,,,,,,,,,,,,,0.333015,,,,,,,,,,,,34a054f0-4efa-4e0d-8ebc-dc30e4050d92,60,,,"[63.1, 3.6]",16023,2,,,,1.6495802,,Right Foot,,,,"[62.5, 11.2]",,Ground Pass,,7.623647,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Wing,5,Barcelona,217,['c4043238-eb6f-4299-9d4f-8746c012f2ba'],29,,,,,,,,,,,,,,,,Barcelona,217,00:02:29.017,Pass,,2018/2019
,,,,,,,,,,,,,,,0.126384,,,,,,,,,,,,b38feb84-b51d-4830-bb9d-c7479c59fd32,63,,,"[64.6, 6.7]",16023,2,,,,-2.9718144,,Right Foot,,,,"[61.1, 6.1]",,Ground Pass,,3.5510561,,,Incomplete,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,5,Barcelona,217,"['14f81482-d814-45f7-9ba7-40a5bf3870db', '805d0ef2-2597-4c70-bb46-4935ebaff6d2']",30,,,,,,,,,,,,,,,,Barcelona,217,00:02:30.691,Pass,,2018/2019
,,,,,,,,,,,,,,,2.083605,,,,,,,,,,,,3230a5a0-8655-4b12-9460-ccc4eb66b331,70,,,"[57.2, 0.1]",16023,2,,,,2.6624253,,,,,,"[39.3, 9.4]",,Low Pass,,20.171762,,,,Thomas Vermaelen,6332.0,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,['f4fba7a2-42d4-46e4-af20-883c2fd16f52'],40,,,,,,,,,,,,,,,,Barcelona,217,00:02:40.200,Pass,,2018/2019
,,,,,,,,,,,,,,,1.897013,,,,,,,,,,,,afd69f68-117f-4412-af9f-193810288b3e,73,,,"[40.9, 16.8]",16023,2,,,,1.7106712,,Left Foot,,,,"[37.0, 44.5]",,Ground Pass,,27.973202,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Thomas Vermaelen,6332.0,Left Center Back,6,Barcelona,217,['e08404b1-fc46-485c-85e3-8e28c9b1097c'],43,,,,,,,,,,,,,,,,Barcelona,217,00:02:43.875,Pass,,2018/2019
,,,,,,,,,,,,,,,1.878775,,,,,,,,,,,,18cce745-08fc-4fa6-af79-9ea7e031c6a4,75,,,"[41.3, 49.5]",16023,2,True,,,1.1002043,,Right Foot,,,,"[55.9, 78.2]",,Ground Pass,,32.200157,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['c536146d-6903-40f1-bb18-1bcb73e0b233'],47,,,,,,,,,,,,,,,,Barcelona,217,00:02:47.031,Pass,,2018/2019
