ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.717262,,,,,,,,,,,,,,,4363c42a-606b-40b2-b888-caa046057c2c,56,,"[50.1, 76.0]",69169,1,,,,,-0.74685687,,Right Foot,,"[70.3, 57.3]",,High Pass,27.526896,,,,Gnégnéri Yaya Touré,3087.0,,,,,,,1,Regular Play,Gianluca Zambrotta,15774.0,Right Back,4,Barcelona,217,['9e41ad3f-80e3-4c55-8285-6b8043c0c90d'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.708,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.937733,,,,,,,,,,,,,,,56a29c65-f40c-4db2-8b3f-59fb5bf002c1,58,,"[70.3, 57.3]",69169,1,,,,,2.7814698,,Head,,"[54.1, 63.4]",,Low Pass,17.310402,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,4,Barcelona,217,['6f08c741-6149-4680-ba8c-2d0b0e6ba4f2'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.425,Pass,,2007/2008
,,,,,,,,,,,,,,,,2.473423,,,,,,,,,,,,,,,cd38d10b-8ea8-46e2-811f-aebab1f9abdb,61,,"[56.6, 55.0]",69169,1,,,,,-1.5555801,,Right Foot,,"[57.3, 9.0]",,High Pass,46.005325,,,,Eric-Sylvain Bilal Abidal,20177.0,,,True,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,4,Barcelona,217,['7ce3e0c6-52fd-42ac-9acc-1e8c91588d14'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.955,Pass,,2007/2008
,,,,,,,,,,,,,,,,3.153568,,,,,,,,,,,,,,,26aa6d96-53c7-4ecc-84dd-d5d3a173d3b9,71,,"[38.1, 77.1]",69169,1,,,,,-0.43012622,,Right Foot,,"[85.4, 55.4]",,High Pass,52.040176,,,,Aritz Aduriz Zubeldia,6394.0,,,,,,Free Kick,1,From Free Kick,Andoni Iraola Sagarna,26031.0,Right Back,6,Athletic Club,215,['9ae94f45-b31f-4fed-8d2f-a6201f000de1'],41,,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:41.397,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.316639,,,,,,,,,,,,,,,aa9f15af-e7ee-4b02-a930-ab49e7a861f8,73,,"[85.8, 55.6]",69169,1,,,,True,0.29386935,,,,"[93.4, 57.9]",,Low Pass,7.940403,,Incomplete,,Markel Susaeta Laskurain,6390.0,,,,,,,1,From Free Kick,Aritz Aduriz Zubeldia,6394.0,Center Forward,6,Athletic Club,215,"['09f0ba6e-21ef-4cb4-b630-1df7bda1c01c', '0ddfa9e6-e0ff-4087-b5b2-b46a83b5d5bd', '975e0f05-8c90-46b9-b8a0-3cad3aabe567']",44,,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:44.630,Pass,True,2007/2008
,,,,,,,,,,,,,,,,0.942465,,,,,,,,,,,,,,,0ddfa9e6-e0ff-4087-b5b2-b46a83b5d5bd,76,,"[27.6, 23.1]",69169,1,,,,,-1.1003921,,Right Foot,,"[30.6, 17.2]",,Low Pass,6.618912,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,Recovery,1,Regular Play,Oleguer Presas Renom,25873.0,Left Center Back,7,Barcelona,217,"['9ee83e8a-94b2-4a80-bc6f-c9913224083d', 'aa9f15af-e7ee-4b02-a930-ab49e7a861f8']",45,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:45.947,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.159242,,,,,,,,,,,,,,,c3f2afeb-c1dc-4b32-8f23-d2fe626ecbf0,80,,"[29.9, 19.5]",69169,1,,,,,2.8137321,,Left Foot,,"[15.2, 24.5]",,Ground Pass,15.527073,,,,Oleguer Presas Renom,25873.0,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,7,Barcelona,217,"['2223cac7-fe34-40ec-a994-d945b1213a10', '902081a8-c56a-45e3-bea3-bc821caf7086']",47,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:47.621,Pass,True,2007/2008
,,,,,,,,,,,,,,,,1.470051,,,,,,,,,,,,,,,124f9a3e-45ad-4510-8a3e-50aa60024b39,84,,"[14.6, 24.7]",69169,1,,,,,0.6708915,,Right Foot,,"[43.2, 47.4]",,High Pass,36.513695,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Oleguer Presas Renom,25873.0,Left Center Back,7,Barcelona,217,['2e49ae27-c78f-4c1b-8bef-0a8aed6a7643'],49,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:49.817,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.376702,,,,,,,,,,,,,,,2a835558-5f86-4786-948e-ffc1653e8897,88,,"[40.2, 49.1]",69169,1,,,,,1.4154321,,Right Foot,,"[42.8, 65.7]",,Ground Pass,16.802382,,,,Gianluca Zambrotta,15774.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,7,Barcelona,217,"['970dec61-d52e-461f-ac33-ebea1bacb25d', 'dfda869a-0f32-47c5-8a8e-63c821b2267e']",52,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:52.325,Pass,True,2007/2008
,,,,,,,,,,,,,,,,1.498483,,,,,,,,,,,,,,,ed8f5e39-696c-4b82-96dd-057d640fe852,91,,"[97.6, 75.8]",69169,2,,,,,-2.9985094,,Right Foot,,"[85.8, 74.1]",,Ground Pass,11.921828,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Gianluca Zambrotta,15774.0,Right Back,7,Barcelona,217,['509b53ae-fd3c-4804-9bf0-399828a70054'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:00.663,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.541975,,,,,,,,,,,,,,,881c41e6-d0de-44ae-a3a5-3145ef3692a0,94,,"[85.2, 64.9]",69169,2,,,,,-2.0718098,,Left Foot,,"[82.9, 60.7]",,Ground Pass,4.788528,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,7,Barcelona,217,['7fbbd110-990d-4ce2-a774-aa2a991bc943'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:04.246,Pass,,2007/2008
